Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,51.07,51.130001,50.599998,50.689999,5528900,50.689999
2015-07-30,50.950001,51.049999,50.540001,50.77,3637500,50.77
2015-07-29,50.98,51.169998,50.759998,51.060001,3487000,51.060001
2015-07-28,51.09,51.240002,50.650002,50.939999,5649600,50.939999
2015-07-27,50.639999,50.849998,50.209999,50.689999,5479100,50.689999
2015-07-24,50.849998,51.470001,50.84,51.049999,5944000,51.049999
2015-07-23,51.330002,51.740002,50.939999,51.200001,5946400,51.200001
2015-07-22,49.869999,51.09,49.259998,50.98,10279600,50.98
2015-07-21,49.91,50.27,49.759998,49.759998,6350200,49.759998
2015-07-20,50.009998,50.330002,49.98,50.060001,5389800,50.060001
2015-07-17,49.52,49.970001,49.450001,49.900002,5402300,49.900002
2015-07-16,49.82,49.84,49.540001,49.77,3753100,49.77
2015-07-15,49.84,49.990002,49.139999,49.310001,6527600,49.310001
2015-07-14,49.810001,50.380001,49.700001,50.200001,4120800,50.200001
2015-07-13,50.00,50.110001,49.580002,49.720001,5519900,49.720001
2015-07-10,49.630001,50.119999,49.389999,49.93,5028200,49.689999
2015-07-09,49.799999,49.93,49.18,49.189999,5604800,48.953554
2015-07-08,49.740002,50.09,49.169998,49.25,5839600,49.013267
2015-07-07,49.959999,50.240002,49.099998,50.209999,6069400,49.968652
2015-07-06,49.02,50.119999,48.919998,49.740002,5783800,49.500914
2015-07-02,49.799999,49.82,49.16,49.41,2740300,49.172498
2015-07-01,49.400002,49.630001,49.080002,49.52,3378200,49.28197
2015-06-30,49.509998,49.549999,48.91,49.080002,4514700,48.844086
2015-06-29,49.540001,49.849998,48.959999,49.009998,5364300,48.774419
2015-06-26,49.470001,49.98,49.27,49.970001,6780500,49.729808
2015-06-25,49.650002,49.869999,49.279999,49.330002,3607900,49.092885
2015-06-24,49.59,49.849998,49.48,49.50,4572400,49.262066
2015-06-23,50.220001,50.470001,49.689999,49.880001,3258300,49.64024
2015-06-22,49.959999,50.369999,49.84,50.029999,4627000,49.789517
2015-06-19,49.900002,50.110001,49.740002,49.889999,9367200,49.65019
2015-06-18,48.689999,50.16,48.650002,49.939999,7971800,49.699949
2015-06-17,48.50,48.740002,48.330002,48.57,3724400,48.336536
2015-06-16,48.07,48.540001,47.900002,48.48,3919700,48.246968
2015-06-15,48.299999,48.360001,47.720001,48.07,4807100,47.838939
2015-06-12,48.91,48.959999,48.639999,48.669998,3692100,48.436053
2015-06-11,48.700001,49.25,48.509998,49.060001,7101200,48.824182
2015-06-10,48.360001,48.689999,48.299999,48.50,5614900,48.266872
2015-06-09,48.52,48.529999,48.009998,48.18,3402000,47.948411
2015-06-08,48.369999,48.57,48.200001,48.439999,4353000,48.207159
2015-06-05,48.59,48.630001,48.009998,48.450001,3542400,48.217113
2015-06-04,48.98,49.169998,48.529999,48.68,4687000,48.446007
2015-06-03,48.959999,49.130001,48.740002,48.860001,3309600,48.625142
2015-06-02,48.650002,49.189999,48.32,48.939999,5138100,48.704756
2015-06-01,48.77,49.200001,48.57,48.939999,5055100,48.704756
2015-05-29,49.18,49.259998,48.529999,48.599998,8667200,48.36639
2015-05-28,48.880001,49.380001,48.84,49.259998,5980600,49.023217
2015-05-27,48.869999,49.060001,48.59,49.009998,4348600,48.774419
2015-05-26,49.099998,49.23,48.389999,48.599998,3879600,48.36639
2015-05-22,49.099998,49.43,48.91,49.029999,3454700,48.794323
2015-05-21,49.060001,49.43,48.900002,49.34,4193700,49.102835
2015-05-20,49.080002,49.360001,48.93,49.139999,3682300,48.903795
