Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,109.970001,110.199997,108.57,108.769997,4023200,108.769997
2015-07-30,107.599998,108.739998,107.599998,108.589996,1531900,108.589996
2015-07-29,107.519997,108.419998,107.110001,107.989998,1915300,107.989998
2015-07-28,107.459999,107.739998,106.93,107.620003,2551400,107.620003
2015-07-27,106.120003,108.010002,106.099998,107.00,3007100,107.00
2015-07-24,106.190002,107.099998,106.07,106.440002,2060600,106.440002
2015-07-23,106.519997,107.120003,105.339996,106.449997,3179400,106.449997
2015-07-22,106.129997,106.739998,104.790001,106.589996,4580200,106.589996
2015-07-21,104.32,104.510002,103.209999,103.879997,3124600,103.879997
2015-07-20,104.059998,104.389999,103.739998,104.220001,2106800,104.220001
2015-07-17,104.43,104.43,103.360001,104.139999,1699900,104.139999
2015-07-16,104.730003,104.82,104.00,104.360001,2750900,104.360001
2015-07-15,103.550003,104.110001,102.629997,103.779999,3798900,103.779999
2015-07-14,103.93,104.209999,103.209999,103.629997,2703400,103.629997
2015-07-13,104.800003,104.959999,103.839996,104.230003,1681300,104.230003
2015-07-10,104.709999,104.709999,103.489998,103.839996,2398000,103.839996
2015-07-09,104.160004,104.230003,102.919998,103.489998,2999000,103.489998
2015-07-08,103.699997,103.980003,102.43,102.639999,2778800,102.639999
2015-07-07,103.57,104.580002,102.599998,104.459999,3819900,104.459999
2015-07-06,102.650002,103.779999,102.540001,103.330002,2977200,103.330002
2015-07-02,100.790001,105.57,100.07,103.739998,5546800,103.739998
2015-07-01,109.800003,110.839996,101.349998,102.489998,17646700,102.489998
2015-06-30,102.650002,102.730003,101.599998,101.68,1772600,101.68
2015-06-29,102.889999,103.080002,101.480003,101.599998,2355200,101.599998
2015-06-26,101.75,103.980003,99.550003,103.470001,2531600,103.470001
2015-06-25,103.18,104.199997,102.260002,102.75,6172600,102.75
2015-06-24,106.18,106.260002,105.220001,105.230003,1407200,105.230003
2015-06-23,106.489998,107.220001,105.919998,106.410004,849600,106.410004
2015-06-22,106.480003,106.730003,105.82,106.129997,876900,106.129997
2015-06-19,107.209999,107.510002,105.949997,106.010002,1341500,106.010002
2015-06-18,106.169998,107.849998,106.169998,107.660004,1219200,107.660004
2015-06-17,106.540001,106.830002,105.620003,106.330002,978200,106.330002
2015-06-16,105.330002,106.519997,105.220001,106.279999,1169600,106.279999
2015-06-15,104.480003,105.910004,104.309998,105.43,1421700,105.43
2015-06-12,105.589996,105.93,105.080002,105.480003,826300,105.480003
2015-06-11,105.07,106.300003,105.00,105.989998,1004200,105.989998
2015-06-10,104.18,105.57,104.029999,105.059998,1416100,105.059998
2015-06-09,103.279999,103.769997,102.650002,103.519997,2662500,103.519997
2015-06-08,104.610001,105.059998,103.269997,103.300003,1439600,103.300003
2015-06-05,106.059998,106.510002,104.419998,104.68,2076000,104.68
2015-06-04,106.00,106.889999,105.68,105.809998,1502300,105.809998
2015-06-03,106.900002,107.050003,106.300003,106.879997,1107600,106.879997
2015-06-02,106.089996,106.75,105.82,106.370003,910800,106.370003
2015-06-01,106.82,106.980003,106.010002,106.370003,995400,106.370003
2015-05-29,107.309998,107.480003,106.440002,106.480003,1177500,106.480003
2015-05-28,106.970001,107.669998,106.660004,107.580002,847700,107.580002
2015-05-27,107.220001,107.510002,106.809998,107.349998,1211000,107.349998
2015-05-26,108.300003,108.599998,106.660004,106.779999,2063400,106.779999
2015-05-22,108.779999,108.989998,108.449997,108.660004,1552700,108.660004
2015-05-21,108.839996,109.169998,108.510002,108.900002,1041600,108.900002
2015-05-20,108.860001,109.290001,108.379997,109.110001,828000,109.110001
2015-05-19,109.00,109.169998,108.400002,108.940002,973000,108.940002
2015-05-18,108.309998,108.889999,108.139999,108.739998,1162000,108.739998
2015-05-15,108.389999,108.849998,107.940002,108.150002,873000,108.150002
2015-05-14,107.75,108.629997,107.510002,108.589996,1383600,108.589996
2015-05-13,107.050003,107.720001,106.900002,107.199997,1326300,107.199997
2015-05-12,107.769997,107.870003,106.650002,107.050003,1867100,107.050003
2015-05-11,108.389999,108.779999,107.940002,108.279999,950900,108.279999
2015-05-08,108.400002,108.809998,108.080002,108.779999,888000,108.779999
2015-05-07,107.089996,107.980003,106.470001,107.650002,1218400,107.650002
2015-05-06,107.379997,107.50,106.269997,106.919998,1032100,106.919998
2015-05-05,106.949997,107.730003,106.800003,107.080002,1265800,107.080002
2015-05-04,107.68,108.029999,107.279999,107.440002,1429900,107.440002
2015-05-01,107.379997,107.870003,107.010002,107.629997,798100,107.629997
2015-04-30,108.25,108.75,106.699997,106.989998,1450200,106.989998
2015-04-29,108.57,108.870003,107.730003,108.040001,1282800,108.040001
2015-04-28,107.459999,109.080002,107.459999,108.760002,1315900,108.760002
2015-04-27,108.93,108.980003,107.650002,107.879997,1545400,107.879997
2015-04-24,108.510002,108.809998,108.00,108.510002,1404400,108.510002
2015-04-23,107.580002,108.610001,107.440002,108.309998,1714400,108.309998
2015-04-22,108.279999,109.290001,106.82,107.860001,2567200,107.860001
2015-04-21,111.220001,111.330002,108.809998,109.010002,2888200,109.010002
2015-04-20,110.790001,111.489998,110.760002,111.160004,1043900,111.160004
2015-04-17,111.519997,111.709999,109.760002,110.139999,1570000,110.139999
2015-04-16,111.790001,112.660004,111.220001,112.370003,1166800,112.370003
2015-04-15,112.059998,112.629997,111.760002,111.870003,858400,111.870003
2015-04-14,111.480003,111.989998,110.860001,111.910004,1183500,111.910004
2015-04-13,111.650002,112.580002,111.650002,111.940002,739200,111.940002
2015-04-10,111.790001,112.120003,111.489998,111.900002,657200,111.900002
2015-04-09,111.209999,111.970001,110.970001,111.760002,893600,111.760002
2015-04-08,111.160004,111.93,110.910004,111.239998,1346500,111.239998
2015-04-07,111.269997,111.889999,111.129997,111.349998,1071900,111.349998
2015-04-06,110.419998,111.82,110.139999,111.260002,965300,111.260002
2015-04-02,110.949997,111.529999,110.620003,111.199997,1170500,111.199997
2015-04-01,112.459999,112.720001,110.730003,110.989998,1417300,110.989998
2015-03-31,111.239998,112.010002,110.68,111.489998,1131200,111.489998
2015-03-30,111.410004,112.720001,111.25,112.209999,961000,112.209999
2015-03-27,110.839996,111.300003,110.440002,110.900002,1225900,110.900002
2015-03-26,110.839996,111.870003,110.839996,111.260002,1078200,111.260002
2015-03-25,112.220001,112.989998,111.589996,111.589996,1171900,111.589996
2015-03-24,113.129997,113.690002,112.339996,112.349998,1032600,112.349998
2015-03-23,113.830002,114.699997,113.540001,113.540001,2442800,113.540001
2015-03-20,113.629997,114.139999,113.410004,113.540001,3764500,113.540001
2015-03-19,114.68,115.059998,113.419998,113.68,1554400,113.68
2015-03-18,113.300003,115.260002,112.639999,114.75,1559700,114.75
2015-03-17,113.339996,113.82,112.699997,113.360001,1248400,113.360001
2015-03-16,112.139999,114.160004,111.879997,114.00,1266300,114.00
2015-03-13,112.529999,112.669998,111.150002,111.739998,1322200,111.739998
2015-03-12,111.519997,112.800003,111.410004,112.690002,902100,112.690002
2015-03-11,110.110001,111.169998,110.110001,110.82,879300,110.82
2015-03-10,111.75,112.010002,110.080002,110.110001,1127900,110.110001
2015-03-09,112.150002,113.169998,111.919998,112.830002,797400,112.830002
2015-03-06,113.089996,113.809998,111.800003,111.980003,1476400,111.980003
2015-03-05,112.599998,113.339996,112.419998,113.190002,827000,113.190002
2015-03-04,113.75,113.75,112.339996,112.599998,1285400,112.599998
2015-03-03,113.849998,114.470001,113.18,113.830002,1141600,113.830002
2015-03-02,114.010002,114.669998,113.599998,114.370003,1239700,114.370003
2015-02-27,115.010002,115.099998,113.989998,114.010002,1345800,114.010002
2015-02-26,114.110001,114.879997,113.959999,114.779999,1083600,114.779999
2015-02-25,114.040001,114.93,114.040001,114.230003,1170800,114.230003
2015-02-24,113.459999,114.690002,113.309998,114.510002,1407200,114.510002
2015-02-23,114.239998,114.32,113.150002,113.559998,1313100,113.559998
2015-02-20,113.580002,114.730003,112.970001,114.50,1242200,114.50
2015-02-19,113.489998,114.279999,113.199997,113.919998,767000,113.919998
2015-02-18,113.910004,113.989998,113.050003,113.709999,865400,113.709999
2015-02-17,113.559998,114.349998,112.940002,113.910004,1227900,113.910004
2015-02-13,112.480003,113.449997,112.330002,113.050003,608500,113.050003
2015-02-12,112.529999,113.059998,112.309998,112.959999,812400,112.959999
2015-02-11,111.970001,112.800003,111.669998,112.459999,780000,112.459999
2015-02-10,113.00,113.00,111.629997,111.75,1213300,111.75
2015-02-09,112.07,112.559998,111.709999,111.970001,859700,111.970001
2015-02-06,113.510002,113.830002,112.68,112.879997,1276400,112.879997
2015-02-05,111.230003,113.360001,110.889999,113.099998,1383200,113.099998
2015-02-04,110.849998,112.300003,110.43,111.620003,1509000,111.620003
2015-02-03,110.050003,111.059998,109.519997,111.010002,1260600,111.010002
2015-02-02,107.900002,109.440002,107.230003,109.309998,1725900,109.309998
2015-01-30,109.18,109.650002,107.860001,107.959999,2187900,107.959999
