Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,103.00,103.989998,102.93,103.110001,2395100,103.110001
2015-07-30,102.059998,102.989998,101.610001,102.660004,1447200,102.660004
2015-07-29,101.690002,102.709999,101.519997,102.449997,2064100,102.449997
2015-07-28,100.910004,101.760002,100.449997,101.690002,1702200,101.690002
2015-07-27,100.660004,101.010002,100.040001,100.389999,1871100,100.389999
2015-07-24,102.169998,102.800003,100.879997,101.169998,2114800,101.169998
2015-07-23,102.50,103.309998,102.169998,102.419998,2305900,102.419998
2015-07-22,100.309998,102.50,100.25,102.330002,2775300,102.330002
2015-07-21,100.370003,101.220001,100.199997,100.389999,1493900,100.389999
2015-07-20,100.699997,101.190002,100.330002,100.720001,1579000,100.720001
2015-07-17,101.559998,101.559998,100.169998,100.480003,1544700,100.480003
2015-07-16,100.550003,101.620003,100.550003,101.449997,1858500,101.449997
2015-07-15,100.559998,100.709999,99.650002,99.949997,1858600,99.949997
2015-07-14,100.010002,100.870003,99.730003,100.739998,2394900,100.739998
2015-07-13,99.349998,100.769997,99.089996,100.550003,3488900,100.550003
2015-07-10,98.730003,99.279999,98.029999,98.779999,2536200,98.779999
2015-07-09,98.800003,99.089996,97.650002,97.75,2734900,97.75
2015-07-08,99.449997,99.449997,96.949997,97.620003,2623300,97.620003
2015-07-07,97.800003,99.099998,96.650002,98.68,3089500,98.68
2015-07-06,96.440002,97.580002,96.309998,97.339996,1817900,97.339996
2015-07-02,98.290001,98.720001,96.510002,97.330002,2456700,97.330002
2015-07-01,97.739998,98.790001,97.309998,98.059998,2259500,98.059998
2015-06-30,97.690002,97.690002,96.57,96.779999,2572500,96.779999
2015-06-29,98.139999,99.07,96.540001,96.68,3025000,96.68
2015-06-26,99.970001,100.349998,98.519997,99.00,4990400,99.00
2015-06-25,100.209999,100.470001,99.160004,99.480003,5103200,99.480003
2015-06-24,98.010002,98.400002,96.790001,97.769997,2533000,97.769997
2015-06-23,99.040001,99.440002,97.730003,98.25,2513300,98.25
2015-06-22,97.629997,99.059998,97.540001,98.589996,3081900,98.589996
2015-06-19,96.980003,97.660004,96.790001,97.019997,2353900,97.019997
2015-06-18,97.059998,97.699997,96.790001,97.309998,2003400,97.309998
2015-06-17,96.989998,97.309998,96.029999,96.93,1839900,96.93
2015-06-16,95.879997,96.93,95.610001,96.699997,1675300,96.699997
2015-06-15,95.089996,95.949997,94.690002,95.790001,1961500,95.790001
2015-06-12,96.309998,96.699997,95.93,96.099998,2034700,96.099998
2015-06-11,96.660004,97.18,96.550003,96.919998,1857600,96.919998
2015-06-10,95.300003,96.919998,95.190002,96.519997,2131100,96.519997
2015-06-09,95.260002,95.400002,94.25,94.940002,1284800,94.940002
2015-06-08,95.160004,95.400002,94.669998,94.769997,1449700,94.769997
