Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,273.320007,275.23999,270.309998,275.040009,425900,275.040009
2015-07-30,271.200012,273.339996,267.149994,272.51001,472300,272.51001
2015-07-29,272.049988,275.220001,271.50,272.850006,946700,272.850006
2015-07-28,267.519989,272.570007,264.959991,270.809998,649600,270.809998
2015-07-27,273.070007,273.660004,266.279999,267.00,597700,267.00
2015-07-24,284.649994,285.00,268.709991,274.109985,1555200,274.109985
2015-07-23,298.670013,298.980011,283.720001,284.339996,1405800,284.339996
2015-07-22,298.700012,302.859985,298.700012,301.690002,456100,301.690002
2015-07-21,303.950012,304.98999,298.709991,299.570007,295400,299.570007
2015-07-20,302.23999,304.76001,301.820007,302.660004,275000,302.660004
2015-07-17,301.700012,304.380005,299.929993,302.369995,333600,302.369995
2015-07-16,302.420013,306.26001,300.440002,302.149994,476200,302.149994
2015-07-15,305.220001,305.220001,299.220001,300.029999,467400,300.029999
2015-07-14,304.600006,307.779999,303.390015,304.899994,236400,304.899994
2015-07-13,304.950012,305.50,302.209991,304.160004,231300,304.160004
2015-07-10,300.459991,302.390015,296.579987,301.929993,384200,301.929993
2015-07-09,296.779999,298.170013,294.790009,295.440002,461900,295.440002
2015-07-08,296.029999,298.480011,293.149994,293.690002,475600,293.690002
2015-07-07,296.079987,299.730011,292.799988,298.959991,394000,298.959991
2015-07-06,293.679993,297.709991,291.100006,295.899994,373900,295.899994
2015-07-02,294.809998,296.269989,291.869995,295.720001,274800,295.720001
2015-07-01,294.070007,295.50,291.279999,292.859985,326100,292.859985
2015-06-30,294.049988,294.700012,289.380005,291.940002,467900,291.940002
2015-06-29,301.75,301.75,291.329987,291.450012,479600,291.450012
2015-06-26,304.25,304.25,301.48999,302.950012,738500,302.950012
2015-06-25,303.950012,306.100006,302.399994,303.970001,457500,303.970001
2015-06-24,304.200012,305.50,301.23999,303.390015,336800,303.390015
2015-06-23,306.26001,306.869995,302.679993,304.179993,322500,304.179993
2015-06-22,303.959991,307.100006,301.679993,305.50,410400,305.50
2015-06-19,300.619995,303.269989,298.809998,302.709991,412000,302.709991
2015-06-18,298.850006,301.950012,297.279999,301.269989,397500,301.269989
2015-06-17,297.540009,299.75,296.609985,297.700012,275500,297.700012
2015-06-16,299.660004,301.019989,297.160004,297.420013,307400,297.420013
2015-06-15,298.589996,300.809998,295.640015,299.459991,269200,299.459991
2015-06-12,300.00,303.00,299.470001,301.549988,324300,301.549988
2015-06-11,300.980011,302.820007,299.399994,300.630005,283800,300.630005
2015-06-10,294.230011,301.600006,293.480011,299.709991,382500,299.709991
2015-06-09,295.470001,297.579987,290.869995,293.529999,478300,293.529999
2015-06-08,295.809998,297.230011,292.440002,295.51001,498800,295.51001
2015-06-05,294.709991,297.670013,294.070007,295.420013,202900,295.420013
2015-06-04,297.399994,299.100006,294.670013,295.190002,320800,295.190002
2015-06-03,299.609985,301.26001,296.850006,299.00,519200,299.00
2015-06-02,297.00,299.769989,294.369995,298.220001,418100,298.220001
2015-06-01,298.829987,299.549988,296.049988,297.140015,350600,297.140015
2015-05-29,299.450012,301.269989,297.290009,298.029999,407400,298.029999
2015-05-28,301.01001,304.019989,299.429993,300.070007,405300,300.070007
2015-05-27,297.980011,302.459991,297.029999,302.279999,563600,302.279999
2015-05-26,300.209991,300.399994,296.100006,297.75,405900,297.75
2015-05-22,296.980011,301.690002,296.540009,300.309998,339600,300.309998
