Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,50.919998,51.099998,50.380001,50.580002,1672000,50.580002
2015-07-30,50.040001,50.68,49.50,50.599998,1888900,50.599998
2015-07-29,50.849998,51.110001,49.889999,50.09,2563400,50.09
2015-07-28,50.830002,51.060001,49.880001,50.889999,2404100,50.889999
2015-07-27,51.439999,51.50,50.950001,51.049999,1390600,51.049999
2015-07-24,52.32,52.610001,51.52,51.779999,1331500,51.779999
2015-07-23,52.00,52.950001,51.880001,52.349998,1698400,52.349998
2015-07-22,52.68,52.68,51.799999,52.00,1073500,52.00
2015-07-21,52.240002,52.77,51.93,52.119999,1502300,52.119999
2015-07-20,52.189999,52.41,51.810001,51.849998,1440900,51.849998
2015-07-17,52.400002,52.400002,51.84,52.189999,1925500,52.189999
2015-07-16,53.099998,53.240002,52.490002,52.50,1795100,52.50
2015-07-15,53.200001,53.48,52.459999,52.580002,2126500,52.580002
2015-07-14,52.790001,53.560001,52.650002,53.299999,1662100,53.299999
2015-07-13,53.00,53.259998,52.549999,52.84,1959600,52.84
2015-07-10,52.990002,53.009998,51.66,52.509998,6029000,52.509998
2015-07-09,53.07,53.529999,52.459999,52.459999,2745700,52.459999
2015-07-08,52.720001,53.07,52.23,52.48,3806800,52.48
2015-07-07,51.349998,53.77,51.25,53.290001,6125600,53.290001
2015-07-06,50.41,51.099998,50.200001,50.950001,2440100,50.950001
2015-07-02,50.43,50.939999,50.299999,50.830002,2769600,50.830002
2015-07-01,50.59,50.73,50.099998,50.389999,2854700,50.389999
2015-06-30,51.09,51.09,49.84,50.080002,3540800,50.080002
2015-06-29,51.43,51.619999,50.349998,50.41,2422400,50.41
2015-06-26,53.389999,53.439999,51.810001,52.200001,3601800,52.200001
2015-06-25,53.990002,54.09,53.259998,53.299999,1693000,53.299999
2015-06-24,53.990002,54.650002,53.73,53.91,1605900,53.91
2015-06-23,54.540001,54.700001,53.849998,54.09,1795200,54.09
2015-06-22,53.900002,54.77,53.860001,54.549999,2712100,54.549999
2015-06-19,54.200001,54.25,53.48,53.57,2213600,53.57
2015-06-18,53.73,54.310001,53.509998,54.169998,1496300,54.169998
2015-06-17,53.360001,53.84,53.189999,53.580002,1244000,53.580002
2015-06-16,53.23,53.77,53.169998,53.439999,1797700,53.439999
2015-06-15,52.959999,53.720001,52.689999,53.560001,1920100,53.560001
2015-06-12,54.290001,54.41,53.91,54.060001,1471500,54.060001
2015-06-11,54.200001,54.560001,53.990002,54.48,1976800,54.48
2015-06-10,54.240002,55.02,54.009998,54.970001,2379100,54.970001
2015-06-09,54.209999,54.299999,53.869999,53.919998,2288200,53.919998
2015-06-08,54.610001,54.77,54.200001,54.240002,2680900,54.240002
2015-06-05,53.82,54.639999,53.439999,54.610001,2549700,54.610001
2015-06-04,54.349998,54.759998,53.650002,53.73,2708700,53.73
2015-06-03,54.68,55.330002,54.400002,54.939999,2864600,54.939999
2015-06-02,54.18,54.880001,53.919998,54.349998,1927700,54.349998
2015-06-01,54.389999,54.700001,53.75,54.389999,2718000,54.389999
2015-05-29,54.439999,54.75,54.139999,54.150002,3203600,54.150002
2015-05-28,55.310001,55.689999,54.50,54.549999,2564600,54.549999
2015-05-27,54.939999,55.810001,54.810001,55.490002,2232500,55.490002
2015-05-26,56.23,56.23,54.509998,55.09,3737500,55.09
2015-05-22,57.439999,57.779999,56.380001,56.389999,2512900,56.389999
2015-05-21,57.389999,57.73,56.900002,57.509998,3404200,57.509998
2015-05-20,56.799999,58.470001,56.200001,57.580002,6977700,57.580002
2015-05-19,58.560001,58.650002,57.369999,57.52,5311100,57.52
2015-05-18,58.610001,58.759998,58.139999,58.400002,1869900,58.400002
2015-05-15,59.23,59.419998,58.669998,58.799999,1238100,58.799999
2015-05-14,59.029999,59.369999,58.470001,58.98,2658000,58.98
2015-05-13,56.939999,58.720001,56.799999,58.689999,2558700,58.689999
2015-05-12,57.23,57.419998,56.529999,56.799999,2593700,56.799999
2015-05-11,57.23,57.970001,57.139999,57.450001,1270700,57.450001
2015-05-08,57.009998,57.759998,56.73,57.27,1550000,57.27
2015-05-07,56.139999,56.689999,55.919998,56.349998,1145800,56.349998
2015-05-06,57.110001,57.369999,55.77,56.189999,1181400,56.189999
2015-05-05,57.380001,57.669998,56.540001,56.740002,1178400,56.740002
2015-05-04,57.650002,58.169998,57.419998,57.759998,1755100,57.759998
2015-05-01,57.110001,57.68,56.75,57.59,2038600,57.59
2015-04-30,58.900002,58.919998,56.380001,56.830002,5330000,56.830002
2015-04-29,60.369999,60.970001,59.049999,59.540001,2293100,59.540001
2015-04-28,60.639999,61.220001,60.200001,60.66,1789300,60.66
2015-04-27,62.00,62.169998,60.349998,60.599998,3421600,60.599998
2015-04-24,62.950001,62.950001,62.110001,62.639999,1082900,62.639999
2015-04-23,61.869999,63.209999,61.84,62.75,1384400,62.75
2015-04-22,61.869999,62.23,61.360001,62.130001,1096300,62.130001
2015-04-21,61.380001,61.82,61.189999,61.610001,1399600,61.610001
2015-04-20,60.82,61.330002,60.619999,61.040001,1322200,61.040001
2015-04-17,61.009998,61.119999,59.68,60.349998,1911300,60.349998
2015-04-16,61.18,61.759998,60.860001,61.66,1067100,61.66
2015-04-15,62.119999,62.419998,61.259998,61.509998,2258000,61.509998
2015-04-14,61.950001,62.330002,61.419998,62.009998,2309300,62.009998
2015-04-13,62.740002,63.00,61.75,61.77,1221000,61.77
2015-04-10,62.490002,63.09,62.040001,62.740002,961300,62.740002
2015-04-09,62.189999,62.869999,61.799999,62.810001,2030400,62.810001
2015-04-08,60.889999,61.959999,60.779999,61.830002,2249500,61.830002
2015-04-07,59.810001,61.139999,59.470001,60.689999,2002700,60.689999
2015-04-06,59.259998,60.029999,58.869999,59.709999,2329500,59.709999
2015-04-02,58.790001,60.07,58.490002,59.82,2533800,59.82
2015-04-01,57.68,59.060001,57.209999,58.740002,3443000,58.740002
2015-03-31,58.360001,59.400002,58.360001,58.639999,2882600,58.639999
2015-03-30,58.860001,59.369999,58.720001,59.299999,4320700,59.299999
2015-03-27,58.650002,59.32,58.48,58.720001,2385000,58.720001
2015-03-26,58.700001,59.380001,58.459999,58.720001,1902900,58.720001
2015-03-25,60.950001,61.040001,59.349998,59.349998,1932400,59.349998
2015-03-24,60.68,61.439999,60.43,61.07,1314600,61.07
2015-03-23,60.950001,61.380001,60.75,60.830002,1200500,60.830002
2015-03-20,61.450001,61.490002,60.869999,60.98,3533900,60.98
2015-03-19,61.599998,61.830002,60.939999,61.00,1786300,61.00
2015-03-18,60.93,61.970001,60.630001,61.630001,3138400,61.630001
2015-03-17,61.200001,61.619999,61.169998,61.43,1184500,61.43
2015-03-16,60.68,61.639999,60.68,61.50,1421300,61.50
2015-03-13,59.880001,60.57,59.41,60.48,1952400,60.48
2015-03-12,60.02,60.439999,59.810001,60.139999,1841100,60.139999
2015-03-11,59.880001,60.669998,59.700001,59.880001,2505600,59.880001
2015-03-10,61.02,61.189999,59.52,59.639999,2789300,59.639999
2015-03-09,61.650002,62.240002,61.509998,61.759998,1226600,61.759998
2015-03-06,62.259998,62.68,61.360001,61.740002,1716500,61.740002
2015-03-05,62.50,63.150002,61.990002,62.950001,2201400,62.950001
2015-03-04,62.48,62.689999,61.130001,62.52,2588800,62.52
2015-03-03,63.470001,63.959999,62.669998,62.700001,3196100,62.700001
2015-03-02,64.050003,64.720001,63.650002,64.00,2927600,64.00
2015-02-27,63.049999,65.00,62.59,64.239998,5326400,64.239998
2015-02-26,62.09,62.950001,60.689999,61.009998,3911000,61.009998
2015-02-25,62.150002,62.57,61.82,62.009998,1788100,62.009998
2015-02-24,61.889999,62.25,61.509998,62.07,1479600,62.07
2015-02-23,62.419998,62.419998,61.380001,61.950001,1858200,61.950001
2015-02-20,61.16,62.41,60.959999,62.369999,1798000,62.369999
2015-02-19,61.150002,61.900002,61.080002,61.459999,2167200,61.459999
2015-02-18,60.799999,61.50,60.50,61.110001,2517100,61.110001
2015-02-17,60.580002,61.139999,60.299999,61.130001,1464200,61.130001
2015-02-13,59.240002,60.759998,59.099998,60.669998,2028500,60.669998
2015-02-12,58.689999,59.099998,58.43,59.07,855500,59.07
2015-02-11,58.349998,58.84,58.139999,58.299999,1344600,58.299999
2015-02-10,57.630001,58.740002,57.630001,58.50,1958700,58.50
2015-02-09,56.830002,57.759998,56.82,57.34,1435300,57.34
2015-02-06,56.490002,57.75,56.290001,57.07,1477200,57.07
2015-02-05,56.450001,56.57,55.860001,56.23,1672500,56.23
