Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,114.629997,114.980003,112.690002,112.970001,2874200,112.970001
2015-07-30,114.360001,114.639999,112.360001,114.150002,2650200,114.150002
2015-07-29,112.519997,112.940002,111.120003,112.599998,2665400,112.599998
2015-07-28,110.809998,112.370003,109.900002,112.309998,3173000,112.309998
2015-07-27,109.269997,110.550003,107.949997,110.230003,3781000,110.230003
2015-07-24,111.620003,111.949997,109.730003,110.00,3223400,110.00
2015-07-23,114.160004,114.239998,111.57,112.050003,2854000,112.050003
2015-07-22,111.50,114.230003,111.019997,113.879997,4433900,113.879997
2015-07-21,111.50,112.559998,109.110001,111.550003,3933700,111.550003
2015-07-20,113.129997,113.139999,111.040001,111.599998,2890400,111.599998
2015-07-17,112.760002,113.480003,111.260002,112.919998,4297700,112.919998
2015-07-16,115.660004,115.959999,112.809998,112.910004,4819400,112.910004
2015-07-15,115.790001,117.010002,114.919998,115.480003,2915600,115.480003
2015-07-14,113.300003,115.970001,113.209999,115.75,3266700,115.75
2015-07-13,115.900002,116.269997,112.370003,114.019997,5353900,113.769995
2015-07-10,114.019997,114.800003,112.57,114.599998,4734700,114.348725
2015-07-09,115.730003,116.510002,112.559998,112.669998,5282400,112.422956
2015-07-08,114.879997,115.93,112.669998,112.669998,5307900,112.422956
2015-07-07,117.720001,118.199997,112.639999,115.330002,9847000,115.077127
2015-07-06,117.809998,120.760002,115.559998,117.43,16434100,117.172521
2015-07-02,129.410004,129.740005,125.449997,125.510002,3168500,125.234807
2015-07-01,128.949997,129.360001,127.25,128.899994,2452300,128.617366
2015-06-30,128.320007,128.710007,127.25,127.459999,2397500,127.180528
2015-06-29,128.589996,129.479996,127.040001,127.279999,3185600,127.000923
2015-06-26,132.830002,134.399994,130.050003,130.050003,5583300,129.764853
2015-06-25,127.660004,133.050003,126.730003,132.600006,8858700,132.309265
2015-06-24,127.099998,128.639999,125.900002,127.510002,8226400,127.230422
2015-06-23,128.289993,128.75,126.470001,128.199997,6173300,127.918904
2015-06-22,127.910004,130.169998,127.599998,128.050003,7391400,127.769239
2015-06-19,124.370003,124.669998,123.849998,124.07,2070300,123.797962
2015-06-18,124.059998,125.389999,124.019997,124.50,2122900,124.227019
2015-06-17,125.769997,126.839996,123.449997,123.860001,2797600,123.588423
2015-06-16,124.879997,128.649994,123.120003,124.970001,6827900,124.69599
2015-06-15,115.309998,124.199997,114.75,121.010002,6380900,120.744674
2015-06-12,117.230003,117.449997,115.760002,115.870003,1746000,115.615944
2015-06-11,118.209999,118.589996,117.730003,117.949997,1674900,117.691378
2015-06-10,117.080002,118.529999,116.980003,117.940002,1590200,117.681405
2015-06-09,116.349998,117.489998,115.940002,117.239998,2060400,116.982936
2015-06-08,117.00,117.800003,115.980003,116.00,1350100,115.745656
2015-06-05,115.580002,117.160004,115.010002,116.860001,1441400,116.603771
2015-06-04,116.010002,116.949997,115.449997,115.980003,1908800,115.725704
2015-06-03,117.870003,118.139999,115.760002,116.949997,3102200,116.69357
2015-06-02,119.239998,119.50,116.889999,117.330002,2630000,117.072742
2015-06-01,118.059998,120.190002,117.910004,119.620003,3900700,119.357722
2015-05-29,116.470001,120.150002,114.470001,117.970001,5255400,117.711338
2015-05-28,115.349998,116.559998,114.980003,116.389999,1903100,116.134801
2015-05-27,115.00,115.839996,114.040001,115.209999,1481500,114.957388
2015-05-26,114.699997,114.839996,113.730003,113.879997,1698700,113.630302
2015-05-22,114.309998,115.760002,113.889999,114.519997,1740100,114.268898
2015-05-21,114.00,114.860001,113.800003,114.690002,1089900,114.438531
2015-05-20,114.120003,114.760002,113.720001,114.400002,1753200,114.149166
2015-05-19,113.989998,114.620003,113.809998,114.089996,1272900,113.839841
2015-05-18,112.610001,113.889999,112.150002,113.730003,1516900,113.480637
2015-05-15,111.970001,112.75,111.57,112.739998,1641100,112.492802
2015-05-14,110.889999,111.559998,110.599998,111.480003,1203900,111.23557
2015-05-13,110.169998,111.00,109.660004,109.790001,1589200,109.549274
2015-05-12,108.730003,111.120003,108.660004,110.080002,1638600,109.838639
2015-05-11,109.150002,110.279999,109.010002,109.300003,1090600,109.06035
2015-05-08,108.849998,109.830002,108.620003,109.260002,1279500,109.020437
2015-05-07,107.00,108.720001,107.00,107.889999,1415100,107.653438
2015-05-06,107.989998,108.339996,106.629997,107.370003,1210200,107.134582
2015-05-05,108.599998,108.849998,106.870003,107.199997,1922600,106.964948
2015-05-04,108.68,109.82,108.550003,109.190002,1819000,108.950591
2015-05-01,107.860001,108.550003,107.150002,108.470001,1885800,108.232168
2015-04-30,108.00,108.709999,106.68,106.870003,3162900,106.635678
2015-04-29,109.949997,110.50,106.730003,108.010002,2771600,107.773178
2015-04-28,108.809998,111.080002,106.720001,110.379997,3546800,110.137976
2015-04-27,109.059998,109.360001,106.790001,106.919998,2134400,106.685564
2015-04-24,108.599998,109.010002,108.230003,108.82,1267500,108.581399
2015-04-23,107.800003,109.099998,107.519997,108.900002,1150600,108.661226
2015-04-22,108.330002,108.75,107.239998,107.949997,2347100,107.713304
2015-04-21,107.690002,108.629997,107.57,108.360001,1537500,108.122409
2015-04-20,108.160004,108.68,107.190002,107.25,1381700,107.014842
2015-04-17,108.519997,108.790001,106.769997,107.720001,1766800,107.483813
2015-04-16,108.220001,109.650002,108.220001,109.43,2874200,109.190062
2015-04-15,108.559998,108.57,105.440002,106.080002,2528600,105.847409
2015-04-14,107.919998,108.230003,107.00,107.879997,1025600,107.643458
2015-04-13,108.129997,109.139999,107.660004,107.690002,1247400,107.45388
2015-04-10,108.00,108.00,107.139999,107.910004,915800,107.673398
2015-04-09,107.019997,108.129997,107.00,107.720001,1530600,107.483813
2015-04-08,107.18,108.07,106.650002,107.459999,1236500,107.224381
2015-04-07,108.489998,108.889999,106.779999,106.790001,1637500,106.555851
2015-04-06,106.550003,108.040001,106.300003,107.830002,1655400,107.344121
2015-04-02,107.110001,107.860001,106.550003,107.150002,1184700,106.667184
2015-04-01,106.660004,106.870003,104.93,106.870003,2027400,106.388447
2015-03-31,107.919998,108.18,106.510002,106.529999,2578900,106.049975
2015-03-30,109.029999,109.349998,107.959999,108.57,1635700,108.080784
2015-03-27,106.300003,107.970001,106.269997,107.400002,1611800,106.916058
2015-03-26,106.720001,107.120003,105.360001,105.910004,2535800,105.432774
2015-03-25,108.989998,109.769997,107.230003,107.290001,2571700,106.806553
2015-03-24,109.419998,109.599998,108.599998,108.739998,2261800,108.250016
2015-03-23,108.50,109.900002,108.449997,109.260002,2902200,108.767677
2015-03-20,108.699997,109.120003,107.940002,108.629997,2457400,108.140511
2015-03-19,108.00,108.970001,107.25,108.309998,2449000,107.821954
2015-03-18,105.330002,107.870003,105.129997,107.480003,2782700,106.995699
2015-03-17,105.220001,105.50,104.360001,105.400002,2401300,104.92507
2015-03-16,104.739998,106.75,104.50,106.07,2827800,105.592049
2015-03-13,102.00,104.199997,101.32,104.089996,2992600,103.620968
2015-03-12,100.800003,102.349998,100.57,102.120003,2286200,101.659851
2015-03-11,100.290001,100.940002,99.849998,100.040001,1627200,99.589221
2015-03-10,100.400002,100.760002,99.550003,100.160004,2335000,99.708683
2015-03-09,100.620003,101.739998,100.599998,101.529999,1330200,101.072505
2015-03-06,101.769997,101.900002,100.290001,100.669998,2293900,100.21638
2015-03-05,101.730003,102.629997,101.370003,102.089996,2967300,101.62998
2015-03-04,99.440002,102.00,98.779999,101.75,4275200,101.291515
2015-03-03,100.169998,100.330002,99.029999,99.790001,3398200,99.340348
2015-03-02,99.550003,100.800003,99.470001,100.50,2529300,100.047148
2015-02-27,99.389999,99.919998,99.099998,99.550003,2486000,99.101432
2015-02-26,99.459999,99.919998,99.080002,99.309998,1171500,98.862508
2015-02-25,100.269997,100.480003,99.220001,99.519997,1435600,99.07156
2015-02-24,100.860001,101.980003,100.059998,100.169998,2207100,99.718633
2015-02-23,98.00,100.760002,98.00,100.68,2587400,100.226337
2015-02-20,96.400002,98.120003,96.199997,97.919998,1705500,97.478771
2015-02-19,96.769997,97.489998,96.220001,96.639999,1214500,96.20454
2015-02-18,96.269997,96.959999,95.610001,96.889999,2334500,96.453414
2015-02-17,96.089996,96.620003,95.589996,96.620003,1515600,96.184634
2015-02-13,96.580002,96.889999,95.82,96.120003,1504600,95.686887
2015-02-12,97.160004,97.160004,95.989998,97.080002,1513800,96.64256
2015-02-11,95.489998,96.75,95.379997,96.459999,1841000,96.025351
2015-02-10,94.150002,95.949997,94.040001,95.75,1900600,95.318551
2015-02-09,94.18,94.599998,93.379997,93.739998,1696000,93.317606
2015-02-06,96.339996,96.790001,94.160004,94.540001,3540700,94.114004
2015-02-05,96.129997,97.709999,96.010002,96.589996,3461400,96.154763
2015-02-04,93.760002,96.900002,93.00,96.050003,3873300,95.617203
2015-02-03,93.010002,94.269997,91.830002,94.18,2561700,93.755626
2015-02-02,92.010002,92.910004,90.199997,92.220001,2817600,91.804459
2015-01-30,92.970001,93.599998,91.639999,91.82,2048600,91.40626
2015-01-29,92.949997,93.779999,91.949997,93.610001,1347700,93.188195
2015-01-28,94.480003,94.709999,92.559998,92.690002,2094900,92.272342
2015-01-27,93.610001,94.300003,93.160004,93.699997,1520800,93.277786
2015-01-26,94.25,94.580002,93.32,94.239998,1821700,93.815353
2015-01-23,95.940002,96.25,94.440002,94.480003,2000200,94.054277
2015-01-22,95.519997,96.150002,94.029999,96.110001,2257800,95.67693
2015-01-21,92.790001,95.080002,91.980003,94.739998,2762400,94.3131
2015-01-20,92.650002,92.900002,91.190002,91.980003,2337300,91.565542
2015-01-16,90.470001,92.639999,90.279999,92.559998,2982200,92.142923
2015-01-15,90.610001,91.110001,90.00,90.50,2415700,90.092208
2015-01-14,89.50,90.900002,88.699997,89.889999,2807300,89.484956
2015-01-13,90.480003,92.029999,89.580002,90.330002,3302200,89.922976
2015-01-12,91.400002,91.610001,89.169998,89.519997,3646300,88.867748
2015-01-09,92.029999,92.480003,91.00,91.040001,1915900,90.376677
2015-01-08,90.290001,92.529999,90.290001,92.389999,2881600,91.716839
2015-01-07,88.419998,89.550003,88.260002,89.489998,2148500,88.837967
2015-01-06,88.010002,88.730003,87.480003,87.730003,2976900,87.090796
2015-01-05,88.139999,88.830002,87.25,87.599998,2343100,86.961739
2015-01-02,89.709999,90.150002,87.870003,88.800003,1406600,88.153
2014-12-31,90.209999,91.050003,88.779999,88.830002,1068500,88.18278
2014-12-30,89.440002,90.57,89.440002,90.139999,1009600,89.483233
2014-12-29,89.68,90.190002,89.019997,89.75,912300,89.096075
2014-12-26,89.730003,90.269997,89.510002,89.839996,803600,89.185416
2014-12-24,89.709999,89.879997,89.360001,89.589996,549000,88.937237
2014-12-23,91.010002,91.010002,89.00,89.449997,1506100,88.798258
2014-12-22,90.790001,91.059998,90.169998,90.410004,1439900,89.75127
2014-12-19,90.709999,91.870003,90.379997,90.839996,4197100,90.17813
2014-12-18,88.389999,90.129997,87.879997,90.129997,2643500,89.473304
2014-12-17,86.260002,87.50,85.830002,87.18,2742300,86.544801
2014-12-16,86.510002,87.669998,85.620003,85.639999,2196100,85.01602
2014-12-15,88.07,88.489998,85.910004,86.669998,2147600,86.038514
2014-12-12,87.709999,89.040001,87.260002,87.300003,2401600,86.663929
2014-12-11,87.00,89.25,86.309998,88.120003,2276600,87.477954
2014-12-10,89.419998,89.470001,87.599998,87.669998,1954500,87.031228
2014-12-09,88.830002,89.879997,88.790001,89.559998,1949200,88.907457
2014-12-08,90.550003,91.25,89.580002,90.120003,1891800,89.463382
2014-12-05,89.410004,90.669998,89.209999,90.620003,2065200,89.959739
2014-12-04,89.400002,89.68,88.360001,89.190002,2576700,88.540158
2014-12-03,88.410004,89.82,88.410004,89.68,2429200,89.026585
2014-12-02,87.589996,88.449997,87.360001,88.339996,2954200,87.696345
2014-12-01,87.699997,88.00,86.879997,87.540001,2354400,86.902178
2014-11-28,87.099998,87.849998,87.089996,87.239998,819300,86.604361
2014-11-26,86.889999,87.309998,86.510002,86.910004,1348500,86.276771
2014-11-25,86.910004,87.410004,86.510002,86.610001,2055600,85.978954
2014-11-24,86.610001,87.370003,85.900002,86.940002,1674800,86.306551
2014-11-21,86.800003,87.139999,86.260002,86.360001,2334200,85.730775
2014-11-20,85.080002,86.300003,84.919998,85.849998,2137100,85.224489
2014-11-19,87.029999,87.050003,85.449997,85.550003,1841500,84.92668
2014-11-18,86.25,88.110001,86.25,87.160004,2534400,86.52495
2014-11-17,83.809998,86.269997,83.75,86.220001,2891600,85.591796
2014-11-14,84.599998,84.769997,83.529999,83.809998,1539000,83.199352
2014-11-13,84.550003,84.980003,83.989998,84.559998,1653500,83.943887
2014-11-12,83.970001,84.720001,83.360001,84.519997,1797700,83.904178
2014-11-11,83.949997,84.849998,83.760002,84.50,1685100,83.884327
2014-11-10,82.43,84.019997,82.43,84.019997,1885800,83.407821
2014-11-07,84.209999,84.739998,81.93,82.290001,3375700,81.69043
2014-11-06,84.470001,85.00,84.150002,84.699997,1448900,84.082867
2014-11-05,84.360001,84.699997,83.900002,84.260002,2629000,83.646078
2014-11-04,82.190002,84.050003,82.120003,83.709999,3518900,83.100082
2014-11-03,82.779999,83.50,82.00,82.25,1961700,81.650721
2014-10-31,81.379997,82.550003,81.010002,82.510002,3498500,81.908828
2014-10-30,79.720001,81.379997,79.43,80.599998,2921300,80.012741
2014-10-29,77.559998,80.099998,77.559998,79.75,4033800,79.168936
2014-10-28,78.449997,78.489998,76.169998,77.230003,6559100,76.6673
2014-10-27,78.529999,79.650002,78.529999,79.18,2946700,78.603089
2014-10-24,79.00,79.099998,77.919998,78.690002,2034700,78.116661
2014-10-23,78.980003,79.300003,78.519997,78.75,1876000,78.176222
2014-10-22,78.82,79.209999,77.699997,78.089996,2457900,77.521027
2014-10-21,77.260002,78.589996,77.160004,78.389999,2340400,77.818844
2014-10-20,75.410004,76.50,75.339996,76.449997,2112600,75.892977
2014-10-17,74.419998,76.330002,74.110001,75.389999,3877900,74.840702
2014-10-16,73.699997,75.419998,72.57,73.43,5204800,72.894984
2014-10-15,72.839996,74.459999,71.809998,73.57,5439300,73.033963
2014-10-14,76.410004,76.580002,73.059998,73.980003,5506000,73.44098
2014-10-13,77.620003,78.410004,76.349998,76.43,1919300,75.649766
2014-10-10,78.839996,79.279999,77.639999,77.660004,2613900,76.867212
2014-10-09,79.889999,80.309998,78.230003,78.620003,2273300,77.817411
2014-10-08,78.050003,80.080002,77.809998,80.029999,2510900,79.213014
2014-10-07,78.910004,79.489998,77.970001,78.010002,2926900,77.213638
2014-10-06,82.040001,82.160004,79.080002,79.169998,3137600,78.361792
2014-10-03,80.239998,81.830002,79.709999,81.489998,2707400,80.658108
2014-10-02,79.790001,79.949997,78.349998,79.389999,2269900,78.579548
2014-10-01,81.199997,81.199997,79.50,79.82,2101800,79.005158
2014-09-30,81.510002,81.940002,80.949997,81.00,2138500,80.173113
2014-09-29,81.379997,81.839996,81.139999,81.339996,1972900,80.509638
2014-09-26,82.360001,82.57,81.269997,82.029999,1634300,81.192597
2014-09-25,83.519997,83.620003,81.889999,82.059998,1791000,81.222289
2014-09-24,82.160004,83.800003,82.139999,83.75,1656000,82.895039
2014-09-23,82.779999,83.199997,81.949997,82.120003,1512000,81.281682
2014-09-22,82.959999,83.739998,82.550003,83.050003,1837900,82.202188
2014-09-19,84.540001,84.629997,83.550003,83.690002,1899400,82.835654
2014-09-18,83.370003,84.050003,83.220001,83.910004,1175900,83.053409
2014-09-17,83.459999,83.940002,82.540001,83.150002,1740800,82.301166
2014-09-16,82.110001,83.470001,81.849998,83.349998,1552300,82.499121
2014-09-15,82.300003,82.860001,81.980003,82.120003,1476200,81.281682
2014-09-12,83.760002,83.760002,82.00,82.199997,2293400,81.360859
2014-09-11,83.970001,84.169998,82.970001,83.690002,2484900,82.835654
2014-09-10,84.82,84.82,83.519997,84.410004,2224000,83.548305
2014-09-09,84.150002,84.949997,84.00,84.940002,2428100,84.072893
2014-09-08,83.860001,84.029999,83.25,83.949997,1210200,83.092994
2014-09-05,83.00,84.110001,82.849998,83.940002,1525700,83.083102
2014-09-04,82.550003,84.150002,82.449997,82.970001,2047500,82.123003
2014-09-03,82.300003,82.800003,82.150002,82.43,1918700,81.588515
2014-09-02,82.660004,82.739998,81.040001,81.93,2392400,81.093619
2014-08-29,82.07,83.220001,82.010002,82.129997,2612600,81.291574
2014-08-28,80.760002,82.279999,80.760002,81.919998,2244400,81.083719
2014-08-27,80.279999,81.510002,80.18,81.110001,2290500,80.28199
2014-08-26,79.080002,80.190002,79.00,80.099998,1719100,79.282299
2014-08-25,79.370003,79.43,78.610001,78.949997,1411100,78.144037
2014-08-22,79.330002,79.489998,78.739998,78.769997,1436400,77.965874
2014-08-21,79.580002,79.739998,79.059998,79.349998,1423300,78.539955
2014-08-20,79.059998,79.610001,78.629997,79.510002,1374700,78.698325
2014-08-19,78.089996,79.279999,77.620003,79.120003,1932400,78.312307
2014-08-18,78.029999,78.169998,77.120003,78.040001,1417700,77.243331
2014-08-15,77.779999,77.900002,76.709999,77.720001,1840700,76.926598
2014-08-14,77.110001,77.68,76.709999,77.639999,1773200,76.847412
2014-08-13,76.209999,77.220001,75.699997,77.059998,2216300,76.273332
2014-08-12,75.550003,76.040001,75.230003,75.43,3533400,74.659974
2014-08-11,76.760002,77.040001,75.650002,75.830002,2244300,75.055892
2014-08-08,75.599998,76.860001,75.07,76.739998,2284000,75.956599
2014-08-07,77.459999,77.610001,74.809998,75.220001,4083400,74.452119
2014-08-06,78.400002,78.879997,78.07,78.32,3114500,77.520471
2014-08-05,79.480003,79.779999,78.050003,78.459999,2069300,77.659041
