Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,46.470001,46.639999,45.700001,45.860001,5068400,45.860001
2015-07-30,46.580002,47.18,45.959999,46.48,4819400,46.48
2015-07-29,46.34,47.59,46.07,46.790001,6681000,46.790001
2015-07-28,44.799999,47.07,44.290001,46.470001,7635300,46.470001
2015-07-27,44.279999,45.290001,43.84,44.509998,5822400,44.509998
2015-07-24,47.200001,47.25,45.029999,45.080002,4703400,45.080002
2015-07-23,47.34,47.50,46.32,47.349998,4511100,47.349998
2015-07-22,47.32,47.700001,46.619999,47.32,4780900,47.32
2015-07-21,48.900002,49.439999,47.369999,47.529999,5201800,47.529999
2015-07-20,50.299999,50.540001,48.50,48.619999,5746700,48.619999
2015-07-17,52.25,52.25,50.57,50.639999,4859200,50.389999
2015-07-16,53.849998,53.900002,52.52,52.669998,2780900,52.409976
2015-07-15,54.119999,54.349998,53.119999,53.48,3972400,53.215979
2015-07-14,53.00,54.529999,52.82,54.389999,3263100,54.121486
2015-07-13,52.900002,53.439999,52.50,53.259998,2953400,52.997064
2015-07-10,54.220001,54.740002,52.790001,52.939999,3178700,52.678644
2015-07-09,54.599998,54.970001,53.82,53.830002,2464600,53.564253
2015-07-08,55.16,55.939999,53.110001,53.459999,2863900,53.196077
2015-07-07,55.16,55.990002,53.75,55.700001,3716200,55.42502
2015-07-06,55.66,56.689999,55.150002,55.50,2878600,55.226007
2015-07-02,56.200001,56.990002,56.110001,56.779999,2303100,56.499686
2015-07-01,57.639999,58.849998,55.82,56.080002,3080500,55.803145
2015-06-30,57.790001,57.959999,57.150002,57.630001,2885600,57.345492
2015-06-29,57.43,57.970001,56.900002,57.209999,3474200,56.927564
2015-06-26,57.830002,58.529999,57.240002,58.48,3806900,58.191295
2015-06-25,58.779999,59.00,57.610001,57.799999,2640700,57.514651
2015-06-24,58.900002,59.400002,58.50,58.709999,2996600,58.420159
2015-06-23,57.709999,58.93,57.50,58.849998,3594300,58.559467
2015-06-22,56.75,57.630001,56.200001,57.529999,3742800,57.245984
2015-06-19,57.07,57.439999,56.060001,56.540001,4779200,56.260873
2015-06-18,58.029999,58.400002,57.130001,57.23,2297300,56.947466
2015-06-17,59.669998,60.130001,57.50,57.669998,3356400,57.385292
2015-06-16,57.779999,59.09,57.700001,59.049999,2198300,58.75848
2015-06-15,57.560001,59.029999,57.41,57.970001,2773800,57.683814
2015-06-12,57.799999,58.27,57.490002,58.18,3502000,57.892776
