Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,5.53,5.71,5.47,5.67,13124000,5.67
2015-07-30,5.53,5.56,5.39,5.51,7806800,5.51
2015-07-29,5.33,5.44,5.27,5.38,7967000,5.38
2015-07-28,5.28,5.36,5.16,5.35,8663700,5.35
2015-07-27,5.40,5.41,5.24,5.25,5116000,5.25
2015-07-24,5.64,5.66,5.42,5.43,9304700,5.43
2015-07-23,5.63,5.67,5.59,5.65,7036300,5.65
2015-07-22,5.61,5.70,5.54,5.60,4828400,5.60
2015-07-21,5.58,5.70,5.57,5.65,5718000,5.65
2015-07-20,5.70,5.73,5.53,5.60,4284000,5.60
2015-07-17,5.78,5.79,5.67,5.69,5789300,5.69
2015-07-16,5.80,5.93,5.76,5.79,6315300,5.79
2015-07-15,5.99,6.00,5.75,5.80,6893800,5.80
2015-07-14,6.08,6.11,5.93,5.94,15120800,5.94
2015-07-13,5.96,6.08,5.91,6.02,7808800,6.02
2015-07-10,6.01,6.06,5.89,5.90,7987600,5.90
2015-07-09,6.12,6.29,5.96,5.97,8029900,5.97
2015-07-08,6.22,6.29,5.99,6.00,5559500,6.00
2015-07-07,6.15,6.31,5.97,6.28,9717200,6.28
2015-07-06,6.16,6.27,6.11,6.17,4378100,6.17
2015-07-02,6.37,6.46,6.24,6.26,5095400,6.26
2015-07-01,6.31,6.37,6.27,6.34,6029900,6.34
2015-06-30,6.46,6.48,6.23,6.26,9775200,6.26
2015-06-29,6.56,6.68,6.37,6.38,8184800,6.38
2015-06-26,6.74,6.77,6.61,6.66,10229300,6.66
2015-06-25,6.78,6.83,6.72,6.76,4210900,6.76
2015-06-24,7.00,7.00,6.72,6.78,5714500,6.78
2015-06-23,6.79,7.09,6.79,7.00,6206600,7.00
2015-06-22,6.82,6.84,6.69,6.80,5193700,6.80
2015-06-19,6.80,6.94,6.75,6.77,5321700,6.77
2015-06-18,6.79,6.85,6.73,6.81,6209800,6.81
2015-06-17,6.65,6.78,6.58,6.76,4306700,6.76
2015-06-16,6.65,6.71,6.53,6.64,4711000,6.64
2015-06-15,6.78,6.81,6.59,6.63,7506600,6.63
2015-06-12,6.88,6.95,6.79,6.88,7625600,6.88
2015-06-11,6.81,6.96,6.78,6.94,7038700,6.94
2015-06-10,6.84,6.92,6.75,6.80,6200800,6.80
2015-06-09,6.82,6.94,6.72,6.80,6961000,6.80
2015-06-08,6.60,6.86,6.53,6.81,13284200,6.81
2015-06-05,6.45,6.82,6.36,6.71,15441100,6.71
2015-06-04,6.44,6.53,6.34,6.41,9673300,6.41
2015-06-03,6.61,6.61,6.47,6.49,5790600,6.49
2015-06-02,6.47,6.62,6.46,6.56,6512400,6.56
2015-06-01,6.74,6.79,6.42,6.68,12085900,6.68
2015-05-29,6.65,6.86,6.60,6.72,25138000,6.72
2015-05-28,6.66,6.68,6.55,6.64,7553800,6.64
2015-05-27,6.90,6.90,6.61,6.70,20253100,6.70
2015-05-26,7.01,7.06,6.84,6.88,15863100,6.88
2015-05-22,6.91,7.09,6.85,7.02,10413100,7.02
2015-05-21,6.76,6.94,6.72,6.91,8112200,6.91
2015-05-20,7.02,7.05,6.76,6.79,10937200,6.79
2015-05-19,7.20,7.20,6.94,6.99,10887700,6.99
2015-05-18,6.97,7.19,6.90,7.18,9895200,7.18
2015-05-15,6.86,7.16,6.84,6.96,21725500,6.96
2015-05-14,6.71,8.00,6.55,7.07,69571000,7.07
2015-05-13,6.74,6.87,6.64,6.67,12700800,6.67
2015-05-12,6.96,6.97,6.74,6.76,10878700,6.76
2015-05-11,7.20,7.23,7.04,7.06,5084800,7.00
2015-05-08,7.16,7.24,6.94,7.21,7222100,7.148725
2015-05-07,7.05,7.25,6.95,7.02,7740200,6.96034
2015-05-06,7.21,7.33,6.97,7.07,13559000,7.009915
2015-05-05,8.17,8.21,7.09,7.20,23292300,7.13881
2015-05-04,8.11,8.27,7.96,8.17,16307300,8.100566
2015-05-01,8.17,8.32,7.92,8.16,17271800,8.090651
2015-04-30,8.57,8.60,7.79,8.17,28344700,8.100566
2015-04-29,8.73,8.79,8.64,8.67,10205400,8.596317
2015-04-28,9.06,9.13,8.77,8.78,9895200,8.705382
2015-04-27,9.00,9.15,8.93,9.11,13885300,9.032577
2015-04-24,8.99,9.04,8.91,9.02,8652700,8.943343
2015-04-23,8.79,9.00,8.74,8.99,6921900,8.913597
2015-04-22,8.90,8.92,8.70,8.81,10623600,8.735128
2015-04-21,8.73,8.92,8.62,8.88,18855000,8.804532
2015-04-20,8.81,8.85,8.57,8.66,6937200,8.586402
2015-04-17,8.76,8.89,8.59,8.74,11203100,8.665722
2015-04-16,8.88,8.98,8.64,8.80,14228600,8.725212
2015-04-15,9.10,9.18,8.85,8.94,21481000,8.864022
2015-04-14,7.99,9.47,7.90,9.15,33439500,9.072237
2015-04-13,8.01,8.10,7.79,8.01,5949100,7.941926
2015-04-10,8.06,8.16,7.86,7.90,4993900,7.832861
2015-04-09,8.18,8.25,7.97,8.05,4193700,7.981586
2015-04-08,8.17,8.30,7.99,8.18,6504100,8.110482
2015-04-07,8.43,8.44,8.15,8.18,7158400,8.110482
2015-04-06,7.86,8.55,7.83,8.43,11615600,8.358357
2015-04-02,7.86,7.98,7.82,7.97,6357500,7.902266
2015-04-01,8.03,8.19,7.84,7.85,12000800,7.783286
2015-03-31,7.86,8.02,7.83,7.99,10352600,7.922096
2015-03-30,7.91,7.97,7.86,7.90,5496900,7.832861
2015-03-27,7.92,8.09,7.74,7.87,7263900,7.803116
2015-03-26,7.89,8.07,7.85,7.90,11556300,7.832861
2015-03-25,8.25,8.25,7.93,7.93,10635800,7.862606
2015-03-24,7.96,8.39,7.94,8.25,17782000,8.179886
