Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,76.389999,76.669998,75.989998,76.059998,6290400,76.059998
2015-07-30,75.790001,76.209999,75.639999,76.120003,4744200,76.120003
2015-07-29,75.110001,76.010002,74.919998,75.699997,4537600,75.699997
2015-07-28,75.120003,75.57,74.370003,75.110001,5439400,75.110001
2015-07-27,75.440002,75.599998,74.300003,74.919998,9818000,74.919998
2015-07-24,76.650002,77.150002,75.68,75.900002,8626900,75.900002
2015-07-23,77.699997,77.949997,76.129997,77.010002,12216100,77.010002
2015-07-22,78.800003,79.190002,78.599998,78.989998,4272900,78.989998
2015-07-21,79.199997,79.410004,78.449997,78.949997,3933400,78.949997
2015-07-20,79.199997,79.629997,79.18,79.300003,3517700,79.300003
2015-07-17,78.739998,79.25,78.650002,79.220001,3066400,79.220001
2015-07-16,79.00,79.160004,78.669998,78.919998,4081400,78.919998
2015-07-15,79.010002,79.360001,78.32,78.540001,3936200,78.540001
2015-07-14,78.599998,79.139999,78.209999,78.970001,3850100,78.970001
2015-07-13,77.970001,78.610001,77.769997,78.529999,3677500,78.529999
2015-07-10,77.309998,77.489998,76.910004,77.309998,3036000,77.309998
2015-07-09,76.629997,77.449997,76.290001,76.339996,3934000,76.339996
2015-07-08,76.889999,77.199997,75.75,75.93,5544800,75.93
2015-07-07,77.559998,77.800003,76.410004,77.550003,7183000,77.550003
2015-07-06,77.550003,77.849998,77.339996,77.589996,5724800,77.589996
2015-07-02,78.690002,79.129997,78.18,78.209999,4577700,78.209999
2015-07-01,78.639999,78.910004,78.160004,78.400002,5319900,78.400002
2015-06-30,78.169998,78.410004,77.650002,77.720001,7793000,77.720001
2015-06-29,79.220001,79.349998,77.739998,77.800003,8553300,77.510004
2015-06-26,80.169998,80.449997,79.830002,79.879997,15746700,79.582245
2015-06-25,80.989998,81.00,79.879997,79.879997,6591100,79.582245
2015-06-24,80.940002,81.360001,80.739998,80.739998,5637600,80.43904
2015-06-23,81.440002,81.919998,81.290001,81.360001,5356300,81.056732
2015-06-22,80.68,81.709999,80.660004,81.25,5548600,80.947141
2015-06-19,80.519997,80.620003,79.790001,80.190002,13054800,79.891095
2015-06-18,80.239998,80.900002,79.809998,80.769997,4632300,80.468927
2015-06-17,79.639999,80.860001,79.459999,80.32,6945600,80.020607
2015-06-16,79.040001,79.800003,79.00,79.360001,6992700,79.064187
2015-06-15,79.00,79.370003,78.82,79.25,4929300,78.954596
2015-06-12,80.43,80.449997,79.110001,79.529999,6253500,79.233551
2015-06-11,80.339996,80.769997,80.00,80.300003,4013400,80.000685
2015-06-10,79.199997,80.489998,79.199997,80.190002,5865400,79.891095
2015-06-09,78.879997,79.389999,78.860001,79.169998,4506300,78.874892
2015-06-08,79.43,79.839996,78.800003,78.809998,5883600,78.516234
2015-06-05,79.739998,79.879997,79.230003,79.389999,4817000,79.094074
2015-06-04,80.050003,80.339996,79.199997,79.360001,5438100,79.064187
2015-06-03,80.32,81.269997,80.120003,80.599998,4321400,80.299562
2015-06-02,79.260002,80.269997,79.18,79.989998,4197300,79.691835
2015-06-01,79.940002,80.169998,78.949997,79.470001,4716900,79.173777
2015-05-29,80.040001,80.099998,79.580002,79.720001,7385100,79.422845
2015-05-28,79.970001,80.25,79.879997,80.089996,4443000,79.791461
2015-05-27,80.449997,80.629997,79.839996,80.110001,5105100,79.811391
2015-05-26,81.120003,81.459999,79.940002,80.190002,5282700,79.891095
2015-05-22,80.839996,81.580002,80.720001,81.25,3395800,80.947141
2015-05-21,80.540001,81.169998,80.410004,80.760002,4249700,80.45897
2015-05-20,81.410004,81.449997,80.779999,80.959999,3986700,80.658221
2015-05-19,80.370003,81.599998,80.370003,81.360001,6063500,81.056732
2015-05-18,80.279999,80.550003,79.779999,80.169998,4579900,79.871165
2015-05-15,80.900002,81.160004,79.989998,80.220001,4479300,79.920982
2015-05-14,80.339996,80.900002,80.269997,80.75,4450800,80.449005
2015-05-13,79.50,80.010002,79.269997,79.860001,5494500,79.562323
2015-05-12,79.150002,79.43,78.440002,79.080002,4575700,78.785231
2015-05-11,79.050003,80.25,79.010002,79.699997,5827400,79.402916
2015-05-08,78.889999,79.639999,78.769997,78.980003,7198100,78.685606
2015-05-07,77.839996,78.739998,77.599998,78.43,7924600,78.137653
2015-05-06,78.699997,78.849998,77.389999,77.849998,5896600,77.559813
2015-05-05,77.980003,78.519997,77.779999,77.839996,5325800,77.549848
2015-05-04,77.959999,78.540001,77.739998,78.279999,3896700,77.98821
2015-05-01,77.849998,77.889999,77.309998,77.68,3859200,77.390448
2015-04-30,77.040001,77.68,76.980003,77.449997,6754100,77.161302
2015-04-29,77.129997,77.470001,77.00,77.160004,4322600,76.87239
2015-04-28,77.690002,77.730003,76.940002,77.489998,6493400,77.201154
2015-04-27,77.830002,77.959999,77.040001,77.489998,6901700,77.201154
2015-04-24,78.300003,78.330002,77.769997,77.989998,3400700,77.69929
2015-04-23,78.059998,78.370003,77.739998,78.150002,4815400,77.858698
2015-04-22,77.410004,78.650002,77.18,78.440002,7318100,78.147618
2015-04-21,77.379997,77.800003,77.239998,77.279999,5125000,76.991938
