Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,18.030001,18.059999,17.860001,17.879999,66016800,17.879999
2015-07-30,18.200001,18.290001,18.049999,18.129999,65068400,18.129999
2015-07-29,17.950001,18.200001,17.92,18.16,89663700,18.16
2015-07-28,17.790001,17.889999,17.60,17.879999,81914700,17.879999
2015-07-27,17.66,17.780001,17.50,17.67,91230800,17.67
2015-07-24,18.18,18.23,17.84,17.90,84058800,17.90
2015-07-23,18.389999,18.43,18.08,18.18,102874400,18.18
2015-07-22,18.030001,18.48,18.030001,18.450001,108492800,18.450001
2015-07-21,18.110001,18.17,18.02,18.08,62696400,18.08
2015-07-20,18.15,18.23,18.08,18.120001,70897800,18.120001
2015-07-17,17.959999,18.16,17.889999,18.10,95508300,18.10
2015-07-16,17.91,18.07,17.860001,17.950001,116692600,17.950001
2015-07-15,17.530001,17.85,17.49,17.68,172665400,17.68
2015-07-14,16.93,17.15,16.860001,17.129999,66992100,17.129999
2015-07-13,16.969999,17.049999,16.90,17.02,66986600,17.02
2015-07-10,16.799999,16.84,16.66,16.700001,58902300,16.700001
2015-07-09,16.530001,16.719999,16.450001,16.48,80643800,16.48
2015-07-08,16.42,16.50,16.219999,16.25,81729900,16.25
2015-07-07,16.90,16.93,16.34,16.690001,114850100,16.690001
2015-07-06,16.780001,17.01,16.709999,16.940001,58230900,16.940001
2015-07-02,17.16,17.209999,16.889999,17.030001,64318800,17.030001
2015-07-01,17.25,17.309999,17.09,17.219999,61278700,17.219999
2015-06-30,17.08,17.129999,16.85,17.02,87088100,17.02
2015-06-29,17.129999,17.25,16.860001,16.889999,97232000,16.889999
2015-06-26,17.48,17.52,17.35,17.41,58642500,17.41
2015-06-25,17.57,17.620001,17.35,17.370001,59476700,17.370001
2015-06-24,17.530001,17.690001,17.450001,17.49,58745100,17.49
2015-06-23,17.559999,17.719999,17.559999,17.67,63712200,17.67
2015-06-22,17.360001,17.530001,17.35,17.469999,57679500,17.469999
2015-06-19,17.280001,17.389999,17.120001,17.17,80128200,17.17
2015-06-18,17.35,17.40,17.219999,17.379999,97311900,17.379999
2015-06-17,17.59,17.60,17.299999,17.370001,88431700,17.370001
2015-06-16,17.459999,17.559999,17.370001,17.549999,47150600,17.549999
2015-06-15,17.33,17.50,17.25,17.469999,67534200,17.469999
2015-06-12,17.450001,17.58,17.360001,17.49,52818300,17.49
2015-06-11,17.620001,17.68,17.440001,17.49,76656000,17.49
2015-06-10,17.389999,17.620001,17.360001,17.59,88577700,17.59
2015-06-09,17.049999,17.35,17.00,17.309999,80942100,17.309999
2015-06-08,17.27,17.33,17.049999,17.08,67740600,17.08
2015-06-05,17.040001,17.35,16.969999,17.190001,118482900,17.190001
2015-06-04,16.870001,16.98,16.719999,16.780001,61025500,16.780001
2015-06-03,16.67,17.02,16.67,16.93,89614900,16.93
