Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,65.550003,65.559998,65.029999,65.230003,766000,65.230003
2015-07-30,64.769997,65.400002,64.459999,65.230003,1344100,65.230003
2015-07-29,65.129997,65.779999,64.75,64.940002,2188300,64.940002
2015-07-28,65.199997,65.32,64.589996,65.300003,1799500,65.300003
2015-07-27,65.68,65.769997,65.029999,65.089996,2133300,65.089996
2015-07-24,67.510002,67.510002,65.510002,65.800003,2320100,65.800003
2015-07-23,67.459999,67.809998,67.139999,67.269997,780300,67.269997
2015-07-22,67.540001,68.190002,67.529999,67.629997,929200,67.629997
2015-07-21,67.93,68.110001,66.940002,67.410004,1582000,67.410004
2015-07-20,68.589996,68.589996,67.809998,67.93,743000,67.93
2015-07-17,69.220001,69.32,68.099998,68.25,1246300,68.25
2015-07-16,69.410004,69.690002,68.82,69.459999,918700,69.459999
2015-07-15,68.669998,69.029999,68.239998,69.029999,1016600,69.029999
2015-07-14,69.129997,69.129997,68.470001,68.800003,1386200,68.800003
2015-07-13,68.169998,69.169998,67.970001,69.099998,1199000,69.099998
2015-07-10,68.18,68.540001,67.769997,67.919998,1318000,67.919998
2015-07-09,68.980003,69.019997,67.209999,67.370003,2207700,67.370003
2015-07-08,68.720001,69.330002,67.900002,68.089996,1722900,68.089996
2015-07-07,69.089996,69.290001,67.980003,69.139999,1750100,69.139999
2015-07-06,68.550003,69.330002,68.379997,68.720001,1543000,68.720001
2015-07-02,69.610001,69.919998,69.010002,69.050003,1230300,69.050003
2015-07-01,69.370003,69.540001,68.809998,69.449997,1332300,69.449997
2015-06-30,69.459999,69.639999,68.730003,68.980003,1612800,68.980003
2015-06-29,70.309998,70.830002,68.760002,68.769997,2683600,68.769997
2015-06-26,69.040001,71.199997,69.040001,71.110001,4703300,71.110001
2015-06-25,68.290001,70.019997,67.50,69.230003,5978600,69.230003
2015-06-24,70.949997,71.150002,70.260002,70.339996,2357700,70.339996
2015-06-23,70.739998,71.059998,70.349998,70.75,2118800,70.75
2015-06-22,71.059998,71.379997,70.360001,70.510002,2104600,70.510002
2015-06-19,71.029999,71.68,70.739998,70.739998,3173600,70.739998
