Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,40.639999,40.849998,40.27,40.27,11211100,40.27
2015-07-30,40.50,40.720001,40.389999,40.610001,4645600,40.610001
2015-07-29,40.419998,40.720001,40.139999,40.610001,4320000,40.610001
2015-07-28,40.709999,40.759998,40.150002,40.400002,3485000,40.400002
2015-07-27,40.52,40.779999,40.259998,40.459999,3560800,40.459999
2015-07-24,41.400002,41.470001,40.740002,40.790001,4825600,40.790001
2015-07-23,41.66,41.900002,41.34,41.459999,4274900,41.459999
2015-07-22,41.310001,41.790001,41.200001,41.599998,3839300,41.599998
2015-07-21,41.23,41.630001,41.02,41.27,4176600,41.27
2015-07-20,40.830002,41.389999,40.740002,41.18,4692500,41.18
2015-07-17,41.549999,41.549999,40.380001,40.849998,6121600,40.849998
2015-07-16,41.599998,41.790001,41.330002,41.549999,6012200,41.549999
2015-07-15,41.34,41.799999,41.18,41.59,5593300,41.59
2015-07-14,40.900002,41.27,40.720001,41.220001,3627500,41.220001
2015-07-13,41.139999,41.220001,40.900002,41.09,2454300,41.09
2015-07-10,40.889999,40.959999,40.470001,40.700001,2787200,40.700001
2015-07-09,40.509998,40.669998,40.00,40.18,4761500,40.18
2015-07-08,39.98,40.23,39.720001,39.810001,4481100,39.810001
2015-07-07,40.369999,40.450001,39.650002,40.34,5019800,40.34
2015-07-06,39.93,40.400002,39.82,40.360001,3938800,40.360001
2015-07-02,40.970001,40.990002,40.259998,40.380001,3305400,40.380001
2015-07-01,40.75,41.209999,40.720001,41.040001,3859300,41.040001
2015-06-30,40.75,41.02,40.299999,40.310001,4706900,40.310001
2015-06-29,40.709999,41.130001,40.169998,40.25,4194300,40.25
2015-06-26,41.290001,41.50,41.099998,41.290001,3973000,41.290001
2015-06-25,41.419998,41.470001,41.00,41.02,3749700,41.02
2015-06-24,41.389999,41.669998,41.150002,41.16,3323500,41.16
2015-06-23,41.400002,41.700001,41.220001,41.560001,4611300,41.560001
2015-06-22,41.32,41.470001,41.07,41.189999,5810100,41.189999
2015-06-19,41.16,41.369999,40.919998,41.02,4640100,41.02
2015-06-18,41.299999,41.400002,40.919998,41.279999,5386900,41.279999
2015-06-17,41.549999,41.619999,41.09,41.16,4356700,41.16
