Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,43.950001,43.950001,43.330002,43.400002,4617500,43.400002
2015-07-30,43.610001,43.970001,43.57,43.93,4726500,43.93
2015-07-29,43.610001,43.939999,43.43,43.779999,5555100,43.609998
2015-07-28,43.509998,43.650002,43.16,43.59,5434400,43.420737
2015-07-27,43.41,43.450001,42.720001,43.259998,6116000,43.092017
2015-07-24,44.130001,44.369999,43.68,43.720001,4928900,43.550234
2015-07-23,44.799999,44.990002,44.380001,44.470001,4653800,44.297321
2015-07-22,44.310001,44.740002,44.150002,44.73,7123500,44.55631
2015-07-21,43.580002,44.18,43.50,44.150002,9810600,43.978564
2015-07-20,42.98,43.09,42.77,42.98,5732600,42.813105
2015-07-17,42.919998,43.060001,42.619999,42.82,3223300,42.653727
2015-07-16,43.080002,43.119999,42.860001,43.07,3206300,42.902756
2015-07-15,42.599998,42.82,42.459999,42.669998,3187600,42.504308
2015-07-14,42.189999,42.560001,42.060001,42.529999,3454100,42.364852
2015-07-13,41.849998,42.50,41.830002,42.380001,7204700,42.215437
2015-07-10,41.490002,41.810001,41.380001,41.709999,4771100,41.548036
2015-07-09,41.029999,41.299999,40.830002,40.990002,5244600,40.830835
2015-07-08,41.209999,41.290001,40.529999,40.540001,4696200,40.382582
2015-07-07,41.529999,41.75,40.77,41.540001,4661100,41.378698
2015-07-06,41.32,41.619999,41.209999,41.549999,5207600,41.388658
2015-07-02,42.16,42.290001,41.59,41.790001,4580100,41.627728
2015-07-01,42.540001,42.549999,42.049999,42.18,5146700,42.016213
2015-06-30,42.330002,42.48,41.799999,41.970001,6406200,41.807029
2015-06-29,42.50,42.610001,41.75,41.790001,5083700,41.627728
2015-06-26,43.009998,43.200001,42.82,42.98,6485300,42.813105
2015-06-25,43.41,43.459999,42.849998,42.849998,3055100,42.683609
2015-06-24,43.48,43.709999,43.259998,43.290001,3788200,43.121903
2015-06-23,43.66,43.779999,43.490002,43.66,4676600,43.490465
