Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,78.599998,79.040001,78.150002,78.629997,5193500,78.629997
2015-07-30,76.980003,78.370003,76.68,78.349998,6070100,78.349998
2015-07-29,77.300003,77.459999,76.510002,77.330002,11778800,77.330002
2015-07-28,75.919998,78.150002,75.790001,77.779999,13233100,77.779999
2015-07-27,75.18,75.720001,74.769997,75.32,10250000,75.32
2015-07-24,76.910004,77.089996,75.849998,76.099998,9175900,76.099998
2015-07-23,77.699997,79.040001,76.650002,76.879997,13909900,76.879997
2015-07-22,81.00,81.120003,79.150002,79.760002,10180700,79.760002
2015-07-21,81.800003,82.889999,81.25,82.220001,4691900,82.220001
2015-07-20,83.059998,83.290001,82.139999,82.25,4291400,82.25
2015-07-17,83.550003,83.650002,82.760002,83.160004,2931500,83.160004
2015-07-16,84.75,84.889999,83.410004,83.760002,3686000,83.760002
2015-07-15,84.550003,84.860001,83.75,84.160004,3661700,83.390002
2015-07-14,83.529999,84.68,83.519997,84.459999,3797700,83.687253
2015-07-13,82.870003,84.029999,82.68,83.639999,4228500,82.874756
2015-07-10,82.639999,82.910004,81.870003,82.150002,3495000,81.39839
2015-07-09,83.43,83.699997,81.459999,81.690002,4570700,80.9426
2015-07-08,83.050003,83.230003,81.760002,82.269997,4325100,81.517288
2015-07-07,82.989998,84.120003,81.849998,83.989998,5192000,83.221552
2015-07-06,83.650002,84.150002,82.730003,83.150002,4896600,82.389241
2015-07-02,84.529999,84.779999,83.849998,84.379997,2582200,83.607983
2015-07-01,85.389999,85.449997,83.540001,83.949997,5296200,83.181917
2015-06-30,86.089996,86.25,84.800003,84.82,4077900,84.04396
2015-06-29,86.220001,86.739998,85.099998,85.300003,4747300,84.519572
2015-06-26,86.50,86.949997,85.809998,86.82,4387300,86.025662
2015-06-25,88.220001,88.330002,86.660004,86.720001,3239100,85.926578
2015-06-24,88.790001,88.809998,88.07,88.169998,3413600,87.363309
2015-06-23,88.419998,88.620003,88.010002,88.449997,2539000,87.640746
2015-06-22,87.970001,88.32,87.709999,88.269997,3648600,87.462392
2015-06-19,87.269997,87.959999,87.150002,87.519997,3910900,86.719254
2015-06-18,86.830002,87.739998,86.830002,87.440002,3372600,86.639992
2015-06-17,86.889999,87.550003,86.32,87.25,3402800,86.451728
2015-06-16,86.790001,87.019997,86.239998,86.589996,2895000,85.797763
2015-06-15,87.139999,87.389999,86.349998,87.129997,2721000,86.332823
2015-06-12,87.949997,88.410004,87.57,87.849998,2212800,87.046237
2015-06-11,88.620003,88.760002,87.919998,88.169998,2872900,87.363309
2015-06-10,87.449997,88.709999,87.360001,88.480003,4717100,87.670477
2015-06-09,86.459999,87.620003,86.419998,86.730003,3984900,85.936489
2015-06-08,85.800003,86.480003,85.779999,86.150002,3355800,85.361793
2015-06-05,85.010002,86.50,84.910004,86.050003,3937600,85.26271
2015-06-04,85.50,86.400002,85.32,85.470001,3775200,84.688015
2015-06-03,86.599998,87.059998,85.809998,86.230003,2841800,85.441063
2015-06-02,85.209999,86.68,85.07,86.169998,2817800,85.381607
2015-06-01,86.059998,86.370003,84.699997,85.529999,3976900,84.747463
2015-05-29,85.739998,86.330002,85.110001,85.32,4685700,84.539385
2015-05-28,87.330002,87.449997,85.730003,86.010002,5899100,85.223075
2015-05-27,87.989998,88.82,87.650002,87.919998,4517100,87.115596
2015-05-26,88.129997,88.150002,87.290001,87.839996,3149600,87.036326
2015-05-22,89.18,89.50,88.629997,88.629997,3483800,87.819099
2015-05-21,88.230003,89.620003,87.940002,89.330002,8155500,88.512699
2015-05-20,87.629997,88.129997,87.129997,87.93,3841500,87.125506
2015-05-19,87.889999,87.910004,86.510002,87.239998,5676800,86.441817
2015-05-18,88.389999,88.50,87.650002,88.290001,3074400,87.482213
2015-05-15,88.50,88.559998,87.599998,88.43,3205000,87.620932
2015-05-14,88.779999,89.589996,88.650002,88.739998,3228400,87.928093
2015-05-13,88.589996,89.07,88.209999,88.440002,3178300,87.630842
2015-05-12,88.190002,88.339996,87.260002,88.160004,4066400,87.353405
2015-05-11,88.400002,89.440002,88.089996,88.769997,6882600,87.957817
2015-05-08,87.779999,87.839996,86.699997,87.309998,3577100,86.511176
2015-05-07,86.650002,86.879997,85.889999,86.43,3892800,85.63923
2015-05-06,87.75,87.940002,86.419998,86.989998,4464700,86.194104
2015-05-05,87.57,88.220001,86.699997,87.00,4623700,86.204015
2015-05-04,87.730003,87.959999,87.169998,87.300003,2754500,86.501273
2015-05-01,87.690002,88.279999,86.760002,87.370003,4850100,86.570632
2015-04-30,86.849998,87.300003,86.230003,86.879997,5460100,86.08511
2015-04-29,85.690002,87.919998,85.459999,87.50,7021800,86.69944
2015-04-28,85.419998,86.220001,84.50,86.199997,5736500,85.411331
2015-04-27,84.769997,85.940002,84.400002,85.330002,5912000,84.549296
2015-04-24,84.699997,85.169998,84.019997,84.599998,5848100,83.825972
2015-04-23,86.849998,87.50,83.849998,84.790001,18917600,84.014236
2015-04-22,84.129997,84.940002,83.089996,84.870003,6520700,84.093506
2015-04-21,84.660004,84.970001,83.610001,83.919998,5620900,83.152193
2015-04-20,83.959999,84.75,83.879997,84.599998,3914600,83.825972
2015-04-17,83.50,83.589996,82.660004,83.279999,5314000,82.518049
2015-04-16,84.400002,84.900002,84.00,84.339996,5692300,83.568348
2015-04-15,83.290001,85.730003,83.00,85.160004,9643800,83.687258
2015-04-14,82.550003,83.239998,81.540001,83.00,5898700,81.564609
2015-04-13,82.599998,82.610001,81.599998,82.139999,5293900,80.719481
2015-04-10,81.099998,82.800003,80.739998,82.599998,6831900,81.171525
