Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,37.689999,38.259998,37.50,37.970001,1867500,37.970001
2015-07-30,37.18,37.639999,36.970001,37.59,1521800,37.59
2015-07-29,37.689999,37.689999,36.810001,37.18,2256000,37.18
2015-07-28,37.52,37.880001,37.200001,37.75,1362000,37.75
2015-07-27,37.52,37.599998,37.200001,37.369999,1293700,37.369999
2015-07-24,38.48,38.59,37.580002,37.689999,1982600,37.689999
2015-07-23,38.48,38.759998,38.400002,38.560001,1441100,38.560001
2015-07-22,38.279999,38.689999,38.189999,38.470001,2222100,38.470001
2015-07-21,37.990002,38.389999,37.82,38.34,1322700,38.34
2015-07-20,37.529999,38.029999,37.439999,38.02,1018800,38.02
2015-07-17,38.360001,38.450001,37.48,37.52,1500500,37.52
2015-07-16,38.32,38.419998,38.169998,38.369999,952200,38.369999
2015-07-15,37.990002,38.060001,37.66,38.040001,1197900,38.040001
2015-07-14,37.860001,38.18,37.689999,38.02,598900,38.02
2015-07-13,38.02,38.09,37.59,37.799999,1238900,37.799999
2015-07-10,37.73,37.740002,37.349998,37.599998,1115800,37.599998
2015-07-09,37.75,37.82,37.139999,37.200001,1103000,37.200001
2015-07-08,37.75,37.939999,37.220001,37.310001,1563600,37.310001
2015-07-07,37.57,38.09,37.139999,38.049999,1824000,38.049999
2015-07-06,37.349998,37.75,37.200001,37.43,1326300,37.43
2015-07-02,37.68,37.900002,37.369999,37.68,1721400,37.68
2015-07-01,37.369999,37.540001,36.990002,37.52,1538800,37.52
2015-06-30,36.790001,37.34,36.639999,37.00,1887700,37.00
2015-06-29,37.23,37.50,36.450001,36.509998,1846400,36.509998
2015-06-26,37.200001,37.52,36.880001,37.490002,3246600,37.490002
2015-06-25,37.330002,37.34,37.040001,37.209999,1246500,37.209999
2015-06-24,37.369999,37.709999,37.09,37.290001,1550500,37.290001
2015-06-23,37.380001,37.50,37.07,37.389999,1259400,37.389999
2015-06-22,37.369999,37.369999,37.080002,37.110001,968700,37.110001
2015-06-19,37.189999,37.540001,36.950001,37.119999,1559700,37.119999
2015-06-18,36.799999,37.889999,36.799999,37.720001,2508300,37.720001
2015-06-17,36.57,36.77,36.279999,36.700001,1172800,36.700001
2015-06-16,36.52,36.82,36.360001,36.529999,1405500,36.529999
2015-06-15,37.049999,37.099998,36.540001,36.57,1593900,36.57
2015-06-12,37.18,37.41,37.099998,37.290001,844700,37.290001
2015-06-11,37.299999,37.50,37.119999,37.32,1162000,37.32
2015-06-10,36.68,37.290001,36.68,37.099998,1724700,37.099998
2015-06-09,36.900002,37.080002,36.470001,36.599998,1461900,36.599998
2015-06-08,37.529999,37.540001,36.830002,36.849998,1390400,36.849998
2015-06-05,37.650002,37.860001,37.389999,37.419998,1493300,37.419998
2015-06-04,38.00,38.049999,37.759998,37.91,1801100,37.91
2015-06-03,38.41,38.50,37.990002,38.150002,969200,38.150002
2015-06-02,38.23,38.709999,37.880001,38.439999,1404400,38.439999
2015-06-01,38.360001,38.639999,38.080002,38.48,1921100,38.48
2015-05-29,38.369999,38.369999,37.849998,38.240002,2458600,38.240002
2015-05-28,38.490002,38.619999,38.16,38.32,1108300,38.32
2015-05-27,38.509998,38.66,38.220001,38.610001,1904500,38.610001
2015-05-26,38.23,38.450001,37.93,38.360001,1619900,38.360001
2015-05-22,38.209999,38.439999,37.959999,38.290001,1137200,38.290001
2015-05-21,38.639999,38.759998,37.990002,38.25,1633700,38.25
2015-05-20,38.799999,39.00,38.509998,38.68,1097100,38.68
2015-05-19,38.740002,38.869999,38.529999,38.689999,1316100,38.689999
2015-05-18,38.43,38.810001,38.349998,38.720001,1241000,38.720001
2015-05-15,38.669998,38.720001,38.369999,38.57,1265500,38.57
2015-05-14,37.93,38.549999,37.669998,38.52,2622700,38.52
2015-05-13,37.57,37.880001,37.27,37.599998,1893400,37.599998
2015-05-12,38.040001,38.040001,37.360001,37.57,1644300,37.57
2015-05-11,37.43,38.529999,37.369999,38.330002,3682300,38.330002
2015-05-08,37.580002,37.900002,37.459999,37.549999,1761900,37.549999
2015-05-07,36.919998,37.200001,36.709999,37.009998,2021400,37.009998
2015-05-06,37.290001,37.48,36.52,36.869999,1645600,36.869999
2015-05-05,38.310001,38.34,37.259998,37.279999,1796700,37.279999
