Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,132.830002,133.00,130.770004,131.25,3546100,131.25
2015-07-30,132.309998,132.550003,128.809998,131.880005,4769000,131.880005
2015-07-29,136.330002,136.399994,132.070007,132.139999,4844700,132.139999
2015-07-28,134.00,136.080002,132.460007,135.419998,4536300,135.419998
2015-07-27,133.449997,133.449997,131.110001,132.559998,6778000,132.559998
2015-07-24,134.279999,137.539993,133.949997,134.899994,7004600,134.899994
2015-07-23,137.770004,140.720001,136.50,139.009995,5428300,139.009995
2015-07-22,135.509995,139.119995,135.190002,138.259995,6120300,138.259995
2015-07-21,135.220001,137.990005,133.75,136.240005,5521900,136.240005
2015-07-20,135.029999,135.50,133.850006,135.229996,3377700,135.229996
2015-07-17,134.410004,134.710007,132.729996,134.520004,4618300,134.520004
2015-07-16,132.100006,135.550003,131.50,134.720001,8402800,134.720001
2015-07-15,132.580002,135.979996,130.529999,131.389999,21133400,131.389999
2015-07-14,121.309998,123.269997,120.839996,122.849998,3767100,122.849998
2015-07-13,120.00,121.68,119.580002,120.889999,3111000,120.889999
2015-07-10,118.190002,119.349998,117.790001,118.839996,2980200,118.839996
2015-07-09,117.449997,117.779999,116.370003,116.870003,3175800,116.870003
2015-07-08,118.639999,118.769997,115.419998,115.910004,3805200,115.910004
2015-07-07,119.68,119.68,116.870003,119.279999,3504000,119.279999
2015-07-06,118.419998,120.339996,117.900002,118.82,3525400,118.82
2015-07-02,118.559998,119.889999,118.519997,119.519997,4282500,119.519997
2015-07-01,117.040001,118.25,116.709999,118.220001,4328500,118.220001
2015-06-30,115.300003,116.489998,114.099998,115.739998,4913700,115.739998
2015-06-29,116.120003,117.790001,114.790001,114.910004,3970500,114.910004
2015-06-26,119.00,119.489998,116.800003,117.919998,3137800,117.919998
2015-06-25,119.800003,120.449997,118.57,118.809998,2952000,118.809998
2015-06-24,120.07,120.839996,118.489998,119.099998,3757200,119.099998
2015-06-23,119.489998,121.470001,119.470001,120.339996,4155500,120.339996
2015-06-22,118.50,120.239998,118.360001,119.529999,4643100,119.529999
2015-06-19,117.199997,118.089996,116.150002,117.220001,7184300,117.220001
2015-06-18,112.459999,117.080002,112.25,116.919998,6923100,116.919998
2015-06-17,112.620003,113.059998,111.25,112.160004,3494000,112.160004
2015-06-16,111.040001,111.75,110.389999,111.110001,2275900,111.110001
2015-06-15,110.419998,111.349998,109.339996,111.00,2892200,111.00
2015-06-12,112.32,112.970001,110.879997,111.32,2960300,111.32
2015-06-11,112.360001,113.300003,112.25,112.970001,3187500,112.970001
2015-06-10,110.75,112.889999,109.760002,112.059998,4096900,112.059998
2015-06-09,110.239998,111.00,109.040001,110.720001,3534900,110.720001
2015-06-08,111.010002,113.089996,110.669998,110.809998,5271500,110.809998
2015-06-05,110.919998,111.00,109.529999,110.720001,4776200,110.720001
2015-06-04,112.239998,112.800003,109.919998,110.919998,5434600,110.919998
2015-06-03,114.010002,114.459999,112.32,112.68,4297100,112.68
2015-06-02,113.860001,114.919998,113.129997,113.879997,2993800,113.879997
2015-06-01,115.010002,116.019997,112.75,114.449997,4549400,114.449997
2015-05-29,114.870003,116.00,114.00,114.440002,4333100,114.440002
2015-05-28,115.839996,116.230003,114.349998,114.93,2807500,114.93
2015-05-27,114.650002,116.290001,113.959999,116.019997,2990600,116.019997
2015-05-26,115.559998,115.870003,113.82,114.459999,2730300,114.459999
2015-05-22,115.50,116.540001,114.919998,116.089996,2649800,116.089996
2015-05-21,116.400002,117.480003,115.949997,116.199997,3923800,116.199997
2015-05-20,117.029999,117.720001,115.550003,116.860001,3108600,116.860001
2015-05-19,116.389999,117.650002,116.309998,116.849998,3275900,116.849998
2015-05-18,114.760002,117.00,114.660004,116.370003,3628400,116.370003
2015-05-15,115.199997,115.949997,114.760002,115.529999,3301800,115.529999
2015-05-14,114.260002,115.400002,112.669998,115.080002,3817200,115.080002
2015-05-13,114.110001,115.099998,112.610001,113.400002,4316700,113.400002
2015-05-12,112.269997,114.25,110.830002,113.580002,4819700,113.580002
2015-05-11,113.93,114.440002,113.019997,113.400002,2884300,113.400002
2015-05-08,113.660004,114.660004,111.730003,113.209999,6043900,113.209999
2015-05-07,109.589996,114.290001,109.25,112.010002,9121400,112.010002
2015-05-06,108.489998,108.989998,106.449997,108.650002,5547100,108.650002
2015-05-05,109.370003,109.769997,107.089996,107.540001,5000700,107.540001
2015-05-04,111.080002,112.599998,109.800003,109.900002,4873300,109.900002
2015-05-01,108.059998,112.00,108.019997,110.550003,6579000,110.550003
2015-04-30,109.50,110.940002,107.019997,108.059998,12995500,108.059998
2015-04-29,112.940002,114.400002,111.830002,113.199997,6086000,113.199997
2015-04-28,115.010002,115.639999,111.809998,113.519997,5615400,113.519997
2015-04-27,119.199997,119.379997,114.309998,114.720001,6847800,114.720001
2015-04-24,115.940002,120.720001,115.269997,118.709999,7681200,118.709999
2015-04-23,115.00,116.57,114.68,116.089996,3251000,116.089996
2015-04-22,115.599998,116.050003,114.300003,115.540001,3135000,115.540001
2015-04-21,115.32,116.25,114.519997,114.82,3680500,114.82
2015-04-20,114.400002,114.769997,113.029999,114.75,4487200,114.75
2015-04-17,115.010002,115.610001,113.099998,113.470001,6409700,113.470001
2015-04-16,117.620003,118.449997,115.889999,116.360001,4344600,116.360001
2015-04-15,115.93,118.610001,115.839996,118.230003,5963200,118.230003
2015-04-14,116.519997,117.279999,115.059998,115.779999,4232500,115.779999
2015-04-13,116.989998,118.220001,116.370003,116.440002,3011800,116.440002
2015-04-10,116.080002,117.50,115.50,117.07,4505800,117.07
2015-04-09,115.370003,116.599998,114.330002,115.580002,4039200,115.580002
2015-04-08,113.050003,116.589996,113.010002,115.150002,6260000,115.150002
2015-04-07,113.089996,115.489998,112.50,112.720001,5831900,112.720001
2015-04-06,113.639999,115.139999,112.760002,112.970001,4770000,112.970001
2015-04-02,115.00,115.559998,113.75,114.309998,4852500,114.309998
2015-04-01,114.879997,115.650002,111.699997,114.57,10650800,114.57
2015-03-31,118.879997,119.279999,114.970001,115.279999,11331800,115.279999
2015-03-30,119.639999,120.50,118.959999,120.019997,5209200,120.019997
2015-03-27,118.110001,120.00,118.019997,118.68,5510400,118.68
2015-03-26,115.279999,119.389999,114.019997,117.660004,8127000,117.660004
2015-03-25,122.129997,123.370003,116.769997,116.989998,8417900,116.989998
2015-03-24,123.230003,124.50,121.779999,122.150002,4828800,122.150002
2015-03-23,126.449997,126.50,122.620003,122.940002,10004100,122.940002
2015-03-20,127.809998,129.059998,124.510002,128.50,14850600,128.50
2015-03-19,123.800003,125.580002,123.650002,125.330002,6037600,125.330002
2015-03-18,121.169998,123.690002,120.209999,122.68,4444700,122.68
2015-03-17,120.050003,121.330002,119.669998,121.029999,3026800,121.029999
2015-03-16,118.800003,120.980003,118.769997,120.839996,5017300,120.839996
2015-03-13,118.290001,120.370003,116.900002,117.730003,3520200,117.730003
2015-03-12,118.18,119.07,117.519997,118.82,3086700,118.82
2015-03-11,119.010002,119.059998,115.269997,117.580002,3729800,117.580002
2015-03-10,117.50,119.900002,117.349998,118.330002,4874800,118.330002
2015-03-09,118.120003,118.959999,117.18,118.410004,3449000,118.410004
2015-03-06,120.029999,120.290001,117.919998,118.029999,4009500,118.029999
2015-03-05,120.480003,121.760002,119.760002,120.709999,3583200,120.709999
2015-03-04,117.410004,120.459999,116.529999,119.57,3888100,119.57
2015-03-03,120.00,120.190002,116.339996,118.470001,6360700,118.470001
2015-03-02,122.589996,122.779999,120.199997,120.309998,5197900,120.309998
2015-02-27,122.809998,123.139999,120.769997,121.529999,4289000,121.529999
2015-02-26,123.279999,123.82,121.699997,123.349998,3336100,123.349998
2015-02-25,123.459999,123.980003,122.019997,123.099998,3307800,123.099998
2015-02-24,124.169998,124.379997,121.800003,123.18,3045700,123.18
2015-02-23,124.00,125.449997,123.300003,123.82,5034700,123.82
2015-02-20,121.309998,124.00,121.00,123.43,7865000,123.43
2015-02-19,118.330002,120.940002,118.330002,120.209999,4691000,120.209999
2015-02-18,116.779999,118.50,116.690002,118.410004,5466700,118.410004
2015-02-17,115.760002,117.00,115.50,116.32,4902900,116.32
2015-02-13,116.32,116.449997,113.519997,115.879997,7604800,115.879997
2015-02-12,119.199997,119.220001,114.760002,115.720001,9808800,115.720001
2015-02-11,119.830002,120.730003,117.279999,118.379997,6553500,118.379997
2015-02-10,119.029999,120.790001,118.629997,120.160004,3930200,120.160004
2015-02-09,118.459999,119.480003,117.489998,118.120003,3578000,118.120003
2015-02-06,120.040001,121.75,118.220001,118.75,4230100,118.75
2015-02-05,117.050003,120.580002,117.050003,120.019997,4595100,120.019997
2015-02-04,115.650002,117.550003,112.779999,116.57,7048200,116.57
2015-02-03,119.639999,119.75,114.459999,117.599998,7146700,117.599998
2015-02-02,119.57,120.349998,116.50,118.57,5054000,118.57
2015-01-30,119.489998,124.290001,118.889999,119.160004,8129100,119.160004
2015-01-29,119.580002,121.089996,116.550003,120.870003,4928000,120.870003
2015-01-28,122.529999,123.940002,118.860001,118.970001,6685200,118.970001
2015-01-27,123.010002,124.57,122.040001,122.360001,3475400,122.360001
2015-01-26,123.550003,124.599998,122.540001,124.120003,3788700,124.120003
2015-01-23,124.00,124.379997,122.360001,123.889999,3510100,123.889999
2015-01-22,122.650002,123.870003,120.50,123.709999,4217700,123.709999
2015-01-21,121.760002,123.379997,120.949997,122.220001,4195700,122.220001
2015-01-20,122.75,123.540001,120.540001,123.25,4712300,123.25
2015-01-16,118.620003,122.00,118.330002,121.809998,5314500,121.809998
2015-01-15,122.169998,122.550003,117.620003,118.269997,5811400,118.269997
2015-01-14,118.25,121.980003,118.099998,121.099998,5806500,121.099998
2015-01-13,118.550003,123.809998,118.18,119.980003,11187100,119.980003
2015-01-12,115.07,118.339996,114.029999,117.00,9363800,117.00
2015-01-09,115.279999,115.50,111.93,113.669998,5108600,113.669998
2015-01-08,116.669998,117.449997,114.589996,115.050003,5978300,115.050003
2015-01-07,111.519997,114.910004,111.300003,114.550003,4506700,114.550003
2015-01-06,112.489998,113.50,109.459999,110.510002,5638500,110.510002
2015-01-05,113.099998,114.00,111.660004,111.93,4492700,111.93
2015-01-02,112.879997,114.57,112.540001,113.519997,3822000,113.519997
2014-12-31,114.489998,114.809998,111.510002,111.860001,3434000,111.860001
2014-12-30,114.190002,114.339996,112.760002,113.540001,3481100,113.540001
2014-12-29,113.610001,114.650002,112.50,114.470001,3592800,114.470001
2014-12-26,111.160004,113.910004,110.559998,113.349998,4664300,113.349998
2014-12-24,105.629997,111.510002,105.419998,109.599998,6559000,109.599998
2014-12-23,112.940002,113.110001,103.690002,106.120003,17806700,106.120003
2014-12-22,112.650002,116.230003,110.389999,113.50,7889400,113.50
2014-12-19,117.739998,118.730003,115.459999,117.18,11294300,117.18
2014-12-18,115.199997,116.50,114.559998,116.480003,6100900,116.480003
2014-12-17,110.209999,113.110001,109.160004,112.82,4870100,112.82
2014-12-16,110.00,113.589996,108.260002,110.089996,7035900,110.089996
2014-12-15,116.00,116.00,110.779999,111.879997,6268000,111.879997
2014-12-12,114.089996,117.059998,114.019997,114.489998,4389100,114.489998
2014-12-11,116.610001,118.610001,116.330002,116.739998,4103200,116.739998
2014-12-10,117.980003,118.68,115.099998,115.639999,5267600,115.639999
2014-12-09,116.370003,119.169998,115.650002,118.68,5002700,118.68
2014-12-08,116.760002,119.839996,115.459999,118.190002,8278900,118.190002
2014-12-05,113.989998,114.510002,113.50,114.129997,2521100,114.129997
2014-12-04,113.790001,114.629997,112.93,113.629997,3101900,113.629997
2014-12-03,115.919998,116.230003,113.760002,114.230003,3567400,114.230003
2014-12-02,114.00,116.650002,113.690002,115.199997,4966500,115.199997
2014-12-01,113.709999,114.839996,112.50,113.43,4438100,113.43
2014-11-28,113.449997,114.50,112.800003,113.690002,2544000,113.690002
2014-11-26,111.459999,112.82,109.199997,112.610001,3269800,112.610001
2014-11-25,111.309998,111.970001,110.089996,111.07,4006200,111.07
2014-11-24,108.889999,111.00,108.50,110.980003,4122700,110.980003
2014-11-21,108.25,109.209999,107.889999,108.199997,3973300,108.199997
2014-11-20,105.760002,107.919998,105.599998,107.349998,3862700,107.349998
2014-11-19,106.419998,107.709999,105.50,106.980003,2914500,106.980003
2014-11-18,104.68,107.029999,104.279999,106.779999,3254400,106.779999
2014-11-17,103.269997,105.639999,103.260002,104.360001,3243500,104.360001
2014-11-14,107.650002,107.650002,102.129997,104.050003,7860800,104.050003
2014-11-13,108.279999,109.169998,106.540001,107.43,3268100,107.43
2014-11-12,108.010002,108.50,106.730003,108.25,3440800,108.25
2014-11-11,108.00,108.779999,107.400002,107.849998,3361300,107.849998
2014-11-10,106.779999,108.25,106.00,108.010002,3502600,108.010002
2014-11-07,107.440002,107.50,105.309998,106.449997,4714300,106.449997
2014-11-06,105.699997,107.220001,105.230003,107.139999,4077800,107.139999
2014-11-05,107.199997,107.739998,104.50,105.150002,4487500,105.150002
2014-11-04,106.650002,107.00,105.040001,105.75,5134700,105.75
2014-11-03,106.529999,107.57,106.050003,107.410004,5246900,107.410004
2014-10-31,108.739998,109.25,106.669998,107.089996,5797700,107.089996
