Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,72.389999,72.730003,71.419998,71.720001,2021300,71.720001
2015-07-30,72.690002,72.699997,71.50,71.959999,3566100,71.959999
2015-07-29,68.279999,75.00,68.00,73.400002,5475500,73.400002
2015-07-28,68.00,68.610001,67.699997,68.489998,1367200,68.489998
2015-07-27,68.120003,68.120003,67.260002,67.660004,1928600,67.660004
2015-07-24,70.309998,70.419998,67.949997,68.120003,2332100,68.120003
2015-07-23,72.029999,72.129997,69.800003,70.00,2292400,70.00
2015-07-22,71.580002,72.25,71.550003,72.050003,982000,72.050003
2015-07-21,73.209999,73.519997,71.209999,71.540001,1037600,71.540001
2015-07-20,71.419998,72.629997,71.129997,71.949997,1657800,71.949997
2015-07-17,71.150002,71.410004,70.839996,71.330002,1233600,71.330002
2015-07-16,71.760002,71.980003,71.25,71.300003,1751100,71.300003
2015-07-15,71.32,72.010002,71.099998,71.599998,1500300,71.599998
2015-07-14,70.540001,71.650002,70.279999,71.300003,1582600,71.300003
2015-07-13,70.120003,70.760002,70.00,70.629997,1002400,70.629997
2015-07-10,68.93,70.150002,68.709999,69.919998,1064400,69.919998
2015-07-09,68.800003,69.00,68.239998,68.470001,1377700,68.470001
2015-07-08,68.400002,68.669998,67.720001,67.809998,1484000,67.809998
2015-07-07,68.410004,68.650002,67.370003,68.589996,1277700,68.589996
2015-07-06,68.050003,68.620003,67.68,68.230003,2037400,68.230003
2015-07-02,69.410004,70.150002,68.120003,68.480003,1696000,68.480003
2015-07-01,69.389999,69.470001,68.559998,69.400002,2143500,69.400002
2015-06-30,68.970001,69.389999,68.339996,69.059998,3153000,69.059998
2015-06-29,68.860001,69.059998,68.18,68.230003,2056600,68.230003
2015-06-26,69.370003,69.900002,68.849998,69.110001,1257000,69.110001
2015-06-25,69.25,69.449997,68.900002,69.190002,1187900,69.190002
2015-06-24,69.940002,69.949997,68.440002,69.120003,1308400,69.120003
2015-06-23,70.279999,70.610001,69.739998,69.919998,1327000,69.919998
2015-06-22,69.809998,70.660004,69.800003,70.269997,1575700,70.269997
2015-06-19,69.290001,69.599998,68.870003,69.43,2872700,69.43
2015-06-18,68.279999,69.830002,68.00,69.389999,1693500,69.389999
2015-06-17,67.790001,68.07,67.389999,67.809998,1123200,67.809998
2015-06-16,67.00,67.75,66.550003,67.510002,1035200,67.510002
2015-06-15,67.32,67.440002,66.620003,67.169998,1469200,67.169998
2015-06-12,67.389999,68.029999,67.309998,67.849998,2138200,67.849998
2015-06-11,67.449997,68.089996,67.260002,67.870003,1772500,67.870003
2015-06-10,66.00,67.330002,65.790001,67.169998,1808100,67.169998
2015-06-09,66.239998,66.389999,65.669998,65.769997,1412700,65.769997
2015-06-08,66.059998,66.50,65.989998,66.089996,2211700,66.089996
2015-06-05,67.010002,67.18,65.980003,66.239998,2847900,66.239998
2015-06-04,67.370003,67.720001,66.660004,67.059998,1796300,67.059998
2015-06-03,67.269997,67.830002,67.07,67.75,1683200,67.75
2015-06-02,67.269997,67.699997,67.089996,67.139999,1740900,67.139999
2015-06-01,67.669998,67.980003,67.160004,67.809998,1880500,67.809998
2015-05-29,67.919998,68.419998,67.25,67.290001,2083600,67.290001
2015-05-28,68.470001,68.720001,68.290001,68.330002,1708200,68.330002
2015-05-27,67.879997,68.739998,67.620003,68.470001,1983600,68.470001
2015-05-26,67.900002,68.099998,67.330002,67.779999,1597600,67.779999
2015-05-22,67.660004,68.75,67.370003,68.330002,2064000,68.330002
2015-05-21,68.07,68.25,67.519997,67.830002,1935400,67.830002
2015-05-20,68.459999,68.809998,68.129997,68.190002,1231400,68.190002
2015-05-19,68.190002,68.860001,68.120003,68.50,2107600,68.50
2015-05-18,67.300003,68.360001,67.059998,68.260002,1297100,68.260002
2015-05-15,68.199997,68.339996,67.25,67.339996,1921700,67.339996
2015-05-14,67.870003,68.209999,67.389999,68.139999,4797300,68.139999
2015-05-13,67.459999,67.93,67.139999,67.269997,1834100,67.269997
2015-05-12,67.779999,67.989998,66.949997,67.239998,2067200,67.239998
2015-05-11,67.669998,68.610001,66.919998,68.099998,3498600,68.099998
2015-05-08,70.889999,70.940002,67.57,68.019997,8326800,68.019997
2015-05-07,71.07,71.660004,70.660004,71.25,1940700,71.25
2015-05-06,71.68,72.459999,70.57,70.849998,2221400,70.849998
2015-05-05,72.519997,72.949997,71.860001,72.080002,1342900,72.080002
2015-05-04,72.300003,73.18,72.279999,73.059998,1442000,73.059998
2015-05-01,72.32,72.870003,71.57,72.110001,1271500,72.110001
2015-04-30,73.010002,73.459999,71.540001,71.809998,1702500,71.809998
2015-04-29,72.800003,73.50,72.25,73.029999,989900,73.029999
2015-04-28,72.959999,73.50,72.169998,73.129997,1493200,73.129997
2015-04-27,73.75,74.440002,72.910004,73.059998,1411100,73.059998
2015-04-24,73.18,73.470001,72.529999,73.32,1099400,73.32
2015-04-23,72.43,73.260002,72.260002,73.050003,1217900,73.050003
2015-04-22,72.43,72.529999,71.709999,72.410004,981100,72.410004
2015-04-21,72.199997,72.589996,71.839996,72.220001,1317700,72.220001
2015-04-20,71.75,72.160004,71.559998,71.699997,1522900,71.699997
2015-04-17,72.139999,72.50,71.230003,71.809998,1645000,71.809998
2015-04-16,72.150002,73.169998,72.139999,72.870003,1388300,72.870003
2015-04-15,74.080002,74.410004,72.910004,72.980003,1514700,72.980003
2015-04-14,74.230003,74.650002,73.43,73.68,1184400,73.68
2015-04-13,74.82,75.720001,74.300003,74.529999,1141900,74.529999
2015-04-10,74.489998,75.120003,74.010002,75.00,1616000,75.00
2015-04-09,73.300003,74.410004,72.989998,74.379997,1327000,74.379997
2015-04-08,72.610001,73.370003,72.610001,73.220001,1444900,73.220001
2015-04-07,73.18,73.650002,72.449997,72.449997,980200,72.449997
2015-04-06,72.239998,73.690002,71.709999,73.400002,1180900,73.400002
2015-04-02,73.190002,73.580002,72.370003,72.769997,992000,72.769997
2015-04-01,73.269997,73.269997,71.940002,73.00,1817000,73.00
2015-03-31,73.68,74.150002,73.260002,73.260002,1622100,73.260002
2015-03-30,73.82,74.599998,73.50,74.110001,923000,74.110001
2015-03-27,72.339996,73.599998,72.290001,73.279999,985300,73.279999
2015-03-26,71.620003,72.830002,71.50,72.330002,1663700,72.330002
2015-03-25,74.010002,74.230003,72.290001,72.300003,1417800,72.300003
2015-03-24,74.139999,74.620003,73.849998,73.970001,859800,73.970001
2015-03-23,73.830002,74.43,73.260002,74.07,1663900,74.07
2015-03-20,74.489998,74.830002,73.559998,73.730003,2901100,73.730003
2015-03-19,72.589996,74.610001,72.370003,73.82,2946700,73.82
2015-03-18,71.040001,72.18,70.099998,71.639999,1812200,71.639999
2015-03-17,71.400002,71.559998,70.75,71.360001,903200,71.360001
2015-03-16,70.879997,71.629997,70.879997,71.57,1393200,71.57
2015-03-13,70.629997,70.989998,70.07,70.379997,1196900,70.379997
2015-03-12,70.080002,70.93,69.699997,70.910004,862800,70.910004
2015-03-11,69.540001,70.050003,69.419998,69.690002,1026100,69.690002
2015-03-10,69.440002,70.080002,69.199997,69.629997,1382000,69.629997
