Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,8.88,9.01,8.62,8.66,15566100,8.66
2015-07-30,9.09,9.29,8.92,8.97,18320800,8.97
2015-07-29,8.92,9.36,8.82,9.15,21358900,9.15
2015-07-28,8.49,9.09,8.40,9.00,31521100,9.00
2015-07-27,8.28,8.60,8.11,8.37,27902400,8.37
2015-07-24,8.70,8.74,8.20,8.28,25178800,8.28
2015-07-23,9.02,9.23,8.40,8.71,39175100,8.71
2015-07-22,9.25,9.49,9.00,9.05,20100600,9.05
2015-07-21,10.07,10.14,9.24,9.29,47555100,9.29
2015-07-20,10.89,10.92,10.23,10.27,13488500,10.27
2015-07-17,11.59,11.59,10.80,10.94,19213500,10.94
2015-07-16,11.40,11.69,11.15,11.58,13991600,11.58
2015-07-15,11.38,11.48,10.94,11.29,13152000,11.29
2015-07-14,10.92,11.39,10.86,11.38,12674000,11.38
2015-07-13,11.28,11.32,10.86,10.90,18330500,10.90
2015-07-10,11.75,11.88,11.27,11.37,17519500,11.37
2015-07-09,11.77,11.88,11.59,11.68,21553300,11.68
2015-07-08,11.22,11.51,10.84,11.31,27062900,11.31
2015-07-07,10.42,11.90,9.94,11.46,42013300,11.46
2015-07-06,10.51,10.78,10.30,10.42,18394900,10.42
2015-07-02,10.69,10.81,10.61,10.77,15869100,10.77
2015-07-01,11.20,11.21,10.50,10.55,21769300,10.55
2015-06-30,11.15,11.31,10.97,11.17,18437500,11.17
2015-06-29,11.29,11.42,10.94,11.03,24182500,11.03
2015-06-26,11.06,11.17,11.00,11.16,20083100,11.16
2015-06-25,11.38,11.49,11.00,11.11,27912200,11.11
2015-06-24,11.74,11.93,11.55,11.55,15256800,11.55
2015-06-23,11.87,12.06,11.78,11.78,16744600,11.78
2015-06-22,11.77,11.99,11.57,11.89,11813200,11.89
2015-06-19,11.86,11.95,11.55,11.79,32632100,11.79
2015-06-18,12.15,12.23,11.86,11.88,23486300,11.88
2015-06-17,12.61,12.68,12.01,12.09,22226800,12.09
2015-06-16,12.19,12.55,12.11,12.53,18366400,12.53
2015-06-15,12.16,12.53,12.12,12.21,21138800,12.21
2015-06-12,12.44,12.48,12.10,12.25,20345200,12.25
2015-06-11,12.90,12.95,12.45,12.50,40257600,12.50
2015-06-10,13.35,13.45,13.00,13.06,24455800,13.06
2015-06-09,13.32,13.43,13.19,13.22,15191800,13.22
2015-06-08,13.15,13.26,12.92,13.16,21591000,13.16
2015-06-05,13.01,13.26,12.89,13.15,26038300,13.15
2015-06-04,13.42,13.47,12.98,13.04,32975000,13.04
2015-06-03,13.93,13.98,13.44,13.56,34130400,13.56
2015-06-02,13.91,14.10,13.85,14.05,20508200,14.05
2015-06-01,14.11,14.14,13.86,13.86,17873500,13.86
2015-05-29,14.09,14.27,13.92,14.11,24698300,14.11
2015-05-28,14.72,14.74,14.00,14.05,24765600,14.05
2015-05-27,14.87,15.04,14.68,14.76,14383500,14.76
2015-05-26,14.91,14.96,14.72,14.92,14280500,14.92
2015-05-22,15.13,15.37,15.03,15.06,10210900,15.06
2015-05-21,14.85,15.33,14.82,15.31,14934000,15.31
2015-05-20,14.64,14.91,14.43,14.75,15738300,14.75
2015-05-19,14.80,14.93,14.42,14.57,16869800,14.57
2015-05-18,14.85,14.92,14.55,14.89,15659500,14.89
2015-05-15,15.00,15.04,14.59,15.00,21636900,15.00
2015-05-14,15.28,15.57,15.03,15.09,20680300,15.09
2015-05-13,15.61,15.66,15.11,15.23,19246800,15.23
2015-05-12,15.30,15.76,15.20,15.45,19907500,15.45
2015-05-11,15.29,15.40,15.00,15.18,18409400,15.18
2015-05-08,14.72,15.29,14.36,15.28,28280500,15.28
2015-05-07,14.60,14.61,14.16,14.50,29876500,14.50
2015-05-06,16.379999,16.540001,14.58,14.72,43375400,14.72
2015-05-05,16.68,16.700001,15.82,15.86,26453200,15.86
2015-05-04,16.58,16.98,16.129999,16.389999,26139100,16.389999
2015-05-01,15.79,16.76,15.53,16.540001,38264500,16.540001
2015-04-30,15.17,15.84,14.75,15.77,35049900,15.77
2015-04-29,14.54,15.11,14.45,15.10,22722200,15.10
2015-04-28,14.43,14.65,14.38,14.55,16752800,14.55
2015-04-27,14.58,14.69,14.34,14.39,14078900,14.39
2015-04-24,14.48,14.70,14.43,14.54,14903300,14.54
2015-04-23,14.47,14.68,14.44,14.54,15650600,14.54
2015-04-22,14.67,14.71,14.29,14.41,24287400,14.41
2015-04-21,15.32,15.39,14.53,14.57,26231900,14.57
2015-04-20,15.47,15.65,15.29,15.30,16507000,15.30
2015-04-17,15.65,15.69,15.36,15.45,17486200,15.45
2015-04-16,16.040001,16.040001,15.42,15.87,24023700,15.87
2015-04-15,15.38,16.16,15.16,16.02,29539000,16.02
2015-04-14,14.92,15.34,14.92,15.25,15595900,15.25
2015-04-13,15.01,15.02,14.56,14.77,14108700,14.77
2015-04-10,15.26,15.31,14.90,14.93,13760400,14.842
2015-04-09,15.16,15.26,14.94,15.23,19092400,15.140231
2015-04-08,15.50,15.54,15.06,15.10,17931500,15.010998
2015-04-07,15.22,15.49,15.02,15.35,17773200,15.259525
2015-04-06,14.77,15.25,14.70,15.15,20884500,15.060703
2015-04-02,14.22,14.69,14.20,14.59,32122000,14.504004
2015-04-01,14.45,14.57,14.27,14.35,21191700,14.265419
2015-03-31,13.88,14.27,13.81,14.16,15440200,14.076538
2015-03-30,14.18,14.22,13.71,13.97,17454600,13.887659
2015-03-27,14.14,14.19,13.81,14.03,21465900,13.947304
2015-03-26,14.64,14.71,14.13,14.22,24486400,14.136185
2015-03-25,14.30,14.43,14.15,14.34,20375800,14.255478
2015-03-24,14.75,14.88,14.16,14.26,43433900,14.175949
2015-03-23,13.65,14.16,13.63,14.11,27331600,14.026833
2015-03-20,13.68,13.77,13.60,13.61,27555600,13.52978
2015-03-19,13.56,13.80,13.38,13.50,31063900,13.420429
2015-03-18,13.66,14.24,13.55,14.13,27449200,14.046715
2015-03-17,13.73,13.94,13.67,13.81,14446300,13.728602
2015-03-16,13.60,13.99,13.47,13.96,17314800,13.877717
2015-03-13,13.78,13.91,13.48,13.80,21039500,13.71866
2015-03-12,14.29,14.36,13.90,13.92,20944600,13.837953
2015-03-11,14.02,14.43,13.94,14.29,31401500,14.205772
2015-03-10,14.26,14.32,13.68,13.84,29754500,13.758425
2015-03-09,15.07,15.12,14.22,14.24,32218900,14.156067
2015-03-06,15.81,16.17,15.07,15.17,40038700,15.080585
2015-03-05,15.40,15.98,15.07,15.92,27401000,15.826165
2015-03-04,16.26,16.34,15.32,15.49,38182000,15.398699
2015-03-03,16.60,16.74,16.18,16.200001,25204000,16.104515
2015-03-02,16.68,16.709999,16.23,16.60,27736100,16.502157
