Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,68.059998,68.290001,67.800003,68.019997,3511000,68.019997
2015-07-30,68.75,68.800003,67.309998,68.019997,5486000,68.019997
2015-07-29,68.25,69.230003,68.129997,68.93,4962900,68.93
2015-07-28,67.440002,68.470001,67.269997,68.389999,5581700,68.389999
2015-07-27,66.760002,67.309998,66.540001,67.300003,3576300,67.300003
2015-07-24,67.010002,67.150002,66.779999,67.00,2317000,67.00
2015-07-23,67.00,67.18,66.809998,67.040001,2667900,67.040001
2015-07-22,66.940002,67.18,66.730003,67.00,2825500,67.00
2015-07-21,67.57,67.639999,66.769997,66.940002,2699400,66.940002
2015-07-20,67.370003,67.959999,67.139999,67.800003,2214900,67.420001
2015-07-17,67.360001,67.620003,67.199997,67.50,1792000,67.12168
2015-07-16,67.330002,67.730003,67.18,67.620003,1912000,67.24101
2015-07-15,67.040001,67.580002,66.760002,66.910004,3360300,66.53499
2015-07-14,67.50,67.50,66.93,67.269997,2143600,66.892966
2015-07-13,66.949997,67.50,66.910004,67.440002,2087300,67.062018
2015-07-10,66.760002,66.910004,66.529999,66.639999,2221800,66.266499
2015-07-09,67.150002,67.18,66.150002,66.169998,3004700,65.799132
2015-07-08,66.93,67.160004,66.449997,66.449997,2104600,66.077562
2015-07-07,66.139999,67.379997,65.959999,67.309998,2893500,66.932742
2015-07-06,65.68,66.309998,65.629997,65.959999,1835600,65.59031
2015-07-02,66.379997,66.580002,65.980003,66.160004,2024700,65.789194
2015-07-01,65.589996,66.190002,65.550003,66.160004,2986600,65.789194
2015-06-30,65.849998,65.879997,65.309998,65.410004,2786600,65.043397
2015-06-29,66.00,66.339996,65.370003,65.400002,2270400,65.033451
2015-06-26,66.760002,67.00,66.440002,66.50,2588200,66.127285
2015-06-25,66.510002,66.800003,66.32,66.459999,2680600,66.087508
2015-06-24,66.93,67.120003,66.480003,66.489998,2815400,66.117338
2015-06-23,67.07,67.269997,66.839996,67.010002,1727500,66.634428
2015-06-22,67.190002,67.57,67.089996,67.239998,3128700,66.863135
2015-06-19,66.790001,67.18,66.599998,66.900002,3674400,66.525044
2015-06-18,66.589996,67.529999,66.57,67.169998,4435100,66.793528
2015-06-17,66.080002,66.580002,66.00,66.410004,2356100,66.037793
2015-06-16,65.169998,66.080002,65.169998,65.980003,2204600,65.610202
2015-06-15,65.660004,65.900002,65.209999,65.339996,3378200,64.973782
2015-06-12,66.440002,66.440002,66.050003,66.290001,2543300,65.918462
2015-06-11,66.449997,66.739998,66.169998,66.550003,3863300,66.177007
2015-06-10,66.739998,67.470001,66.660004,67.07,4716500,66.69409
2015-06-09,65.43,66.519997,65.160004,66.029999,5780600,65.659918
2015-06-08,65.389999,65.540001,64.830002,65.339996,3079300,64.973782
2015-06-05,65.889999,66.00,64.959999,65.480003,5740400,65.113005
2015-06-04,66.209999,66.900002,65.849998,65.919998,3280400,65.550533
2015-06-03,66.800003,66.970001,66.50,66.57,2668200,66.196892
2015-06-02,66.870003,67.07,66.550003,66.730003,2537300,66.355999
2015-06-01,66.709999,67.120003,66.360001,66.900002,3447100,66.525044
2015-05-29,67.209999,67.349998,66.739998,66.790001,4755200,66.41566
2015-05-28,67.540001,67.629997,67.169998,67.330002,2077400,66.952634
2015-05-27,67.300003,67.75,67.279999,67.540001,3315600,67.161457
2015-05-26,68.419998,68.50,67.110001,67.150002,4847100,66.773643
2015-05-22,68.889999,68.900002,68.459999,68.50,1714600,68.116075
2015-05-21,68.809998,68.860001,68.470001,68.82,1808800,68.434281
2015-05-20,69.18,69.279999,68.889999,68.889999,2020700,68.503889
2015-05-19,68.669998,69.190002,68.489998,69.139999,2505800,68.752487
2015-05-18,68.489998,68.82,68.400002,68.610001,3359800,68.225459
2015-05-15,68.559998,68.900002,68.43,68.629997,1946000,68.245344
2015-05-14,68.019997,68.720001,68.010002,68.629997,2269900,68.245344
2015-05-13,68.019997,68.480003,67.489998,67.599998,2315500,67.221118
2015-05-12,67.519997,68.110001,67.330002,67.879997,3209000,67.499547
2015-05-11,67.910004,68.459999,67.82,67.830002,2187500,67.449832
2015-05-08,68.50,68.639999,67.980003,68.199997,3029900,67.817753
2015-05-07,67.970001,68.25,67.50,67.879997,2338200,67.499547
2015-05-06,67.75,67.870003,67.139999,67.790001,2248800,67.410055
2015-05-05,68.139999,68.239998,67.32,67.379997,3182200,67.00235
2015-05-04,67.830002,68.25,67.709999,67.860001,2377400,67.479663
2015-05-01,67.279999,67.699997,66.900002,67.68,3135600,67.300671
2015-04-30,67.489998,67.669998,66.779999,67.279999,5582300,66.902912
2015-04-29,68.489998,68.980003,68.300003,68.510002,4647300,68.126021
2015-04-28,68.790001,69.18,68.43,68.769997,2420700,68.384558
2015-04-27,69.300003,69.43,68.82,68.980003,2265400,68.593388
2015-04-24,69.25,69.459999,69.010002,69.169998,2282600,68.782318
2015-04-23,68.93,69.50,68.790001,69.220001,2378200,68.832041
2015-04-22,69.00,69.309998,68.690002,69.279999,2350100,68.891702
2015-04-21,68.639999,69.330002,68.639999,69.010002,2934100,68.623219
2015-04-20,68.699997,69.199997,68.309998,68.459999,4681500,67.698429
2015-04-17,69.690002,69.839996,68.980003,69.279999,2238000,68.509306
2015-04-16,69.959999,70.300003,69.660004,70.080002,2166500,69.30041
2015-04-15,69.720001,70.360001,69.620003,69.879997,2370700,69.10263
2015-04-14,69.040001,70.019997,69.00,69.629997,2468600,68.855411
2015-04-13,69.349998,69.769997,69.129997,69.309998,1553600,68.538971
2015-04-10,69.889999,70.040001,69.580002,69.610001,1708400,68.835637
2015-04-09,69.800003,70.059998,69.279999,69.959999,1853100,69.181742
2015-04-08,69.739998,70.25,69.419998,69.900002,1498700,69.122412
2015-04-07,69.93,70.440002,69.690002,69.709999,1777400,68.934523
2015-04-06,69.019997,70.300003,68.879997,69.949997,2021700,69.171851
2015-04-02,69.050003,69.449997,68.809998,69.330002,1914000,68.558753
2015-04-01,69.339996,69.339996,68.610001,69.089996,3075100,68.321418
2015-03-31,68.860001,69.739998,68.839996,69.339996,4180400,68.568637
2015-03-30,68.75,69.50,68.540001,69.290001,1967200,68.519197
2015-03-27,68.910004,69.089996,68.419998,68.75,2004200,67.985203
2015-03-26,68.720001,69.209999,68.480003,68.739998,2890600,67.975313
2015-03-25,69.709999,69.910004,68.82,68.889999,3458500,68.123645
2015-03-24,69.980003,70.650002,69.309998,69.309998,2849300,68.538971
2015-03-23,69.650002,70.389999,69.300003,70.169998,3123400,69.389405
2015-03-20,68.650002,69.610001,68.519997,69.559998,4508200,68.78619
2015-03-19,68.18,68.529999,67.809998,68.290001,2881200,67.530322
