Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,25.870001,26.60,25.790001,26.16,6070600,26.139999
2015-07-30,26.370001,26.620001,25.90,26.02,5292200,26.000107
2015-07-29,26.57,27.23,26.219999,26.40,8927000,26.379816
2015-07-28,26.469999,27.33,26.07,26.799999,9116200,26.779509
2015-07-27,25.889999,27.23,25.76,26.440001,11266900,26.419786
2015-07-24,25.51,27.24,25.50,26.50,10313200,26.479739
2015-07-23,27.870001,28.120001,26.68,27.60,10888600,27.578899
2015-07-22,28.27,28.450001,27.74,27.91,6632900,27.888661
2015-07-21,28.90,29.139999,28.33,28.440001,6854300,28.418257
2015-07-20,28.75,29.01,28.42,28.690001,5173500,28.668066
2015-07-17,29.43,29.65,28.98,29.01,4237500,28.987821
2015-07-16,29.549999,29.809999,29.389999,29.51,3262800,29.487438
2015-07-15,29.700001,29.940001,29.27,29.41,4135100,29.387514
2015-07-14,30.379999,30.379999,29.690001,29.90,4199900,29.87714
2015-07-13,29.49,29.799999,29.17,29.73,3987400,29.70727
2015-07-10,29.799999,29.969999,29.299999,29.299999,3721000,29.277598
2015-07-09,30.08,30.110001,29.58,29.58,3975000,29.557385
2015-07-08,30.34,30.459999,29.52,29.59,4177300,29.567377
2015-07-07,30.370001,30.610001,30.00,30.51,3876900,30.486674
2015-07-06,30.389999,30.889999,30.370001,30.60,3970700,30.576605
2015-07-02,31.24,31.41,30.98,31.030001,2823300,31.006277
2015-07-01,31.51,31.68,30.77,31.00,4527200,30.976299
2015-06-30,31.639999,31.76,31.27,31.540001,5692700,31.515887
2015-06-29,31.67,31.99,31.459999,31.469999,3323000,31.445939
2015-06-26,31.799999,32.110001,31.75,31.98,4370800,31.955549
2015-06-25,32.34,32.349998,31.74,31.91,4731500,31.885603
2015-06-24,32.599998,33.029999,32.25,32.32,4798700,32.295289
2015-06-23,33.130001,33.23,32.560001,32.619999,6428600,32.595059
2015-06-22,33.240002,33.360001,32.849998,33.209999,4675800,33.184608
2015-06-19,33.389999,33.610001,33.080002,33.110001,6293600,33.084686
2015-06-18,34.220001,34.470001,33.459999,33.580002,6224100,33.554328
2015-06-17,34.349998,34.48,33.790001,34.110001,2992000,34.083922
2015-06-16,33.880001,34.16,33.740002,34.09,2783200,34.063937
2015-06-15,33.650002,34.07,33.549999,33.900002,2376400,33.874083
2015-06-12,33.759998,33.900002,33.669998,33.799999,4498700,33.774157
2015-06-11,34.049999,34.200001,33.82,33.970001,3646700,33.944029
2015-06-10,34.259998,34.299999,33.470001,33.950001,5109600,33.924044
2015-06-09,34.490002,34.560001,33.880001,33.889999,4201300,33.864089
2015-06-08,33.84,34.009998,33.540001,33.810001,3279000,33.784152
2015-06-05,33.849998,34.369999,33.799999,33.849998,7292200,33.824118
2015-06-04,34.00,34.279999,33.959999,34.110001,8913400,34.083922
2015-06-03,34.080002,34.330002,33.91,34.139999,5920000,34.113898
2015-06-02,34.209999,34.419998,33.860001,34.169998,4340400,34.143874
2015-06-01,33.91,34.259998,33.849998,34.139999,5246800,34.113898
2015-05-29,33.919998,34.099998,33.619999,33.959999,4789300,33.934035
2015-05-28,34.57,34.57,33.650002,33.849998,4149000,33.824118
2015-05-27,34.59,34.799999,34.349998,34.630001,4951700,34.603525
2015-05-26,34.73,34.990002,34.41,34.700001,4775400,34.673471
2015-05-22,34.82,35.369999,34.59,35.099998,3180600,35.073163
2015-05-21,35.110001,35.290001,34.900002,34.990002,5112400,34.96325
2015-05-20,34.98,35.119999,34.66,34.950001,4407400,34.92328
2015-05-19,35.00,35.290001,34.75,35.00,6611200,34.973241
2015-05-18,35.380001,35.400002,34.93,35.150002,5873200,35.123128
2015-05-15,35.18,35.599998,34.91,35.400002,5515100,35.372936
2015-05-14,35.150002,35.639999,35.009998,35.32,5214500,35.292996
2015-05-13,35.220001,35.279999,34.990002,35.119999,6069200,35.093148
2015-05-12,35.009998,35.310001,34.84,35.130001,6230600,35.103142
2015-05-11,35.060001,35.07,34.639999,34.970001,6094500,34.943265
2015-05-08,34.599998,35.09,34.060001,35.060001,5940800,35.033196
2015-05-07,34.029999,34.380001,33.900002,34.25,5837700,34.223814
2015-05-06,34.279999,34.52,33.970001,34.119999,6134400,34.093913
2015-05-05,34.52,34.529999,33.799999,33.959999,6913700,33.934035
2015-05-04,34.119999,34.349998,33.77,34.330002,5079000,34.283771
2015-05-01,33.790001,34.07,33.490002,33.93,5222700,33.884309
2015-04-30,33.82,34.240002,33.00,33.82,6667900,33.774456
2015-04-29,33.290001,34.060001,33.220001,33.669998,6124700,33.624657
2015-04-28,32.799999,33.639999,32.799999,33.580002,6613300,33.534781
2015-04-27,32.939999,33.380001,32.66,32.720001,4685100,32.675939
2015-04-24,33.380001,33.439999,32.00,33.029999,9207600,32.985519
2015-04-23,32.869999,33.549999,32.740002,32.98,5851200,32.935587
2015-04-22,32.810001,33.139999,32.57,32.75,6011300,32.705897
2015-04-21,32.900002,33.029999,32.560001,32.759998,4840200,32.715882
2015-04-20,32.77,33.25,32.630001,32.900002,5393100,32.855697
2015-04-17,32.740002,33.150002,32.57,32.869999,6988300,32.825735
2015-04-16,32.59,33.23,32.25,33.029999,6457800,32.985519
2015-04-15,31.66,32.810001,31.459999,32.779999,8426400,32.735856
2015-04-14,30.959999,31.530001,30.950001,31.50,5856400,31.457581
2015-04-13,31.27,31.309999,30.690001,30.75,3359800,30.708591
2015-04-10,31.60,31.66,30.950001,31.00,4452800,30.958254
2015-04-09,30.83,31.690001,30.629999,31.58,5588500,31.537473
2015-04-08,30.959999,31.07,30.549999,30.67,2706000,30.628698
2015-04-07,30.610001,31.030001,30.51,30.790001,4460500,30.748538
2015-04-06,30.870001,30.90,30.09,30.49,5339100,30.44894
2015-04-02,29.83,30.809999,29.799999,30.76,5141200,30.718577
2015-04-01,29.48,30.25,29.48,30.02,7368900,29.979574
2015-03-31,28.969999,29.83,28.77,29.530001,4109000,29.490234
2015-03-30,28.90,29.299999,28.57,29.24,4418500,29.200624
2015-03-27,28.82,29.07,28.58,28.66,4052300,28.621405
2015-03-26,29.719999,29.85,28.690001,28.98,4315400,28.940974
2015-03-25,29.120001,29.50,28.59,29.299999,5572700,29.260542
2015-03-24,28.530001,29.00,28.459999,28.91,3760000,28.871068
2015-03-23,28.65,28.73,28.299999,28.50,4125200,28.461621
2015-03-20,28.66,28.77,28.440001,28.690001,4910300,28.651365
2015-03-19,28.049999,28.51,27.92,28.32,5900900,28.281863
2015-03-18,27.66,28.639999,27.50,28.48,6872300,28.441647
2015-03-17,28.879999,28.879999,27.950001,28.07,6302800,28.032199
2015-03-16,27.92,28.23,27.68,28.219999,4774000,28.181997
2015-03-13,27.60,28.17,27.209999,28.120001,5922300,28.082133
2015-03-12,28.09,28.23,27.65,27.85,4956100,27.812496
2015-03-11,26.950001,28.049999,26.83,27.92,4873500,27.882402
2015-03-10,27.35,27.74,26.90,26.90,5120200,26.863775
2015-03-09,27.84,27.91,27.299999,27.530001,9183200,27.492927
2015-03-06,28.23,28.469999,27.83,27.92,4120800,27.882402
2015-03-05,28.52,28.74,27.809999,28.52,5415400,28.481594
2015-03-04,29.440001,29.440001,28.66,28.73,5799400,28.69131
2015-03-03,29.16,29.559999,28.860001,29.190001,5587100,29.150692
2015-03-02,29.00,29.40,28.700001,29.15,7599300,29.110745
2015-02-27,29.02,29.309999,28.610001,29.00,7096600,28.960947
2015-02-26,29.75,29.75,28.24,28.90,7464600,28.861081
2015-02-25,28.41,30.01,28.40,29.91,8568300,29.869722
2015-02-24,27.75,28.530001,27.389999,28.40,6668900,28.361755
2015-02-23,27.639999,28.15,27.32,27.58,6400800,27.542859
2015-02-20,27.629999,28.879999,27.59,28.059999,7023400,28.022213
2015-02-19,26.82,27.85,26.799999,27.709999,6112500,27.672683
2015-02-18,27.780001,28.18,27.469999,27.52,6345700,27.482941
2015-02-17,27.92,28.190001,27.719999,28.08,3928800,28.042186
2015-02-13,28.24,28.34,27.870001,28.10,4111300,28.06216
2015-02-12,28.559999,28.700001,27.790001,27.92,6487900,27.882402
2015-02-11,27.74,28.66,27.65,28.09,7236700,28.052173
2015-02-10,27.26,28.469999,26.809999,28.16,11004300,28.122078
2015-02-09,26.969999,27.60,26.969999,27.219999,6232400,27.183344
2015-02-06,26.870001,27.280001,26.700001,26.83,6058700,26.793869
2015-02-05,26.85,27.129999,26.450001,26.66,7082000,26.624098
2015-02-04,27.10,27.110001,26.459999,26.629999,10036000,26.594138
2015-02-03,27.700001,27.780001,27.049999,27.51,10656500,27.472954
2015-02-02,26.860001,27.379999,26.549999,27.360001,5782100,27.323156
2015-01-30,26.290001,26.889999,26.09,26.50,7169600,26.464314
2015-01-29,27.209999,27.299999,26.32,26.58,8114100,26.544206
2015-01-28,27.90,28.02,26.01,27.07,17691600,27.033546
2015-01-27,28.559999,28.98,28.34,28.48,5440800,28.421674
2015-01-26,28.49,28.91,28.43,28.709999,4529000,28.651202
2015-01-23,28.76,29.24,28.450001,28.48,6014300,28.421674
2015-01-22,29.09,29.09,27.870001,28.58,8969100,28.521469
2015-01-21,29.139999,29.34,28.75,29.02,6897900,28.960569
2015-01-20,28.75,28.889999,28.07,28.82,5686600,28.760978
2015-01-16,28.85,29.09,28.25,29.040001,8665200,28.980528
2015-01-15,29.51,30.10,28.629999,28.780001,6729700,28.721061
2015-01-14,29.559999,29.93,28.84,29.51,8299800,29.449565
2015-01-13,29.60,29.90,29.00,29.66,7748000,29.599257
2015-01-12,29.530001,29.84,29.190001,29.360001,6364900,29.299873
2015-01-09,28.84,30.389999,28.84,30.049999,9221000,29.988458
2015-01-08,28.280001,28.90,27.870001,28.860001,6670100,28.800897
2015-01-07,28.49,28.59,27.91,28.290001,5403900,28.232064
2015-01-06,28.32,28.719999,27.52,28.049999,8000600,27.992554
2015-01-05,29.540001,29.92,28.42,28.450001,7466900,28.391736
2015-01-02,29.469999,30.379999,29.41,30.10,4087500,30.038357
2014-12-31,29.43,30.040001,29.40,29.610001,3881100,29.549361
2014-12-30,29.690001,30.02,29.18,29.77,4083200,29.709033
2014-12-29,30.110001,30.40,29.559999,29.860001,7004100,29.798849
2014-12-26,30.469999,30.74,29.809999,29.879999,4494300,29.818806
2014-12-24,30.450001,30.85,30.120001,30.209999,4158100,30.14813
2014-12-23,30.74,31.120001,30.25,30.60,7300600,30.537333
2014-12-22,30.879999,31.33,30.10,30.530001,7416100,30.467477
2014-12-19,32.619999,32.889999,30.719999,31.780001,11810500,31.714917
2014-12-18,32.830002,33.080002,31.209999,32.439999,8923900,32.373563
2014-12-17,30.51,32.099998,30.35,31.66,8595100,31.595162
2014-12-16,29.360001,31.42,29.309999,30.219999,7685900,30.15811
2014-12-15,30.23,30.66,29.780001,29.799999,6575000,29.73897
2014-12-12,29.049999,30.459999,29.040001,30.09,7591500,30.028377
2014-12-11,29.41,30.00,29.32,29.530001,5684700,29.469525
2014-12-10,29.85,29.879999,29.209999,29.51,7025000,29.449565
2014-12-09,29.66,30.809999,29.65,30.360001,6254600,30.297825
2014-12-08,30.26,30.610001,29.870001,30.15,7507800,30.088254
2014-12-05,31.16,31.25,30.23,30.809999,5959300,30.746902
2014-12-04,31.07,31.68,30.799999,31.10,6723500,31.036309
2014-12-03,31.889999,32.150002,31.15,31.360001,5999900,31.295777
2014-12-02,32.900002,33.310001,31.309999,31.42,11060100,31.355653
2014-12-01,32.779999,33.57,32.330002,33.200001,8718300,33.132009
2014-11-28,32.130001,34.009998,31.969999,33.040001,6153200,32.972336
2014-11-26,33.970001,33.98,33.290001,33.419998,3879600,33.351555
2014-11-25,34.599998,34.849998,33.889999,34.200001,6004900,34.129961
2014-11-24,34.23,34.709999,34.02,34.619999,5535800,34.549099
2014-11-21,35.23,35.240002,34.240002,34.439999,6510500,34.369467
2014-11-20,33.990002,35.040001,33.990002,34.709999,6128400,34.638915
2014-11-19,33.669998,34.50,33.450001,34.040001,5757200,33.970288
2014-11-18,33.43,34.040001,33.099998,33.27,4193700,33.201865
2014-11-17,33.580002,34.110001,33.419998,33.529999,5250200,33.461331
2014-11-14,32.919998,33.849998,32.759998,33.619999,5194700,33.551147
2014-11-13,32.970001,33.25,32.240002,32.700001,6188000,32.633033
2014-11-12,33.279999,33.810001,33.060001,33.470001,4091600,33.401456
2014-11-11,32.860001,33.73,32.860001,33.59,3417000,33.521209
2014-11-10,33.799999,34.200001,32.98,33.200001,6531100,33.132009
2014-11-07,32.82,33.799999,32.799999,33.619999,8620500,33.551147
2014-11-06,31.51,32.709999,31.360001,32.700001,5200900,32.633033
2014-11-05,31.17,31.950001,30.98,31.73,5916900,31.665018
2014-11-04,30.41,30.91,29.870001,30.73,5129800,30.667066
2014-11-03,31.440001,31.75,30.67,30.809999,4491400,30.726942
2014-10-31,30.66,31.120001,30.129999,31.10,6340000,31.016161
2014-10-30,31.41,31.450001,30.209999,30.389999,8546700,30.308074
2014-10-29,31.91,32.380001,31.26,31.60,7421100,31.514813
2014-10-28,30.73,31.77,30.379999,31.629999,4669800,31.544731
2014-10-27,30.48,30.969999,29.959999,30.549999,5075900,30.467643
2014-10-24,32.02,32.790001,30.049999,31.23,8483200,31.14581
2014-10-23,30.67,31.73,30.620001,31.440001,6190700,31.355245
2014-10-22,31.639999,31.799999,30.440001,30.49,6633200,30.407805
