Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,44.150002,44.400002,43.880001,44.34,5944900,44.34
2015-07-30,44.16,44.369999,43.639999,44.029999,5297100,44.029999
2015-07-29,44.810001,45.330002,43.849998,44.18,10280900,44.18
2015-07-28,43.93,44.950001,43.900002,44.91,7521300,44.91
2015-07-27,43.599998,44.18,43.049999,43.93,7295800,43.93
2015-07-24,45.610001,45.639999,43.759998,44.099998,8545400,44.099998
2015-07-23,46.299999,46.639999,45.049999,45.16,11380900,45.16
2015-07-22,44.509998,45.419998,44.459999,45.220001,8986600,45.220001
2015-07-21,44.080002,44.73,44.080002,44.650002,6138200,44.650002
2015-07-20,45.099998,45.099998,43.959999,44.09,7349400,44.09
2015-07-17,44.650002,45.099998,44.380001,44.939999,9616300,44.939999
2015-07-16,44.50,44.869999,44.189999,44.470001,12726100,44.470001
2015-07-15,42.59,44.43,42.400002,43.990002,23554000,43.990002
2015-07-14,42.950001,43.959999,42.610001,43.66,13551100,43.66
2015-07-13,43.209999,43.52,43.00,43.369999,10094800,43.369999
2015-07-10,41.450001,42.720001,41.310001,42.459999,13708100,42.459999
2015-07-09,40.580002,41.09,40.490002,40.549999,8253600,40.549999
2015-07-08,40.459999,40.880001,40.009998,40.169998,8610400,40.169998
2015-07-07,40.669998,41.299999,39.959999,41.18,9118600,41.18
2015-07-06,39.880001,40.790001,39.880001,40.48,9674300,40.48
2015-07-02,40.23,41.029999,39.75,40.00,11293200,40.00
2015-07-01,41.75,41.810001,38.810001,40.27,30785800,40.27
2015-06-30,41.68,41.830002,41.029999,41.080002,10196000,41.080002
2015-06-29,41.77,42.450001,41.080002,41.119999,7863200,41.119999
2015-06-26,42.779999,42.900002,42.060001,42.349998,9554800,42.349998
2015-06-25,42.98,43.380001,42.57,42.599998,6197900,42.599998
2015-06-24,42.970001,43.130001,42.50,42.66,7391200,42.66
2015-06-23,43.380001,43.709999,43.00,43.099998,7772700,43.099998
2015-06-22,42.720001,43.080002,42.360001,42.93,10354300,42.93
2015-06-19,41.990002,42.810001,41.830002,41.990002,10918100,41.990002
2015-06-18,40.669998,41.43,40.459999,41.349998,7179300,41.349998
