Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,76.660004,78.25,76.400002,78.029999,1828700,78.029999
2015-07-30,77.120003,77.900002,77.089996,77.589996,1794900,77.589996
2015-07-29,77.93,78.489998,77.300003,77.589996,2189200,77.589996
2015-07-28,78.190002,78.50,77.389999,78.139999,2188600,78.139999
2015-07-27,78.370003,78.57,77.389999,77.739998,1723700,77.739998
2015-07-24,78.510002,78.830002,77.809998,78.529999,2300500,78.529999
2015-07-23,79.160004,79.260002,78.00,78.239998,2461800,78.239998
2015-07-22,80.589996,80.690002,78.93,79.209999,3168800,79.209999
2015-07-21,81.610001,81.739998,79.760002,79.82,2289400,79.82
2015-07-20,81.269997,82.120003,81.019997,81.540001,1169200,81.540001
2015-07-17,82.019997,82.540001,81.419998,81.669998,1702800,81.669998
2015-07-16,82.029999,82.25,81.440002,82.18,1400000,82.18
2015-07-15,82.470001,82.550003,81.330002,81.800003,1547500,81.800003
2015-07-14,82.260002,82.68,81.650002,82.400002,1916900,82.400002
2015-07-13,81.150002,82.169998,80.900002,82.110001,1725000,82.110001
2015-07-10,79.900002,80.720001,79.32,80.470001,1454200,80.470001
2015-07-09,79.730003,79.839996,78.620003,78.980003,2546300,78.980003
2015-07-08,79.650002,79.879997,78.830002,79.220001,3351800,79.220001
2015-07-07,80.419998,80.599998,78.50,80.339996,3193900,80.339996
2015-07-06,79.400002,80.760002,79.040001,80.080002,4565400,80.080002
2015-07-02,80.110001,80.580002,79.510002,79.809998,2191300,79.809998
2015-07-01,79.43,80.190002,79.010002,80.110001,1809000,80.110001
2015-06-30,80.199997,80.790001,78.279999,78.989998,2472600,78.989998
2015-06-29,80.980003,81.800003,79.209999,79.349998,2259100,79.349998
2015-06-26,80.769997,81.709999,80.480003,81.660004,2180000,81.660004
2015-06-25,80.620003,80.959999,80.260002,80.459999,1404200,80.459999
2015-06-24,80.400002,80.980003,80.169998,80.57,1375500,80.57
2015-06-23,80.330002,81.029999,80.089996,80.370003,1414700,80.370003
2015-06-22,80.080002,80.68,79.949997,80.639999,1436300,80.639999
2015-06-19,80.370003,80.839996,79.559998,79.559998,2178300,79.559998
2015-06-18,79.959999,81.129997,79.959999,80.309998,1833400,80.309998
2015-06-17,78.970001,79.900002,78.620003,79.720001,2124100,79.720001
2015-06-16,77.370003,78.75,77.370003,78.550003,1326900,78.550003
2015-06-15,78.129997,78.489998,77.610001,77.910004,1332600,77.910004
2015-06-12,78.449997,79.440002,78.370003,78.769997,1568000,78.769997
2015-06-11,78.620003,79.209999,78.290001,78.629997,1641800,78.629997
2015-06-10,77.410004,78.309998,76.93,78.230003,1724000,78.230003
2015-06-09,77.00,77.400002,76.269997,77.089996,1696500,77.089996
2015-06-08,77.50,77.910004,77.059998,77.110001,1215600,77.110001
2015-06-05,78.620003,78.959999,77.400002,77.639999,2244900,77.639999
2015-06-04,78.480003,79.860001,77.889999,78.830002,2661200,78.830002
2015-06-03,77.949997,79.32,77.379997,79.080002,2693200,79.080002
2015-06-02,76.589996,78.470001,76.339996,77.690002,3101400,77.690002
2015-06-01,74.650002,77.279999,74.650002,76.980003,3103400,76.980003
2015-05-29,75.919998,76.309998,74.860001,74.989998,2136600,74.989998
2015-05-28,76.360001,76.739998,75.660004,76.190002,1636900,76.190002
2015-05-27,75.720001,76.540001,75.540001,76.339996,1677100,76.339996
2015-05-26,77.139999,77.519997,75.349998,75.50,2928000,75.50
2015-05-22,78.25,78.489998,76.970001,77.18,3708800,77.18
2015-05-21,75.050003,80.220001,74.510002,78.68,8596600,78.68
2015-05-20,77.660004,77.699997,76.029999,76.260002,3490300,76.260002
