Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,73.989998,74.529999,73.330002,73.760002,1154600,73.760002
2015-07-30,73.080002,74.050003,72.400002,73.800003,1088600,73.800003
2015-07-29,72.879997,73.68,72.449997,73.18,1211100,73.18
2015-07-28,72.309998,72.489998,71.779999,72.43,1097100,72.43
2015-07-27,72.949997,73.080002,72.050003,72.309998,1205000,72.309998
2015-07-24,75.139999,75.139999,72.889999,73.07,1713000,73.07
2015-07-23,75.00,75.599998,74.459999,74.870003,1881500,74.870003
2015-07-22,73.120003,75.120003,73.019997,74.589996,2445200,74.589996
2015-07-21,72.919998,73.099998,72.25,73.010002,1007600,73.010002
2015-07-20,72.690002,73.720001,72.599998,72.949997,1046800,72.949997
2015-07-17,72.919998,72.970001,72.32,72.589996,751900,72.589996
2015-07-16,71.699997,73.00,71.50,72.949997,1375200,72.949997
2015-07-15,72.43,72.459999,71.349998,71.389999,755600,71.389999
2015-07-14,72.379997,72.519997,71.870003,72.339996,1126300,72.339996
2015-07-13,72.690002,72.980003,72.220001,72.370003,1292500,72.370003
2015-07-10,72.349998,72.370003,71.620003,72.160004,649300,72.160004
2015-07-09,72.199997,72.870003,71.480003,71.559998,1916600,71.559998
2015-07-08,71.059998,71.480003,70.620003,70.839996,1150600,70.839996
2015-07-07,70.870003,72.220001,70.489998,72.099998,1671200,71.549996
2015-07-06,70.230003,70.730003,69.910004,70.690002,1548000,70.150756
2015-07-02,70.660004,70.889999,69.919998,70.309998,1459800,69.77365
2015-07-01,71.690002,71.760002,70.059998,70.220001,1997600,69.68434
2015-06-30,71.940002,72.00,70.82,71.080002,1806400,70.537781
2015-06-29,72.120003,72.510002,71.160004,71.199997,2238400,70.65686
2015-06-26,71.599998,73.00,71.239998,72.959999,3065700,72.403437
2015-06-25,71.540001,72.080002,71.169998,71.230003,1706700,70.686638
2015-06-24,69.199997,71.529999,68.940002,70.839996,3670000,70.299606
2015-06-23,73.040001,73.400002,69.360001,69.389999,7588900,68.86067
2015-06-22,69.360001,69.50,68.879997,69.379997,1530700,68.850744
2015-06-19,68.989998,69.410004,68.610001,68.870003,1290200,68.34464
2015-06-18,68.760002,69.400002,68.540001,69.160004,987400,68.632429
2015-06-17,67.870003,68.339996,67.800003,68.260002,853100,67.739293
2015-06-16,68.169998,68.480003,67.790001,67.940002,812700,67.421734
2015-06-15,67.669998,68.199997,66.830002,68.129997,1077200,67.61028
2015-06-12,67.870003,68.440002,67.190002,68.110001,1528400,67.590436
2015-06-11,67.089996,67.610001,66.839996,67.050003,997800,66.538524
2015-06-10,65.029999,67.120003,64.910004,66.949997,1495600,66.439281
2015-06-09,65.190002,65.370003,64.760002,65.010002,953800,64.514085
