Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,78.629997,79.610001,78.400002,79.029999,611200,79.029999
2015-07-30,79.050003,79.360001,78.269997,78.629997,755800,78.629997
2015-07-29,79.160004,79.410004,78.669998,79.07,513000,79.07
2015-07-28,78.599998,79.040001,77.779999,79.019997,578100,79.019997
2015-07-27,79.199997,79.209999,78.209999,78.43,790000,78.43
2015-07-24,79.910004,79.959999,79.129997,79.389999,519400,79.389999
2015-07-23,80.290001,80.989998,79.910004,80.129997,602700,80.129997
2015-07-22,79.660004,80.25,79.629997,80.059998,1034500,80.059998
2015-07-21,80.00,80.260002,79.07,79.620003,1124700,79.620003
2015-07-20,79.970001,80.279999,79.760002,79.879997,851400,79.879997
2015-07-17,79.839996,80.019997,79.510002,79.970001,1263500,79.970001
2015-07-16,79.989998,80.410004,79.599998,79.839996,581300,79.839996
2015-07-15,80.260002,80.400002,79.620003,79.669998,981900,79.669998
2015-07-14,79.709999,80.220001,79.440002,80.07,1162100,80.07
2015-07-13,79.709999,79.860001,78.910004,79.50,973100,79.50
2015-07-10,79.50,79.519997,79.120003,79.300003,942500,79.300003
2015-07-09,79.75,79.75,78.790001,78.82,884800,78.82
2015-07-08,79.160004,79.50,78.669998,78.809998,889700,78.809998
2015-07-07,79.940002,80.040001,78.849998,79.660004,1200000,79.660004
2015-07-06,78.529999,80.110001,78.529999,79.550003,2066900,79.550003
2015-07-02,79.540001,79.769997,78.940002,78.940002,1252100,78.940002
2015-07-01,79.959999,80.400002,79.199997,79.32,1735800,79.32
2015-06-30,79.970001,80.150002,79.309998,79.470001,1737500,79.470001
2015-06-29,80.209999,81.209999,79.559998,79.610001,1215000,79.610001
2015-06-26,80.980003,81.379997,80.860001,81.080002,1525300,81.080002
2015-06-25,80.57,81.349998,79.75,80.910004,1538800,80.910004
2015-06-24,81.550003,81.550003,80.190002,80.190002,979600,80.190002
2015-06-23,82.110001,82.309998,81.489998,81.57,836300,81.57
2015-06-22,83.330002,83.330002,82.040001,82.129997,1260700,82.129997
2015-06-19,81.440002,82.370003,81.019997,82.190002,2855200,82.190002
2015-06-18,81.449997,81.760002,80.900002,81.449997,887100,81.449997
2015-06-17,81.699997,81.699997,80.730003,81.07,969800,81.07
2015-06-16,81.209999,82.00,81.209999,81.510002,821000,81.510002
2015-06-15,81.040001,81.510002,80.779999,81.279999,730900,81.279999
2015-06-12,81.739998,82.139999,81.309998,81.400002,483900,81.400002
2015-06-11,82.019997,82.379997,81.739998,82.190002,689300,82.190002
2015-06-10,81.75,82.019997,81.440002,81.68,970000,81.68
2015-06-09,82.00,82.470001,81.43,81.489998,791700,81.489998
2015-06-08,82.309998,82.699997,81.809998,81.870003,1063000,81.870003
2015-06-05,82.379997,82.75,81.849998,82.540001,633700,82.540001
2015-06-04,83.629997,83.93,82.449997,82.599998,852400,82.599998
2015-06-03,84.00,84.120003,83.57,83.959999,474300,83.959999
2015-06-02,83.839996,83.919998,83.269997,83.82,679500,83.82
2015-06-01,83.940002,84.400002,83.389999,83.879997,682500,83.879997
2015-05-29,84.18,84.400002,83.25,83.779999,926300,83.779999
2015-05-28,84.010002,84.339996,83.769997,84.230003,712000,84.230003
2015-05-27,83.809998,84.080002,83.589996,84.059998,671500,84.059998
2015-05-26,84.019997,84.160004,83.68,83.75,784000,83.75
2015-05-22,83.389999,84.339996,83.309998,84.089996,715300,84.089996
2015-05-21,83.459999,83.68,83.050003,83.489998,681700,83.489998
2015-05-20,83.089996,83.730003,82.860001,83.690002,778900,83.690002
2015-05-19,83.00,83.529999,82.699997,83.199997,669200,83.199997
2015-05-18,81.610001,82.940002,81.260002,82.699997,1110300,82.699997
2015-05-15,81.889999,82.199997,81.019997,81.480003,1316900,81.480003
2015-05-14,81.400002,81.910004,81.209999,81.860001,957900,81.860001
2015-05-13,81.269997,81.699997,80.889999,80.980003,822000,80.980003
2015-05-12,81.07,81.300003,80.620003,80.919998,1545600,80.919998
2015-05-11,82.18,82.370003,81.510002,81.589996,818700,81.589996
2015-05-08,82.489998,82.919998,82.080002,82.169998,712300,82.169998
2015-05-07,81.330002,82.019997,81.330002,81.760002,1072700,81.760002
2015-05-06,81.919998,82.059998,81.169998,81.410004,1057200,81.410004
2015-05-05,80.580002,83.279999,80.410004,81.510002,1505500,81.510002
2015-05-04,82.690002,83.019997,82.25,82.339996,944300,82.339996
2015-05-01,81.690002,82.449997,81.610001,82.400002,1061100,82.400002
2015-04-30,82.489998,82.699997,80.989998,81.099998,1155500,81.099998
2015-04-29,83.260002,83.360001,81.809998,82.639999,577200,82.639999
2015-04-28,83.690002,84.00,82.059998,83.589996,744700,83.589996
2015-04-27,85.099998,85.169998,83.639999,83.790001,1361700,83.790001
