Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,71.029999,72.730003,70.50,71.550003,5699000,71.550003
2015-07-30,72.010002,72.650002,71.029999,72.300003,3579300,72.300003
2015-07-29,71.910004,72.50,71.089996,72.18,2654000,72.18
2015-07-28,72.019997,72.489998,71.150002,71.800003,3378800,71.800003
2015-07-27,72.43,72.839996,70.959999,71.220001,3418800,71.220001
2015-07-24,71.809998,72.510002,71.239998,72.290001,4278700,72.290001
2015-07-23,73.32,73.580002,71.760002,71.809998,3523100,71.809998
2015-07-22,73.639999,73.839996,71.889999,72.919998,4835900,72.919998
2015-07-21,75.040001,75.099998,73.339996,73.68,2444200,73.68
2015-07-20,74.480003,74.919998,73.610001,74.790001,2696600,74.790001
2015-07-17,72.949997,73.550003,72.389999,73.470001,3737200,73.470001
2015-07-16,72.800003,73.230003,72.400002,72.970001,4410100,72.970001
2015-07-15,72.519997,72.989998,72.330002,72.50,4731000,72.50
2015-07-14,73.559998,73.599998,72.029999,72.25,6255000,72.25
2015-07-13,72.410004,73.849998,72.410004,73.540001,3611000,73.540001
2015-07-10,71.25,72.50,70.809998,72.07,3838700,72.07
2015-07-09,69.889999,70.940002,69.68,70.50,4394700,70.50
2015-07-08,69.580002,69.940002,68.82,69.00,4504400,69.00
2015-07-07,69.059998,69.949997,67.959999,69.889999,4890600,69.889999
2015-07-06,67.139999,68.300003,67.120003,68.010002,3581900,68.010002
2015-07-02,68.480003,68.480003,67.220001,67.800003,1648900,67.800003
2015-07-01,67.370003,68.220001,67.089996,68.00,2611200,68.00
2015-06-30,66.599998,66.980003,66.18,66.50,3122500,66.50
2015-06-29,66.769997,67.379997,66.080002,66.220001,1951900,66.220001
2015-06-26,67.519997,68.00,66.889999,67.629997,4333700,67.629997
2015-06-25,67.940002,68.269997,67.43,67.449997,2107800,67.449997
2015-06-24,67.730003,68.25,67.059998,67.68,3315400,67.68
2015-06-23,66.800003,67.489998,66.150002,66.580002,2514100,66.580002
2015-06-22,66.199997,67.120003,66.010002,66.620003,2588300,66.620003
2015-06-19,65.269997,66.330002,64.660004,65.949997,4132500,65.949997
2015-06-18,64.440002,65.669998,64.150002,65.269997,3937700,65.269997
2015-06-17,63.07,64.650002,63.040001,64.480003,3284000,64.480003
2015-06-16,61.560001,62.93,61.560001,62.860001,2635700,62.860001
2015-06-15,62.060001,62.060001,61.380001,61.57,2068900,61.57
2015-06-12,62.540001,63.009998,62.040001,62.75,1657700,62.75
2015-06-11,62.48,62.82,62.150002,62.59,1508600,62.59
2015-06-10,62.139999,62.68,61.509998,62.529999,1610400,62.529999
2015-06-09,61.580002,62.00,61.110001,61.779999,1530900,61.779999
2015-06-08,63.07,63.18,61.490002,61.66,1956700,61.66
2015-06-05,62.599998,63.139999,62.09,62.900002,2040000,62.900002
2015-06-04,63.09,63.450001,62.50,62.630001,1381300,62.630001
2015-06-03,63.330002,63.689999,63.02,63.369999,1219200,63.369999
2015-06-02,62.50,63.459999,62.459999,62.98,2123400,62.98
2015-06-01,63.060001,63.299999,62.200001,62.889999,1960300,62.889999
2015-05-29,63.07,64.150002,62.669998,62.759998,2351100,62.759998
2015-05-28,63.330002,64.300003,63.23,63.27,1929600,63.27
2015-05-27,62.610001,63.970001,62.610001,63.860001,3472600,63.860001
2015-05-26,62.57,62.970001,62.27,62.529999,2305200,62.529999
2015-05-22,62.599998,63.130001,62.380001,62.560001,2137300,62.560001
2015-05-21,62.259998,62.91,61.610001,62.689999,2425800,62.689999
2015-05-20,62.52,62.630001,61.84,62.240002,1793600,62.240002
2015-05-19,62.560001,62.98,62.400002,62.610001,4201900,62.610001
2015-05-18,62.549999,63.50,62.540001,63.299999,1985900,63.299999
2015-05-15,62.810001,63.32,62.490002,62.880001,1977700,62.880001
2015-05-14,62.299999,63.119999,61.950001,63.09,2955200,63.09
2015-05-13,62.00,62.220001,60.84,61.73,3028100,61.73
2015-05-12,62.240002,62.900002,61.599998,62.459999,2667400,62.459999
2015-05-11,61.900002,63.459999,61.599998,62.59,4823000,62.59
2015-05-08,61.00,62.240002,60.830002,61.880001,3294300,61.880001
2015-05-07,61.209999,61.450001,60.16,60.27,4078900,60.27
2015-05-06,61.349998,63.25,60.540001,60.93,12654300,60.93
2015-05-05,59.41,59.68,58.549999,59.16,4571100,59.16
2015-05-04,59.52,59.580002,58.490002,59.310001,3425300,59.310001
2015-05-01,58.25,59.52,58.110001,59.330002,2256300,59.330002
2015-04-30,58.369999,58.869999,57.630001,58.09,2578400,58.09
2015-04-29,58.880001,59.509998,58.200001,58.619999,1959600,58.619999
2015-04-28,59.700001,60.139999,58.619999,59.110001,2695900,59.110001
2015-04-27,59.990002,60.630001,59.689999,59.84,3178200,59.84
2015-04-24,59.900002,59.91,59.380001,59.889999,1824100,59.889999
2015-04-23,59.759998,60.279999,59.439999,59.880001,2476500,59.880001
2015-04-22,59.34,59.889999,59.029999,59.810001,2569200,59.810001
2015-04-21,57.540001,59.130001,57.360001,59.029999,4089800,59.029999
2015-04-20,56.439999,57.32,56.099998,57.290001,2048600,57.290001
2015-04-17,56.400002,56.580002,55.52,56.029999,2853600,56.029999
2015-04-16,56.82,57.049999,56.610001,56.860001,1372200,56.860001
