Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,59.700001,61.240002,59.700001,60.009998,2487000,60.009998
2015-07-30,58.84,59.759998,58.639999,59.529999,1162200,59.529999
2015-07-29,58.75,59.099998,58.34,59.080002,1694400,59.080002
2015-07-28,58.869999,59.07,58.32,58.880001,2062900,58.880001
2015-07-27,57.43,58.990002,57.43,58.93,2618100,58.93
2015-07-24,57.650002,58.00,57.41,57.650002,2198200,57.650002
2015-07-23,58.220001,58.509998,57.189999,57.75,1723800,57.75
2015-07-22,58.009998,58.82,57.98,58.400002,2435200,58.400002
2015-07-21,58.189999,58.299999,57.830002,57.990002,1798500,57.990002
2015-07-20,58.43,58.43,57.919998,58.189999,1403000,58.189999
2015-07-17,59.169998,59.169998,58.470001,58.540001,1475500,58.540001
2015-07-16,58.209999,59.189999,58.150002,59.139999,2321900,59.139999
2015-07-15,57.849998,58.150002,57.360001,58.110001,1337500,58.110001
2015-07-14,57.830002,58.310001,57.779999,57.939999,1827100,57.939999
2015-07-13,58.099998,58.43,57.439999,57.720001,2305700,57.720001
2015-07-10,57.48,58.34,57.18,57.950001,1503700,57.950001
2015-07-09,58.25,58.509998,57.380001,57.580002,1935000,57.580002
2015-07-08,58.529999,59.099998,58.040001,58.25,1930900,58.25
2015-07-07,58.07,59.110001,57.810001,58.830002,2545200,58.830002
2015-07-06,57.380001,57.84,56.889999,57.599998,2126400,57.599998
2015-07-02,56.669998,57.75,56.669998,57.549999,3142500,57.549999
2015-07-01,55.75,56.41,55.52,56.400002,2402100,56.400002
2015-06-30,55.75,55.84,55.330002,55.580002,2324500,55.580002
2015-06-29,56.189999,56.669998,55.66,55.68,2606000,55.68
2015-06-26,55.810001,56.419998,55.639999,56.23,4130500,56.23
2015-06-25,56.34,56.41,55.709999,56.00,4512800,55.582
2015-06-24,57.689999,57.91,55.18,56.07,6909500,55.651477
2015-06-23,58.200001,58.48,57.349998,57.630001,2242200,57.199834
2015-06-22,58.16,58.91,58.16,58.380001,2389600,57.944236
2015-06-19,58.889999,59.43,58.529999,58.610001,2303300,58.172519
2015-06-18,58.049999,59.200001,58.029999,58.860001,1965300,58.420653
2015-06-17,57.540001,58.130001,57.25,57.990002,1657400,57.557148
2015-06-16,57.299999,57.810001,57.099998,57.580002,1371000,57.150208
2015-06-15,57.240002,57.48,56.880001,57.360001,1674200,56.931849
2015-06-12,57.50,57.869999,57.169998,57.200001,1085900,56.773043
2015-06-11,57.990002,58.220001,57.610001,57.869999,1183600,57.43804
2015-06-10,57.619999,58.07,57.34,57.419998,1831300,56.991399
2015-06-09,57.43,57.599998,57.25,57.259998,1157300,56.832593
2015-06-08,57.689999,57.82,57.360001,57.52,1775500,57.090655
2015-06-05,58.00,58.34,57.50,57.68,1807400,57.24946
2015-06-04,58.169998,59.09,58.169998,58.84,1811900,58.400801
2015-06-03,59.490002,59.540001,58.09,58.619999,2113900,58.182442
2015-06-02,60.380001,60.470001,59.18,59.540001,1919100,59.095577
2015-06-01,60.91,61.220001,60.740002,60.779999,1253400,60.326319
2015-05-29,61.060001,61.34,60.740002,60.810001,2414400,60.356098
2015-05-28,60.830002,61.25,60.580002,61.049999,1766400,60.594304
2015-05-27,60.48,60.919998,60.310001,60.779999,1625400,60.326319
2015-05-26,60.709999,60.759998,59.91,60.459999,1745800,60.008708
2015-05-22,60.810001,60.939999,60.220001,60.740002,919500,60.286621
2015-05-21,60.830002,61.110001,60.509998,60.830002,1171700,60.375949
2015-05-20,60.709999,61.34,60.490002,60.810001,1255300,60.356098
2015-05-19,60.459999,60.98,60.220001,60.580002,1399100,60.127815
2015-05-18,60.16,61.049999,60.110001,60.77,1397900,60.316396
2015-05-15,59.900002,60.619999,59.599998,60.439999,2472900,59.988857
2015-05-14,59.09,59.759998,59.049999,59.75,2047300,59.304009
2015-05-13,59.599998,60.060001,58.57,58.84,2090200,58.400801
2015-05-12,59.849998,59.970001,58.98,59.52,3177000,59.075726
2015-05-11,60.43,61.419998,60.16,60.27,1391700,59.820128
2015-05-08,60.950001,61.25,60.310001,60.669998,2603400,60.21714
2015-05-07,59.869999,60.50,59.73,60.139999,2258100,59.691097
2015-05-06,60.240002,60.360001,59.049999,59.599998,2319600,59.155127
2015-05-05,61.639999,61.779999,60.080002,60.369999,1925800,59.91938
2015-05-04,61.599998,62.310001,61.290001,61.919998,2439100,61.457809
2015-05-01,61.02,61.59,60.50,61.540001,2241600,61.080649
2015-04-30,61.869999,61.93,60.419998,60.939999,3235900,60.485125
2015-04-29,62.830002,62.970001,61.330002,62.009998,4306400,61.547138
2015-04-28,60.82,61.939999,60.720001,61.66,2384600,61.199752
2015-04-27,61.889999,61.900002,60.639999,61.009998,2091600,60.554602
2015-04-24,60.450001,61.869999,60.279999,61.580002,2769500,61.120351
2015-04-23,60.009998,60.73,59.889999,60.439999,3384600,59.988857
