Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,26.93,27.120001,26.790001,26.889999,12071900,26.889999
2015-07-30,26.690001,26.82,26.48,26.780001,10004500,26.780001
2015-07-29,26.690001,26.84,26.379999,26.68,13319600,26.68
2015-07-28,26.110001,26.91,25.99,26.780001,22596000,26.780001
2015-07-27,25.42,26.09,25.40,26.040001,22796800,26.040001
2015-07-24,25.969999,26.01,25.450001,25.620001,13394600,25.620001
2015-07-23,25.690001,26.389999,25.65,25.969999,24515500,25.969999
2015-07-22,24.76,25.790001,24.74,25.379999,34816100,25.379999
2015-07-21,24.889999,25.18,24.799999,24.93,15281600,24.93
2015-07-20,25.280001,25.309999,24.959999,24.98,10587900,24.98
2015-07-17,25.219999,25.360001,25.10,25.26,13433800,25.26
2015-07-16,25.25,25.41,25.10,25.209999,10995700,25.209999
2015-07-15,25.110001,25.450001,25.049999,25.139999,14716100,25.139999
2015-07-14,25.83,25.91,25.08,25.120001,28506300,25.120001
2015-07-13,26.00,26.01,25.83,25.950001,10454500,25.950001
2015-07-10,25.92,25.99,25.629999,25.790001,8224100,25.790001
2015-07-09,26.059999,26.209999,25.549999,25.639999,15553400,25.639999
2015-07-08,26.41,26.48,25.83,25.889999,18980700,25.889999
2015-07-07,26.10,26.610001,25.90,26.60,13552500,26.60
2015-07-06,26.200001,26.360001,26.040001,26.309999,11453700,26.309999
2015-07-02,26.50,26.66,26.42,26.50,7220000,26.50
2015-07-01,26.459999,26.540001,26.08,26.42,13985500,26.42
2015-06-30,26.15,26.549999,26.059999,26.389999,18218200,26.389999
2015-06-29,26.129999,26.379999,25.969999,25.99,13739300,25.99
2015-06-26,26.780001,26.940001,26.43,26.450001,15957900,26.335001
2015-06-25,27.50,27.530001,27.040001,27.040001,10727300,26.922436
2015-06-24,27.42,27.73,27.360001,27.450001,14586400,27.330654
2015-06-23,27.299999,27.49,27.129999,27.459999,8047000,27.340608
2015-06-22,27.17,27.389999,27.129999,27.299999,9522700,27.181304
2015-06-19,27.290001,27.33,26.99,27.07,20274500,26.952305
2015-06-18,27.25,27.49,27.17,27.40,11807300,27.28087
2015-06-17,27.190001,27.370001,27.15,27.25,9987100,27.131522
2015-06-16,26.940001,27.16,26.83,27.129999,8125400,27.012043
2015-06-15,26.620001,27.01,26.42,26.940001,12819600,26.822871
2015-06-12,27.24,27.26,26.940001,27.07,6935500,26.952305
2015-06-11,27.110001,27.459999,27.02,27.299999,14030300,27.181304
2015-06-10,26.709999,27.07,26.610001,27.00,9861900,26.882609
2015-06-09,26.709999,26.950001,26.540001,26.709999,10577000,26.593869
2015-06-08,27.33,27.33,26.57,26.66,19240800,26.544087
2015-06-05,26.940001,27.49,26.92,27.34,17212100,27.221131
2015-06-04,26.799999,27.18,26.790001,27.01,15970000,26.892566
2015-06-03,26.74,27.08,26.639999,27.049999,13366600,26.932391
2015-06-02,26.51,26.93,26.469999,26.620001,7693800,26.504262
2015-06-01,26.52,26.790001,26.41,26.68,10605400,26.564001
2015-05-29,26.469999,26.540001,26.23,26.34,22175900,26.225479
2015-05-28,26.58,26.65,26.469999,26.52,8707600,26.404697
