Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,74.940002,75.989998,74.699997,74.809998,1635700,74.809998
2015-07-30,74.169998,75.059998,74.050003,74.290001,2296800,74.290001
2015-07-29,74.800003,75.010002,73.080002,74.449997,2173500,74.449997
2015-07-28,75.330002,77.010002,74.589996,74.889999,1228200,74.889999
2015-07-27,74.739998,75.470001,74.739998,75.050003,1499700,75.050003
2015-07-24,74.449997,74.75,74.190002,74.580002,2369900,74.580002
2015-07-23,75.25,75.43,74.230003,74.529999,1429800,74.529999
2015-07-22,74.93,75.709999,74.919998,75.349998,850900,75.349998
2015-07-21,75.220001,75.919998,74.709999,74.769997,1072600,74.769997
2015-07-20,74.510002,75.370003,74.410004,75.279999,1078000,75.279999
2015-07-17,75.00,75.360001,74.290001,74.730003,1156100,74.730003
2015-07-16,74.970001,75.510002,74.739998,75.07,1219700,75.07
2015-07-15,74.779999,75.160004,74.330002,74.760002,1539400,74.760002
2015-07-14,74.550003,75.260002,74.290001,74.809998,1181800,74.809998
2015-07-13,74.959999,75.720001,73.989998,74.43,1698300,74.43
2015-07-10,74.43,75.269997,74.330002,74.68,1451900,74.68
2015-07-09,74.339996,74.860001,74.029999,74.190002,1714200,74.190002
2015-07-08,74.120003,74.419998,73.959999,74.080002,1794700,74.080002
2015-07-07,73.419998,74.43,73.120003,74.080002,2378400,74.080002
2015-07-06,72.230003,72.949997,72.230003,72.940002,1831900,72.940002
2015-07-02,72.169998,73.029999,71.849998,72.589996,2750600,72.589996
2015-07-01,70.50,71.650002,70.040001,71.639999,1794500,71.639999
2015-06-30,71.120003,71.120003,69.940002,70.169998,1807000,70.169998
2015-06-29,71.260002,71.800003,70.050003,70.120003,1951000,70.120003
2015-06-26,70.50,71.580002,70.18,71.199997,1803600,71.199997
2015-06-25,71.370003,71.660004,70.629997,70.650002,1441600,70.650002
2015-06-24,71.339996,71.739998,71.18,71.349998,1751900,71.349998
2015-06-23,72.889999,73.00,71.589996,71.809998,2151100,71.256999
2015-06-22,74.260002,74.400002,72.889999,72.959999,1878800,72.398144
2015-06-19,74.760002,75.019997,74.050003,74.07,2473600,73.499597
2015-06-18,73.519997,75.510002,73.519997,74.769997,2738300,74.194203
2015-06-17,72.800003,73.760002,72.019997,73.669998,1881400,73.102676
2015-06-16,71.610001,72.790001,71.25,72.650002,2016100,72.090534
2015-06-15,71.410004,71.639999,70.949997,71.519997,1660900,70.969231
2015-06-12,71.620003,71.959999,71.32,71.550003,1133000,70.999006
