Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,169.009995,172.460007,167.410004,171.419998,1175700,171.419998
2015-07-30,170.509995,171.729996,170.160004,171.270004,923200,171.270004
2015-07-29,169.300003,172.600006,169.139999,171.889999,1259600,171.889999
2015-07-28,166.440002,169.649994,166.190002,169.429993,1851500,169.429993
2015-07-27,162.75,165.119995,162.380005,164.740005,2177100,164.740005
2015-07-24,166.960007,167.570007,163.259995,164.110001,1576600,164.110001
2015-07-23,168.850006,168.889999,166.570007,166.860001,1076600,166.860001
2015-07-22,170.710007,171.00,167.589996,168.50,1308400,168.50
2015-07-21,170.399994,171.970001,169.949997,170.559998,926200,170.559998
2015-07-20,170.600006,170.600006,169.50,170.210007,1016600,170.210007
2015-07-17,169.490005,170.809998,169.320007,170.229996,1391100,170.229996
2015-07-16,170.259995,170.509995,169.440002,169.490005,1043300,169.490005
2015-07-15,171.240005,171.979996,169.029999,169.130005,1342000,169.130005
2015-07-14,171.00,171.889999,170.089996,171.240005,1204000,171.240005
2015-07-13,169.690002,171.240005,169.160004,170.970001,1307500,170.970001
2015-07-10,170.00,170.449997,167.880005,168.460007,1474900,168.460007
2015-07-09,168.779999,169.800003,167.440002,167.710007,1319800,167.710007
2015-07-08,168.320007,169.979996,166.669998,166.990005,1321200,166.990005
2015-07-07,169.369995,170.729996,167.759995,170.339996,1747700,170.339996
2015-07-06,170.00,171.220001,167.889999,168.75,1931200,168.75
2015-07-02,170.199997,171.350006,169.949997,171.130005,1176500,171.130005
2015-07-01,172.110001,172.460007,169.639999,169.809998,1412100,169.809998
2015-06-30,172.320007,172.839996,169.960007,170.399994,1551800,170.399994
2015-06-29,171.619995,173.119995,170.690002,171.020004,2332300,171.020004
2015-06-26,173.669998,174.110001,173.169998,173.660004,1536600,173.660004
2015-06-25,173.630005,174.020004,172.589996,172.800003,1527400,172.800003
2015-06-24,175.00,175.779999,172.419998,173.419998,1746900,173.419998
