Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,88.050003,88.099998,86.849998,86.860001,1189400,86.860001
2015-07-30,86.760002,88.769997,85.32,87.580002,1979500,87.580002
2015-07-29,85.639999,88.18,85.360001,87.809998,1481200,87.809998
2015-07-28,85.410004,85.860001,84.690002,85.639999,1637100,85.639999
2015-07-27,85.849998,86.25,84.949997,85.059998,1363800,85.059998
2015-07-24,86.669998,86.93,85.779999,85.989998,1100400,85.989998
2015-07-23,87.839996,87.949997,86.360001,86.669998,1211700,86.669998
2015-07-22,87.339996,88.25,87.339996,87.970001,704100,87.970001
2015-07-21,88.089996,88.360001,87.279999,87.349998,977700,87.349998
2015-07-20,88.150002,88.650002,88.07,88.139999,1024800,88.139999
2015-07-17,88.150002,88.279999,87.760002,88.040001,776100,88.040001
2015-07-16,87.940002,88.400002,87.370003,88.230003,875600,88.230003
2015-07-15,86.980003,87.650002,86.82,87.190002,1069100,87.190002
2015-07-14,87.290001,87.540001,86.860001,87.400002,876300,87.400002
2015-07-13,86.849998,87.300003,86.400002,87.089996,1154900,87.089996
2015-07-10,85.410004,86.50,85.239998,86.349998,1201200,86.349998
2015-07-09,84.419998,84.949997,83.989998,84.449997,974500,84.449997
2015-07-08,84.529999,84.93,83.300003,83.410004,875400,83.410004
2015-07-07,84.349998,84.959999,83.160004,84.959999,1609400,84.959999
2015-07-06,83.32,84.379997,83.239998,84.309998,897600,84.309998
2015-07-02,84.110001,84.459999,83.339996,83.849998,944800,83.849998
2015-07-01,83.459999,84.290001,83.199997,84.110001,1071800,84.110001
2015-06-30,83.589996,83.720001,82.599998,82.830002,1179600,82.830002
2015-06-29,84.480003,84.480003,82.660004,82.830002,1416800,82.830002
2015-06-26,84.769997,85.190002,84.480003,85.010002,1525100,85.010002
2015-06-25,85.139999,85.419998,84.720001,84.879997,995900,84.879997
2015-06-24,85.709999,86.129997,84.989998,85.00,1381900,85.00
2015-06-23,86.379997,86.389999,85.360001,85.699997,1348200,85.699997
2015-06-22,85.580002,86.379997,85.290001,86.040001,1758500,86.040001
2015-06-19,85.099998,85.489998,84.089996,85.269997,5038800,85.269997
2015-06-18,81.32,82.699997,81.269997,82.690002,2216200,82.690002
2015-06-17,80.790001,81.300003,80.480003,80.93,1305000,80.93
2015-06-16,79.389999,80.779999,79.389999,80.629997,939100,80.629997
2015-06-15,79.540001,80.00,79.019997,79.559998,805700,79.559998
2015-06-12,80.690002,80.879997,80.199997,80.32,491100,80.32
