Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,47.529999,49.650002,46.93,46.990002,2299400,46.990002
2015-07-30,46.599998,47.09,46.360001,47.049999,1561400,47.049999
2015-07-29,46.02,47.119999,45.759998,46.919998,2136600,46.919998
2015-07-28,46.18,46.57,45.900002,45.990002,1881000,45.990002
2015-07-27,46.16,46.23,45.68,46.09,2000900,46.09
2015-07-24,47.490002,47.529999,46.73,46.950001,1367900,46.950001
2015-07-23,47.959999,48.040001,47.389999,47.540001,1235900,47.540001
2015-07-22,48.02,48.439999,47.889999,47.950001,930100,47.950001
2015-07-21,49.200001,49.299999,48.080002,48.209999,1098300,48.209999
2015-07-20,49.16,49.779999,49.130001,49.459999,1011700,49.459999
2015-07-17,49.639999,50.119999,48.900002,49.220001,746600,49.220001
2015-07-16,49.959999,50.450001,49.630001,49.869999,1085600,49.869999
2015-07-15,50.23,50.509998,49.169998,49.450001,1346000,49.450001
2015-07-14,50.040001,50.549999,49.970001,50.43,705400,50.43
2015-07-13,49.610001,50.209999,49.18,50.150002,1119700,50.150002
2015-07-10,50.779999,50.919998,49.240002,49.25,1721400,49.25
2015-07-09,50.82,51.299999,50.27,50.32,1249300,50.32
2015-07-08,50.740002,50.849998,49.599998,50.119999,2404700,50.119999
2015-07-07,51.299999,51.48,50.50,51.189999,1741800,51.189999
2015-07-06,51.700001,52.360001,51.209999,51.32,944600,51.32
2015-07-02,52.310001,52.830002,52.150002,52.43,789100,52.43
2015-07-01,53.009998,53.009998,51.91,52.07,1403000,52.07
2015-06-30,52.50,53.389999,51.779999,52.66,2643200,52.66
2015-06-29,51.880001,51.959999,51.139999,51.189999,1019500,51.189999
2015-06-26,52.48,52.880001,52.310001,52.380001,2536700,52.380001
2015-06-25,53.599998,53.799999,52.48,52.639999,1044400,52.639999
2015-06-24,53.759998,54.290001,53.490002,53.68,1171200,53.68
2015-06-23,54.00,54.380001,53.900002,54.099998,708200,53.919997
2015-06-22,54.009998,54.639999,53.91,54.130001,1009600,53.9499
2015-06-19,53.549999,53.849998,53.349998,53.52,3081800,53.341929
