Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,48.099998,48.490002,47.93,48.080002,862000,48.080002
2015-07-30,47.439999,48.18,47.150002,47.630001,545000,47.630001
2015-07-29,47.619999,48.00,47.23,47.630001,828300,47.630001
2015-07-28,47.650002,48.029999,47.279999,47.990002,554600,47.990002
2015-07-27,47.259998,47.860001,47.259998,47.630001,580600,47.630001
2015-07-24,47.009998,47.450001,46.849998,47.279999,466100,47.279999
2015-07-23,47.950001,47.950001,46.900002,47.060001,673300,47.060001
2015-07-22,47.580002,48.310001,47.439999,48.110001,582600,48.110001
2015-07-21,47.669998,47.869999,47.380001,47.599998,470700,47.599998
2015-07-20,48.130001,48.150002,47.639999,47.84,462000,47.84
2015-07-17,48.779999,48.84,48.189999,48.220001,428700,48.220001
2015-07-16,48.389999,49.049999,48.279999,48.959999,407900,48.959999
2015-07-15,48.18,48.450001,47.900002,48.360001,344300,48.360001
2015-07-14,48.049999,48.349998,47.869999,48.209999,374600,48.209999
2015-07-13,47.990002,48.25,47.720001,48.07,400500,48.07
2015-07-10,47.470001,48.189999,47.470001,47.66,653900,47.66
2015-07-09,48.41,48.720001,47.419998,47.43,680700,47.43
2015-07-08,48.549999,48.790001,48.259998,48.299999,876400,48.299999
2015-07-07,47.419998,48.93,47.419998,48.75,886000,48.75
2015-07-06,47.23,47.669998,47.029999,47.349998,656600,47.349998
2015-07-02,47.200001,47.419998,47.02,47.369999,499500,47.369999
2015-07-01,46.580002,46.830002,46.360001,46.669998,617800,46.669998
2015-06-30,47.119999,47.18,46.450001,46.560001,541500,46.560001
2015-06-29,47.389999,47.75,46.93,46.959999,618600,46.959999
2015-06-26,46.849998,47.52,46.57,47.470001,996700,47.470001
2015-06-25,47.150002,47.150002,46.869999,46.880001,429300,46.880001
2015-06-24,47.650002,47.91,47.110001,47.130001,562100,47.130001
2015-06-23,48.18,48.18,47.560001,47.700001,592200,47.700001
2015-06-22,48.32,48.34,47.75,48.200001,605900,48.200001
2015-06-19,48.639999,48.900002,48.18,48.189999,881200,48.189999
2015-06-18,48.369999,48.900002,48.169998,48.610001,579800,48.610001
2015-06-17,47.84,48.360001,47.759998,48.209999,656000,48.209999
2015-06-16,47.400002,47.77,47.16,47.68,476100,47.68
2015-06-15,47.669998,47.970001,47.360001,47.43,584100,47.43
2015-06-12,47.889999,48.209999,47.77,47.84,608500,47.84
2015-06-11,47.91,48.139999,47.759998,47.98,416300,47.98
2015-06-10,47.720001,48.02,47.509998,47.59,490800,47.59
2015-06-09,47.509998,47.759998,47.369999,47.439999,410500,47.439999
2015-06-08,47.549999,47.77,47.450001,47.450001,536900,47.450001
2015-06-05,48.029999,48.099998,47.470001,47.549999,676700,47.549999
2015-06-04,48.57,48.84,48.34,48.419998,472600,48.419998
2015-06-03,49.25,49.369999,48.459999,48.639999,598000,48.639999
2015-06-02,49.939999,50.09,48.950001,49.25,671000,49.25
2015-06-01,50.41,50.779999,50.259998,50.360001,539900,50.360001
2015-05-29,50.259998,50.610001,49.880001,50.369999,610100,50.369999
2015-05-28,49.48,50.380001,49.380001,50.32,602200,50.32
2015-05-27,49.619999,49.810001,49.290001,49.599998,768500,49.599998
2015-05-26,49.880001,49.919998,49.380001,49.560001,935600,49.560001
2015-05-22,50.02,50.150002,49.66,49.98,600000,49.98
2015-05-21,50.279999,50.59,49.880001,50.099998,614000,50.099998
2015-05-20,50.360001,50.740002,50.290001,50.330002,577000,50.330002
2015-05-19,50.279999,50.689999,50.040001,50.380001,529200,50.380001
2015-05-18,50.18,50.799999,50.080002,50.48,1080200,50.48
2015-05-15,49.869999,50.439999,49.830002,50.279999,2624200,50.279999
2015-05-14,48.98,49.810001,48.880001,49.799999,1006500,49.799999
2015-05-13,48.740002,49.200001,48.52,48.700001,1507600,48.700001
2015-05-12,49.41,49.41,48.599998,49.029999,1172000,48.519999
2015-05-11,49.34,50.16,49.279999,49.540001,755000,49.024696
2015-05-08,49.689999,49.970001,49.27,49.52,669000,49.004904
2015-05-07,49.009998,49.599998,48.889999,49.240002,589100,48.727818
2015-05-06,48.919998,49.119999,48.32,48.849998,925600,48.341871
2015-05-05,50.50,50.599998,48.610001,48.630001,1519700,48.124162
2015-05-04,50.57,51.130001,50.560001,50.580002,754000,50.05388
2015-05-01,50.439999,50.68,49.900002,50.560001,767600,50.034087
2015-04-30,51.110001,51.290001,49.93,50.27,902000,49.747103
2015-04-29,50.549999,51.880001,50.50,51.43,1246400,50.895036
2015-04-28,50.509998,50.880001,49.830002,50.880001,667600,50.350758
2015-04-27,51.50,51.57,50.279999,50.709999,692200,50.182525
2015-04-24,50.599998,51.799999,50.529999,51.470001,926200,50.934621
2015-04-23,50.25,50.619999,50.09,50.52,563100,49.994502
2015-04-22,50.200001,50.380001,49.650002,50.169998,766300,49.648141
2015-04-21,50.650002,51.02,49.91,50.049999,666000,49.52939
2015-04-20,49.950001,51.040001,49.939999,50.540001,690500,50.014295
2015-04-17,49.950001,50.27,49.389999,49.700001,881000,49.183032
2015-04-16,50.700001,50.830002,49.810001,50.279999,537700,49.756997
2015-04-15,50.970001,51.189999,50.849998,50.939999,526400,50.410132
2015-04-14,51.060001,51.060001,50.279999,50.639999,535500,50.113253
2015-04-13,50.759998,50.900002,50.09,50.09,496100,49.568975
