Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,12.95,13.15,12.545,12.65,3427900,12.65
2015-07-30,13.14,13.36,12.625,12.83,2891600,12.83
2015-07-29,12.85,13.81,12.80,13.35,2375700,13.35
2015-07-28,13.75,13.78,13.17,13.31,1951000,13.31
2015-07-27,13.56,13.99,13.52,13.63,2343500,13.63
2015-07-24,13.28,14.18,13.02,13.64,2886300,13.64
2015-07-23,12.92,13.336,12.55,13.05,2362500,13.05
2015-07-22,13.34,13.76,12.715,12.79,2478600,12.79
2015-07-21,13.92,14.08,13.21,13.31,2642100,13.31
2015-07-20,13.94,14.24,13.90,14.17,2560700,14.17
2015-07-17,13.72,13.99,13.643,13.92,1595800,13.92
2015-07-16,13.25,13.90,13.24,13.73,2011300,13.73
2015-07-15,13.20,13.43,13.09,13.21,2393900,13.21
2015-07-14,13.45,13.50,12.76,13.20,3671200,13.20
2015-07-13,13.46,14.03,13.02,13.69,3129000,13.69
2015-07-10,12.56,13.53,12.332,13.37,3179700,13.37
2015-07-09,11.36,12.46,11.13,12.06,4467800,12.06
2015-07-08,11.35,11.425,10.84,11.30,4666800,11.30
2015-07-07,11.545,11.94,11.35,11.44,6471700,11.44
2015-07-06,11.64,12.12,10.75,11.78,6580400,11.78
2015-07-02,13.13,13.18,11.86,12.40,4234100,12.40
2015-07-01,13.89,13.97,13.13,13.32,2658800,13.32
2015-06-30,14.02,14.13,13.42,13.99,5881900,13.99
2015-06-29,14.37,14.75,13.72,14.13,8847000,14.13
2015-06-25,13.93,14.69,13.50,13.95,318500,13.95
2015-06-24,14.06,14.30,14.06,14.30,55100,14.30
2015-06-23,14.00,14.25,13.75,14.25,61400,14.25
