Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,46.259998,46.470001,45.630001,45.849998,1087600,45.849998
2015-07-30,45.75,46.450001,45.43,46.16,933600,46.16
2015-07-29,45.439999,45.889999,45.189999,45.869999,999700,45.869999
2015-07-28,45.50,45.740002,44.73,45.279999,1229800,45.279999
2015-07-27,45.400002,45.82,44.900002,45.32,1544100,45.32
2015-07-24,47.00,47.080002,45.330002,45.490002,2029000,45.490002
2015-07-23,47.23,47.619999,46.59,46.939999,959700,46.939999
2015-07-22,46.77,47.52,46.400002,47.200001,1587600,47.200001
2015-07-21,46.720001,46.959999,46.23,46.939999,1272000,46.939999
2015-07-20,46.50,46.950001,46.150002,46.830002,1277400,46.830002
2015-07-17,47.23,47.549999,46.380001,46.669998,1326100,46.669998
2015-07-16,46.48,47.759998,46.18,47.23,2604200,47.23
2015-07-15,46.849998,47.00,46.349998,46.419998,1300600,46.419998
2015-07-14,47.220001,47.450001,46.25,46.73,2635800,46.73
2015-07-13,47.209999,47.66,46.84,47.349998,1646400,47.349998
2015-07-10,47.290001,47.34,46.400002,46.959999,1488500,46.959999
2015-07-09,46.400002,47.09,45.880001,46.900002,2712900,46.900002
2015-07-08,45.77,46.23,45.490002,45.740002,2439200,45.740002
2015-07-07,44.290001,46.049999,44.029999,46.029999,2409700,46.029999
2015-07-06,43.119999,44.349998,42.970001,44.32,1498000,44.32
2015-07-02,43.810001,44.50,43.50,43.560001,1202700,43.560001
2015-07-01,43.25,44.41,43.16,44.119999,1731400,44.119999
2015-06-30,43.080002,43.200001,42.77,42.959999,1110500,42.959999
2015-06-29,43.73,43.93,42.759998,42.77,1072300,42.77
2015-06-26,43.779999,44.139999,43.369999,44.040001,1841900,44.040001
2015-06-25,44.580002,44.73,43.650002,43.66,1598100,43.66
2015-06-24,44.189999,45.50,44.16,44.549999,2421900,44.549999
2015-06-23,44.029999,44.549999,43.84,44.360001,1758500,44.360001
2015-06-22,43.25,44.119999,43.009998,43.889999,2521000,43.889999
2015-06-19,43.400002,43.82,43.00,43.09,2333200,43.09
2015-06-18,43.200001,43.389999,42.860001,43.189999,2020800,43.189999
2015-06-17,42.52,43.23,42.18,43.029999,2165300,43.029999
2015-06-16,42.419998,42.650002,41.970001,42.509998,1333500,42.509998
2015-06-15,42.869999,43.27,42.32,42.52,1855600,42.52
2015-06-12,42.919998,43.27,42.689999,42.959999,1334700,42.959999
2015-06-11,43.209999,43.73,42.75,43.00,1807900,43.00
2015-06-10,43.150002,43.48,42.700001,42.849998,1784700,42.849998
2015-06-09,43.119999,43.450001,42.889999,42.900002,1284200,42.900002
2015-06-08,44.02,44.279999,43.02,43.049999,1477000,43.049999
2015-06-05,44.099998,44.25,43.59,44.139999,1492500,43.779999
2015-06-04,44.150002,44.459999,43.869999,44.02,1868000,43.660979
2015-06-03,43.990002,44.310001,43.599998,43.720001,1990300,43.363426
2015-06-02,43.389999,44.419998,42.77,43.970001,2307500,43.611387
2015-06-01,43.740002,44.099998,42.41,43.470001,3292800,43.115465
2015-05-29,43.98,44.490002,43.119999,43.41,8682800,43.055953
2015-05-28,39.57,41.32,39.509998,40.919998,3858200,40.586259
2015-05-27,40.549999,40.619999,39.400002,39.470001,1799700,39.148089
2015-05-26,40.689999,40.98,39.849998,40.18,1237100,39.852297
2015-05-22,40.759998,40.98,40.380001,40.799999,1139100,40.467239
2015-05-21,40.43,40.919998,40.25,40.77,1287000,40.437485
2015-05-20,40.200001,40.330002,39.68,40.139999,1006500,39.812622
2015-05-19,40.380001,40.43,40.029999,40.310001,1001900,39.981238
2015-05-18,40.099998,40.310001,39.700001,40.240002,1159700,39.911809
2015-05-15,39.169998,40.09,39.099998,40.060001,1386700,39.733277
2015-05-14,39.380001,39.400002,38.75,39.169998,747200,38.850532
2015-05-13,39.07,39.380001,38.52,39.200001,1569800,38.88029
2015-05-12,39.50,39.82,39.02,39.049999,1333600,38.731512
2015-05-11,40.09,40.490002,39.740002,39.759998,1018900,39.43572
2015-05-08,39.84,40.50,39.720001,40.189999,1055500,39.862214
2015-05-07,39.139999,39.619999,38.470001,39.509998,1705100,39.187759
2015-05-06,39.900002,39.900002,38.75,39.130001,1451900,38.810861
2015-05-05,39.93,40.290001,39.740002,40.02,1096900,39.693602
2015-05-04,39.310001,40.16,39.099998,40.119999,878000,39.792785
2015-05-01,38.630001,39.189999,38.459999,39.169998,769800,38.850532
2015-04-30,39.23,39.330002,38.419998,38.540001,1135700,38.225673
2015-04-29,40.07,40.540001,39.16,39.330002,1246300,39.009231
2015-04-28,40.18,40.470001,39.560001,40.389999,947800,40.060583
2015-04-27,40.73,41.009998,40.25,40.279999,1048800,39.95148
2015-04-24,40.299999,40.77,40.139999,40.709999,871800,40.377973
2015-04-23,40.25,40.540001,40.049999,40.32,866600,39.991155
2015-04-22,40.00,40.360001,39.599998,40.240002,976100,39.911809
2015-04-21,40.439999,40.490002,39.73,40.080002,1377000,39.753114
2015-04-20,39.790001,40.439999,39.759998,40.32,1309600,39.991155
2015-04-17,40.709999,40.75,39.459999,39.66,1562100,39.336538
2015-04-16,40.939999,41.299999,40.68,40.939999,1457200,40.606097
2015-04-15,40.580002,40.959999,39.959999,40.889999,2297100,40.556505
2015-04-14,40.25,40.52,39.68,40.400002,1497600,40.070504
2015-04-13,40.400002,40.799999,39.459999,40.419998,1843900,40.090337
2015-04-10,40.18,40.41,39.560001,40.400002,1269000,40.070504
2015-04-09,38.759998,40.00,38.349998,39.990002,1911600,39.663848
2015-04-08,37.799999,38.779999,37.740002,38.709999,1649200,38.394285
2015-04-07,38.369999,38.50,37.919998,37.98,1332100,37.670239
2015-04-06,38.00,38.389999,37.68,38.369999,1483900,38.057058
2015-04-02,38.060001,38.810001,37.880001,38.200001,1172600,37.888446
2015-04-01,37.860001,38.50,37.330002,37.779999,2464900,37.47187
2015-03-31,37.380001,38.549999,37.220001,37.959999,2114700,37.650402
2015-03-30,38.400002,38.50,37.509998,37.689999,2990100,37.382603
2015-03-27,37.669998,38.790001,37.139999,38.360001,5495800,38.047141
2015-03-26,39.490002,39.799999,38.580002,38.790001,4853500,38.473634
2015-03-25,40.91,41.209999,39.799999,39.810001,2071300,39.485316
2015-03-24,41.279999,41.529999,40.900002,40.91,2578000,40.576343
2015-03-23,41.07,41.73,40.75,41.34,1753400,41.002836
2015-03-20,40.849998,41.189999,40.529999,40.919998,2407300,40.586259
2015-03-19,41.080002,41.169998,40.610001,40.790001,897100,40.457322
2015-03-18,40.759998,41.349998,40.16,41.119999,1115800,40.784629
2015-03-17,41.16,41.299999,40.509998,40.91,877000,40.576343
2015-03-16,40.73,41.279999,40.650002,41.09,1055300,40.754875
2015-03-13,40.240002,40.889999,39.959999,40.700001,1791600,40.368056
2015-03-12,39.950001,40.209999,39.060001,39.68,1132900,38.999312
2015-03-11,41.299999,42.669998,39.119999,39.48,1909100,38.802742
2015-03-10,40.529999,41.16,40.110001,40.650002,1493100,39.952673
2015-03-09,40.119999,41.470001,39.810001,40.830002,1538100,40.129585
2015-03-06,39.82,40.580002,39.82,40.16,1185500,39.471077
2015-03-05,39.98,40.560001,39.529999,40.00,1214300,39.313822
2015-03-04,39.18,40.450001,38.720001,40.029999,2094800,39.343306
2015-03-03,38.959999,39.25,38.540001,38.68,1177400,38.016466
2015-03-02,36.970001,38.900002,36.970001,38.669998,2397500,38.006635
2015-02-27,37.110001,37.720001,36.689999,36.970001,1462700,36.335801
2015-02-26,37.25,37.48,36.830002,37.029999,1139800,36.394769
2015-02-25,37.349998,37.82,36.919998,37.279999,1018500,36.640481
2015-02-24,37.66,37.790001,36.91,37.139999,751800,36.502883
2015-02-23,37.939999,37.990002,37.009998,37.349998,1150400,36.70928
2015-02-20,37.66,38.040001,37.41,37.490002,1295900,36.846881
2015-02-19,37.689999,37.689999,37.049999,37.529999,774000,36.886192
2015-02-18,36.990002,37.549999,36.599998,37.50,1049900,36.856708
2015-02-17,37.349998,38.209999,36.799999,37.360001,1355100,36.71911
2015-02-13,37.040001,37.900002,36.869999,37.349998,1664700,36.70928
2015-02-12,37.599998,37.77,37.00,37.25,1230900,36.610997
2015-02-11,38.080002,38.189999,37.259998,37.52,1479800,36.876365
2015-02-10,37.189999,38.130001,37.009998,38.040001,2434400,37.387445
2015-02-09,36.540001,37.580002,36.52,37.18,1556500,36.542198
2015-02-06,36.959999,37.389999,36.439999,36.759998,1474300,36.129401
2015-02-05,36.740002,37.279999,36.259998,36.700001,1363100,36.070432
2015-02-04,37.169998,37.419998,35.66,36.630001,2038100,36.001633
2015-02-03,36.790001,37.919998,36.389999,37.50,1461600,36.856708
2015-02-02,35.110001,36.93,34.52,36.830002,2426300,36.198203
2015-01-30,35.84,36.099998,35.060001,35.25,3034800,34.645305
2015-01-29,37.82,37.82,35.470001,36.27,3390600,35.647808
2015-01-28,38.50,39.299999,37.439999,37.610001,2752300,36.964822
2015-01-27,38.139999,39.00,37.59,38.279999,2007000,37.623326
2015-01-26,37.389999,38.459999,37.27,38.16,2426500,37.505386
2015-01-23,36.950001,37.50,36.43,37.400002,1800500,36.758425
2015-01-22,37.240002,37.240002,36.150002,37.119999,2155300,36.483226
2015-01-21,35.669998,37.099998,35.470001,36.84,2965600,36.20803
2015-01-20,36.330002,36.75,35.209999,36.07,4536600,35.451239
2015-01-16,35.689999,36.41,34.919998,36.349998,4256800,35.726434
2015-01-15,36.029999,36.75,34.220001,34.459999,5139200,33.868857
2015-01-14,37.200001,37.349998,35.84,36.209999,7436600,35.588836
2015-01-13,34.200001,35.099998,32.700001,32.77,2932300,32.207849
2015-01-12,32.549999,33.84,31.690001,33.77,3618500,33.190694
2015-01-09,33.59,33.709999,32.09,32.27,4074900,31.716426
2015-01-08,33.599998,34.169998,33.32,33.689999,4547400,33.112065
2015-01-07,34.290001,34.68,32.98,33.299999,2558300,32.728756
2015-01-06,35.169998,36.029999,33.52,33.689999,4885100,33.112065
2015-01-05,33.52,34.880001,33.330002,34.720001,4934900,34.124399
2015-01-02,34.060001,34.16,33.25,33.799999,1612700,33.220179
2014-12-31,34.23,34.41,33.709999,33.799999,1614800,33.220179
2014-12-30,33.450001,34.349998,33.200001,33.830002,2134100,33.249667
2014-12-29,33.529999,33.82,32.900002,33.650002,2399900,33.072754
2014-12-26,33.580002,34.049999,33.189999,33.650002,3848600,33.072754
2014-12-24,34.860001,34.860001,33.220001,33.389999,2749600,32.817212
2014-12-23,34.290001,35.119999,34.119999,34.630001,3803100,34.035942
2014-12-22,36.48,36.599998,33.84,34.119999,5196200,33.534689
2014-12-19,33.470001,34.50,32.93,34.50,4583300,33.908171
2014-12-18,33.25,33.650002,32.400002,33.099998,3397200,32.532186
2014-12-17,32.110001,32.73,31.90,32.689999,3610600,32.12922
2014-12-16,32.59,33.549999,31.809999,31.92,4421400,31.37243
2014-12-15,32.610001,33.52,32.009998,32.93,4490600,32.365104
2014-12-12,33.709999,34.00,32.259998,32.299999,5911900,31.74591
2014-12-11,33.650002,34.990002,33.529999,33.91,5028000,33.328292
2014-12-10,34.740002,34.919998,33.32,33.330002,5343500,32.758244
