Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,7.07,7.14,6.98,7.01,4505800,7.01
2015-07-30,7.20,7.21,7.01,7.07,5339900,7.07
2015-07-29,7.16,7.31,7.09,7.21,2966000,7.21
2015-07-28,7.15,7.21,6.96,7.16,4632500,7.16
2015-07-27,7.17,7.18,7.02,7.05,4971600,7.05
2015-07-24,7.41,7.47,7.21,7.24,4014700,7.24
2015-07-23,7.46,7.51,7.36,7.43,5977400,7.43
2015-07-22,7.75,7.75,7.30,7.41,5842100,7.41
2015-07-21,7.59,7.75,7.58,7.64,2452500,7.64
2015-07-20,7.80,7.84,7.54,7.58,3536100,7.58
2015-07-17,7.81,7.85,7.72,7.79,3312400,7.79
2015-07-16,7.90,7.90,7.67,7.84,4538400,7.84
2015-07-15,7.79,7.88,7.71,7.80,4579700,7.80
2015-07-14,7.64,7.80,7.57,7.76,4266500,7.76
2015-07-13,7.52,7.69,7.46,7.67,5387700,7.67
2015-07-10,7.44,7.54,7.41,7.49,4079700,7.49
2015-07-09,7.33,7.44,7.26,7.29,3998100,7.29
2015-07-08,7.53,7.53,7.19,7.21,5794600,7.21
2015-07-07,7.47,7.60,7.27,7.59,5591400,7.59
2015-07-06,7.57,7.64,7.45,7.48,6369100,7.48
2015-07-02,7.55,7.84,7.55,7.74,8386800,7.74
2015-07-01,7.67,7.78,7.47,7.53,5577900,7.53
2015-06-30,7.66,7.70,7.44,7.57,6282000,7.57
2015-06-29,7.70,7.78,7.60,7.62,7790800,7.62
2015-06-26,7.79,7.81,7.68,7.79,3668200,7.79
2015-06-25,7.96,8.01,7.76,7.79,5584900,7.79
2015-06-24,8.08,8.09,7.91,7.93,3348000,7.93
2015-06-23,8.02,8.09,7.98,8.07,4468000,8.07
2015-06-22,7.96,8.03,7.91,8.00,4151600,8.00
2015-06-19,7.92,8.01,7.83,7.87,4414100,7.87
2015-06-18,7.97,8.01,7.86,7.93,3180200,7.93
2015-06-17,7.95,8.00,7.80,7.92,3694700,7.92
2015-06-16,7.85,7.98,7.81,7.95,3529000,7.95
2015-06-15,7.84,8.00,7.80,7.87,3561600,7.87
2015-06-12,8.03,8.04,7.92,7.95,2359100,7.95
2015-06-11,8.00,8.12,7.94,8.05,6225500,8.05
2015-06-10,7.90,8.01,7.85,8.00,5516400,8.00
2015-06-09,7.71,7.88,7.68,7.83,6148600,7.83
2015-06-08,7.88,7.89,7.65,7.67,6616800,7.67
2015-06-05,7.97,8.01,7.86,7.88,7287700,7.88
2015-06-04,8.01,8.02,7.84,7.85,4742700,7.85
2015-06-03,7.97,8.11,7.91,8.05,7346500,8.05
