Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,10.47,10.47,10.29,10.31,2152500,10.31
2015-07-30,10.36,10.47,10.36,10.45,1893100,10.45
2015-07-29,10.42,10.49,10.23,10.42,3063600,10.42
2015-07-28,10.31,10.35,10.18,10.34,2103600,10.34
2015-07-27,10.33,10.39,10.22,10.26,1809800,10.26
2015-07-24,10.48,10.48,10.33,10.39,2553200,10.39
2015-07-23,10.37,10.63,10.35,10.47,2022500,10.47
2015-07-22,10.43,10.58,10.40,10.56,1673100,10.56
2015-07-21,10.48,10.56,10.36,10.44,3360300,10.44
2015-07-20,10.34,10.50,10.29,10.45,2208900,10.45
2015-07-17,10.25,10.39,10.20,10.38,3445200,10.38
2015-07-16,10.14,10.29,10.00,10.29,2760500,10.29
2015-07-15,10.06,10.16,9.97,10.11,2520900,10.11
2015-07-14,9.98,10.07,9.90,10.03,2884500,10.03
2015-07-13,9.96,10.05,9.89,10.03,2044700,10.03
2015-07-10,9.91,9.95,9.85,9.90,3559900,9.90
2015-07-09,9.84,9.92,9.64,9.81,2135400,9.81
2015-07-08,9.82,9.88,9.67,9.71,2410000,9.71
2015-07-07,9.92,9.94,9.73,9.91,2871100,9.91
2015-07-06,9.87,9.93,9.78,9.92,1825400,9.92
2015-07-02,10.09,10.12,9.93,10.00,2113100,10.00
2015-07-01,9.98,10.11,9.95,10.11,2628300,10.11
2015-06-30,9.90,10.04,9.85,9.88,3121200,9.88
2015-06-29,10.03,10.08,9.80,9.81,2844800,9.81
2015-06-26,10.13,10.18,10.08,10.14,1885600,10.14
2015-06-25,10.17,10.18,10.05,10.09,2381200,10.09
2015-06-24,10.09,10.17,10.08,10.10,1626900,10.10
2015-06-23,10.08,10.16,10.07,10.14,2036300,10.14
2015-06-22,10.01,10.06,9.91,10.04,1241300,10.04
2015-06-19,9.98,10.05,9.93,9.95,2905800,9.95
2015-06-18,9.96,10.03,9.89,10.03,2549900,10.03
2015-06-17,10.03,10.05,9.91,9.92,2157800,9.92
2015-06-16,9.93,10.01,9.91,10.00,1375100,10.00
2015-06-15,9.91,10.02,9.86,9.95,2611800,9.95
2015-06-12,9.98,9.99,9.93,9.96,1138100,9.96
2015-06-11,10.01,10.16,9.94,9.99,2097500,9.99
2015-06-10,9.90,10.03,9.87,10.03,3403100,10.03
2015-06-09,9.78,9.89,9.76,9.86,1760700,9.86
2015-06-08,9.72,9.86,9.70,9.80,2773900,9.80
2015-06-05,9.64,9.77,9.64,9.73,2205200,9.73
2015-06-04,9.60,9.70,9.56,9.59,5711300,9.59
2015-06-03,9.56,9.71,9.48,9.64,3855000,9.64
2015-06-02,9.43,9.55,9.39,9.53,2946000,9.53
2015-06-01,9.51,9.55,9.41,9.43,2915700,9.43
2015-05-29,9.59,9.62,9.48,9.52,4450400,9.52
2015-05-28,9.52,9.60,9.48,9.60,2197500,9.60
2015-05-27,9.55,9.62,9.48,9.55,1626200,9.55
2015-05-26,9.62,9.62,9.47,9.51,2052200,9.51
2015-05-22,9.61,9.65,9.55,9.63,1908300,9.63
2015-05-21,9.58,9.62,9.54,9.61,2326100,9.61
2015-05-20,9.70,9.70,9.56,9.61,2382700,9.61
2015-05-19,9.52,9.69,9.50,9.68,1990800,9.68
2015-05-18,9.40,9.57,9.39,9.53,1602600,9.53
2015-05-15,9.49,9.55,9.35,9.38,1283600,9.38
2015-05-14,9.48,9.53,9.44,9.50,2909700,9.50
2015-05-13,9.41,9.48,9.36,9.41,2307200,9.41
2015-05-12,9.36,9.44,9.30,9.41,1560700,9.41
2015-05-11,9.41,9.49,9.38,9.40,2110400,9.40
2015-05-08,9.39,9.47,9.32,9.41,3328900,9.41
2015-05-07,9.37,9.44,9.31,9.36,2754500,9.36
2015-05-06,9.46,9.52,9.34,9.39,5003300,9.39
2015-05-05,9.44,9.58,9.39,9.43,3515400,9.43
2015-05-04,9.29,9.50,9.29,9.47,2971700,9.47
2015-05-01,9.35,9.40,9.25,9.28,2883400,9.28
2015-04-30,9.34,9.43,9.25,9.30,6203100,9.30
2015-04-29,9.23,9.50,9.10,9.36,7060100,9.36
2015-04-28,9.27,9.48,9.26,9.47,3382900,9.47
2015-04-27,9.38,9.45,9.25,9.30,1985500,9.30
2015-04-24,9.40,9.44,9.32,9.39,1837200,9.39
2015-04-23,9.41,9.47,9.38,9.41,3694800,9.41
2015-04-22,9.37,9.47,9.35,9.45,3288700,9.45
2015-04-21,9.35,9.43,9.33,9.37,4732200,9.37
2015-04-20,9.51,9.56,9.33,9.33,5551400,9.33
2015-04-17,9.66,9.81,9.48,9.50,14552000,9.50
2015-04-16,9.34,9.39,9.28,9.30,4920900,9.30
2015-04-15,9.42,9.52,8.85,9.38,18019200,9.38
2015-04-14,9.51,9.54,9.34,9.42,9948500,9.42
2015-04-13,9.56,9.65,9.49,9.54,7515600,9.54
2015-04-10,9.68,9.74,9.55,9.58,8045100,9.58
2015-04-09,9.67,9.78,9.61,9.71,16427700,9.71
2015-04-08,9.72,9.80,9.63,9.72,11162900,9.72
2015-04-07,9.71,9.82,9.67,9.69,20907500,9.69
2015-04-06,9.91,10.06,9.51,9.77,36871500,9.77
2015-04-02,10.42,10.52,10.41,10.49,2922100,10.49
2015-04-01,10.49,10.50,10.34,10.41,2409900,10.41
2015-03-31,10.42,10.50,10.37,10.48,5436800,10.48
2015-03-30,10.38,10.54,10.33,10.47,1864200,10.47
2015-03-27,10.21,10.33,10.15,10.32,3433200,10.32
2015-03-26,10.14,10.27,10.10,10.24,2858000,10.24
2015-03-25,10.44,10.44,10.18,10.18,4553400,10.18
2015-03-24,10.47,10.49,10.35,10.42,13293500,10.42
2015-03-23,10.41,10.77,10.41,10.49,12795800,10.49
2015-03-20,10.29,10.46,10.29,10.42,4308900,10.42
2015-03-19,10.39,10.42,10.21,10.31,3355100,10.31
2015-03-18,10.28,10.43,10.28,10.37,4078500,10.37
2015-03-17,10.29,10.32,10.18,10.31,5970000,10.31
2015-03-16,10.25,10.30,10.18,10.29,4345100,10.29
2015-03-13,10.25,10.26,10.13,10.21,2353700,10.21
2015-03-12,9.99,10.27,9.99,10.26,4220400,10.26
2015-03-11,9.89,9.94,9.86,9.92,3283200,9.92
2015-03-10,10.06,10.08,9.85,9.87,3843000,9.87
2015-03-09,10.07,10.19,10.02,10.15,2124200,10.15
2015-03-06,9.98,10.24,9.96,10.08,3698700,10.08
2015-03-05,9.91,10.02,9.85,10.02,3154200,10.02
2015-03-04,9.86,9.95,9.81,9.91,3535900,9.91
2015-03-03,9.90,9.94,9.83,9.93,2595600,9.93
2015-03-02,9.80,9.94,9.71,9.91,3213500,9.91
2015-02-27,9.69,9.78,9.64,9.76,2895900,9.76
2015-02-26,9.70,9.74,9.63,9.72,942200,9.72
2015-02-25,9.76,9.76,9.67,9.70,1507600,9.70
2015-02-24,9.67,9.76,9.63,9.75,4901100,9.75
2015-02-23,9.65,9.69,9.60,9.66,1849400,9.66
2015-02-20,9.65,9.73,9.53,9.67,2849100,9.67
2015-02-19,9.61,9.74,9.61,9.68,4253300,9.68
2015-02-18,9.93,9.93,9.69,9.73,4818100,9.73
2015-02-17,9.90,9.99,9.75,9.93,2421400,9.93
2015-02-13,9.89,9.99,9.85,9.92,2786300,9.92
2015-02-12,9.65,9.89,9.65,9.89,1982000,9.89
2015-02-11,9.75,9.75,9.59,9.64,1026200,9.64
2015-02-10,9.65,9.70,9.58,9.70,1038600,9.66
2015-02-09,9.55,9.71,9.51,9.60,2632600,9.560413
2015-02-06,9.56,9.88,9.56,9.61,4259900,9.570371
2015-02-05,9.49,9.57,9.43,9.51,1732300,9.470784
2015-02-04,9.39,9.55,9.33,9.44,2506600,9.401072
2015-02-03,9.20,9.42,9.20,9.41,2448600,9.371196
2015-02-02,9.04,9.19,8.95,9.16,3492700,9.122227
2015-01-30,9.05,9.13,8.95,8.97,2653600,8.933011
2015-01-29,9.02,9.15,8.97,9.13,2412700,9.092351
2015-01-28,9.32,9.32,9.01,9.01,2772500,8.972846
2015-01-27,9.23,9.36,9.16,9.25,1813800,9.211856
2015-01-26,9.18,9.33,9.13,9.31,1064800,9.271609
2015-01-23,9.36,9.38,9.20,9.22,1454900,9.18198
2015-01-22,9.04,9.41,8.99,9.38,3062400,9.34132
2015-01-21,9.02,9.11,8.92,8.98,3596000,8.942969
2015-01-20,9.14,9.18,9.00,9.01,3339600,8.972846
2015-01-16,9.03,9.19,9.01,9.12,3088500,9.082392
2015-01-15,9.05,9.28,9.04,9.05,3284800,9.012681
2015-01-14,9.40,9.41,8.99,9.19,5097200,9.152103
2015-01-13,9.50,9.63,9.47,9.51,3574900,9.470784
2015-01-12,9.53,9.54,9.38,9.46,2459000,9.42099
2015-01-09,9.81,9.82,9.55,9.56,3996200,9.520578
2015-01-08,9.66,9.81,9.56,9.79,2341400,9.749629
2015-01-07,9.61,9.65,9.47,9.56,2891200,9.520578
2015-01-06,9.74,9.80,9.51,9.56,3294000,9.520578
2015-01-05,10.06,10.07,9.72,9.76,2181300,9.719753
2015-01-02,10.20,10.24,10.03,10.13,1721000,10.088227
2014-12-31,10.28,10.30,10.12,10.12,1470900,10.078268
2014-12-30,10.21,10.26,10.15,10.24,1075300,10.197773
2014-12-29,10.10,10.29,10.10,10.21,1442400,10.167897
2014-12-26,9.90,10.25,9.87,10.14,684200,10.098186
2014-12-24,10.26,10.27,10.18,10.18,813400,10.138021
2014-12-23,10.12,10.26,10.12,10.25,1844700,10.207732
2014-12-22,10.03,10.10,9.95,10.09,1613700,10.048392
2014-12-19,9.93,10.07,9.93,10.01,4661100,9.968722
2014-12-18,9.78,9.95,9.75,9.94,4316800,9.89901
2014-12-17,9.49,9.71,9.45,9.66,4395100,9.620165
2014-12-16,9.44,9.61,9.43,9.45,5432300,9.411031
2014-12-15,9.59,9.66,9.53,9.57,4588400,9.530536
2014-12-12,9.73,9.79,9.57,9.57,4409500,9.530536
2014-12-11,9.73,9.90,9.73,9.77,2129300,9.729712
2014-12-10,10.03,10.05,9.73,9.74,3051000,9.699835
2014-12-09,9.80,10.05,9.73,10.04,4318100,9.998598
2014-12-08,9.93,9.99,9.85,9.95,2099900,9.908969
2014-12-05,9.91,10.02,9.89,9.93,2013100,9.889052
2014-12-04,9.89,9.95,9.85,9.89,1471600,9.849217
2014-12-03,9.72,9.94,9.72,9.89,2002500,9.849217
2014-12-02,9.64,9.81,9.62,9.76,3095300,9.719753
2014-12-01,9.78,9.80,9.64,9.65,6499800,9.610206
2014-11-28,9.83,9.85,9.76,9.79,1020700,9.749629
2014-11-26,9.80,9.86,9.74,9.80,3652800,9.759588
2014-11-25,9.78,9.83,9.74,9.79,2619800,9.749629
2014-11-24,9.66,9.78,9.62,9.77,1201200,9.729712
2014-11-21,9.83,9.83,9.63,9.63,3423100,9.590289
2014-11-20,9.60,9.79,9.60,9.78,2869900,9.73967
2014-11-19,9.73,9.73,9.55,9.65,7080400,9.610206
2014-11-18,9.66,9.75,9.66,9.72,2196000,9.679918
2014-11-17,9.76,9.81,9.66,9.68,3477200,9.640083
2014-11-14,9.84,9.91,9.79,9.82,1205200,9.779505
2014-11-13,9.91,9.94,9.84,9.87,1690100,9.829299
2014-11-12,9.82,9.92,9.79,9.90,1965200,9.859175
2014-11-11,9.76,9.85,9.76,9.85,2311300,9.809382
2014-11-10,9.76,9.87,9.74,9.75,2239600,9.709794
2014-11-07,9.72,9.83,9.70,9.80,1993700,9.759588
2014-11-06,9.69,9.79,9.67,9.77,2057000,9.729712
2014-11-05,9.60,9.71,9.56,9.66,2070600,9.620165
2014-11-04,9.60,9.62,9.49,9.58,1292800,9.500659
2014-11-03,9.62,9.74,9.57,9.62,1911700,9.540328
2014-10-31,9.51,9.67,9.45,9.65,6122900,9.570079
2014-10-30,9.41,9.48,9.31,9.42,4218700,9.341985
2014-10-29,9.34,9.41,9.25,9.41,4397400,9.332067
2014-10-28,9.22,9.33,9.21,9.32,5587700,9.242813
2014-10-27,9.14,9.23,9.06,9.21,2879200,9.133724
2014-10-24,9.08,9.17,9.04,9.14,2221800,9.064304
2014-10-23,8.97,9.07,8.93,9.06,5852700,8.984967
2014-10-22,8.93,9.01,8.87,8.90,4245400,8.826291
2014-10-21,8.88,9.02,8.87,8.90,3525900,8.826291
2014-10-20,8.89,8.96,8.79,8.85,2784100,8.776706
2014-10-17,9.10,9.20,8.82,8.88,8277900,8.806457
2014-10-16,8.68,9.12,8.53,9.05,6125100,8.975049
2014-10-15,9.38,9.44,8.83,8.87,8246800,8.79654
2014-10-14,9.34,9.51,9.34,9.42,1771200,9.341985
2014-10-13,9.43,9.52,9.34,9.34,1972200,9.262647
2014-10-10,9.57,9.65,9.44,9.45,4331300,9.371736
2014-10-09,9.76,9.76,9.55,9.55,3936800,9.470908
2014-10-08,9.47,9.76,9.43,9.76,3522900,9.679169
2014-10-07,9.53,9.55,9.44,9.47,5692100,9.391571
2014-10-06,9.77,9.79,9.55,9.55,2433900,9.470908
2014-10-03,9.75,9.83,9.72,9.73,3335800,9.649417
2014-10-02,9.66,9.72,9.58,9.70,4744700,9.619666
2014-10-01,9.73,9.78,9.66,9.69,3249400,9.609748
2014-09-30,9.82,9.87,9.72,9.72,2693900,9.6395
2014-09-29,9.82,9.88,9.80,9.83,1352600,9.748589
2014-09-26,9.89,9.92,9.80,9.89,1613500,9.808092
2014-09-25,10.00,10.00,9.83,9.84,2134700,9.758506
2014-09-24,10.06,10.12,9.94,9.99,3718900,9.907264
2014-09-23,10.18,10.19,10.06,10.06,1572800,9.976685
2014-09-22,10.21,10.25,10.16,10.18,1724900,10.095691
2014-09-19,10.23,10.35,10.15,10.23,3901400,10.145276
2014-09-18,10.15,10.25,10.12,10.17,2620800,10.085773
2014-09-17,10.05,10.19,10.04,10.13,1726700,10.046105
2014-09-16,10.03,10.11,9.99,10.08,1569100,9.996519
2014-09-15,10.08,10.12,10.02,10.07,822700,9.986601
2014-09-12,10.10,10.20,10.07,10.13,2375000,10.046105
2014-09-11,10.01,10.12,10.01,10.10,1286600,10.016353
2014-09-10,9.97,10.07,9.96,10.04,1314100,9.95685
2014-09-09,10.02,10.02,9.91,9.97,1466600,9.88743
2014-09-08,9.97,10.04,9.91,10.04,907700,9.95685
2014-09-05,9.90,9.98,9.84,9.98,1058600,9.897346
2014-09-04,9.94,10.05,9.91,9.93,1418300,9.847761
2014-09-03,9.99,10.00,9.92,9.93,1668000,9.847761
2014-09-02,9.90,9.99,9.88,9.95,1218900,9.867595
2014-08-29,9.87,9.93,9.82,9.87,1162600,9.788258
2014-08-28,9.90,9.93,9.80,9.83,1693100,9.748589
2014-08-27,9.98,9.98,9.91,9.95,1556900,9.867595
2014-08-26,9.90,9.98,9.88,9.98,5524000,9.897346
2014-08-25,9.80,9.93,9.79,9.91,4025100,9.827926
2014-08-22,9.85,9.89,9.75,9.76,1407500,9.679169
2014-08-21,9.68,9.89,9.68,9.89,2126800,9.808092
2014-08-20,9.69,9.73,9.64,9.70,1403700,9.619666
2014-08-19,9.70,9.76,9.64,9.70,1169000,9.619666
2014-08-18,9.67,9.71,9.64,9.69,1562300,9.609748
2014-08-15,9.61,9.67,9.52,9.61,2319100,9.530411
2014-08-14,9.58,9.63,9.54,9.59,479100,9.510577
2014-08-13,9.53,9.63,9.50,9.56,1753400,9.480826
2014-08-12,9.57,9.61,9.46,9.54,1274900,9.460991
2014-08-11,9.66,9.66,9.57,9.58,779900,9.500659
2014-08-08,9.56,9.64,9.49,9.64,1692300,9.560163
2014-08-07,9.65,9.65,9.48,9.51,2679800,9.431239
2014-08-06,9.59,9.68,9.57,9.65,1548000,9.570079
2014-08-05,9.58,9.70,9.57,9.63,1519900,9.510577
2014-08-04,9.63,9.65,9.50,9.61,2007200,9.490824
2014-08-01,9.70,9.78,9.57,9.63,1886600,9.510577
