Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,93.139999,93.339996,92.779999,92.889999,1206800,92.889999
2015-07-30,92.43,93.010002,92.129997,92.860001,714200,92.860001
2015-07-29,92.089996,92.629997,91.709999,92.50,612800,92.50
2015-07-28,91.040001,92.040001,90.739998,92.019997,766200,92.019997
2015-07-27,89.949997,91.07,89.50,90.669998,721400,90.669998
2015-07-24,90.300003,90.480003,89.75,90.199997,538000,90.199997
2015-07-23,90.970001,91.309998,90.489998,90.650002,428700,90.650002
2015-07-22,90.730003,91.339996,90.519997,91.089996,575700,91.089996
2015-07-21,91.379997,91.379997,90.370003,90.720001,779700,90.720001
2015-07-20,91.510002,91.599998,91.089996,91.330002,567400,91.330002
2015-07-17,91.720001,91.75,90.959999,91.510002,618900,91.510002
2015-07-16,92.330002,92.529999,91.980003,92.32,640300,92.32
2015-07-15,92.419998,92.449997,91.519997,91.68,813700,91.68
2015-07-14,92.209999,92.900002,92.160004,92.43,766200,92.43
2015-07-13,92.00,92.470001,91.739998,92.129997,738000,92.129997
2015-07-10,92.150002,92.389999,91.120003,91.870003,1164900,91.870003
2015-07-09,91.199997,91.43,90.620003,90.809998,1155600,90.809998
2015-07-08,90.900002,91.18,90.040001,90.370003,953200,90.370003
2015-07-07,89.209999,91.419998,88.949997,91.290001,1592500,91.290001
2015-07-06,89.690002,89.93,88.25,88.919998,1017900,88.919998
2015-07-02,89.809998,90.389999,89.599998,90.040001,1250500,90.040001
2015-07-01,89.209999,89.559998,88.519997,89.559998,1184300,89.559998
2015-06-30,88.440002,89.660004,88.080002,88.830002,1400500,88.830002
2015-06-29,87.809998,88.760002,87.800003,87.910004,1192200,87.910004
2015-06-26,88.290001,88.870003,88.120003,88.550003,967000,88.550003
2015-06-25,88.43,88.50,87.790001,87.860001,1395800,87.860001
2015-06-24,89.099998,89.110001,88.18,88.239998,1234700,88.239998
2015-06-23,89.349998,89.480003,89.099998,89.120003,1133400,89.120003
2015-06-22,89.540001,89.589996,88.779999,89.239998,2156800,89.239998
2015-06-19,90.370003,91.449997,88.709999,89.040001,5631900,89.040001
2015-06-18,92.660004,93.019997,92.190002,92.260002,1134300,92.260002
2015-06-17,92.040001,92.900002,91.800003,92.470001,817700,92.470001
2015-06-16,90.82,92.650002,90.790001,92.099998,1075900,92.099998
2015-06-15,90.68,91.470001,90.269997,90.860001,708100,90.860001
2015-06-12,90.620003,91.519997,90.279999,91.040001,1420800,91.040001
2015-06-11,91.120003,91.370003,90.589996,90.760002,889000,90.760002
2015-06-10,91.330002,91.900002,91.07,91.110001,931400,91.110001
2015-06-09,91.43,91.57,90.980003,91.07,851900,91.07
2015-06-08,91.00,91.93,90.709999,91.57,964800,91.57
2015-06-05,91.190002,91.339996,90.790001,90.870003,1368900,90.870003
2015-06-04,91.269997,92.050003,91.199997,91.269997,1055000,91.269997
2015-06-03,92.290001,92.540001,91.370003,91.699997,1492100,91.699997
2015-06-02,92.489998,92.730003,92.110001,92.529999,570300,92.529999
2015-06-01,92.919998,93.230003,92.449997,92.730003,695900,92.730003
2015-05-29,93.50,93.610001,92.860001,92.860001,1015800,92.860001
2015-05-28,93.059998,93.550003,92.82,93.389999,613900,93.389999
2015-05-27,93.199997,93.610001,92.809998,93.470001,885600,93.470001
2015-05-26,93.57,93.889999,92.510002,93.00,755400,93.00
2015-05-22,94.230003,94.50,93.349998,93.529999,753100,93.529999
2015-05-21,94.610001,95.059998,93.989998,94.059998,997900,94.059998
2015-05-20,95.339996,95.709999,94.949997,95.080002,1219100,94.545
