Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,29.120001,29.120001,28.77,28.950001,27156400,28.950001
2015-07-30,29.10,29.450001,28.85,28.91,26449900,28.91
2015-07-29,28.950001,29.129999,28.790001,29.01,26342100,29.01
2015-07-28,28.51,29.18,28.440001,28.959999,32813500,28.959999
2015-07-27,28.07,28.42,27.620001,28.35,42048900,28.35
2015-07-24,28.530001,28.639999,28.059999,28.059999,31504600,28.059999
2015-07-23,28.66,28.969999,28.43,28.60,33248800,28.60
2015-07-22,28.57,28.85,28.43,28.610001,36095800,28.610001
2015-07-21,28.959999,29.26,28.67,28.719999,44837100,28.719999
2015-07-20,29.620001,29.620001,29.07,29.10,33573300,29.10
2015-07-17,29.66,29.799999,29.10,29.469999,43429000,29.469999
2015-07-16,30.469999,30.48,29.10,29.90,80913800,29.90
2015-07-15,29.65,29.99,29.469999,29.690001,43703600,29.690001
2015-07-14,29.66,30.110001,29.440001,29.65,39276800,29.65
2015-07-13,29.27,29.82,29.190001,29.73,26335600,29.73
2015-07-10,29.200001,29.35,28.940001,29.17,31159400,29.17
2015-07-09,29.719999,29.889999,28.82,28.93,46855100,28.93
2015-07-08,29.40,29.67,29.15,29.50,45137300,29.50
2015-07-07,29.870001,29.93,29.09,29.90,43494900,29.90
2015-07-06,30.24,30.450001,29.84,30.040001,32339200,30.040001
2015-07-02,30.18,30.92,30.10,30.559999,27044500,30.559999
2015-07-01,30.49,30.549999,30.01,30.18,27148800,30.18
2015-06-30,30.629999,30.690001,30.15,30.42,33723200,30.42
2015-06-29,30.700001,30.98,30.309999,30.389999,35069600,30.389999
2015-06-26,31.51,31.530001,30.76,31.02,59641900,31.02
2015-06-25,32.02,32.32,31.99,31.99,22630800,31.99
2015-06-24,32.150002,32.150002,31.879999,31.91,23229800,31.91
2015-06-23,32.310001,32.34,31.93,32.09,17988400,32.09
2015-06-22,32.259998,32.389999,32.080002,32.259998,23579400,32.259998
2015-06-19,32.400002,32.57,31.959999,32.07,38680200,32.07
2015-06-18,32.080002,32.50,32.00,32.380001,27634300,32.380001
2015-06-17,31.75,32.09,31.690001,31.950001,28185500,31.950001
2015-06-16,31.26,31.76,31.129999,31.639999,20225800,31.639999
2015-06-15,31.120001,31.51,30.940001,31.389999,23134500,31.389999
2015-06-12,31.719999,32.099998,31.200001,31.32,31568300,31.32
2015-06-11,31.950001,32.099998,31.84,31.85,24192500,31.85
2015-06-10,31.459999,32.16,31.370001,31.82,33281500,31.82
2015-06-09,31.33,31.66,31.15,31.25,33672500,31.25
2015-06-08,31.809999,31.950001,31.209999,31.299999,38032000,31.299999
2015-06-05,32.279999,32.299999,31.83,31.84,27684200,31.84
2015-06-04,32.509998,32.720001,32.200001,32.310001,33440000,32.310001
2015-06-03,33.169998,33.240002,32.59,32.73,37898300,32.73
2015-06-02,33.639999,33.75,33.139999,33.27,36211700,33.27
2015-06-01,34.369999,34.59,33.68,33.91,46680700,33.91
2015-05-29,34.240002,34.75,34.209999,34.459999,43231700,34.459999
2015-05-28,33.740002,34.150002,33.68,34.009998,27105800,34.009998
2015-05-27,33.200001,33.849998,33.130001,33.709999,30123200,33.709999
2015-05-26,33.27,33.290001,32.84,33.099998,28438700,33.099998
2015-05-22,33.470001,33.509998,33.32,33.450001,20616200,33.450001
2015-05-21,33.209999,33.560001,33.07,33.549999,21204500,33.549999
2015-05-20,33.060001,33.50,33.009998,33.369999,21280200,33.369999
2015-05-19,33.360001,33.380001,32.990002,33.150002,20636500,33.150002
2015-05-18,32.98,33.41,32.849998,33.41,23571300,33.41
2015-05-15,33.09,33.119999,32.75,32.990002,17124800,32.990002
2015-05-14,32.860001,33.130001,32.77,32.970001,21062800,32.970001
2015-05-13,32.27,32.900002,32.27,32.639999,20355200,32.639999
2015-05-12,32.439999,32.50,32.00,32.25,24377900,32.25
2015-05-11,32.68,32.709999,32.43,32.689999,18358600,32.689999
2015-05-08,32.509998,32.880001,32.34,32.799999,26926500,32.799999
2015-05-07,32.27,32.630001,32.18,32.240002,21475300,32.240002
2015-05-06,32.50,32.790001,31.93,32.220001,31985400,32.220001
2015-05-05,33.00,33.099998,32.57,32.639999,29779200,32.639999
2015-05-04,33.27,33.50,33.220001,33.43,21397300,33.19
2015-05-01,32.630001,33.490002,32.619999,33.419998,27091200,33.180069
2015-04-30,32.709999,32.849998,32.299999,32.549999,22013300,32.316316
2015-04-29,32.560001,33.00,32.549999,32.889999,21819000,32.653875
2015-04-28,32.299999,33.040001,32.23,33.02,29572800,32.782943
2015-04-27,32.080002,32.689999,32.080002,32.50,25869600,32.266676
2015-04-24,32.41,32.48,32.02,32.080002,22759900,31.849693
2015-04-23,32.040001,32.41,32.009998,32.349998,23775300,32.117751
2015-04-22,32.41,32.720001,32.029999,32.700001,21144200,32.465241
2015-04-21,32.93,32.970001,32.279999,32.43,19023800,32.197179
2015-04-20,32.610001,32.790001,32.529999,32.73,20649300,32.495024
2015-04-17,32.509998,32.700001,32.220001,32.470001,30593600,32.236893
2015-04-16,32.849998,32.990002,32.700001,32.869999,28903200,32.634019
2015-04-15,32.259998,32.990002,32.07,32.830002,61083500,32.594309
2015-04-14,31.68,31.940001,31.27,31.49,39754000,31.263927
2015-04-13,31.809999,32.049999,31.709999,31.73,23489000,31.502204
2015-04-10,31.33,31.940001,31.33,31.93,28084900,31.700768
2015-04-09,30.68,31.620001,30.57,31.24,34167600,31.015722
2015-04-08,31.23,31.559999,31.059999,31.309999,18250300,31.085219
2015-04-07,31.07,31.59,31.00,31.26,23258300,31.035578
2015-04-06,30.809999,31.25,30.450001,31.040001,21490900,30.817159
2015-04-02,30.799999,31.23,30.67,30.809999,20909600,30.588808
2015-04-01,31.129999,31.32,30.65,30.809999,31532100,30.588808
2015-03-31,31.43,31.93,31.200001,31.27,32098500,31.045507
2015-03-30,31.66,32.099998,31.299999,31.459999,51391500,31.234141
2015-03-27,30.01,33.00,29.85,32.00,73857200,31.770266
2015-03-26,29.50,30.40,29.309999,30.08,45450100,29.86405
2015-03-25,30.809999,30.889999,29.860001,29.889999,37691000,29.675413
2015-03-24,31.16,31.32,30.74,30.790001,28471400,30.568953
2015-03-23,31.290001,31.790001,31.200001,31.200001,29694000,30.97601
2015-03-20,30.99,31.620001,30.93,31.309999,64777100,31.085219
2015-03-19,30.780001,31.10,30.690001,30.74,27414200,30.519311
2015-03-18,30.41,31.200001,30.299999,30.889999,39834100,30.668234
2015-03-17,30.58,30.73,30.41,30.59,29215600,30.370388
2015-03-16,30.93,31.110001,30.65,30.83,33074600,30.608665
2015-03-13,30.629999,30.98,30.360001,30.93,47954700,30.707948
2015-03-12,31.01,31.60,30.58,30.799999,107402400,30.57888
2015-03-11,31.969999,32.959999,31.950001,32.330002,49683600,32.097898
2015-03-10,32.240002,32.41,31.50,31.700001,50278900,31.47242
2015-03-09,33.200001,33.27,32.48,32.720001,33058800,32.485098
2015-03-06,33.540001,33.68,33.080002,33.189999,32373100,32.951721
2015-03-05,34.259998,34.50,33.59,33.73,21225800,33.487845
2015-03-04,33.860001,34.41,33.720001,34.119999,23005800,33.875045
2015-03-03,33.950001,34.380001,33.91,34.099998,27332000,33.855188
2015-03-02,33.290001,34.130001,33.119999,34.060001,25406400,33.815478
2015-02-27,33.630001,33.639999,33.209999,33.25,24427300,33.011292
2015-02-26,33.619999,33.880001,33.43,33.650002,25928400,33.408421
2015-02-25,34.029999,34.150002,33.73,33.950001,24686300,33.706267
2015-02-24,33.610001,34.490002,33.509998,34.41,29607500,34.162964
2015-02-23,34.400002,34.50,33.580002,33.759998,25565500,33.517629
2015-02-20,34.150002,34.57,33.91,34.41,20955600,34.162964
2015-02-19,34.25,34.419998,34.049999,34.209999,11017500,33.964399
2015-02-18,34.650002,34.709999,34.189999,34.27,19992900,34.023969
2015-02-17,34.400002,34.75,34.259998,34.740002,19374100,34.490596
2015-02-13,34.25,34.369999,33.950001,34.360001,18037900,34.113323
2015-02-12,33.98,34.130001,33.759998,34.130001,20056700,33.884975
2015-02-11,33.669998,33.759998,33.32,33.549999,18364200,33.309137
2015-02-10,33.200001,33.73,33.049999,33.700001,20200000,33.458062
2015-02-09,33.00,33.240002,32.669998,32.93,28705500,32.693589
2015-02-06,33.919998,34.00,33.139999,33.299999,29124600,33.060932
2015-02-05,33.68,33.990002,33.450001,33.939999,20491400,33.696337
2015-02-04,33.669998,33.84,33.299999,33.599998,25052800,33.358777
2015-02-03,33.779999,34.049999,32.610001,33.700001,36038300,33.219784
2015-02-02,33.060001,33.75,32.650002,33.650002,38733800,33.170498
2015-01-30,33.700001,33.990002,33.00,33.040001,38719700,32.569189
2015-01-29,33.84,34.279999,33.459999,34.209999,29569400,33.722515
2015-01-28,34.470001,34.700001,33.720001,33.779999,34929100,33.298643
2015-01-27,34.400002,34.720001,33.549999,34.189999,58456200,33.7028
2015-01-26,36.189999,36.299999,35.57,35.810001,30906800,35.299718
2015-01-23,36.959999,37.029999,36.380001,36.450001,27427100,35.930598
2015-01-22,36.560001,37.00,36.139999,36.91,31809900,36.384042
2015-01-21,35.849998,36.68,35.77,36.48,27442600,35.960169
2015-01-20,36.099998,36.459999,35.57,36.09,35929400,35.575727
2015-01-16,36.119999,36.66,35.509998,36.450001,62812200,35.930598
2015-01-15,36.529999,36.880001,36.029999,36.189999,47181800,35.6743
2015-01-14,36.330002,36.91,35.91,36.349998,34250300,35.83202
2015-01-13,36.869999,37.490002,36.290001,36.50,31478000,35.979884
2015-01-12,36.900002,37.00,36.23,36.599998,29400800,36.078458
2015-01-09,36.77,37.110001,36.400002,36.759998,22846000,36.236178
2015-01-08,36.369999,37.00,36.259998,36.689999,31765400,36.167176
2015-01-07,35.639999,36.07,35.27,36.02,27725200,35.506725
2015-01-06,36.080002,36.23,35.259998,35.279999,30847600,34.777268
2015-01-05,36.200001,36.450001,35.939999,35.950001,32785000,35.437723
2015-01-02,36.669998,37.16,36.110001,36.360001,23605600,35.84188
2014-12-31,36.630001,37.040001,36.290001,36.290001,20393600,35.772878
2014-12-30,37.080002,37.189999,36.759998,36.759998,15214100,36.236178
2014-12-29,37.450001,37.52,37.169998,37.18,12203300,36.650195
2014-12-26,37.52,37.740002,37.52,37.549999,14037200,37.014921
2014-12-24,37.470001,37.599998,37.18,37.439999,12109100,36.906488
2014-12-23,37.400002,37.700001,37.299999,37.43,22169700,36.896632
2014-12-22,36.389999,37.259998,36.389999,37.209999,29227100,36.679766
2014-12-19,37.02,37.16,36.23,36.369999,76786800,35.851736
2014-12-18,36.75,37.02,36.43,37.02,32128100,36.492475
2014-12-17,35.619999,36.330002,35.330002,36.240002,31637700,35.723591
2014-12-16,35.860001,36.50,35.560001,35.560001,31166300,35.053281
2014-12-15,36.389999,36.779999,35.900002,35.919998,30633400,35.408147
2014-12-12,36.450001,36.82,36.220001,36.23,29322500,35.713731
2014-12-11,36.50,37.209999,36.439999,36.700001,25088200,36.177035
2014-12-10,36.93,37.02,36.299999,36.419998,27499900,35.901023
2014-12-09,36.669998,37.09,36.299999,36.889999,28487300,36.364326
2014-12-08,37.459999,37.73,36.939999,37.200001,28134800,36.66991
2014-12-05,37.57,37.900002,37.52,37.669998,20527600,37.13321
2014-12-04,37.400002,37.459999,37.040001,37.459999,23359100,36.926204
2014-12-03,37.68,37.889999,37.41,37.43,30660800,36.896632
2014-12-02,37.18,37.599998,37.18,37.599998,28343700,37.064208
2014-12-01,37.209999,37.619999,36.900002,37.169998,30904000,36.640335
2014-11-28,37.040001,37.689999,36.939999,37.25,19128500,36.719197
2014-11-26,36.369999,36.990002,36.279999,36.900002,24060000,36.374186
2014-11-25,36.360001,36.48,36.150002,36.32,29088500,35.802449
2014-11-24,35.889999,36.43,35.84,36.25,33317900,35.733447
2014-11-21,35.98,36.459999,35.50,35.59,56720400,35.082852
2014-11-20,34.139999,35.970001,34.00,35.950001,61994700,35.437723
2014-11-19,34.689999,34.790001,34.25,34.349998,21289500,33.86052
