Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,47.689999,48.099998,47.549999,47.869999,2734200,47.869999
2015-07-30,46.759998,47.509998,46.759998,47.470001,3160500,47.470001
2015-07-29,47.759998,48.189999,46.130001,46.990002,7012400,46.990002
2015-07-28,47.57,48.970001,47.529999,48.73,3384700,48.73
2015-07-27,47.310001,48.00,47.259998,47.360001,2959900,47.360001
2015-07-24,48.349998,48.650002,47.540001,47.75,2767400,47.75
2015-07-23,48.82,49.110001,48.419998,48.610001,2635900,48.610001
2015-07-22,49.00,49.490002,48.529999,48.810001,4038400,48.810001
2015-07-21,48.380001,48.459999,47.849998,48.09,2431000,48.09
2015-07-20,47.830002,48.91,47.82,48.650002,3242400,48.650002
2015-07-17,47.889999,48.099998,47.529999,47.639999,2537000,47.639999
2015-07-16,47.169998,48.43,47.169998,48.110001,3487100,48.110001
2015-07-15,47.740002,47.84,46.950001,47.220001,2731200,47.220001
2015-07-14,47.700001,47.990002,47.650002,47.75,2327600,47.75
2015-07-13,47.330002,47.869999,47.25,47.799999,2378900,47.799999
2015-07-10,47.139999,47.349998,46.779999,46.939999,2480300,46.939999
2015-07-09,47.369999,47.43,46.580002,46.599998,2646100,46.599998
2015-07-08,47.450001,47.689999,46.779999,46.82,2701500,46.82
2015-07-07,47.740002,48.040001,46.98,48.00,3042300,48.00
2015-07-06,47.650002,48.150002,47.450001,47.669998,2611100,47.669998
2015-07-02,48.549999,48.82,47.959999,47.959999,2736900,47.959999
2015-07-01,48.009998,48.709999,47.91,48.549999,2793900,48.549999
2015-06-30,48.209999,48.380001,47.389999,47.59,3424700,47.59
2015-06-29,48.080002,48.25,47.669998,47.700001,4195900,47.700001
2015-06-26,48.599998,48.75,48.220001,48.25,5087300,48.25
2015-06-25,49.110001,49.23,48.360001,48.369999,4412700,48.369999
2015-06-24,49.290001,49.790001,49.049999,49.09,2920600,49.09
2015-06-23,49.790001,50.060001,49.189999,49.299999,3577300,49.299999
2015-06-22,49.349998,50.439999,48.709999,49.669998,8355300,49.669998
2015-06-19,50.950001,51.82,50.939999,51.139999,3618600,51.139999
2015-06-18,51.139999,51.389999,50.790001,51.040001,2497200,51.040001
2015-06-17,50.619999,51.040001,50.41,50.919998,2324000,50.919998
2015-06-16,50.630001,50.880001,50.290001,50.540001,2252000,50.540001
2015-06-15,50.740002,50.990002,50.419998,50.57,1908200,50.57
2015-06-12,51.400002,51.59,51.150002,51.150002,2030500,51.150002
2015-06-11,50.959999,51.75,50.889999,51.549999,3037600,51.549999
2015-06-10,50.720001,51.209999,50.529999,50.900002,3143700,50.900002
2015-06-09,50.349998,50.720001,50.290001,50.360001,2634100,50.360001
2015-06-08,50.900002,51.130001,50.50,50.529999,2724800,50.529999
2015-06-05,50.830002,51.459999,50.599998,51.169998,1923500,51.169998
2015-06-04,50.84,51.200001,50.77,51.150002,2363400,51.150002
2015-06-03,51.25,51.43,50.939999,51.240002,2265000,51.240002
2015-06-02,51.759998,51.849998,51.060001,51.169998,3228800,51.169998
2015-06-01,51.779999,52.09,51.290001,51.82,2488100,51.82
2015-05-29,52.900002,53.09,51.650002,51.830002,2520800,51.830002
2015-05-28,52.639999,52.91,52.540001,52.709999,1257700,52.709999
2015-05-27,52.810001,53.169998,52.630001,52.91,1896000,52.91
2015-05-26,52.810001,53.049999,52.310001,52.52,2183000,52.52
2015-05-22,53.099998,53.209999,52.950001,53.099998,1915500,53.099998
2015-05-21,52.790001,53.189999,52.509998,53.099998,2222800,53.099998
2015-05-20,53.560001,53.59,53.040001,53.240002,2048900,52.840001
2015-05-19,53.529999,54.00,53.439999,53.619999,2642000,53.217143
2015-05-18,53.029999,53.700001,52.759998,53.619999,1834100,53.217143
2015-05-15,53.59,53.759998,52.599998,53.27,3093600,52.869774
2015-05-14,53.060001,53.869999,52.990002,53.619999,4342600,53.217143
2015-05-13,52.279999,52.790001,52.169998,52.560001,2283600,52.165109
2015-05-12,52.689999,52.689999,52.110001,52.119999,1903800,51.728413
2015-05-11,52.439999,52.98,52.360001,52.860001,2928200,52.462855
2015-05-08,52.779999,53.189999,52.34,52.490002,3237000,52.095636
2015-05-07,51.900002,52.110001,51.599998,52.00,6154100,51.609315
2015-05-06,51.09,51.959999,50.799999,51.810001,6804700,51.420744
2015-05-05,53.639999,53.740002,50.759998,50.950001,10531100,50.567205
2015-05-04,53.810001,54.049999,53.619999,53.740002,2188900,53.336244
2015-05-01,53.939999,54.400002,53.880001,54.029999,2211100,53.624062
2015-04-30,53.049999,54.130001,53.00,53.720001,2900300,53.316394
2015-04-29,53.310001,54.00,52.900002,53.07,2302600,52.671276
2015-04-28,53.34,53.580002,52.720001,53.459999,3001900,53.058345
2015-04-27,53.66,53.720001,53.220001,53.32,2056100,52.919398
2015-04-24,52.91,53.709999,52.560001,53.669998,2498200,53.266767
2015-04-23,52.939999,53.169998,52.619999,52.880001,2157900,52.482705
2015-04-22,52.560001,53.18,52.450001,53.040001,3775700,52.641503
2015-04-21,54.209999,54.459999,52.330002,52.52,6132300,52.125409
2015-04-20,54.490002,55.080002,54.299999,54.650002,2625900,54.239407
2015-04-17,54.41,54.59,53.75,54.049999,3643600,53.643913
2015-04-16,54.720001,55.16,54.529999,54.669998,3159000,54.259253
2015-04-15,55.00,55.259998,54.639999,54.73,2709500,54.318804
2015-04-14,55.580002,55.900002,54.93,55.00,2740100,54.586776
2015-04-13,56.299999,56.48,55.459999,55.619999,4522500,55.202117
2015-04-10,54.75,56.490002,54.669998,56.279999,4948200,55.857158
2015-04-09,54.50,54.830002,54.369999,54.490002,2041600,54.080609
2015-04-08,53.950001,54.610001,53.810001,54.490002,2079800,54.080609
2015-04-07,54.299999,54.700001,53.959999,53.970001,1722200,53.564516
2015-04-06,54.279999,54.52,54.200001,54.310001,2012600,53.901961
2015-04-02,54.860001,55.09,54.459999,54.669998,1460400,54.259253
