Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,30.09,30.43,29.90,30.049999,1261300,30.049999
2015-07-30,29.209999,29.950001,28.34,29.91,2305700,29.91
2015-07-29,31.00,31.01,30.290001,30.66,2256900,30.66
2015-07-28,30.860001,30.969999,30.67,30.90,973100,30.90
2015-07-27,31.08,31.23,30.639999,30.76,1801600,30.76
2015-07-24,31.15,31.23,31.00,31.120001,1387400,31.120001
2015-07-23,31.51,31.58,31.120001,31.200001,1217000,31.200001
2015-07-22,31.33,31.700001,31.23,31.58,1037800,31.58
2015-07-21,31.43,31.709999,31.299999,31.360001,1531300,31.360001
2015-07-20,31.74,31.790001,31.360001,31.40,885700,31.40
2015-07-17,31.75,31.84,31.530001,31.73,964900,31.73
2015-07-16,31.620001,31.799999,31.450001,31.77,909900,31.77
2015-07-15,31.41,31.620001,31.280001,31.41,2355800,31.41
2015-07-14,31.25,31.629999,31.059999,31.51,1503600,31.51
2015-07-13,31.08,31.379999,30.93,31.15,709600,31.15
2015-07-10,30.969999,31.18,30.870001,30.92,774000,30.92
2015-07-09,30.889999,31.190001,30.65,30.67,995400,30.67
2015-07-08,30.620001,30.940001,30.43,30.540001,1177900,30.540001
2015-07-07,31.35,31.65,30.709999,30.959999,2210200,30.959999
2015-07-06,31.32,31.76,31.17,31.23,1750200,31.23
2015-07-02,31.67,32.25,31.129999,31.549999,1793500,31.549999
2015-07-01,30.950001,31.60,30.889999,31.48,2284700,31.48
2015-06-30,31.40,31.629999,30.950001,31.00,2098100,31.00
2015-06-29,31.68,32.119999,31.00,31.09,2308900,31.09
2015-06-26,31.52,32.209999,31.469999,31.860001,2600700,31.860001
2015-06-25,31.690001,31.82,31.450001,31.450001,1089100,31.450001
2015-06-24,32.580002,32.59,31.60,31.65,1778400,31.65
2015-06-23,32.880001,32.880001,32.50,32.57,1733600,32.57
2015-06-22,32.610001,32.91,32.48,32.779999,2532300,32.779999
2015-06-19,32.689999,32.73,32.380001,32.50,1727400,32.50
2015-06-18,32.110001,32.889999,32.029999,32.709999,2578500,32.709999
2015-06-17,31.790001,32.16,31.620001,32.029999,1323900,32.029999
2015-06-16,31.90,31.959999,31.559999,31.700001,1436800,31.700001
2015-06-15,31.83,31.950001,31.440001,31.879999,2062500,31.879999
2015-06-12,31.77,32.25,31.65,32.02,2629100,32.02
2015-06-11,32.009998,32.060001,31.639999,31.860001,1389800,31.860001
2015-06-10,31.74,31.969999,31.379999,31.85,1806900,31.85
2015-06-09,32.360001,32.360001,31.76,31.950001,2406700,31.475
2015-06-08,32.189999,32.639999,32.009998,32.299999,2077200,31.819795
2015-06-05,32.959999,32.959999,32.32,32.650002,2404200,32.164594
2015-06-04,34.060001,34.310001,32.77,32.889999,2790500,32.401024
2015-06-03,34.560001,34.560001,33.959999,34.279999,2236100,33.770358
2015-06-02,35.700001,35.98,34.540001,34.68,4355100,34.164412
2015-06-01,36.490002,37.02,36.459999,36.830002,1058600,36.28245
2015-05-29,36.799999,36.889999,36.259998,36.470001,4082100,35.927801
2015-05-28,36.82,37.00,36.459999,36.75,1220000,36.203637
2015-05-27,36.52,37.00,36.450001,36.91,1302700,36.361259
2015-05-26,36.650002,36.73,36.310001,36.50,1342400,35.957354
2015-05-22,36.639999,36.810001,36.50,36.639999,776600,36.095272
2015-05-21,37.25,37.290001,36.52,36.73,1021300,36.183934
2015-05-20,37.73,37.73,37.220001,37.23,1339000,36.676501
2015-05-19,37.169998,37.650002,37.110001,37.599998,1703600,37.040999
2015-05-18,36.869999,37.290001,36.830002,37.220001,1835800,36.666651
2015-05-15,36.720001,37.00,36.700001,36.990002,1149200,36.440071
2015-05-14,36.450001,36.599998,36.220001,36.580002,2246600,36.036167
2015-05-13,35.990002,36.48,35.959999,36.139999,2130300,35.602706
2015-05-12,35.380001,36.029999,35.099998,35.880001,2415400,35.346573
2015-05-11,35.299999,35.77,35.299999,35.669998,1882500,35.139692
2015-05-08,35.310001,35.849998,35.220001,35.439999,1320500,34.913112
2015-05-07,34.34,35.110001,34.150002,34.93,1469400,34.410696
2015-05-06,34.209999,34.450001,33.880001,34.25,1013400,33.740805
2015-05-05,34.779999,34.860001,34.139999,34.209999,1576900,33.701399
2015-05-04,34.630001,35.02,34.529999,34.849998,1457700,34.331883
2015-05-01,34.50,34.91,34.299999,34.599998,1724400,34.0856
2015-04-30,35.259998,35.599998,34.290001,34.490002,3411000,33.977239
2015-04-29,37.110001,37.110001,35.18,35.400002,3191600,34.873709
2015-04-28,38.00,38.490002,36.810001,37.279999,6468100,36.725757
2015-04-27,36.709999,36.810001,36.169998,36.240002,1351600,35.701221
2015-04-24,36.50,36.720001,36.470001,36.52,952500,35.977057
2015-04-23,36.380001,36.98,36.32,36.50,1703500,35.957354
2015-04-22,36.50,36.59,36.189999,36.389999,905300,35.848989
2015-04-21,36.880001,36.970001,36.459999,36.490002,927200,35.947505
2015-04-20,37.119999,37.240002,36.77,36.790001,939400,36.243044
2015-04-17,36.580002,37.009998,36.349998,36.880001,2022700,36.331706
2015-04-16,36.360001,36.91,36.16,36.880001,1022900,36.331706
2015-04-15,37.080002,37.139999,36.369999,36.41,1223300,35.868692
2015-04-14,36.900002,37.16,36.610001,36.880001,1005000,36.331706
2015-04-13,37.209999,37.470001,36.889999,36.93,771500,36.380962
2015-04-10,37.490002,37.91,36.98,37.169998,870500,36.617392
2015-04-09,37.490002,37.639999,37.09,37.369999,953000,36.814419
2015-04-08,36.889999,37.630001,36.77,37.57,1582500,37.011446
2015-04-07,37.779999,37.849998,36.779999,36.790001,1211300,36.243044
2015-04-06,37.099998,37.82,37.029999,37.75,1264700,37.18877
2015-04-02,36.299999,37.25,36.27,37.150002,1153600,36.597692
2015-04-01,36.50,36.59,35.93,36.290001,1509300,35.750477
2015-03-31,36.799999,36.84,36.41,36.48,1008000,35.937651
2015-03-30,36.790001,36.939999,36.549999,36.75,756400,36.203637
2015-03-27,36.369999,36.759998,36.34,36.639999,617200,36.095272
2015-03-26,36.349998,36.599998,36.110001,36.369999,1717500,35.829286
2015-03-25,37.889999,37.889999,36.41,36.43,1066800,35.888395
2015-03-24,38.299999,38.299999,37.619999,37.82,1094500,37.257729
2015-03-23,38.639999,38.720001,38.150002,38.330002,1315400,37.760149
2015-03-20,38.490002,38.91,38.41,38.650002,3722700,38.075392
2015-03-19,38.560001,38.759998,38.200001,38.27,2046100,37.70104
2015-03-18,37.709999,38.740002,37.619999,38.57,1761500,37.996579
2015-03-17,37.540001,38.119999,37.400002,37.740002,2230500,37.178921
2015-03-16,37.060001,37.700001,37.060001,37.599998,1302000,37.040999
2015-03-13,36.700001,37.080002,36.27,36.869999,1702000,36.321852
2015-03-12,36.009998,36.77,35.98,36.700001,1045100,36.154382
2015-03-11,36.299999,36.299999,35.799999,35.970001,1653600,35.435235
2015-03-10,36.310001,36.389999,35.599998,36.25,2318500,35.711071
2015-03-09,36.34,36.59,36.25,36.560001,1148400,36.016464
2015-03-06,36.310001,36.599998,36.080002,36.279999,1677700,35.740624
2015-03-05,36.509998,36.68,36.439999,36.59,1082300,36.046016
2015-03-04,36.77,37.130001,36.41,36.490002,2038700,35.947505
2015-03-03,37.400002,37.50,37.040001,37.389999,1864200,36.366186
2015-03-02,36.669998,37.549999,36.630001,37.490002,1934500,36.46345
2015-02-27,36.799999,36.849998,36.34,36.75,2199000,35.743711
2015-02-26,36.419998,36.880001,36.25,36.849998,1955900,35.840971
2015-02-25,36.459999,36.689999,36.09,36.48,1584400,35.481104
2015-02-24,36.220001,36.630001,35.84,36.580002,1579300,35.578368
2015-02-23,36.709999,36.810001,35.98,36.290001,1648500,35.296308
2015-02-20,38.369999,38.369999,36.099998,36.709999,3471300,35.704805
2015-02-19,39.509998,39.509998,38.799999,38.830002,1162500,37.766758
2015-02-18,39.049999,39.639999,38.75,39.529999,1671800,38.447588
2015-02-17,39.200001,39.450001,39.02,39.080002,1354500,38.009913
2015-02-13,40.400002,40.400002,39.02,39.369999,1298800,38.291969
2015-02-12,40.040001,40.52,39.810001,40.470001,834900,39.361851
2015-02-11,39.779999,39.919998,39.310001,39.860001,696700,38.768553
2015-02-10,39.639999,39.830002,39.34,39.75,1132000,38.661565
2015-02-09,40.700001,40.830002,39.48,39.529999,1065400,38.447588
2015-02-06,41.110001,41.529999,40.790001,40.91,1162400,39.789802
2015-02-05,40.610001,41.119999,40.50,41.09,1111700,39.964873
2015-02-04,40.200001,40.84,40.040001,40.549999,960100,39.439659
2015-02-03,39.709999,40.209999,39.41,40.200001,793800,39.099244
2015-02-02,39.849998,39.889999,38.700001,39.669998,1132400,38.583754
2015-01-30,40.50,40.549999,39.630001,39.84,1352900,38.749101
2015-01-29,40.080002,40.68,40.07,40.669998,906800,39.556372
2015-01-28,40.709999,40.880001,40.139999,40.169998,1023600,39.070063
2015-01-27,40.580002,40.810001,40.25,40.360001,994700,39.254862
2015-01-26,40.650002,41.029999,40.540001,40.860001,711400,39.741171
2015-01-23,40.360001,41.119999,40.25,40.75,1239600,39.634183
2015-01-22,40.240002,40.41,39.77,40.34,3096700,39.23541
2015-01-21,40.619999,40.93,39.860001,39.900002,1490500,38.807459
2015-01-20,40.57,40.990002,40.200001,40.75,1689600,39.634183
2015-01-16,40.419998,40.599998,39.720001,40.330002,1627500,39.225685
2015-01-15,40.00,40.799999,40.00,40.360001,1614100,39.254862
2015-01-14,39.68,40.060001,39.290001,40.00,1284300,38.904719
2015-01-13,39.490002,39.900002,39.330002,39.689999,1758700,38.603206
2015-01-12,39.59,39.740002,38.959999,39.32,1479200,38.243339
2015-01-09,40.299999,40.330002,39.439999,39.48,1280600,38.398958
2015-01-08,39.939999,40.299999,39.709999,40.299999,2114200,39.196504
2015-01-07,39.790001,39.959999,39.419998,39.57,1701900,38.486493
2015-01-06,39.330002,39.900002,39.029999,39.509998,1389300,38.428135
2015-01-05,38.810001,39.27,38.740002,39.150002,907100,38.077996
2015-01-02,38.950001,39.110001,38.59,38.959999,898700,37.893196
2014-12-31,39.720001,39.720001,38.630001,38.66,828000,37.601411
2014-12-30,39.790001,40.080002,39.34,39.59,1679800,38.505946
2014-12-29,39.759998,39.990002,39.630001,39.849998,722300,38.758825
2014-12-26,39.82,40.02,39.560001,39.82,483200,38.729648
2014-12-24,39.66,39.880001,39.400002,39.639999,877600,38.554576
2014-12-23,39.380001,39.720001,39.330002,39.43,858500,38.350327
2014-12-22,38.419998,39.360001,37.150002,39.259998,1939500,38.18498
2014-12-19,40.349998,40.41,39.330002,39.75,3967100,38.661565
2014-12-18,39.009998,40.279999,38.939999,40.27,2294400,39.167327
2014-12-17,37.380001,38.779999,37.18,38.599998,2600100,37.543053
2014-12-16,36.779999,37.57,36.619999,37.169998,1760400,36.152209
2014-12-15,36.439999,37.619999,36.439999,36.950001,3863900,35.938235
2014-12-12,36.959999,37.07,36.43,36.439999,1249500,35.442198
2014-12-11,37.23,37.52,36.990002,37.150002,1328000,36.13276
2014-12-10,37.110001,37.43,36.790001,36.970001,2132300,35.957688
2014-12-09,36.970001,37.310001,36.66,37.200001,1103400,36.18139
2014-12-08,37.27,37.619999,36.939999,37.310001,1146100,36.288378
2014-12-05,37.290001,37.639999,37.200001,37.330002,1059300,36.307831
2014-12-04,37.450001,37.560001,37.189999,37.380001,1554900,36.356461
2014-12-03,38.349998,38.580002,37.349998,37.50,4226600,36.473174
2014-12-02,38.810001,39.139999,38.540001,38.919998,2627100,37.392295
