Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,20.18,20.43,20.10,20.25,1342700,20.25
2015-07-30,19.940001,20.24,19.940001,20.17,1499100,20.17
2015-07-29,19.75,19.98,19.700001,19.959999,1223900,19.959999
2015-07-28,19.530001,19.77,19.379999,19.75,1354000,19.75
2015-07-27,19.25,19.709999,19.190001,19.389999,1694200,19.389999
2015-07-24,19.620001,19.75,19.370001,19.48,2020500,19.48
2015-07-23,19.75,19.92,19.540001,19.59,1607700,19.59
2015-07-22,19.709999,19.889999,19.57,19.620001,1876100,19.620001
2015-07-21,19.84,20.16,19.799999,19.98,1248000,19.98
2015-07-20,20.049999,20.09,19.76,19.809999,1654600,19.809999
2015-07-17,20.16,20.16,19.889999,20.01,841000,20.01
2015-07-16,20.08,20.309999,20.040001,20.219999,1718300,20.219999
2015-07-15,20.41,20.440001,19.90,19.92,2397500,19.92
2015-07-14,20.370001,20.59,20.26,20.50,1601000,20.50
2015-07-13,20.639999,20.639999,20.299999,20.360001,1164500,20.360001
2015-07-10,20.60,20.639999,20.360001,20.51,1529700,20.51
2015-07-09,20.540001,20.639999,20.219999,20.23,1602400,20.23
2015-07-08,20.48,20.52,20.16,20.27,2735800,20.27
2015-07-07,20.709999,20.799999,20.290001,20.74,2042500,20.74
2015-07-06,20.83,21.10,20.58,20.74,2621800,20.74
2015-07-02,20.950001,21.370001,20.950001,21.10,1780200,21.10
2015-07-01,21.50,21.50,21.01,21.120001,2878100,21.120001
2015-06-30,21.549999,21.60,21.15,21.290001,2557700,21.290001
2015-06-29,21.68,21.84,21.309999,21.370001,2927500,21.370001
2015-06-26,22.040001,22.08,21.719999,21.98,4263100,21.98
2015-06-25,22.32,22.35,21.969999,22.040001,2136100,22.040001
2015-06-24,22.50,22.549999,22.15,22.280001,2711600,22.280001
2015-06-23,22.68,22.77,22.49,22.60,1999700,22.60
2015-06-22,22.85,22.93,22.51,22.68,2397900,22.68
2015-06-19,22.459999,22.860001,22.43,22.60,4856600,22.60
2015-06-18,22.860001,23.32,22.379999,22.52,8634100,22.52
2015-06-17,24.690001,24.76,24.27,24.33,2610100,24.33
2015-06-16,24.09,24.629999,24.09,24.59,2296700,24.59
2015-06-15,24.35,24.40,23.85,24.08,2496100,24.08
2015-06-12,24.120001,24.23,24.040001,24.139999,868200,24.139999
2015-06-11,24.139999,24.309999,24.02,24.190001,1640400,24.190001
2015-06-10,23.85,24.07,23.73,24.00,1251300,24.00
2015-06-09,23.780001,23.91,23.459999,23.700001,1845200,23.700001
2015-06-08,24.27,24.34,23.77,23.84,1332200,23.84
2015-06-05,23.90,24.26,23.780001,24.23,1202400,24.23
2015-06-04,23.99,24.200001,23.860001,23.98,1610100,23.98
2015-06-03,24.08,24.34,24.059999,24.09,2355500,24.09
2015-06-02,24.10,24.18,23.90,23.969999,1278600,23.969999
2015-06-01,24.559999,24.60,24.129999,24.16,1557600,24.16
2015-05-29,24.610001,24.700001,24.32,24.57,1111600,24.57
2015-05-28,24.639999,24.780001,24.549999,24.610001,1122000,24.610001
2015-05-27,24.34,24.66,24.219999,24.66,2100500,24.66
2015-05-26,24.43,24.50,24.120001,24.33,1385200,24.33
2015-05-22,24.40,24.610001,24.379999,24.57,676100,24.57
2015-05-21,24.65,24.76,24.41,24.459999,987300,24.459999
2015-05-20,24.59,24.76,24.450001,24.719999,986100,24.719999
2015-05-19,24.799999,24.950001,24.52,24.530001,1616800,24.530001
2015-05-18,24.27,24.91,24.139999,24.83,2436300,24.83
2015-05-15,24.209999,24.32,24.110001,24.309999,1597800,24.309999
2015-05-14,23.77,24.25,23.60,24.24,1447000,24.24
2015-05-13,23.360001,23.700001,23.309999,23.559999,1201900,23.559999
2015-05-12,23.370001,23.51,23.17,23.40,906000,23.32
2015-05-11,23.34,23.52,23.309999,23.450001,700600,23.36983
2015-05-08,23.43,23.49,23.32,23.379999,1027800,23.300068
2015-05-07,22.92,23.25,22.83,23.18,1461300,23.100752
2015-05-06,23.120001,23.209999,22.73,22.889999,1026600,22.811743
2015-05-05,23.26,23.440001,22.950001,22.98,1551700,22.901435
2015-05-04,23.02,23.41,23.02,23.32,1641900,23.240273
2015-05-01,22.42,23.00,22.309999,22.959999,1293300,22.881503
2015-04-30,22.940001,23.030001,22.389999,22.52,2297500,22.443009
2015-04-29,23.219999,23.450001,23.139999,23.15,1955800,23.070854
2015-04-28,23.67,23.809999,23.190001,23.33,2916500,23.250239
2015-04-27,23.75,23.98,23.540001,23.65,1200400,23.569145
2015-04-24,24.030001,24.040001,23.639999,23.690001,983300,23.609009
2015-04-23,23.629999,24.02,23.469999,23.93,1809600,23.848188
2015-04-22,23.48,23.76,23.35,23.76,1387900,23.678769
2015-04-21,23.51,23.57,23.309999,23.469999,1247500,23.38976
2015-04-20,23.27,23.469999,23.200001,23.34,1243100,23.260205
2015-04-17,23.35,23.43,23.01,23.07,1667400,22.991128
2015-04-16,23.950001,23.99,23.59,23.59,1420400,23.509351
2015-04-15,23.940001,24.110001,23.860001,23.950001,1427000,23.86812
2015-04-14,23.700001,23.98,23.620001,23.90,1730000,23.81829
2015-04-13,23.84,23.93,23.620001,23.66,1510200,23.579111
2015-04-10,23.90,23.959999,23.799999,23.91,1349200,23.828256
2015-04-09,23.93,24.00,23.84,23.889999,1741300,23.808324
2015-04-08,23.559999,23.940001,23.42,23.93,2793200,23.848188
2015-04-07,23.25,23.49,23.23,23.25,1028700,23.170513
2015-04-06,22.959999,23.360001,22.91,23.290001,1775200,23.210377
2015-04-02,23.16,23.42,23.09,23.139999,1194600,23.060888
2015-04-01,23.18,23.309999,22.959999,23.15,1282400,23.070854
2015-03-31,23.389999,23.49,23.24,23.379999,1338500,23.300068
2015-03-30,23.059999,23.530001,23.01,23.49,1595300,23.409692
2015-03-27,22.959999,23.10,22.76,22.90,1796600,22.821709
2015-03-26,22.639999,23.00,22.40,22.870001,2429600,22.791813
2015-03-25,23.620001,23.68,22.75,22.77,1751800,22.692154
2015-03-24,23.48,23.690001,23.33,23.559999,1851900,23.479452
2015-03-23,23.59,23.780001,23.32,23.40,2020100,23.32
2015-03-20,23.43,23.700001,23.25,23.65,2729700,23.569145
2015-03-19,22.15,23.469999,21.65,23.35,7566300,23.270171
2015-03-18,22.549999,22.76,22.280001,22.65,2999400,22.572564
2015-03-17,22.09,22.690001,22.02,22.639999,2702600,22.562598
2015-03-16,22.23,22.280001,21.99,22.219999,1735600,22.144034
2015-03-13,21.700001,21.790001,21.389999,21.73,1092000,21.655709
2015-03-12,21.530001,21.76,21.51,21.690001,890100,21.615847
2015-03-11,21.32,21.52,21.120001,21.49,1225300,21.41653
2015-03-10,21.50,21.610001,21.280001,21.280001,963300,21.207249
2015-03-09,21.780001,21.889999,21.65,21.77,824100,21.695573
2015-03-06,21.75,21.889999,21.540001,21.74,1162200,21.665675
2015-03-05,22.10,22.120001,21.799999,21.90,960800,21.825128
2015-03-04,21.84,22.09,21.700001,22.09,1284200,22.014479
2015-03-03,22.26,22.370001,21.969999,22.00,1214700,21.924786
