Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,24.690001,24.99,24.65,24.709999,3382500,24.709999
2015-07-30,24.440001,24.620001,24.35,24.450001,2948900,24.450001
2015-07-29,24.40,24.639999,24.219999,24.51,3238900,24.51
2015-07-28,24.360001,24.610001,24.23,24.41,3641400,24.41
2015-07-27,24.32,24.51,24.23,24.33,2215800,24.33
2015-07-24,24.08,24.40,24.07,24.290001,2773600,24.290001
2015-07-23,24.540001,24.58,24.01,24.15,2863400,24.15
2015-07-22,24.33,24.620001,24.219999,24.549999,2396700,24.549999
2015-07-21,24.450001,24.59,24.32,24.33,2023100,24.33
2015-07-20,24.34,24.51,24.25,24.450001,1527500,24.450001
2015-07-17,24.540001,24.65,24.370001,24.450001,3330000,24.450001
2015-07-16,24.379999,24.59,24.299999,24.540001,3549900,24.540001
2015-07-15,24.040001,24.41,23.92,24.26,3886400,24.26
2015-07-14,24.09,24.24,23.870001,24.110001,3817200,24.110001
2015-07-13,24.07,24.24,23.84,24.040001,3497000,24.040001
2015-07-10,23.790001,24.110001,23.68,23.879999,3161600,23.879999
2015-07-09,24.02,24.129999,23.559999,23.629999,2407100,23.629999
2015-07-08,23.540001,24.049999,23.540001,23.84,5626000,23.84
2015-07-07,23.26,23.690001,23.26,23.68,4315700,23.68
2015-07-06,22.780001,23.200001,22.709999,23.18,4495500,23.18
2015-07-02,23.110001,23.190001,22.860001,22.90,2918200,22.90
2015-07-01,22.450001,22.75,22.299999,22.73,2957700,22.73
2015-06-30,22.83,22.93,22.48,22.540001,3973900,22.300001
2015-06-29,23.059999,23.299999,22.65,22.67,3060800,22.428616
2015-06-26,23.110001,23.33,23.040001,23.129999,2811700,22.883718
2015-06-25,23.280001,23.290001,23.120001,23.120001,2056500,22.873826
2015-06-24,23.35,23.459999,23.15,23.25,2315500,23.002441
2015-06-23,23.469999,23.57,23.280001,23.34,2280500,23.091483
2015-06-22,23.959999,23.959999,23.48,23.50,2953100,23.249779
2015-06-19,23.83,24.01,23.76,23.76,2653800,23.507011
2015-06-18,23.65,24.139999,23.65,24.02,2983000,23.764242
2015-06-17,23.43,23.66,23.23,23.620001,1793900,23.368502
2015-06-16,23.26,23.51,23.190001,23.440001,2901300,23.190418
2015-06-15,23.209999,23.370001,23.110001,23.26,3648800,23.012334
2015-06-12,23.32,23.42,23.219999,23.27,3063500,23.022228
2015-06-11,23.42,23.540001,23.34,23.40,3094400,23.150843
2015-06-10,23.040001,23.469999,22.98,23.27,2065100,23.022228
2015-06-09,23.34,23.360001,23.02,23.059999,1340400,22.814463
2015-06-08,23.389999,23.459999,23.219999,23.309999,2088700,23.061801
2015-06-05,23.389999,23.50,23.15,23.34,3008000,23.091483
2015-06-04,23.73,23.860001,23.60,23.65,2257000,23.398181
2015-06-03,24.02,24.049999,23.68,23.76,2347500,23.507011
2015-06-02,24.209999,24.209999,23.85,24.030001,2185200,23.774136
2015-06-01,23.99,24.379999,23.91,24.27,2570400,24.01158
2015-05-29,24.32,24.41,23.870001,23.959999,4836100,23.70488
