Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,114.830002,115.629997,114.610001,114.970001,2056400,114.970001
2015-07-30,112.93,114.769997,112.410004,114.57,1745300,114.57
2015-07-29,113.089996,113.900002,112.989998,113.50,1305300,113.50
2015-07-28,112.559998,113.419998,112.290001,113.290001,1266900,113.290001
2015-07-27,111.720001,112.540001,111.190002,112.360001,1691900,112.360001
2015-07-24,111.730003,112.669998,111.510002,111.839996,1222900,111.839996
2015-07-23,112.540001,112.540001,110.519997,111.629997,1433400,111.629997
2015-07-22,112.510002,113.410004,111.739998,112.199997,2196100,112.199997
2015-07-21,112.849998,112.900002,111.760002,112.489998,2021600,112.489998
2015-07-20,112.330002,113.00,112.089996,112.940002,1060400,112.940002
2015-07-17,111.620003,112.470001,111.360001,112.400002,1800400,112.400002
2015-07-16,111.739998,112.480003,111.410004,112.029999,1041100,112.029999
2015-07-15,110.809998,111.43,110.389999,111.199997,874500,111.199997
2015-07-14,110.980003,111.290001,110.160004,110.949997,1019300,110.949997
2015-07-13,110.330002,110.949997,109.949997,110.860001,805100,110.860001
2015-07-10,109.580002,110.169998,109.169998,109.720001,900600,109.720001
2015-07-09,110.07,110.169998,108.669998,108.699997,1677500,108.699997
2015-07-08,109.110001,109.730003,108.889999,109.029999,1458500,109.029999
2015-07-07,107.589996,109.900002,107.360001,109.769997,1490600,109.769997
2015-07-06,107.379997,108.220001,107.25,107.599998,974900,107.599998
2015-07-02,108.339996,108.610001,107.349998,107.550003,1153700,107.550003
2015-07-01,106.720001,107.949997,106.040001,107.849998,1224800,107.849998
2015-06-30,106.949997,107.32,105.769997,105.970001,1243800,105.970001
2015-06-29,107.419998,107.989998,106.059998,106.120003,1000200,106.120003
2015-06-26,107.629997,108.459999,107.550003,107.900002,1407000,107.900002
2015-06-25,108.370003,108.449997,107.470001,107.510002,1376500,107.510002
2015-06-24,108.419998,108.690002,108.07,108.279999,1032600,108.279999
2015-06-23,109.309998,109.419998,108.209999,108.360001,1014300,108.360001
2015-06-22,108.800003,109.550003,108.709999,108.970001,753000,108.970001
2015-06-19,108.790001,109.150002,108.43,108.809998,1660400,108.809998
2015-06-18,107.970001,109.480003,107.559998,109.199997,1613000,109.199997
2015-06-17,107.00,107.910004,106.919998,107.660004,1538500,107.660004
2015-06-16,106.099998,106.910004,105.550003,106.900002,1001400,106.900002
2015-06-15,106.199997,106.550003,105.519997,105.709999,1149400,105.709999
2015-06-12,107.010002,107.099998,106.50,106.739998,842100,106.739998
2015-06-11,107.139999,107.730003,106.809998,107.400002,1908600,107.400002
2015-06-10,106.389999,107.260002,106.169998,107.110001,1379700,107.110001
2015-06-09,105.400002,106.480003,105.239998,105.849998,999800,105.849998
2015-06-08,105.50,105.75,104.529999,105.480003,1257000,105.480003
2015-06-05,106.589996,106.75,105.519997,105.739998,1399200,105.739998
2015-06-04,107.169998,107.910004,106.690002,106.830002,1149200,106.830002
2015-06-03,108.029999,108.419998,107.410004,107.980003,1269200,107.980003
2015-06-02,109.080002,109.160004,108.199997,108.370003,1246700,107.49
2015-06-01,108.970001,109.559998,108.379997,109.150002,1344300,108.263664
2015-05-29,109.839996,109.870003,108.730003,108.860001,1856200,107.976018
2015-05-28,110.110001,110.330002,109.330002,109.730003,1151600,108.838956
2015-05-27,110.349998,110.559998,109.400002,110.330002,1689000,109.434083
2015-05-26,111.300003,111.559998,109.739998,109.910004,1423900,109.017495
2015-05-22,111.650002,111.739998,111.220001,111.25,1021800,110.34661
2015-05-21,112.160004,112.330002,111.529999,111.830002,1065200,110.921902
2015-05-20,112.540001,112.93,112.07,112.07,1046500,111.159951
2015-05-19,112.00,112.639999,111.470001,112.440002,948700,111.526949
2015-05-18,111.480003,112.110001,111.209999,112.040001,1003300,111.130196
2015-05-15,111.620003,112.00,111.480003,111.800003,897500,110.892147
2015-05-14,111.00,111.82,110.760002,111.620003,1183000,110.713608
2015-05-13,110.699997,111.550003,110.239998,110.400002,1481700,109.503514
2015-05-12,109.68,110.059998,109.050003,109.75,935800,108.858791
2015-05-11,110.400002,110.82,109.910004,109.919998,818900,109.027408
2015-05-08,110.660004,111.32,110.470001,110.709999,903100,109.810994
2015-05-07,109.639999,110.089996,109.43,109.68,1524700,108.789359
2015-05-06,109.610001,110.139999,109.040001,109.860001,1333000,108.967898
2015-05-05,110.580002,110.989998,109.160004,109.400002,1716000,108.511634
2015-05-04,111.169998,111.760002,110.400002,110.440002,1422400,109.54319
2015-05-01,109.720001,111.07,109.699997,111.040001,1232400,110.138316
2015-04-30,110.300003,110.639999,109.309998,109.690002,1743600,108.79928
2015-04-29,111.800003,111.879997,110.419998,110.720001,1606700,109.820915
2015-04-28,111.610001,112.480003,111.279999,111.93,1496200,111.021089
2015-04-27,111.790001,112.00,111.290001,111.519997,1577900,110.614414
2015-04-24,111.589996,111.830002,111.18,111.639999,1291900,110.733443
2015-04-23,111.339996,112.349998,110.849998,111.699997,1607300,110.792953
2015-04-22,113.00,113.00,110.949997,111.849998,2620700,110.941736
2015-04-21,112.489998,113.449997,110.919998,113.150002,5008500,112.231183
2015-04-20,106.860001,107.959999,106.82,107.360001,2051400,106.488199
2015-04-17,107.059998,107.230003,106.290001,106.779999,1422600,105.912907
2015-04-16,107.720001,108.169998,107.080002,107.68,1026600,106.8056
2015-04-15,107.940002,108.730003,107.610001,107.610001,1251800,106.736169
2015-04-14,106.730003,108.169998,106.650002,107.650002,1144900,106.775845
2015-04-13,106.550003,107.43,106.50,106.989998,1017600,106.121201
2015-04-10,107.419998,107.57,106.629997,106.860001,1299300,105.992259
2015-04-09,107.309998,107.459999,106.43,107.260002,1159500,106.389013
2015-04-08,107.00,107.68,106.620003,107.160004,1307100,106.289826
2015-04-07,107.279999,107.93,106.870003,106.959999,1062800,106.091446
2015-04-06,107.290001,108.169998,106.860001,107.459999,1482100,106.587385
2015-04-02,106.32,107.400002,105.940002,107.019997,1556000,106.150956
2015-04-01,106.690002,106.879997,105.50,106.849998,1464000,105.982338
2015-03-31,107.029999,108.07,107.029999,107.110001,1350000,106.240229
2015-03-30,106.82,108.199997,106.379997,107.739998,1258400,106.865111
2015-03-27,106.160004,106.870003,106.00,106.370003,1203900,105.50624
2015-03-26,107.139999,107.559998,106.290001,106.32,1705500,105.456643
2015-03-25,108.949997,109.099998,107.449997,107.459999,1597100,106.587385
2015-03-24,109.919998,110.160004,108.470001,108.50,1626600,107.618941
2015-03-23,108.580002,109.790001,108.419998,108.989998,1768600,108.10496
2015-03-20,107.059998,108.919998,106.769997,108.480003,3863800,107.599107
2015-03-19,106.830002,107.650002,106.690002,106.75,2233400,105.883152
2015-03-18,105.660004,107.529999,104.699997,107.050003,2058500,106.180719
