Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,41.490002,42.189999,41.220001,41.990002,4204900,41.990002
2015-07-30,40.119999,42.279999,40.00,42.119999,7937400,42.119999
2015-07-29,39.25,40.18,38.939999,40.110001,2973500,40.110001
2015-07-28,39.18,39.610001,38.880001,39.419998,2244200,39.419998
2015-07-27,39.119999,39.77,38.799999,39.07,2606700,39.07
2015-07-24,39.98,40.02,38.880001,39.330002,2970200,39.330002
2015-07-23,40.080002,40.400002,39.68,39.810001,3537600,39.810001
2015-07-22,40.689999,40.959999,39.98,40.130001,2752500,40.130001
2015-07-21,40.099998,40.880001,40.040001,40.580002,4570800,40.580002
2015-07-20,40.91,41.029999,39.900002,39.919998,3855800,39.919998
2015-07-17,41.400002,41.619999,40.23,40.52,5223900,40.52
2015-07-16,42.299999,42.299999,41.09,41.25,5927700,41.25
2015-07-15,43.220001,43.459999,42.759998,42.950001,2702300,42.950001
2015-07-14,43.91,44.09,42.950001,43.48,3627800,43.48
2015-07-13,42.869999,44.169998,42.860001,44.060001,4271300,44.060001
2015-07-10,42.389999,42.790001,42.00,42.490002,2704200,42.490002
2015-07-09,42.16,42.669998,41.919998,41.990002,3215900,41.990002
2015-07-08,42.130001,42.41,41.650002,41.68,2758200,41.68
2015-07-07,41.84,42.470001,41.16,42.419998,3751400,42.419998
2015-07-06,42.68,42.68,41.560001,41.830002,4523300,41.830002
2015-07-02,43.139999,43.540001,42.810001,43.07,2849400,43.07
2015-07-01,42.630001,43.490002,42.509998,43.110001,4386100,43.110001
2015-06-30,43.599998,43.599998,41.52,42.09,10913300,42.09
2015-06-29,44.299999,44.59,43.32,43.369999,6005100,43.369999
2015-06-26,45.330002,45.540001,44.830002,44.91,4283400,44.91
2015-06-25,46.509998,46.509998,45.23,45.369999,4413600,45.369999
2015-06-24,46.810001,47.419998,46.060001,46.200001,3535800,46.200001
2015-06-23,47.439999,47.919998,46.540001,46.799999,4303300,46.799999
2015-06-22,46.84,47.509998,46.490002,47.34,3503200,47.34
2015-06-19,46.27,46.919998,46.23,46.599998,6128200,46.599998
2015-06-18,46.700001,46.93,46.099998,46.169998,3105300,46.169998
2015-06-17,46.599998,46.900002,46.060001,46.43,3815400,46.43
2015-06-16,47.080002,47.34,46.419998,46.509998,3982300,46.509998
2015-06-15,47.849998,47.91,46.830002,47.099998,3752500,47.099998
2015-06-12,47.599998,48.360001,47.380001,48.23,3010500,48.23
2015-06-11,48.32,48.73,47.189999,47.84,5418400,47.84
2015-06-10,48.720001,49.169998,48.16,48.209999,5316300,48.209999
2015-06-09,48.009998,48.810001,48.009998,48.57,4220000,48.57
2015-06-08,48.84,49.25,48.009998,48.150002,6644600,48.150002
2015-06-05,49.23,49.709999,48.73,48.869999,5228400,48.869999
2015-06-04,48.099998,49.310001,48.009998,49.279999,6338700,49.279999
2015-06-03,48.919998,49.07,48.400002,48.580002,6439100,48.580002
2015-06-02,47.919998,48.98,47.75,48.599998,10184500,48.599998
2015-06-01,46.98,47.869999,46.52,47.740002,11861000,47.740002
2015-05-29,46.00,46.689999,45.529999,46.50,12500800,46.50
2015-05-28,45.610001,46.950001,45.57,45.779999,20130000,45.779999
2015-05-27,60.59,60.59,45.880001,45.93,69071000,45.93
2015-05-26,61.50,61.549999,59.799999,60.59,5845900,60.59
2015-05-22,61.66,61.950001,61.130001,61.630001,3375900,61.630001
2015-05-21,60.57,61.509998,60.23,61.330002,3837900,61.330002
2015-05-20,60.900002,60.93,59.880001,60.450001,2953700,60.450001
2015-05-19,61.099998,61.349998,60.369999,60.720001,2780900,60.720001
2015-05-18,61.259998,61.98,60.93,61.16,2262900,61.16
2015-05-15,61.150002,61.16,60.619999,61.02,1845800,61.02
2015-05-14,61.07,61.41,60.240002,61.080002,2426700,61.080002
2015-05-13,61.639999,62.150002,60.77,61.099998,2814500,61.099998
2015-05-12,62.50,62.82,61.82,62.150002,2054000,62.150002
2015-05-11,62.43,63.240002,62.43,62.82,1396100,62.82
2015-05-08,62.830002,63.310001,62.279999,62.509998,1374700,62.509998
2015-05-07,62.389999,62.639999,62.009998,62.419998,1908200,62.419998
2015-05-06,62.18,62.580002,62.00,62.349998,2851300,62.349998
2015-05-05,62.560001,62.950001,62.369999,62.57,1839700,62.57
2015-05-04,62.549999,62.970001,62.259998,62.639999,1913200,62.639999
2015-05-01,62.110001,62.66,61.639999,62.549999,2397900,62.549999
2015-04-30,62.25,62.459999,61.43,61.860001,2483600,61.860001
2015-04-29,62.389999,62.599998,61.43,62.50,2650100,62.50
2015-04-28,62.00,63.299999,61.919998,62.68,2477900,62.68
2015-04-27,63.490002,63.950001,62.84,63.02,2517000,63.02
2015-04-24,63.560001,63.98,63.139999,63.48,1903700,63.48
2015-04-23,62.509998,63.959999,62.299999,63.34,3548600,63.34
2015-04-22,62.23,62.50,61.50,62.310001,2611900,62.310001
2015-04-21,62.299999,62.900002,61.880001,62.220001,4485000,62.220001
2015-04-20,62.459999,62.630001,61.23,62.16,5432500,62.16
2015-04-17,63.439999,63.75,62.939999,63.25,3466300,63.25
2015-04-16,63.48,63.830002,63.369999,63.720001,2601300,63.720001
2015-04-15,63.34,63.82,62.650002,63.759998,3364000,63.759998
2015-04-14,64.059998,64.260002,62.849998,62.939999,3823700,62.939999
2015-04-13,64.360001,64.980003,64.089996,64.120003,2284600,64.120003
2015-04-10,65.18,65.699997,64.300003,64.599998,2581300,64.599998
2015-04-09,65.099998,65.830002,65.07,65.239998,2251300,65.239998
2015-04-08,64.150002,65.309998,64.110001,64.879997,2763200,64.879997
2015-04-07,63.599998,64.940002,63.599998,64.379997,2066600,64.379997
2015-04-06,63.07,63.799999,63.060001,63.50,3411300,63.50
2015-04-02,64.18,64.940002,63.209999,63.389999,3871000,63.389999
2015-04-01,64.029999,65.00,63.400002,64.080002,6071500,64.080002
2015-03-31,66.269997,66.660004,65.550003,65.75,3701100,65.75
2015-03-30,67.25,67.400002,66.230003,66.260002,2458400,66.260002
2015-03-27,66.629997,67.120003,66.080002,66.970001,1639600,66.970001
2015-03-26,67.610001,67.879997,66.650002,66.660004,1772400,66.660004
2015-03-25,67.940002,68.82,67.730003,68.010002,2372200,68.010002
