Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,61.639999,62.00,61.119999,61.32,1432600,61.32
2015-07-30,61.150002,61.709999,61.049999,61.52,1751800,61.52
2015-07-29,61.50,61.599998,60.560001,61.169998,3314900,61.169998
2015-07-28,61.91,61.970001,61.200001,61.41,1585600,61.41
2015-07-27,61.43,62.41,61.349998,61.779999,1630500,61.779999
2015-07-24,62.009998,62.119999,61.599998,61.880001,1707600,61.880001
2015-07-23,62.740002,62.790001,61.77,61.869999,2134300,61.869999
2015-07-22,62.119999,62.970001,62.119999,62.869999,1510800,62.869999
2015-07-21,62.52,62.689999,61.990002,62.060001,2451500,62.060001
2015-07-20,62.50,62.830002,62.259998,62.59,1995200,62.59
2015-07-17,63.529999,63.73,62.25,62.259998,3038700,62.259998
2015-07-16,64.169998,64.260002,63.650002,63.73,2246600,63.73
2015-07-15,64.849998,64.849998,63.580002,64.00,2300400,64.00
2015-07-14,63.889999,64.93,63.700001,64.769997,2541700,64.769997
2015-07-13,64.349998,64.440002,63.73,64.07,1724600,64.07
2015-07-10,63.709999,64.25,63.50,63.950001,1914300,63.950001
2015-07-09,65.199997,65.199997,62.139999,62.68,4416500,62.68
2015-07-08,64.449997,65.199997,64.25,64.589996,2702600,64.589996
2015-07-07,63.150002,65.050003,62.959999,64.959999,3020700,64.959999
2015-07-06,62.50,63.16,62.459999,62.830002,2346900,62.830002
2015-07-02,63.110001,63.950001,62.959999,63.130001,1870300,63.130001
2015-07-01,62.93,63.220001,62.00,62.82,2405300,62.82
2015-06-30,62.990002,63.009998,62.43,62.610001,1649700,62.610001
2015-06-29,63.189999,63.450001,62.41,62.529999,2171400,62.529999
2015-06-26,63.400002,63.849998,63.130001,63.369999,1894800,63.369999
2015-06-25,64.160004,64.50,63.34,63.360001,1420400,63.360001
2015-06-24,64.029999,64.559998,63.630001,63.990002,1688200,63.990002
2015-06-23,63.779999,64.589996,63.759998,63.900002,2112500,63.900002
2015-06-22,64.129997,64.470001,63.599998,63.650002,1647300,63.650002
2015-06-19,62.98,64.150002,62.98,63.810001,3542900,63.810001
2015-06-18,62.720001,63.349998,62.720001,63.200001,1301500,63.200001
2015-06-17,62.450001,63.189999,62.299999,62.759998,2701000,62.759998
2015-06-16,62.599998,62.970001,62.009998,62.080002,2282000,62.080002
2015-06-15,62.25,62.990002,62.189999,62.599998,2218700,62.599998
2015-06-12,62.09,62.869999,62.09,62.669998,1852900,62.669998
2015-06-11,62.900002,63.099998,62.32,62.41,1581800,62.41
2015-06-10,62.50,62.619999,61.700001,62.459999,2559500,62.459999
2015-06-09,62.880001,63.040001,61.950001,62.049999,2320600,62.049999
2015-06-08,63.200001,63.310001,62.619999,62.709999,2402200,62.709999
2015-06-05,64.830002,64.959999,63.310001,63.419998,3991800,62.969997
2015-06-04,64.510002,65.540001,64.349998,64.839996,1938700,64.379919
2015-06-03,65.879997,66.18,65.300003,65.339996,2147500,64.876371
2015-06-02,65.029999,65.870003,64.800003,65.730003,3066500,65.263611
2015-06-01,65.489998,65.940002,64.629997,64.669998,2906400,64.211127
2015-05-29,65.239998,65.769997,64.919998,65.489998,2966300,65.025309
2015-05-28,65.610001,66.330002,65.269997,65.379997,3063100,64.916089
2015-05-27,65.400002,66.029999,65.199997,65.389999,3026600,64.92602
2015-05-26,66.099998,66.50,64.949997,65.110001,2759700,64.648008
2015-05-22,66.059998,66.800003,65.980003,66.099998,2877300,65.630981
2015-05-21,65.610001,66.599998,65.510002,65.910004,3428100,65.442334
2015-05-20,66.559998,66.860001,65.790001,65.839996,3764900,65.372824
2015-05-19,66.32,66.519997,65.709999,66.50,4414300,66.028144
2015-05-18,66.230003,66.800003,65.599998,66.07,5796300,65.601195
2015-05-15,64.709999,66.25,64.169998,66.129997,8833200,65.660767
2015-05-14,67.089996,68.080002,64.25,64.620003,25648400,64.161487
2015-05-13,73.910004,74.68,73.190002,74.510002,4728000,73.981311
2015-05-12,74.129997,74.800003,73.800003,74.300003,2865000,73.772802
2015-05-11,75.00,75.239998,74.019997,74.300003,3353200,73.772802
2015-05-08,74.00,74.889999,73.68,74.279999,3115600,73.752939
2015-05-07,73.089996,73.709999,72.309998,73.360001,2284800,72.839469
2015-05-06,72.120003,73.029999,71.629997,72.959999,2866300,72.442306
2015-05-05,72.779999,73.260002,71.410004,71.550003,2632300,71.042315
2015-05-04,73.120003,73.599998,72.779999,73.129997,1862000,72.611098
2015-05-01,71.589996,73.25,71.260002,73.089996,2272300,72.571381
2015-04-30,71.019997,72.169998,70.900002,71.650002,3889200,71.141604
2015-04-29,72.730003,73.099998,71.099998,71.099998,3668300,70.595503
2015-04-28,72.699997,73.480003,71.940002,73.25,3137200,72.730249
2015-04-27,75.120003,75.489998,72.809998,72.910004,3310400,72.392665
2015-04-24,76.279999,76.550003,73.889999,74.589996,4806300,74.060737
2015-04-23,75.769997,77.389999,75.459999,76.779999,2335300,76.235201
2015-04-22,75.339996,76.360001,74.669998,75.910004,2381800,75.371379
2015-04-21,75.370003,75.559998,74.400002,74.949997,1741300,74.418184
2015-04-20,75.370003,75.599998,74.68,75.330002,2260500,74.795492
2015-04-17,75.629997,76.290001,74.260002,74.470001,2994800,73.941594
2015-04-16,76.169998,76.809998,75.510002,76.309998,1864700,75.768534
2015-04-15,76.870003,77.440002,76.160004,76.199997,2263900,75.659314
2015-04-14,77.489998,77.699997,76.419998,76.580002,1998800,76.036623
2015-04-13,78.220001,78.940002,77.730003,77.730003,1509900,77.178464
2015-04-10,78.339996,78.669998,77.580002,78.400002,2652200,77.843708
2015-04-09,78.330002,78.699997,77.449997,77.669998,2530800,77.118885
2015-04-08,78.279999,78.839996,77.25,77.75,2949500,77.198319
2015-04-07,78.980003,79.419998,78.309998,78.360001,1708500,77.803991
2015-04-06,78.720001,79.599998,78.540001,78.809998,1815300,78.250795
2015-04-02,78.139999,79.529999,78.139999,79.07,2244500,78.508953
2015-04-01,77.860001,78.660004,77.529999,78.160004,3157800,77.605413
2015-03-31,76.669998,79.300003,76.610001,78.25,4850200,77.694771
2015-03-30,74.959999,77.040001,74.660004,76.620003,1742300,76.07634
2015-03-27,75.290001,75.660004,74.870003,75.309998,2668400,74.77563
2015-03-26,74.519997,75.230003,73.889999,74.989998,2205200,74.457901
2015-03-25,75.150002,75.620003,74.669998,74.690002,3492000,74.160034
2015-03-24,75.379997,75.860001,74.910004,75.010002,2481800,74.477763
2015-03-23,75.989998,76.540001,75.580002,75.599998,2646800,75.063573
2015-03-20,75.370003,76.440002,75.370003,75.639999,2600500,75.10329
2015-03-19,74.940002,75.839996,74.580002,75.610001,1876200,75.073504
2015-03-18,74.330002,75.360001,73.57,74.949997,2578900,74.418184
2015-03-17,73.769997,74.550003,73.75,74.330002,2688400,73.802588
2015-03-16,74.400002,74.989998,73.790001,74.199997,2863500,73.673505
2015-03-13,74.260002,74.900002,73.690002,74.099998,2574400,73.574216
2015-03-12,73.860001,74.660004,73.860001,74.410004,1482800,73.882022
2015-03-11,73.849998,74.370003,73.330002,73.849998,1821900,73.32599
2015-03-10,73.43,74.040001,73.089996,73.910004,2803100,73.38557
2015-03-09,73.260002,74.019997,73.00,73.709999,2016000,73.186984
2015-03-06,73.610001,74.089996,73.150002,73.360001,2211800,72.392664
2015-03-05,74.589996,74.720001,73.599998,73.599998,2723100,72.629497
2015-03-04,74.449997,74.699997,73.940002,74.300003,2411600,73.320272
2015-03-03,74.440002,74.940002,73.580002,74.50,3081200,73.517631
2015-03-02,73.400002,74.410004,72.900002,74.260002,4168500,73.280798
2015-02-27,72.160004,74.660004,71.980003,73.800003,6150700,72.826865
2015-02-26,70.730003,73.199997,69.400002,71.690002,5530500,70.744687
2015-02-25,70.00,71.43,69.629997,70.900002,4372900,69.965103
2015-02-24,70.00,70.440002,69.129997,69.970001,3246900,69.047366
2015-02-23,69.650002,70.160004,69.150002,70.00,4023700,69.076969
2015-02-20,68.25,69.580002,67.830002,69.50,2332500,68.583562
2015-02-19,68.739998,69.029999,68.230003,68.370003,2175800,67.468465
2015-02-18,68.639999,68.870003,68.209999,68.75,2626400,67.843452
2015-02-17,67.949997,68.970001,67.43,68.849998,2578200,67.942132
2015-02-13,68.949997,68.989998,67.839996,68.25,2850200,67.350045
2015-02-12,70.160004,70.199997,68.760002,68.830002,3538100,67.922399
2015-02-11,69.75,70.25,69.169998,69.470001,2978100,68.553959
2015-02-10,69.720001,69.889999,69.150002,69.580002,3178200,68.662509
2015-02-09,69.160004,70.400002,68.660004,69.620003,4921300,68.701982
2015-02-06,67.739998,69.470001,67.349998,69.300003,6729100,68.386202
2015-02-05,66.870003,67.889999,66.239998,67.739998,4893400,66.846768
2015-02-04,65.610001,67.150002,64.279999,66.870003,11151300,65.988244
2015-02-03,61.400002,62.990002,61.09,62.880001,3384500,62.050856
2015-02-02,59.990002,61.52,59.610001,61.439999,2971300,60.629841
2015-01-30,60.279999,60.810001,59.630001,59.720001,2403800,58.932524
2015-01-29,61.029999,61.41,59.959999,60.75,2151700,59.948941
2015-01-28,61.400002,62.200001,60.77,60.799999,1688100,59.998281
2015-01-27,61.169998,61.549999,60.599998,61.080002,1944900,60.274591
2015-01-26,59.950001,61.650002,59.630001,61.43,3164900,60.619975
2015-01-23,60.18,60.73,59.849998,60.18,2235500,59.386457
2015-01-22,59.02,60.25,58.73,60.189999,2315200,59.396324
2015-01-21,58.299999,58.93,58.290001,58.66,1567400,57.8865
2015-01-20,59.419998,59.740002,58.00,58.360001,2411800,57.590456
2015-01-16,58.59,59.50,58.259998,59.34,1938300,58.557534
2015-01-15,60.119999,60.360001,58.50,58.549999,1985400,57.77795
2015-01-14,59.82,60.59,59.139999,59.919998,1910700,59.129884
2015-01-13,61.18,62.200001,60.41,60.639999,2100500,59.840391
2015-01-12,60.310001,60.950001,59.650002,60.630001,2018600,59.830524
2015-01-09,61.080002,61.18,60.18,60.209999,2227300,59.416061
2015-01-08,61.720001,62.049999,61.439999,61.52,2574500,60.708788
2015-01-07,60.900002,61.959999,60.380001,61.310001,4257400,60.501558
