Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,40.93,41.07,40.610001,41.00,3525700,41.00
2015-07-30,40.41,41.150002,40.189999,40.990002,1849000,40.990002
2015-07-29,40.639999,40.849998,40.23,40.779999,2261800,40.779999
2015-07-28,40.66,40.939999,40.029999,40.73,2596700,40.73
2015-07-27,39.93,40.459999,39.650002,40.27,3213600,40.27
2015-07-24,41.02,41.16,39.919998,40.209999,4153500,40.209999
2015-07-23,40.369999,41.91,40.209999,40.98,6955200,40.98
2015-07-22,40.00,40.66,39.43,40.41,9650800,40.41
2015-07-21,42.93,43.57,42.849998,43.119999,3124500,43.119999
2015-07-20,43.549999,43.720001,42.919998,43.00,2075700,43.00
2015-07-17,43.57,43.630001,43.259998,43.57,2576000,43.57
2015-07-16,43.200001,43.720001,42.720001,43.580002,3857300,43.580002
2015-07-15,43.470001,43.66,43.040001,43.27,2135100,43.27
2015-07-14,43.50,43.599998,43.32,43.540001,1285800,43.540001
2015-07-13,43.259998,43.439999,42.91,43.349998,1506700,43.349998
2015-07-10,42.889999,43.279999,42.450001,43.040001,1402000,43.040001
2015-07-09,43.709999,43.990002,42.459999,42.48,2173200,42.48
2015-07-08,43.299999,43.369999,42.630001,42.830002,2312800,42.830002
2015-07-07,43.439999,43.970001,42.540001,43.759998,3463800,43.759998
2015-07-06,44.07,44.43,43.48,43.650002,2605500,43.650002
2015-07-02,44.540001,44.630001,44.009998,44.450001,2158800,44.450001
2015-07-01,44.540001,44.630001,44.040001,44.259998,2474800,44.259998
2015-06-30,44.77,44.77,44.18,44.23,2685800,44.23
2015-06-29,45.02,45.389999,44.310001,44.349998,2691700,44.349998
2015-06-26,46.139999,46.220001,45.18,45.369999,2228600,45.369999
2015-06-25,46.459999,46.509998,46.16,46.189999,1048200,46.189999
2015-06-24,46.50,46.68,46.040001,46.23,1622900,46.23
2015-06-23,47.299999,47.43,46.450001,46.560001,1521800,46.560001
2015-06-22,47.50,47.52,46.950001,47.150002,1949700,47.150002
2015-06-19,47.07,47.369999,46.369999,47.27,3742500,47.27
2015-06-18,46.450001,47.200001,46.419998,47.029999,1523300,47.029999
2015-06-17,46.00,46.48,45.970001,46.240002,1044800,46.240002
2015-06-16,45.740002,46.119999,45.669998,46.00,945300,46.00
2015-06-15,45.27,46.009998,45.200001,45.869999,1325200,45.869999
2015-06-12,46.18,46.18,45.639999,45.790001,1455100,45.790001
2015-06-11,46.75,46.759998,46.43,46.48,933400,46.48
2015-06-10,46.18,46.759998,46.110001,46.66,956900,46.66
2015-06-09,45.91,46.18,45.599998,46.00,1570800,46.00
2015-06-08,46.52,46.549999,45.790001,45.919998,1282500,45.919998
2015-06-05,46.540001,46.740002,46.169998,46.630001,1081000,46.630001
2015-06-04,46.650002,46.900002,46.389999,46.610001,1621800,46.610001
2015-06-03,47.439999,47.540001,46.73,46.91,1870100,46.91
2015-06-02,47.470001,47.68,47.060001,47.290001,3139700,47.290001
2015-06-01,48.130001,48.27,47.450001,47.759998,1701100,47.759998
