Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,84.879997,85.260002,84.379997,84.510002,3996400,84.510002
2015-07-30,84.260002,84.970001,83.980003,84.540001,3861700,84.540001
2015-07-29,85.910004,85.989998,84.709999,85.089996,2701300,85.089996
2015-07-28,84.709999,85.699997,84.50,85.68,3003600,85.68
2015-07-27,84.50,84.610001,83.339996,84.150002,5011300,84.150002
2015-07-24,86.00,86.209999,84.160004,84.720001,3442100,84.720001
2015-07-23,89.059998,89.870003,85.620003,86.760002,5245000,86.760002
2015-07-22,83.32,86.800003,81.50,86.379997,12671800,86.379997
2015-07-21,87.580002,87.690002,85.519997,85.57,8024000,85.57
2015-07-20,87.699997,87.919998,87.269997,87.870003,4311000,87.870003
2015-07-17,87.00,87.440002,86.620003,87.370003,4430100,87.370003
2015-07-16,86.800003,87.459999,86.580002,87.169998,5572600,87.169998
2015-07-15,87.790001,88.169998,86.099998,86.379997,6611600,86.379997
2015-07-14,89.050003,89.099998,87.849998,88.760002,6017000,88.760002
2015-07-13,89.139999,90.18,88.669998,88.82,5934100,88.82
2015-07-10,88.300003,88.459999,87.699997,88.290001,4458800,88.290001
2015-07-09,88.00,88.309998,86.900002,87.480003,4765800,87.480003
2015-07-08,88.269997,88.50,87.169998,87.25,5318600,87.25
2015-07-07,86.639999,88.779999,86.059998,88.730003,6901100,88.730003
2015-07-06,85.309998,86.440002,85.25,86.349998,5051600,86.349998
2015-07-02,85.209999,86.239998,84.690002,86.139999,5098700,86.139999
2015-07-01,83.800003,84.959999,83.599998,84.849998,3611900,84.849998
2015-06-30,84.50,84.57,83.389999,83.489998,4239900,83.489998
2015-06-29,85.349998,85.580002,83.730003,83.779999,4429900,83.779999
2015-06-26,85.190002,85.93,84.580002,85.849998,9238500,85.849998
2015-06-25,84.160004,86.900002,84.080002,84.800003,9616800,84.800003
2015-06-24,82.50,83.080002,82.260002,82.260002,4204700,82.260002
2015-06-23,83.75,83.75,82.449997,82.669998,3638500,82.669998
2015-06-22,83.300003,83.440002,82.849998,82.919998,3516900,82.919998
2015-06-19,82.470001,83.209999,82.32,82.629997,6819000,82.629997
2015-06-18,83.889999,84.370003,82.75,83.040001,7250000,83.040001
2015-06-17,84.68,84.68,83.010002,83.529999,5965400,83.529999
2015-06-16,83.910004,85.32,83.629997,84.779999,5694500,84.779999
2015-06-15,83.57,84.610001,83.089996,84.080002,5429000,84.080002
2015-06-12,85.889999,86.00,83.089996,84.209999,12582800,84.209999
2015-06-11,83.110001,87.239998,83.080002,86.589996,16665800,86.589996
2015-06-10,81.989998,83.489998,81.309998,83.18,13157500,83.18
2015-06-09,78.370003,82.889999,78.010002,82.769997,10029400,82.769997
2015-06-08,77.980003,78.849998,77.830002,78.519997,6056600,78.519997
2015-06-05,77.559998,78.260002,76.989998,78.120003,2784300,78.120003
2015-06-04,77.339996,78.599998,77.330002,77.68,3777600,77.68
2015-06-03,78.00,78.169998,77.279999,77.830002,3267200,77.830002
2015-06-02,78.760002,78.760002,77.510002,77.949997,4456400,77.949997
2015-06-01,78.919998,79.849998,78.779999,79.00,4854300,79.00
2015-05-29,76.150002,79.550003,76.019997,78.900002,11837000,78.900002
2015-05-28,74.800003,76.480003,74.739998,76.410004,4823600,76.410004
2015-05-27,74.360001,74.989998,74.139999,74.900002,2901100,74.900002
2015-05-26,73.959999,74.370003,73.82,74.309998,4194600,74.309998
2015-05-22,74.050003,74.330002,73.870003,74.300003,3023400,74.300003
2015-05-21,73.339996,74.349998,73.18,74.269997,3288200,74.269997
2015-05-20,73.449997,73.690002,73.18,73.360001,1980300,73.360001
2015-05-19,72.82,73.580002,72.629997,73.449997,3548000,73.449997
2015-05-18,73.050003,73.089996,72.620003,72.940002,2162000,72.940002
2015-05-15,73.230003,73.419998,72.589996,72.900002,3464400,72.900002
2015-05-14,72.68,73.220001,72.43,73.059998,3364300,73.059998
2015-05-13,72.760002,73.230003,72.489998,72.800003,2682100,72.300004
2015-05-12,73.139999,73.139999,72.309998,72.440002,3152800,71.942476
2015-05-11,73.260002,73.989998,73.190002,73.470001,2958600,72.9654
2015-05-08,72.50,73.699997,72.50,73.260002,3713300,72.756843
2015-05-07,71.75,72.290001,71.720001,71.82,3628100,71.326731
2015-05-06,71.970001,72.279999,71.540001,72.050003,3567600,71.555155
2015-05-05,72.830002,72.970001,71.82,71.910004,3735900,71.416117
2015-05-04,73.25,73.589996,72.849998,73.050003,4040700,72.548287
2015-05-01,72.260002,73.330002,71.25,73.120003,6533400,72.617806
2015-04-30,71.959999,72.610001,71.43,71.870003,5479300,71.376391
2015-04-29,71.860001,72.82,71.839996,72.279999,6789600,71.783571
2015-04-28,70.620003,71.279999,70.199997,71.18,4557900,70.691127
2015-04-27,71.93,72.169998,70.629997,70.889999,5328400,70.403118
2015-04-24,72.220001,72.43,71.260002,71.580002,3816300,71.088382
2015-04-23,72.879997,72.940002,71.07,72.400002,5448700,71.902749
2015-04-22,72.470001,72.470001,71.879997,72.300003,3506100,71.803438
2015-04-21,72.980003,73.120003,72.059998,72.209999,4048400,71.714052
2015-04-20,73.00,73.260002,72.300003,72.410004,2540400,71.912683
2015-04-17,73.010002,73.199997,71.959999,72.470001,4386700,71.972268
2015-04-16,73.610001,74.00,73.389999,73.489998,2880000,72.985259
2015-04-15,73.540001,74.019997,73.300003,73.709999,4358700,73.20375
2015-04-14,73.300003,73.75,73.099998,73.459999,3950600,72.955467
2015-04-13,73.279999,73.639999,73.110001,73.519997,4351500,73.015052
2015-04-10,72.50,73.980003,72.25,73.919998,3956400,73.412306
