Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,69.239998,69.800003,68.82,69.360001,4283100,69.360001
2015-07-30,68.379997,69.00,68.019997,68.860001,3566900,68.860001
2015-07-29,67.959999,68.870003,67.779999,68.739998,5193300,68.739998
2015-07-28,67.25,68.00,66.660004,67.800003,4385600,67.800003
2015-07-27,67.040001,67.419998,66.720001,67.040001,3419900,67.040001
2015-07-24,67.889999,67.93,67.080002,67.18,3629000,67.18
2015-07-23,67.620003,68.160004,67.220001,67.699997,4169300,67.699997
2015-07-22,66.599998,67.510002,66.599998,67.440002,4921000,67.440002
2015-07-21,66.580002,66.919998,66.169998,66.389999,5375100,66.389999
2015-07-20,66.50,67.099998,66.00,66.699997,5332000,66.699997
2015-07-17,67.93,68.099998,67.050003,67.529999,6601200,67.250001
2015-07-16,67.949997,68.529999,67.339996,68.230003,5654600,67.947103
2015-07-15,68.160004,68.669998,67.93,68.269997,3532800,67.98693
2015-07-14,68.00,68.400002,67.57,68.389999,4981900,68.106435
2015-07-13,68.400002,68.660004,68.050003,68.300003,4158300,68.016812
2015-07-10,67.459999,68.269997,67.220001,67.849998,4157900,67.568674
2015-07-09,67.300003,67.519997,66.849998,67.019997,3767900,66.742113
2015-07-08,66.589996,67.410004,66.480003,66.529999,4941600,66.254147
2015-07-07,66.459999,67.43,65.830002,67.370003,8437900,67.090668
2015-07-06,66.330002,66.800003,65.980003,66.25,10279900,65.975309
2015-07-02,67.449997,67.769997,66.410004,66.699997,6064900,66.42344
2015-07-01,67.449997,67.790001,66.959999,67.239998,5782900,66.961202
2015-06-30,68.190002,68.199997,66.690002,66.970001,10150900,66.692325
2015-06-29,68.300003,69.089996,67.50,67.529999,5311200,67.250001
2015-06-26,69.50,69.730003,68.480003,68.610001,9297500,68.325524
2015-06-25,70.449997,70.849998,69.629997,69.660004,3398400,69.371174
2015-06-24,70.550003,70.989998,70.059998,70.080002,3543900,69.789431
2015-06-23,70.93,70.970001,70.300003,70.599998,3634300,70.307271
2015-06-22,70.489998,70.739998,70.059998,70.290001,4052800,69.998559
2015-06-19,69.93,70.489998,69.709999,69.989998,11947400,69.6998
2015-06-18,69.760002,70.699997,69.760002,70.150002,4462400,69.85914
2015-06-17,69.400002,69.959999,69.129997,69.669998,3380600,69.381127
2015-06-16,68.870003,69.599998,68.830002,69.400002,3426000,69.11225
2015-06-15,68.860001,69.190002,68.480003,69.110001,4989000,68.823451
2015-06-12,68.75,69.639999,68.730003,69.029999,4350900,68.743781
2015-06-11,69.330002,70.150002,68.93,69.040001,3605600,68.753742
2015-06-10,68.739998,69.279999,68.349998,69.169998,4768600,68.8832
2015-06-09,68.790001,69.029999,67.769997,68.529999,5228600,68.245854
2015-06-08,69.699997,69.940002,68.68,68.68,4433000,68.395234
2015-06-05,70.050003,70.25,69.720001,69.790001,4291500,69.500632
2015-06-04,70.040001,70.779999,69.800003,70.139999,4554600,69.849179
2015-06-03,70.190002,71.080002,70.150002,70.650002,3433100,70.357067
