Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,23.43,23.469999,23.07,23.209999,3785800,23.209999
2015-07-30,23.09,23.65,23.030001,23.440001,5031600,23.440001
2015-07-29,22.940001,23.219999,22.90,23.120001,3490800,23.120001
2015-07-28,23.10,23.200001,22.82,23.059999,3838100,23.059999
2015-07-27,23.059999,23.17,22.82,23.08,5860800,23.08
2015-07-24,23.540001,23.559999,22.92,23.209999,6334400,23.209999
2015-07-23,23.639999,23.74,23.440001,23.530001,4653300,23.530001
2015-07-22,23.77,23.84,23.34,23.700001,6788500,23.700001
2015-07-21,23.91,24.110001,23.530001,23.73,5509800,23.73
2015-07-20,24.35,24.43,23.77,24.01,6696000,24.01
2015-07-17,25.76,25.82,23.73,24.309999,15115300,24.309999
2015-07-16,25.709999,25.85,25.08,25.15,5535000,25.15
2015-07-15,25.82,25.950001,25.379999,25.59,3285300,25.59
2015-07-14,26.07,26.10,25.77,25.82,3011100,25.82
2015-07-13,25.469999,26.129999,25.42,26.10,4995800,26.10
2015-07-10,25.99,26.00,25.23,25.379999,5358800,25.379999
2015-07-09,26.32,26.51,25.74,25.780001,4039000,25.780001
2015-07-08,25.90,26.32,25.82,26.040001,4235100,26.040001
2015-07-07,25.84,26.110001,25.65,26.040001,3514000,26.040001
2015-07-06,25.77,25.93,25.620001,25.77,4117500,25.77
2015-07-02,26.309999,26.360001,25.99,26.07,2868900,26.07
2015-07-01,25.950001,26.35,25.41,26.34,4653300,26.34
2015-06-30,26.040001,26.139999,25.549999,25.690001,2834900,25.690001
2015-06-29,26.639999,26.719999,25.870001,25.90,2589300,25.90
2015-06-26,26.620001,27.219999,26.60,26.90,5793100,26.90
2015-06-25,26.76,26.799999,26.40,26.620001,3151200,26.620001
2015-06-24,26.809999,27.01,26.700001,26.74,5394600,26.74
2015-06-23,26.879999,27.049999,26.75,26.799999,2749700,26.799999
2015-06-22,26.790001,26.99,26.700001,26.870001,2386600,26.870001
2015-06-19,26.98,27.08,26.60,26.67,5191400,26.67
2015-06-18,27.040001,27.33,26.99,27.01,3118300,27.01
2015-06-17,26.540001,26.99,26.34,26.950001,2935800,26.950001
2015-06-16,25.93,26.389999,25.799999,26.379999,2912300,26.379999
2015-06-15,26.02,26.049999,25.709999,25.870001,2877600,25.870001
2015-06-12,26.450001,26.60,26.08,26.129999,3284900,26.129999
2015-06-11,26.32,26.60,26.299999,26.60,2588900,26.60
2015-06-10,26.129999,26.57,26.030001,26.35,2945400,26.35
2015-06-09,25.98,26.23,25.85,26.01,2777100,26.01
2015-06-08,25.68,25.940001,25.610001,25.82,2789600,25.82
2015-06-05,25.32,25.74,25.309999,25.620001,3005000,25.620001
2015-06-04,25.549999,25.67,25.23,25.35,2848400,25.35
2015-06-03,25.66,25.709999,25.40,25.66,3912500,25.66
2015-06-02,25.68,25.940001,25.57,25.58,2867300,25.58
2015-06-01,25.84,26.16,25.620001,25.809999,2739900,25.809999
2015-05-29,25.77,25.93,25.51,25.809999,3534600,25.809999
2015-05-28,26.110001,26.110001,25.77,25.860001,2105200,25.860001
2015-05-27,26.110001,26.23,25.84,26.110001,3919300,26.110001
2015-05-26,26.280001,26.280001,26.049999,26.07,5056800,26.07
2015-05-22,26.190001,26.469999,26.09,26.34,3889900,26.34
2015-05-21,25.67,26.27,25.65,26.120001,4951700,26.120001
2015-05-20,25.65,25.790001,25.360001,25.76,4197100,25.76
2015-05-19,26.27,26.42,25.76,26.01,5228900,25.630001
2015-05-18,26.85,27.040001,26.17,26.280001,3459000,25.896056
2015-05-15,26.700001,27.110001,26.67,26.950001,3867800,26.556268
2015-05-14,26.290001,26.77,26.08,26.73,4109600,26.339481
2015-05-13,26.879999,26.879999,26.030001,26.17,5120800,25.787663
2015-05-12,27.219999,27.299999,26.870001,26.879999,3259000,26.487289
2015-05-11,27.08,27.49,26.879999,27.40,4143900,26.999692
2015-05-08,27.01,27.27,26.99,27.15,5482200,26.753345
2015-05-07,27.120001,27.290001,26.780001,26.83,5363900,26.43802
2015-05-06,27.610001,27.610001,27.059999,27.200001,4893400,26.802615
2015-05-05,27.90,27.99,27.440001,27.620001,3354300,27.216479
2015-05-04,28.049999,28.27,27.76,27.84,3637700,27.433265
2015-05-01,28.15,28.379999,27.84,28.02,4599500,27.610635
2015-04-30,28.280001,28.50,28.059999,28.16,4452500,27.748589
2015-04-29,28.450001,28.59,28.16,28.43,4738500,28.014645
2015-04-28,28.60,28.790001,28.370001,28.620001,7780100,28.20187
