Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,56.619999,56.669998,55.52,55.740002,6662700,55.740002
2015-07-30,56.139999,56.869999,55.720001,56.830002,6664600,56.830002
2015-07-29,56.259998,57.470001,56.169998,57.220001,5227600,57.220001
2015-07-28,56.299999,56.490002,55.41,56.27,5401900,56.27
2015-07-27,55.740002,55.860001,54.84,55.599998,7223300,55.599998
2015-07-24,56.610001,57.119999,55.810001,56.150002,8904800,56.150002
2015-07-23,57.25,57.549999,56.599998,56.75,4263100,56.75
2015-07-22,57.52,57.68,57.139999,57.330002,3794900,57.330002
2015-07-21,57.310001,57.900002,57.110001,57.48,2438500,57.48
2015-07-20,57.740002,57.84,57.139999,57.349998,3597100,57.349998
2015-07-17,57.41,57.52,56.959999,57.490002,3977300,57.490002
2015-07-16,57.740002,58.130001,57.439999,57.700001,5749900,57.700001
2015-07-15,56.599998,57.48,56.040001,57.470001,9491200,57.470001
2015-07-14,56.16,56.880001,56.130001,56.68,4380500,56.68
2015-07-13,56.59,56.860001,56.50,56.599998,4347600,56.599998
2015-07-10,55.98,56.279999,55.580002,55.959999,4361400,55.959999
2015-07-09,55.389999,55.639999,54.779999,55.02,5108300,55.02
2015-07-08,54.82,55.18,54.189999,54.439999,5253400,54.439999
2015-07-07,55.740002,55.900002,53.950001,55.66,9397300,55.66
2015-07-06,55.369999,56.110001,55.209999,55.91,5421900,55.91
2015-07-02,56.389999,57.009998,55.880001,56.16,4004000,56.16
2015-07-01,57.00,57.23,56.18,56.470001,4831100,56.470001
2015-06-30,56.259998,56.650002,55.529999,55.990002,6758600,55.990002
2015-06-29,56.439999,56.610001,55.380001,55.470001,6826100,55.470001
2015-06-26,57.16,57.50,57.040001,57.369999,4025400,57.369999
2015-06-25,57.580002,57.610001,56.830002,56.860001,3580500,56.860001
2015-06-24,57.580002,57.900002,57.150002,57.169998,5420000,57.169998
2015-06-23,57.639999,58.23,57.560001,57.700001,7855500,57.700001
2015-06-22,56.68,57.52,56.599998,57.34,8133900,57.34
2015-06-19,56.509998,56.709999,56.110001,56.23,6499900,56.23
2015-06-18,56.419998,56.990002,55.98,56.740002,5950200,56.740002
