Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,54.00,55.139999,53.830002,54.669998,5967400,54.669998
2015-07-30,53.259998,54.630001,52.75,53.939999,8237400,53.939999
2015-07-29,54.700001,55.939999,54.23,55.810001,6732500,55.810001
2015-07-28,54.50,54.93,53.790001,54.509998,6100900,54.509998
2015-07-27,55.290001,55.639999,54.07,54.459999,8061100,54.459999
2015-07-24,56.490002,56.790001,55.509998,56.32,5368800,56.32
2015-07-23,57.09,57.490002,56.189999,56.330002,4170000,56.330002
2015-07-22,57.150002,57.990002,56.77,57.07,4204000,57.07
2015-07-21,57.509998,58.150002,56.709999,57.150002,3142600,57.150002
2015-07-20,58.610001,59.049999,57.43,57.529999,4014800,57.529999
2015-07-17,58.220001,58.610001,57.50,58.580002,4507200,58.580002
2015-07-16,57.990002,58.59,57.619999,58.48,5925000,58.48
2015-07-15,58.48,58.889999,57.25,57.509998,5300100,57.509998
2015-07-14,58.93,59.509998,58.220001,58.790001,6977300,58.790001
2015-07-13,59.330002,60.380001,58.299999,58.779999,14306500,58.779999
2015-07-10,53.869999,54.66,53.810001,54.490002,4148400,54.490002
2015-07-09,54.68,54.709999,53.23,53.380001,5963200,53.380001
2015-07-08,55.400002,55.529999,53.799999,53.970001,3624100,53.970001
2015-07-07,54.939999,55.900002,53.900002,55.540001,6938300,55.540001
2015-07-06,53.439999,55.32,53.419998,54.759998,4617100,54.759998
2015-07-02,53.880001,54.740002,53.799999,54.009998,3541200,54.009998
2015-07-01,52.779999,54.360001,52.41,53.77,7458000,53.77
2015-06-30,51.349998,52.869999,51.32,52.310001,3929500,52.310001
2015-06-29,51.189999,51.919998,50.799999,50.849998,2815800,50.849998
2015-06-26,51.23,52.27,51.169998,51.970001,6492000,51.970001
2015-06-25,51.779999,52.029999,51.029999,51.439999,2812700,51.439999
2015-06-24,52.080002,52.599998,51.66,51.68,3527500,51.68
2015-06-23,51.959999,52.490002,51.689999,52.189999,3702800,52.189999
2015-06-22,52.16,52.209999,51.540001,51.889999,2552100,51.889999
2015-06-19,51.799999,52.779999,51.740002,51.900002,4257600,51.900002
2015-06-18,51.549999,52.509998,51.369999,51.939999,3741200,51.939999
2015-06-17,51.599998,52.450001,50.610001,51.299999,4325000,51.299999
2015-06-16,50.93,51.400002,50.470001,51.189999,3049600,51.189999
2015-06-15,50.619999,51.200001,50.50,51.060001,3648800,51.060001
2015-06-12,51.689999,51.689999,50.400002,51.029999,4201700,51.029999
2015-06-11,51.200001,52.450001,50.919998,52.029999,4141700,52.029999
2015-06-10,99.82,102.239998,99.82,101.790001,2399800,50.895
2015-06-09,100.790001,101.239998,99.309998,99.330002,4973800,49.665001
2015-06-08,100.809998,102.150002,100.279999,100.459999,3041800,50.23
2015-06-05,100.150002,101.50,99.959999,100.919998,5814000,50.459999
2015-06-04,101.330002,101.980003,99.959999,100.330002,6044400,50.165001
2015-06-03,102.709999,103.190002,101.639999,102.199997,5167200,51.099998
2015-06-02,103.400002,103.779999,101.900002,103.029999,3849200,51.514999
2015-06-01,103.160004,104.900002,103.160004,103.550003,4692800,51.775002
2015-05-29,102.980003,105.00,102.489998,103.459999,5635200,51.73
2015-05-28,100.910004,103.080002,100.360001,102.769997,3650800,51.384998
2015-05-27,101.410004,102.190002,100.290001,100.959999,4688800,50.48
2015-05-26,102.699997,102.980003,99.690002,100.440002,6473000,50.220001
2015-05-22,103.279999,104.559998,102.870003,103.080002,4338000,51.540001
2015-05-21,104.300003,104.839996,103.519997,103.660004,4210200,51.830002
2015-05-20,104.760002,104.949997,103.480003,104.330002,3563200,52.165001
2015-05-19,102.82,104.489998,102.82,104.260002,3442600,52.130001
2015-05-18,103.190002,104.480003,102.43,104.269997,2567800,52.134998
2015-05-15,104.559998,104.610001,102.449997,103.449997,3199400,51.474997
2015-05-14,102.699997,104.970001,102.57,104.709999,3743400,52.101953
2015-05-13,102.019997,102.690002,101.43,102.279999,2999600,50.892825
2015-05-12,102.199997,102.199997,100.620003,101.330002,3628400,50.420123
2015-05-11,106.019997,106.139999,101.440002,102.279999,4492600,50.892825
2015-05-08,103.040001,105.519997,101.699997,104.879997,5191200,52.186541
2015-05-07,101.00,103.470001,99.940002,102.690002,4755600,51.096836
2015-05-06,102.790001,102.919998,99.75,101.019997,4899400,50.265869
2015-05-05,101.699997,102.290001,101.150002,101.830002,3847800,50.668914
2015-05-04,102.43,103.199997,101.089996,101.25,4090800,50.380315
2015-05-01,98.989998,103.190002,98.650002,102.660004,5698400,51.08191
2015-04-30,104.199997,104.559998,97.75,98.57,10060400,49.046792
2015-04-29,103.370003,103.870003,101.580002,102.529999,4841200,51.017221
2015-04-28,102.639999,103.489998,102.129997,102.510002,3160400,51.007271
2015-04-27,103.809998,104.080002,102.760002,102.940002,4899400,51.221232
2015-04-24,101.300003,103.43,101.300003,103.150002,4212200,51.325724
2015-04-23,102.199997,102.480003,100.550003,101.690002,3613200,50.599253
2015-04-22,100.589996,102.18,100.099998,102.129997,4482600,50.818187
2015-04-21,99.360001,100.330002,99.019997,100.010002,3214200,49.763313
2015-04-20,99.32,100.589996,98.660004,99.330002,4473200,49.424956
2015-04-17,99.629997,100.269997,98.230003,98.720001,5224600,49.12143
2015-04-16,98.00,100.690002,97.68,100.00,6300400,49.758336
2015-04-15,98.519997,99.970001,97.940002,98.029999,5412400,48.778096
2015-04-14,97.839996,98.669998,97.220001,98.040001,6153400,48.783073
2015-04-13,100.32,100.669998,96.809998,97.209999,7489000,48.370078
2015-04-10,100.089996,100.519997,99.470001,100.419998,2708000,49.96732
2015-04-09,98.660004,100.339996,98.029999,99.860001,5468000,49.688675
2015-04-08,99.440002,99.989998,98.339996,98.639999,4358800,49.081622
2015-04-07,98.989998,99.190002,97.239998,98.239998,5944400,48.882588
2015-04-06,97.629997,99.639999,96.959999,98.540001,5108200,49.031865
2015-04-02,101.629997,102.050003,96.889999,97.080002,8617000,48.305393
2015-04-01,102.760002,103.639999,101.330002,101.760002,5426800,50.634084
2015-03-31,102.120003,104.07,101.690002,102.389999,5779200,50.94756
2015-03-30,100.410004,103.07,100.410004,102.900002,4501000,51.201328
2015-03-27,101.410004,101.580002,99.269997,99.650002,4887400,49.584183
2015-03-26,103.730003,103.93,100.730003,100.879997,4386400,50.196208
2015-03-25,102.800003,104.860001,102.699997,103.080002,6384600,51.290894
2015-03-24,102.080002,103.260002,101.50,101.699997,3938800,50.604226
2015-03-23,102.660004,103.800003,102.370003,102.419998,5235800,50.962487
2015-03-20,100.510002,102.839996,100.00,102.260002,7781200,50.882875
2015-03-19,100.150002,100.650002,99.50,100.059998,3166000,49.78819
2015-03-18,97.50,101.410004,97.330002,101.010002,5108200,50.260896
2015-03-17,97.019997,97.949997,96.00,97.739998,3544400,48.633796
2015-03-16,95.650002,98.120003,94.290001,98.059998,4739200,48.793023
2015-03-13,96.519997,97.300003,95.480003,96.199997,4498200,47.867518
2015-03-12,97.889999,99.150002,95.470001,95.669998,4567200,47.603799
2015-03-11,96.360001,97.529999,95.559998,96.870003,5476400,48.200901
2015-03-10,98.720001,98.75,96.00,96.120003,6255000,47.827714
2015-03-09,99.089996,101.889999,98.699997,99.769997,5025800,49.64389
2015-03-06,101.010002,102.610001,98.370003,98.489998,4593600,49.006984
2015-03-05,102.360001,103.059998,101.68,101.75,3759600,50.629107
2015-03-04,102.00,103.010002,100.879997,102.010002,5459200,50.75848
2015-03-03,102.620003,103.669998,101.849998,102.769997,7101000,51.13664
2015-03-02,104.089996,104.089996,101.260002,101.779999,9264000,50.644034
2015-02-27,107.120003,108.209999,104.949997,105.00,4386200,52.246253
2015-02-26,104.709999,108.32,104.709999,107.040001,6895400,53.261323
2015-02-25,105.389999,106.480003,103.940002,104.660004,5200000,52.077076
2015-02-24,106.650002,106.790001,104.150002,105.18,5082400,52.335818
2015-02-23,105.529999,108.129997,105.150002,106.349998,5051000,52.91799
2015-02-20,105.660004,106.949997,104.32,105.57,6478600,52.529875
2015-02-19,104.150002,105.870003,103.769997,105.650002,5253800,52.569683
2015-02-18,103.339996,104.699997,102.50,104.629997,4855800,52.062146
2015-02-17,103.269997,104.610001,101.75,103.82,6645800,51.659104
2015-02-13,101.760002,103.550003,101.389999,103.480003,5890600,51.489928
2015-02-12,101.870003,101.940002,100.199997,101.400002,6356200,50.206162
2015-02-11,101.199997,101.989998,100.190002,100.919998,5344400,49.968498
2015-02-10,100.480003,102.610001,98.769997,102.18,9031600,50.592362
2015-02-09,98.660004,100.449997,98.220001,100.169998,8388200,49.597151
2015-02-06,97.339996,99.919998,96.790001,98.879997,9859200,48.958433
2015-02-05,96.940002,98.25,96.209999,97.300003,6988400,48.17613
2015-02-04,96.010002,97.209999,94.349998,96.190002,9119600,47.626536
2015-02-03,94.080002,95.82,93.279999,95.82,8428600,47.443337
2015-02-02,92.849998,93.989998,90.970001,93.940002,6282800,46.512494
2015-01-30,89.019997,93.389999,88.809998,92.589996,9757800,45.844066
2015-01-29,90.309998,91.239998,88.190002,90.010002,5209200,44.566634
2015-01-28,89.00,90.57,87.889999,89.290001,8432200,44.21014
2015-01-27,87.489998,88.93,87.370003,88.68,4695800,43.90811
2015-01-26,87.150002,88.57,87.150002,88.190002,6269200,43.665498
2015-01-23,84.169998,88.50,83.57,87.160004,9278000,43.155515
2015-01-22,81.699997,84.269997,80.949997,83.970001,7920400,41.576049
2015-01-21,80.470001,81.75,80.019997,80.949997,7159200,40.080755
2015-01-20,77.459999,80.739998,77.459999,80.419998,7446200,39.818337
2015-01-16,77.220001,78.690002,77.040001,77.559998,9135800,38.402266
2015-01-15,77.629997,78.239998,75.239998,76.849998,9460400,38.050724
2015-01-14,80.010002,80.040001,75.959999,77.629997,14329400,38.436925
2015-01-13,84.940002,86.43,80.220001,80.860001,12575200,40.036195
2015-01-12,87.449997,88.150002,85.010002,85.419998,8258200,42.293986
