Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,39.279999,39.349998,38.790001,38.84,7287400,38.84
2015-07-30,39.150002,39.400002,38.849998,39.299999,5512100,39.299999
2015-07-29,39.02,39.450001,38.919998,39.290001,9677800,39.290001
2015-07-28,39.599998,39.720001,39.029999,39.25,9201100,39.099999
2015-07-27,39.259998,39.380001,38.869999,39.25,11948000,39.099999
2015-07-24,40.110001,40.119999,39.240002,39.599998,8370100,39.44866
2015-07-23,40.48,40.740002,39.810001,39.939999,10281600,39.787361
2015-07-22,40.169998,40.619999,40.080002,40.540001,9435900,40.38507
2015-07-21,39.709999,40.32,39.709999,40.080002,11773400,39.926829
2015-07-20,40.900002,41.040001,39.900002,40.040001,15141800,39.886981
2015-07-17,39.759998,40.25,39.669998,40.200001,8153700,40.04637
2015-07-16,40.009998,40.09,39.84,39.91,7969800,39.757477
2015-07-15,39.950001,39.950001,39.48,39.700001,7649400,39.54828
2015-07-14,39.330002,39.91,39.259998,39.709999,8054600,39.558241
2015-07-13,39.080002,39.380001,38.950001,39.32,7183900,39.169732
2015-07-10,38.75,38.849998,38.450001,38.639999,6780400,38.49233
2015-07-09,38.490002,38.580002,38.049999,38.099998,7286000,37.954393
2015-07-08,38.169998,38.330002,37.77,37.790001,9113300,37.64558
2015-07-07,38.740002,38.900002,37.650002,38.619999,12759200,38.472406
2015-07-06,38.41,38.919998,38.400002,38.849998,8044500,38.701527
2015-07-02,39.259998,39.389999,38.73,39.00,6801200,38.850955
2015-07-01,39.459999,39.529999,39.18,39.360001,10549900,39.20958
2015-06-30,38.82,39.09,38.560001,38.790001,11102300,38.641758
2015-06-29,38.82,39.200001,38.299999,38.310001,10819300,38.163593
2015-06-26,39.470001,39.720001,39.360001,39.50,8325600,39.349044
2015-06-25,39.82,39.869999,39.139999,39.220001,8939700,39.070115
2015-06-24,39.970001,40.259998,39.540001,39.639999,8065700,39.488508
2015-06-23,40.060001,40.240002,39.98,40.209999,9380300,40.05633
2015-06-22,39.860001,40.049999,39.709999,39.849998,8676300,39.697705
2015-06-19,39.630001,39.93,39.220001,39.369999,10338800,39.21954
2015-06-18,39.68,39.93,39.32,39.790001,7593800,39.637937
2015-06-17,39.889999,39.959999,39.529999,39.580002,7029500,39.42874
2015-06-16,39.389999,39.810001,39.349998,39.740002,4580300,39.588128
2015-06-15,39.220001,39.639999,38.950001,39.529999,5635300,39.378928
2015-06-12,39.650002,39.860001,39.509998,39.610001,5896300,39.458624
2015-06-11,40.00,40.18,39.630001,39.869999,6981000,39.717629
