Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,11.74,11.90,11.51,11.61,7379400,11.61
2015-07-30,12.23,12.34,11.64,11.81,8407100,11.81
2015-07-29,11.50,12.35,11.47,12.26,11775300,12.26
2015-07-28,11.33,11.83,11.03,11.65,8153600,11.65
2015-07-27,11.16,11.53,11.01,11.18,8478400,11.18
2015-07-24,12.03,12.05,11.39,11.44,9414500,11.44
2015-07-23,12.11,12.48,11.70,12.02,6492000,12.02
2015-07-22,12.02,12.18,11.73,11.96,7626700,11.96
2015-07-21,12.40,12.76,12.20,12.27,4983500,12.27
2015-07-20,12.48,12.51,11.95,12.23,7793200,12.23
2015-07-17,12.77,12.77,12.28,12.45,4777000,12.45
2015-07-16,13.02,13.12,12.57,12.85,5832600,12.85
2015-07-15,13.58,13.78,12.80,12.85,6777300,12.85
2015-07-14,13.24,13.88,13.19,13.81,6550500,13.81
2015-07-13,13.30,13.47,12.96,13.27,5933200,13.27
2015-07-10,13.74,13.83,13.34,13.36,4001900,13.36
2015-07-09,13.52,13.75,13.36,13.60,5687300,13.60
2015-07-08,13.25,13.58,13.01,13.16,5021000,13.16
2015-07-07,13.04,13.42,12.66,13.40,7307000,13.40
2015-07-06,13.28,13.38,12.84,13.14,7263700,13.14
2015-07-02,13.82,14.03,13.60,13.74,4623900,13.74
2015-07-01,14.38,14.43,13.63,13.75,7897600,13.75
2015-06-30,14.62,14.76,14.29,14.43,7099500,14.43
2015-06-29,14.09,14.56,13.97,14.51,8146300,14.51
2015-06-26,13.95,14.43,13.86,14.40,7603100,14.40
2015-06-25,14.47,14.49,14.03,14.03,6844500,14.03
2015-06-24,14.27,14.49,14.19,14.47,7639000,14.47
2015-06-23,13.95,14.47,13.92,14.41,3857400,14.41
2015-06-22,14.03,14.11,13.75,14.03,4871000,14.03
2015-06-19,14.16,14.33,13.92,14.06,8816500,14.06
2015-06-18,14.69,14.76,14.10,14.26,5577000,14.26
2015-06-17,14.71,14.87,14.43,14.61,4524700,14.61
2015-06-16,14.50,14.71,14.40,14.46,3135600,14.46
2015-06-15,14.44,14.71,14.25,14.49,7047300,14.49
2015-06-12,14.77,14.89,14.59,14.61,4245400,14.61
2015-06-11,15.08,15.14,14.82,14.89,4876900,14.89
2015-06-10,14.99,15.24,14.90,15.13,6028800,15.13
2015-06-09,14.96,15.16,14.61,14.63,5463800,14.63
2015-06-08,14.96,15.27,14.62,14.70,4759800,14.70
2015-06-05,14.53,15.21,14.45,14.99,5264600,14.99
2015-06-04,14.71,14.88,14.61,14.65,4784800,14.59
2015-06-03,14.98,15.34,14.82,14.93,4719200,14.868854
2015-06-02,14.60,15.25,14.60,15.13,6296600,15.068034
2015-06-01,14.75,14.78,14.40,14.45,5162400,14.390819
2015-05-29,14.59,15.00,14.51,14.75,7961100,14.689591
2015-05-28,14.70,14.76,14.31,14.53,5418200,14.470491
2015-05-27,14.63,14.87,14.39,14.82,7165200,14.759304
2015-05-26,15.39,15.42,14.51,14.76,8573600,14.69955
2015-05-22,15.62,15.90,15.53,15.71,3761700,15.645659
2015-05-21,15.55,16.139999,15.50,15.84,6434100,15.775127
2015-05-20,15.05,15.47,14.73,15.41,6435800,15.346887
2015-05-19,15.43,15.47,14.77,14.94,7226600,14.878812
2015-05-18,15.52,15.72,15.28,15.67,4639600,15.605823
2015-05-15,15.56,15.69,15.28,15.48,5809900,15.4166
2015-05-14,16.07,16.18,15.57,15.60,4736300,15.53611
2015-05-13,16.34,16.370001,15.74,15.98,6631200,15.914553
2015-05-12,16.02,16.26,15.68,16.219999,5963300,16.153569
2015-05-11,16.32,16.34,15.80,15.96,5862300,15.894635
2015-05-08,15.96,16.34,15.54,16.309999,6620700,16.243201
2015-05-07,16.23,16.25,15.57,15.68,7160300,15.615782
2015-05-06,16.77,16.84,16.209999,16.33,7868500,16.26312
2015-05-05,16.799999,16.99,16.299999,16.43,8164000,16.36271
2015-05-04,16.57,16.639999,16.27,16.48,4813300,16.412505
2015-05-01,16.60,16.84,16.18,16.50,7989100,16.432423
2015-04-30,16.59,16.950001,16.309999,16.700001,10342400,16.631605
2015-04-29,15.58,16.77,15.58,16.469999,10084000,16.402546
2015-04-28,15.38,15.79,15.34,15.70,6440400,15.6357
2015-04-27,15.41,15.82,15.38,15.44,7371800,15.376764
2015-04-24,15.51,15.55,14.93,15.04,6693300,14.978403
2015-04-23,15.18,15.74,15.17,15.57,9763500,15.506232
2015-04-22,15.07,15.19,14.60,15.05,13640200,14.988362
2015-04-21,14.87,14.92,14.30,14.37,8905200,14.311147
2015-04-20,14.72,15.10,14.67,14.88,6523400,14.819058
2015-04-17,15.27,15.27,14.54,14.72,9125200,14.659714
