Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,22.51,23.07,22.389999,22.450001,3948900,22.450001
2015-07-30,21.780001,22.58,21.690001,22.360001,3143500,22.360001
2015-07-29,22.07,22.16,21.780001,22.00,3431400,21.855
2015-07-28,21.57,22.190001,21.48,22.16,4874600,22.013945
2015-07-27,21.40,21.860001,21.280001,21.549999,5097300,21.407965
2015-07-24,21.57,21.639999,21.370001,21.40,5251100,21.258954
2015-07-23,21.940001,22.030001,21.48,21.65,4074000,21.507307
2015-07-22,21.02,22.030001,20.950001,21.98,5515900,21.835132
2015-07-21,21.549999,21.57,20.959999,21.059999,3878200,20.921195
2015-07-20,22.290001,22.299999,21.379999,21.57,6682600,21.427834
2015-07-17,22.23,22.41,22.02,22.24,2888100,22.093418
2015-07-16,21.93,22.459999,21.77,22.25,2902900,22.103352
2015-07-15,22.120001,22.190001,21.76,21.889999,2500100,21.745725
2015-07-14,22.83,22.83,22.00,22.08,2920600,21.934473
2015-07-13,21.879999,22.24,21.639999,22.23,3034800,22.083484
2015-07-10,22.10,22.10,21.65,21.76,4933400,21.616582
2015-07-09,22.309999,22.360001,21.709999,21.889999,4033700,21.745725
2015-07-08,22.93,23.059999,22.049999,22.10,3674000,21.954341
2015-07-07,22.75,23.219999,22.629999,23.10,4839400,22.947751
2015-07-06,22.780001,22.82,22.459999,22.76,4338200,22.609991
2015-07-02,22.66,22.780001,22.23,22.60,4344800,22.451046
2015-07-01,22.99,23.00,22.32,22.450001,5229000,22.302035
2015-06-30,23.51,23.58,22.83,22.879999,6531000,22.729199
2015-06-29,24.08,24.17,23.42,23.440001,4313700,23.28551
2015-06-26,24.33,24.35,24.059999,24.200001,4166900,24.040501
2015-06-25,24.940001,24.959999,24.309999,24.360001,3624700,24.199446
2015-06-24,24.90,25.049999,24.85,24.889999,4418300,24.725952
2015-06-23,25.23,25.280001,24.940001,24.99,3579600,24.825293
2015-06-22,25.01,25.389999,24.98,25.09,3007000,24.924634
2015-06-19,25.129999,25.18,24.809999,24.92,4770800,24.755755
2015-06-18,24.440001,25.07,24.41,24.969999,4863000,24.805424
2015-06-17,24.209999,24.469999,24.01,24.41,3435500,24.249116
2015-06-16,23.93,24.23,23.74,24.209999,2483100,24.050433
2015-06-15,24.10,24.200001,23.870001,23.940001,2533700,23.782214
2015-06-12,24.450001,24.57,24.00,24.18,2781000,24.020632
2015-06-11,24.799999,24.799999,24.15,24.530001,3134300,24.368326
2015-06-10,24.559999,25.23,24.469999,24.620001,6116400,24.457733
2015-06-09,24.059999,24.190001,23.85,23.860001,4445600,23.702742
2015-06-08,24.35,24.389999,23.91,24.030001,3029500,23.871621
2015-06-05,24.190001,24.58,23.91,24.379999,3226600,24.219313
2015-06-04,24.58,24.780001,24.32,24.389999,3912000,24.229247
2015-06-03,24.709999,24.75,24.209999,24.709999,4027700,24.547138
2015-06-02,25.00,25.059999,24.540001,24.719999,3958400,24.557072
2015-06-01,25.17,25.299999,25.01,25.139999,2175700,24.974304
2015-05-29,25.33,25.440001,24.85,25.200001,3508800,25.03391
2015-05-28,25.360001,25.74,25.25,25.42,3586600,25.252459
2015-05-27,25.299999,25.549999,25.16,25.35,5283200,25.182921
2015-05-26,25.879999,25.879999,25.18,25.290001,3218900,25.123317
2015-05-22,25.959999,26.049999,25.799999,25.969999,1704700,25.798834
2015-05-21,25.66,26.16,25.620001,26.10,2304300,25.927978
2015-05-20,25.790001,25.940001,25.549999,25.73,1563600,25.560416
2015-05-19,25.879999,25.91,25.58,25.799999,2362900,25.629954
2015-05-18,25.99,26.110001,25.68,26.049999,1866400,25.878306
2015-05-15,25.790001,26.25,25.530001,26.10,2795500,25.927978
2015-05-14,26.129999,26.34,25.60,25.790001,2847200,25.620022
2015-05-13,26.549999,26.620001,25.969999,26.059999,3488900,25.888241
2015-05-12,25.879999,26.49,25.57,26.43,3960700,26.255803
2015-05-11,26.41,26.469999,25.959999,26.00,4665900,25.828637
2015-05-08,25.530001,26.780001,25.51,26.40,7024700,26.226
2015-05-07,24.58,25.209999,24.389999,24.969999,5990500,24.805424
2015-05-06,25.209999,25.379999,24.450001,24.59,4594400,24.42793
2015-05-05,25.52,25.92,24.98,25.110001,5289600,24.944503
2015-05-04,25.290001,25.92,25.190001,25.52,4236000,25.351801
2015-05-01,25.280001,25.459999,25.07,25.24,4253800,25.073645
2015-04-30,25.469999,25.530001,24.879999,25.24,5388900,25.073645
2015-04-29,25.26,25.73,25.08,25.66,3924700,25.490877
2015-04-28,25.209999,25.65,25.120001,25.610001,4163200,25.297163
2015-04-27,25.459999,25.66,25.120001,25.309999,5984200,25.000827
2015-04-24,24.73,26.93,24.60,25.530001,6397600,25.218141
2015-04-23,25.059999,25.34,24.60,24.709999,4254100,24.408156
2015-04-22,25.450001,25.450001,24.950001,25.07,3802900,24.763759
2015-04-21,25.969999,26.17,25.34,25.469999,4260600,25.158872
2015-04-20,25.10,25.99,25.049999,25.91,5317200,25.593498
2015-04-17,24.950001,25.17,24.75,24.959999,3858600,24.655102
2015-04-16,25.10,25.35,24.700001,25.10,2909900,24.793393
2015-04-15,24.51,25.299999,24.459999,25.15,5177500,24.842781
2015-04-14,24.57,24.799999,24.15,24.35,3883600,24.052555
2015-04-13,24.620001,24.959999,24.43,24.59,3138100,24.289623
2015-04-10,24.65,24.77,24.389999,24.57,2280200,24.269866
2015-04-09,24.93,25.040001,24.379999,24.610001,3750700,24.309379
2015-04-08,25.10,25.309999,24.84,24.92,4759600,24.615591
2015-04-07,24.52,25.059999,24.25,24.889999,4397500,24.585957
2015-04-06,23.93,24.629999,23.59,24.50,4588500,24.200722
2015-04-02,23.66,24.299999,23.66,23.99,5972000,23.696951
2015-04-01,24.99,24.99,23.530001,23.60,9702700,23.311716
