Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,21.559999,21.66,21.110001,21.35,2066700,21.35
2015-07-30,21.450001,21.57,20.85,21.49,2992900,21.49
2015-07-29,20.99,21.459999,20.969999,21.41,2521900,21.41
2015-07-28,20.780001,21.02,20.52,20.959999,1702900,20.959999
2015-07-27,20.700001,20.780001,20.34,20.59,2925200,20.59
2015-07-24,21.43,21.559999,20.809999,20.84,3481600,20.84
2015-07-23,21.610001,21.610001,21.190001,21.50,3122200,21.50
2015-07-22,21.530001,21.610001,21.41,21.49,1781300,21.49
2015-07-21,21.68,21.790001,21.549999,21.620001,1942800,21.620001
2015-07-20,21.93,21.959999,21.690001,21.719999,1064100,21.719999
2015-07-17,22.23,22.23,21.879999,21.98,1098600,21.98
2015-07-16,22.139999,22.34,22.139999,22.27,997100,22.27
2015-07-15,22.15,22.209999,21.90,22.049999,1315300,22.049999
2015-07-14,22.09,22.27,21.969999,22.190001,718700,22.190001
2015-07-13,22.200001,22.280001,22.02,22.219999,1253600,22.219999
2015-07-10,22.25,22.34,22.059999,22.10,954700,22.10
2015-07-09,22.08,22.139999,21.889999,22.049999,1947700,22.049999
2015-07-08,22.26,22.65,21.75,21.75,2071100,21.75
2015-07-07,22.459999,22.629999,21.99,22.629999,1273100,22.629999
2015-07-06,22.690001,22.799999,22.35,22.530001,1498100,22.530001
2015-07-02,22.959999,23.110001,22.709999,22.91,1270700,22.91
2015-07-01,23.110001,23.18,22.73,22.93,1743100,22.93
2015-06-30,23.23,23.309999,22.870001,22.940001,2547400,22.940001
2015-06-29,23.50,23.50,23.01,23.059999,1871800,23.059999
2015-06-26,23.700001,23.73,23.48,23.67,2506100,23.67
2015-06-25,23.879999,23.950001,23.700001,23.719999,1341600,23.719999
2015-06-24,24.16,24.25,23.84,23.90,1132700,23.90
2015-06-23,24.120001,24.309999,24.059999,24.23,783300,24.23
2015-06-22,24.27,24.32,24.059999,24.139999,1373800,24.139999
2015-06-19,23.950001,24.18,23.91,24.120001,2839600,24.120001
2015-06-18,24.049999,24.26,23.93,24.09,1122600,24.09
2015-06-17,23.90,23.99,23.700001,23.940001,1397900,23.940001
2015-06-16,23.85,23.889999,23.74,23.809999,1695700,23.809999
2015-06-15,24.25,24.26,23.83,23.90,2184200,23.90
2015-06-12,24.610001,24.610001,24.26,24.309999,1324300,24.309999
2015-06-11,24.639999,24.76,24.51,24.66,789200,24.66
2015-06-10,24.42,24.65,24.26,24.540001,1441700,24.540001
2015-06-09,24.309999,24.42,24.120001,24.34,1207000,24.34
2015-06-08,24.33,24.379999,24.17,24.23,1371800,24.23
2015-06-05,24.00,24.43,23.93,24.32,1177200,24.32
2015-06-04,24.290001,24.35,24.15,24.25,1216900,24.25
2015-06-03,24.48,24.690001,24.32,24.40,1044100,24.40
2015-06-02,24.32,24.65,24.290001,24.450001,1658500,24.450001
2015-06-01,24.01,24.40,23.85,24.360001,2488500,24.360001
2015-05-29,23.91,24.059999,23.73,23.90,9551800,23.90
2015-05-28,24.110001,24.16,23.85,24.00,2281800,24.00
2015-05-27,24.02,24.219999,23.93,24.139999,2134200,24.139999
2015-05-26,24.629999,24.629999,23.99,24.02,3644300,24.02
2015-05-22,25.02,25.07,24.75,24.77,1270500,24.77
2015-05-21,25.02,25.09,24.84,24.99,2101100,24.99
2015-05-20,25.559999,25.65,24.83,25.040001,2194500,25.040001
2015-05-19,25.809999,25.889999,25.43,25.52,2054400,25.52
2015-05-18,25.75,25.90,25.65,25.84,1621500,25.84
2015-05-15,25.790001,25.98,25.58,25.639999,1765600,25.639999
2015-05-14,26.16,26.370001,25.549999,25.84,2355900,25.84
2015-05-13,25.950001,26.40,25.780001,25.98,7855400,25.98
2015-05-12,24.02,24.10,23.75,23.790001,1445400,23.790001
2015-05-11,24.27,24.450001,24.09,24.16,1766000,24.16
2015-05-08,24.33,24.41,24.07,24.309999,1498000,24.309999
2015-05-07,24.02,24.09,23.76,23.969999,1984000,23.969999
2015-05-06,24.60,24.700001,23.870001,24.129999,2993400,24.129999
2015-05-05,24.809999,25.059999,24.48,24.52,2633400,24.52
2015-05-04,24.530001,25.15,24.50,24.92,2833800,24.92
2015-05-01,24.040001,24.370001,24.01,24.24,1785200,24.24
2015-04-30,23.77,24.01,23.549999,23.91,4112500,23.91
2015-04-29,24.440001,24.870001,23.85,24.190001,4919000,24.190001
2015-04-28,24.49,25.17,24.49,25.139999,2391500,25.139999
2015-04-27,24.60,24.77,24.43,24.559999,1183100,24.559999
2015-04-24,24.43,24.610001,24.370001,24.540001,1211900,24.540001
2015-04-23,24.23,24.51,24.16,24.389999,1205900,24.389999
2015-04-22,24.040001,24.290001,23.83,24.25,1275800,24.25
2015-04-21,24.280001,24.33,23.90,23.99,1819400,23.99
2015-04-20,24.27,24.43,24.200001,24.27,1200200,24.27
2015-04-17,24.00,24.23,23.91,24.200001,1432800,24.200001
2015-04-16,24.33,24.40,23.99,24.200001,1338300,24.200001
2015-04-15,24.25,24.57,24.07,24.42,1722600,24.42
2015-04-14,24.219999,24.32,24.059999,24.190001,1271000,24.190001
2015-04-13,24.26,24.360001,24.07,24.219999,1262000,24.219999
2015-04-10,24.530001,24.57,24.34,24.42,1233700,24.42
2015-04-09,24.440001,24.629999,24.309999,24.530001,1619700,24.530001
2015-04-08,24.10,24.68,24.049999,24.49,2366000,24.49
2015-04-07,24.049999,24.25,23.90,24.040001,2035900,24.040001
2015-04-06,23.65,24.18,23.540001,24.07,2522300,24.07
