Date,Open,High,Low,Close,Volume,Adj Close
2015-03-11,82.98,83.00,82.98,82.98,11623200,82.98
2015-03-10,82.95,82.97,82.95,82.95,1167100,82.95
2015-03-09,82.97,82.97,82.94,82.96,786800,82.96
2015-03-06,82.93,82.97,82.91,82.91,3073100,82.91
2015-03-05,82.93,82.98,82.93,82.98,742300,82.98
2015-03-04,82.965,82.98,82.91,82.93,1226700,82.93
2015-03-03,82.95,82.97,82.91,82.93,1200600,82.93
2015-03-02,82.97,82.99,82.92,82.94,1028200,82.94
2015-02-27,82.90,82.96,82.89,82.91,850500,82.91
2015-02-26,82.95,82.98,82.80,82.90,1046200,82.90
2015-02-25,82.95,82.98,82.89,82.97,1333300,82.97
2015-02-24,82.87,82.99,82.86,82.99,1471300,82.99
2015-02-23,82.92,83.02,82.82,82.95,1740300,82.95
2015-02-20,82.85,83.49,82.82,82.91,4669500,82.91
2015-02-19,82.85,82.90,82.83,82.88,2118000,82.88
2015-02-18,82.68,82.97,82.67,82.84,2573800,82.84
2015-02-17,82.66,82.81,82.62,82.77,1288900,82.77
2015-02-16,82.70,82.70,82.70,82.70,000,82.70
2015-02-13,82.67,82.70,82.60,82.70,944400,82.70
2015-02-12,82.50,82.79,82.50,82.665,1881300,82.665
2015-02-11,82.53,82.59,82.48,82.50,1036500,82.50
2015-02-10,82.507,82.59,82.45,82.50,1183900,82.50
2015-02-09,82.47,82.585,82.43,82.45,1166600,82.45
2015-02-06,82.58,82.605,82.41,82.51,4975700,82.51
2015-02-05,82.54,82.68,82.4601,82.55,2584300,82.55
2015-02-04,82.39,82.59,82.34,82.54,2131900,82.54
2015-02-03,82.18,82.50,82.16,82.45,1476200,82.45
2015-02-02,81.72,82.29,81.61,82.19,1903700,82.19
2015-01-30,81.58,81.95,81.49,81.705,2687600,81.705
2015-01-29,81.43,81.70,81.385,81.62,2531100,81.62
2015-01-28,81.45,81.55,81.35,81.54,3095100,81.54
2015-01-27,81.39,81.53,81.37,81.47,2587100,81.47
2015-01-26,81.52,81.62,81.385,81.45,4566500,81.45
2015-01-23,81.45,81.58,81.40,81.50,1220000,81.50
2015-01-22,81.41,81.61,81.33,81.47,3738700,81.47
2015-01-21,81.10,81.50,81.10,81.50,813000,81.50
2015-01-20,81.46,81.46,81.15,81.23,2008300,81.23
2015-01-19,81.465,81.465,81.465,81.465,000,81.465
2015-01-16,81.35,81.50,81.25,81.465,1344100,81.465
2015-01-15,81.22,81.50,81.18,81.38,1468000,81.38
2015-01-14,81.03,81.285,81.01,81.22,1588700,81.22
2015-01-13,81.16,81.25,81.07,81.21,1556700,81.21
2015-01-12,81.08,81.12,81.00,81.04,1886800,81.04
2015-01-09,81.25,81.28,81.07,81.07,1292300,81.07
