Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,61.049999,61.189999,60.439999,60.810001,1328700,60.810001
2015-07-30,60.73,60.860001,60.169998,60.740002,791100,60.740002
2015-07-29,59.50,60.970001,59.389999,60.799999,917900,60.799999
2015-07-28,59.09,59.50,58.57,59.450001,1178700,59.450001
2015-07-27,60.330002,60.330002,58.27,58.75,2979300,58.75
2015-07-24,61.75,61.860001,60.52,60.84,1487200,60.84
2015-07-23,61.040001,62.060001,60.849998,61.869999,1480400,61.869999
2015-07-22,60.529999,61.490002,60.529999,61.110001,1780500,61.110001
2015-07-21,62.00,62.509998,60.740002,61.599998,2929000,61.28
2015-07-20,63.77,64.32,63.299999,64.080002,1848600,63.74712
2015-07-17,64.18,64.389999,63.400002,63.830002,1103100,63.498419
2015-07-16,64.309998,64.620003,63.810001,64.379997,965700,64.045557
2015-07-15,65.110001,65.480003,63.43,63.700001,1974900,63.369093
2015-07-14,65.169998,65.629997,65.089996,65.300003,644500,64.960784
2015-07-13,64.589996,65.25,63.950001,65.169998,937700,64.831454
2015-07-10,65.220001,65.360001,63.880001,63.900002,1512000,63.568055
2015-07-09,65.949997,66.190002,64.529999,64.550003,1030700,64.21468
2015-07-08,65.959999,66.230003,64.949997,65.169998,782600,64.831454
2015-07-07,66.050003,66.529999,64.809998,66.459999,1733800,66.114754
2015-07-06,67.150002,67.779999,65.800003,66.050003,2183000,65.706888
2015-07-02,68.989998,69.080002,67.690002,67.940002,1401700,67.587069
2015-07-01,69.019997,69.650002,68.330002,68.709999,2154500,68.353066
2015-06-30,67.650002,69.360001,67.010002,68.75,6779100,68.392859
2015-06-29,63.119999,64.589996,63.009998,64.43,3966600,64.0953
2015-06-26,63.779999,63.959999,63.41,63.75,1743300,63.418833
2015-06-25,63.73,64.019997,63.18,63.68,3015300,63.349197
2015-06-24,62.66,63.98,62.529999,63.799999,2191000,63.468572
2015-06-23,62.130001,62.869999,62.009998,62.82,843300,62.493663
2015-06-22,61.860001,62.209999,61.490002,62.150002,1187700,61.827146
2015-06-19,61.50,61.759998,61.23,61.41,1040500,61.090988
2015-06-18,61.560001,61.950001,61.240002,61.73,916300,61.409326
2015-06-17,61.630001,61.830002,60.790001,61.299999,1017800,60.981559
2015-06-16,60.939999,61.599998,60.650002,61.59,582800,61.270053
2015-06-15,61.639999,61.75,60.869999,61.07,856000,60.752754
2015-06-12,62.07,62.290001,61.77,62.09,802900,61.767456
2015-06-11,62.139999,62.25,61.540001,62.189999,737900,61.866935
2015-06-10,61.66,62.07,61.360001,61.950001,976400,61.628184
2015-06-09,61.580002,62.189999,61.040001,61.220001,1092900,60.901977
2015-06-08,62.189999,62.369999,61.509998,61.540001,666900,61.220314
2015-06-05,62.110001,62.41,61.630001,62.380001,609600,62.05595
2015-06-04,63.240002,63.369999,62.049999,62.16,972200,61.837092
2015-06-03,63.900002,64.43,63.48,63.68,678400,63.349197
2015-06-02,63.200001,64.449997,63.110001,63.860001,723000,63.528262
2015-06-01,64.239998,64.339996,63.400002,63.490002,1009800,63.160185
2015-05-29,64.199997,64.449997,63.860001,64.029999,1833800,63.697377
2015-05-28,64.25,64.699997,64.080002,64.480003,608800,64.145044
2015-05-27,64.660004,64.839996,64.160004,64.639999,1327500,64.304209
2015-05-26,64.82,64.900002,63.810001,64.440002,1484100,64.105251
2015-05-22,65.82,65.82,64.620003,65.019997,1269300,64.682232
2015-05-21,64.349998,65.980003,64.209999,65.940002,1594800,65.597458
2015-05-20,64.150002,64.449997,63.77,64.190002,1069200,63.856549
2015-05-19,64.110001,64.230003,63.709999,64.050003,943200,63.717277
2015-05-18,64.00,64.25,63.740002,64.00,861600,63.667534
