Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,61.57,62.630001,61.57,61.709999,616200,61.709999
2015-07-30,60.310001,62.23,59.549999,61.27,1275700,61.27
2015-07-29,60.900002,61.560001,60.59,61.52,857900,60.925002
2015-07-28,60.880001,61.25,60.709999,61.09,1076100,60.49916
2015-07-27,59.869999,61.040001,59.869999,60.970001,1313400,60.380322
2015-07-24,59.599998,60.290001,59.419998,59.990002,658700,59.409801
2015-07-23,60.259998,60.259998,59.16,59.689999,749600,59.112699
2015-07-22,59.950001,60.540001,59.82,60.34,936500,59.756414
2015-07-21,60.560001,60.759998,59.52,59.959999,1010100,59.380088
2015-07-20,60.630001,61.119999,60.25,60.810001,1479600,60.22187
2015-07-17,60.990002,61.029999,60.369999,60.419998,817400,59.835638
2015-07-16,60.200001,61.279999,60.200001,61.169998,1185600,60.578385
2015-07-15,60.040001,60.240002,59.389999,60.209999,919200,59.62767
2015-07-14,60.169998,60.549999,59.869999,60.110001,896900,59.528639
2015-07-13,60.52,60.810001,59.779999,60.18,849700,59.597962
2015-07-10,59.599998,60.68,59.369999,60.32,1203600,59.736607
2015-07-09,60.439999,60.720001,59.43,59.68,1039000,59.102798
2015-07-08,60.099998,60.490002,60.02,60.279999,1196900,59.696993
2015-07-07,58.779999,60.529999,58.709999,60.34,1148200,59.756414
2015-07-06,58.16,58.599998,57.82,58.490002,758100,57.924308
2015-07-02,57.93,58.549999,57.240002,58.32,944100,57.75595
2015-07-01,57.029999,57.669998,56.77,57.580002,1156400,57.023109
2015-06-30,56.73,57.110001,56.400002,56.889999,1480900,56.33978
2015-06-29,56.959999,57.490002,56.549999,56.580002,754800,56.032781
2015-06-26,56.380001,57.009998,56.009998,56.889999,876600,56.33978
2015-06-25,56.779999,56.91,56.23,56.310001,603600,55.765392
2015-06-24,57.189999,57.450001,56.509998,56.52,724000,55.97336
2015-06-23,58.23,58.259998,57.189999,57.240002,733500,56.686398
2015-06-22,58.25,58.459999,57.700001,58.060001,1089900,57.498467
2015-06-19,57.98,58.610001,57.720001,58.139999,1432000,57.577691
2015-06-18,57.880001,58.59,57.709999,58.060001,1070500,57.498467
2015-06-17,57.009998,57.369999,56.619999,57.299999,512000,56.745815
