Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,116.239998,116.629997,114.589996,116.040001,568000,116.040001
2015-07-30,115.199997,116.459999,115.050003,116.160004,440100,116.160004
2015-07-29,113.459999,116.00,113.459999,115.699997,575400,115.699997
2015-07-28,112.230003,113.860001,111.620003,113.410004,432300,113.410004
2015-07-27,112.730003,112.760002,111.07,111.50,570200,111.50
2015-07-24,115.00,115.459999,111.760002,113.050003,566900,113.050003
2015-07-23,115.660004,116.480003,114.50,114.650002,544800,114.650002
2015-07-22,114.050003,115.260002,114.050003,115.099998,519100,115.099998
2015-07-21,114.519997,115.629997,113.440002,114.279999,389600,114.279999
2015-07-20,114.50,114.900002,113.330002,114.43,560000,114.43
2015-07-17,115.099998,115.540001,113.75,114.089996,440400,114.089996
2015-07-16,115.190002,115.910004,113.599998,115.419998,660200,115.419998
2015-07-15,115.669998,116.25,114.550003,114.800003,566500,114.800003
2015-07-14,116.470001,116.910004,115.650002,115.760002,493900,115.760002
2015-07-13,114.50,116.720001,114.440002,116.529999,760300,116.529999
2015-07-10,114.00,114.080002,112.57,113.599998,996100,113.599998
2015-07-09,114.00,115.559998,112.809998,112.860001,740900,112.860001
2015-07-08,115.300003,115.529999,112.540001,112.879997,717100,112.879997
2015-07-07,115.910004,116.18,112.75,115.739998,974000,115.739998
2015-07-06,116.790001,117.910004,115.050003,115.910004,944200,115.910004
2015-07-02,117.50,118.269997,116.790001,117.809998,923600,117.809998
2015-07-01,116.139999,117.57,113.709999,117.239998,972900,117.239998
2015-06-30,113.93,115.82,113.400002,115.199997,1283200,115.199997
2015-06-29,114.589996,115.550003,112.830002,112.980003,718400,112.980003
2015-06-26,116.50,117.50,115.300003,115.50,1203500,115.50
2015-06-25,114.379997,117.110001,114.370003,116.25,1043000,116.25
2015-06-24,114.800003,115.019997,113.629997,113.690002,385800,113.690002
2015-06-23,114.480003,115.169998,114.190002,114.860001,448000,114.860001
2015-06-22,115.32,115.32,113.809998,114.639999,684100,114.639999
2015-06-19,113.389999,115.099998,112.839996,114.599998,1165600,114.599998
2015-06-18,113.169998,114.199997,113.169998,113.190002,763700,113.190002
2015-06-17,112.900002,113.370003,111.050003,112.919998,743800,112.919998
2015-06-16,111.510002,113.470001,110.589996,112.93,1176500,112.93
2015-06-15,112.080002,112.410004,110.650002,111.169998,906700,111.169998
2015-06-12,112.400002,113.010002,111.650002,112.75,689400,112.75
2015-06-11,114.269997,114.860001,111.50,112.510002,1470700,112.510002
2015-06-10,116.32,116.32,113.970001,113.989998,898400,113.989998
2015-06-09,116.040001,116.360001,114.290001,115.519997,661500,115.519997
2015-06-08,114.279999,116.379997,114.110001,115.690002,956900,115.690002
2015-06-05,115.720001,115.809998,113.830002,114.43,810600,114.43
2015-06-04,114.32,116.910004,113.709999,115.580002,1382300,115.580002
2015-06-03,112.690002,115.900002,112.470001,115.43,1990400,115.43
2015-06-02,108.620003,114.300003,108.620003,112.089996,4505600,112.089996
2015-06-01,104.540001,105.720001,103.900002,104.68,1375500,104.68
2015-05-29,105.050003,105.410004,104.18,104.639999,961200,104.639999
2015-05-28,103.410004,105.980003,103.410004,104.970001,692700,104.970001
2015-05-27,103.989998,105.610001,103.389999,103.900002,815300,103.900002
2015-05-26,105.68,106.120003,103.910004,104.120003,977800,104.120003
2015-05-22,105.760002,106.57,104.75,106.139999,521600,106.139999
2015-05-21,104.580002,105.870003,104.419998,105.82,461100,105.82
2015-05-20,104.830002,105.540001,104.260002,104.919998,493400,104.919998
2015-05-19,105.309998,105.800003,103.540001,104.550003,879300,104.550003
2015-05-18,105.169998,105.970001,104.419998,105.550003,601900,105.512004
2015-05-15,103.25,105.290001,103.040001,104.910004,765400,104.872235
2015-05-14,103.529999,103.739998,102.120003,103.019997,935200,102.982908
2015-05-13,104.400002,104.510002,102.540001,103.019997,1019600,102.982908
2015-05-12,104.989998,106.449997,104.410004,104.440002,645300,104.402403
2015-05-11,105.870003,106.220001,105.169998,105.690002,493500,105.651953
2015-05-08,106.389999,107.150002,105.910004,106.059998,579200,106.021815
2015-05-07,105.059998,105.629997,103.93,105.50,563600,105.462019
2015-05-06,105.699997,105.699997,103.779999,105.00,899500,104.962199
2015-05-05,105.940002,106.220001,105.169998,105.709999,746900,105.671942
2015-05-04,104.150002,105.779999,104.07,105.650002,821400,105.611966
2015-05-01,103.980003,104.349998,102.900002,103.889999,1302000,103.852598
2015-04-30,102.910004,104.080002,102.519997,103.349998,819100,103.312791
2015-04-29,102.910004,103.620003,102.300003,102.889999,687100,102.852958
2015-04-28,103.510002,104.419998,103.139999,103.239998,581700,103.20283
2015-04-27,104.720001,105.410004,103.910004,104.029999,718500,103.992547
2015-04-24,105.68,106.010002,104.190002,104.43,492500,104.392404
2015-04-23,103.309998,106.129997,102.93,105.290001,908700,105.252095
2015-04-22,103.82,103.970001,103.260002,103.330002,640500,103.292802
2015-04-21,103.860001,104.480003,103.57,103.720001,678800,103.682661
2015-04-20,104.620003,104.620003,103.389999,103.75,1260200,103.712649
2015-04-17,106.120003,106.199997,103.480003,103.739998,1771300,103.70265
2015-04-16,108.75,109.980003,107.489998,107.639999,800100,107.601248
2015-04-15,110.00,110.279999,108.690002,108.919998,1001100,108.880786
2015-04-14,108.82,109.889999,108.589996,109.75,1296900,109.710489
2015-04-13,110.230003,110.230003,108.550003,108.889999,942100,108.850798
2015-04-10,110.970001,111.309998,109.690002,110.379997,955100,110.340259
2015-04-09,111.080002,111.980003,110.50,111.029999,969500,110.990027
2015-04-08,111.220001,111.449997,110.32,110.75,1228100,110.710129
2015-04-07,109.269997,111.230003,109.040001,111.050003,1217700,111.010024
2015-04-06,106.779999,109.860001,106.669998,109.349998,1272700,109.310631
2015-04-02,107.50,108.860001,106.870003,107.470001,1488500,107.431311
2015-04-01,106.68,107.449997,105.709999,107.400002,1391700,107.361336
2015-03-31,104.870003,107.690002,104.580002,106.559998,1402700,106.521635
2015-03-30,104.699997,106.309998,104.110001,105.360001,999600,105.32207
2015-03-27,105.57,105.589996,102.199997,103.910004,2164400,103.872595
2015-03-26,104.669998,107.110001,102.169998,104.559998,3666100,104.522355
2015-03-25,103.519997,105.209999,103.169998,104.029999,2617600,103.992547
2015-03-24,104.040001,104.239998,102.82,103.580002,1162400,103.542712
2015-03-23,102.580002,105.279999,102.510002,103.769997,1492600,103.732638
2015-03-20,101.690002,102.959999,101.690002,102.440002,1298600,102.403123
2015-03-19,101.120003,101.989998,100.559998,101.629997,1455700,101.593409
2015-03-18,98.00,102.019997,97.940002,101.160004,2074700,101.123585
2015-03-17,94.150002,98.419998,93.800003,98.290001,2557800,98.254615
2015-03-16,97.440002,98.699997,94.050003,94.349998,2716300,94.316031
2015-03-13,97.489998,98.699997,96.879997,97.300003,1518600,97.264974
2015-03-12,97.18,98.93,96.510002,97.860001,2168600,97.82477
2015-03-11,100.260002,100.919998,96.470001,96.980003,1954200,96.945089
2015-03-10,101.650002,101.650002,99.459999,99.93,2105500,99.894024
2015-03-09,102.760002,102.970001,101.879997,102.709999,1234300,102.673022
2015-03-06,105.139999,105.550003,102.400002,102.730003,1582600,102.693019
2015-03-05,106.139999,106.360001,105.290001,105.470001,682800,105.432031
2015-03-04,105.639999,106.480003,105.139999,105.760002,1040700,105.721927
2015-03-03,104.50,106.239998,104.25,105.830002,2060100,105.791902
2015-03-02,106.07,108.199997,106.010002,106.739998,1359900,106.70157
2015-02-27,108.00,108.440002,106.449997,106.529999,1572300,106.491647
2015-02-26,111.040001,111.959999,107.669998,107.980003,1331500,107.941129
2015-02-25,111.610001,111.93,110.709999,110.980003,1481400,110.940049
2015-02-24,110.800003,112.129997,110.75,111.68,1419400,111.639794
2015-02-23,110.269997,110.849998,109.889999,110.849998,1229900,110.772106
2015-02-20,108.440002,110.230003,107.610001,110.00,981500,109.922705
2015-02-19,107.339996,109.989998,107.209999,108.519997,1302200,108.443742
2015-02-18,106.150002,107.470001,105.93,107.269997,1091500,107.19462
2015-02-17,105.959999,107.279999,104.669998,106.75,925100,106.674989
2015-02-13,106.07,106.690002,105.870003,106.540001,1142800,106.465137
2015-02-12,104.800003,105.75,104.480003,105.410004,619500,105.335934
2015-02-11,102.730003,104.550003,102.010002,104.360001,1008700,104.286669
2015-02-10,103.610001,104.559998,101.739998,102.510002,1485900,102.43797
2015-02-09,107.00,107.089996,102.00,103.190002,3332900,103.117493
2015-02-06,109.00,109.910004,107.910004,108.589996,928000,108.513692
2015-02-05,106.639999,109.410004,106.639999,108.589996,942600,108.513692
