Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,27.790001,27.790001,27.43,27.620001,1724300,27.620001
2015-07-30,27.73,27.879999,27.469999,27.780001,1223400,27.780001
2015-07-29,27.219999,27.93,27.209999,27.790001,1517000,27.790001
2015-07-28,26.809999,27.360001,26.799999,27.209999,2070400,27.209999
2015-07-27,26.799999,26.969999,26.50,26.629999,2208800,26.629999
2015-07-24,27.48,27.52,26.84,27.00,1640700,27.00
2015-07-23,27.85,28.01,27.40,27.459999,1930500,27.459999
2015-07-22,27.940001,28.16,27.709999,27.77,2525000,27.77
2015-07-21,28.139999,28.299999,27.940001,28.110001,3220100,28.110001
2015-07-20,28.200001,28.24,27.75,28.15,2650900,28.15
2015-07-17,28.51,28.620001,28.07,28.190001,1497300,28.190001
2015-07-16,28.52,28.629999,28.33,28.51,1527800,28.51
2015-07-15,28.780001,28.870001,28.24,28.290001,2188400,28.290001
2015-07-14,28.610001,28.98,28.49,28.90,1495700,28.90
2015-07-13,28.41,28.620001,28.35,28.60,1663200,28.60
2015-07-10,28.27,28.27,27.940001,28.09,1773100,28.09
2015-07-09,28.120001,28.26,27.870001,27.93,2374300,27.93
2015-07-08,28.50,28.700001,27.43,27.700001,3125200,27.700001
2015-07-07,28.299999,28.879999,27.549999,28.790001,3302100,28.790001
2015-07-06,28.16,28.58,28.01,28.32,2094500,28.32
2015-07-02,28.83,28.91,28.35,28.549999,1849700,28.549999
2015-07-01,29.030001,29.10,28.66,28.74,2279200,28.74
2015-06-30,29.07,29.200001,28.700001,28.82,1694400,28.82
2015-06-29,29.35,29.49,28.73,28.83,2264800,28.83
2015-06-26,29.209999,29.82,29.059999,29.700001,3006200,29.700001
2015-06-25,29.629999,29.77,29.15,29.190001,1598600,29.190001
2015-06-24,30.23,30.35,29.57,29.60,1533600,29.60
2015-06-23,30.42,30.610001,30.10,30.25,1962700,30.25
2015-06-22,30.049999,30.450001,29.799999,30.41,2310400,30.41
2015-06-19,29.74,30.129999,29.700001,29.84,3015000,29.84
2015-06-18,29.870001,30.17,29.77,29.799999,2105800,29.799999
2015-06-17,30.049999,30.32,29.629999,29.83,2521400,29.83
2015-06-16,29.440001,30.07,29.219999,29.92,2675900,29.92
2015-06-15,29.57,29.57,28.91,29.440001,1940400,29.440001
2015-06-12,29.379999,29.93,29.15,29.74,1726900,29.74
2015-06-11,29.35,29.610001,29.299999,29.450001,1168900,29.450001
2015-06-10,29.16,29.52,29.08,29.33,1799200,29.33
2015-06-09,28.91,29.139999,28.809999,28.90,1426500,28.90
2015-06-08,29.379999,29.549999,28.799999,28.83,2723900,28.83
2015-06-05,29.10,29.52,29.01,29.40,1586200,29.40
2015-06-04,29.85,29.85,29.07,29.18,2786000,29.18
2015-06-03,30.00,30.389999,29.879999,30.07,2147600,30.07
2015-06-02,29.469999,30.07,29.24,30.040001,2236500,30.040001
2015-06-01,29.40,29.639999,29.15,29.50,1395400,29.50
2015-05-29,29.379999,29.469999,29.10,29.32,1668900,29.32
2015-05-28,29.360001,29.51,29.01,29.41,1075400,29.41
2015-05-27,29.00,29.59,28.780001,29.530001,1548200,29.530001
2015-05-26,29.440001,29.469999,28.809999,28.92,2271200,28.92
2015-05-22,30.030001,30.08,29.57,29.620001,1129600,29.620001
2015-05-21,29.799999,30.200001,29.73,30.15,1500200,30.15
2015-05-20,29.49,29.700001,29.42,29.629999,1169100,29.629999
2015-05-19,29.99,30.10,29.309999,29.43,2743400,29.43
2015-05-18,29.57,30.09,29.34,30.01,2053000,30.01
2015-05-15,29.41,29.860001,29.389999,29.68,2715800,29.68
2015-05-14,29.469999,29.59,29.18,29.370001,3007400,29.370001
2015-05-13,28.809999,29.27,28.77,29.23,2268800,29.23
2015-05-12,29.01,29.10,28.559999,28.76,2048300,28.76
2015-05-11,28.709999,29.219999,28.639999,29.18,2205300,29.18
2015-05-08,28.309999,28.780001,28.219999,28.77,1776900,28.77
2015-05-07,27.92,28.23,27.870001,28.030001,1665700,28.030001
2015-05-06,28.18,28.32,27.77,28.00,2357000,28.00
2015-05-05,28.110001,28.379999,27.889999,27.950001,3422800,27.950001
2015-05-04,28.219999,28.32,27.98,28.129999,3988800,28.129999
2015-05-01,28.98,28.99,27.68,28.23,5293800,28.23
2015-04-30,29.629999,29.700001,28.51,28.91,4873300,28.91
2015-04-29,29.360001,29.719999,29.18,29.68,1923000,29.68
2015-04-28,29.49,29.629999,29.370001,29.559999,1591500,29.559999
2015-04-27,29.34,29.73,29.209999,29.48,1427600,29.48
2015-04-24,29.17,29.43,29.030001,29.280001,1942600,29.280001
2015-04-23,28.99,29.34,28.889999,29.209999,1320300,29.209999
2015-04-22,29.209999,29.34,28.76,29.01,1231800,29.01
2015-04-21,29.389999,29.57,29.07,29.17,888800,29.17
2015-04-20,29.26,29.559999,29.25,29.32,823900,29.32
2015-04-17,29.15,29.33,29.01,29.110001,1012100,29.110001
2015-04-16,29.82,29.870001,29.48,29.52,2009000,29.52
2015-04-15,29.17,30.030001,29.049999,29.950001,2523200,29.950001
2015-04-14,28.74,29.09,28.58,29.059999,801600,29.059999
2015-04-13,28.639999,29.07,28.549999,28.709999,941600,28.709999
2015-04-10,28.77,28.92,28.469999,28.620001,1223600,28.620001
2015-04-09,28.459999,28.73,28.23,28.690001,1540900,28.690001
2015-04-08,28.719999,28.889999,28.280001,28.469999,1745700,28.469999
2015-04-07,29.059999,29.10,28.66,28.66,1447500,28.66
2015-04-06,28.360001,29.24,28.32,29.120001,1193000,29.120001
2015-04-02,28.370001,29.059999,28.290001,28.440001,918200,28.440001
2015-04-01,28.43,28.639999,28.280001,28.40,1316000,28.40
2015-03-31,28.620001,28.68,28.32,28.530001,1630800,28.530001
