Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,10.55,10.56,10.38,10.39,11249900,10.39
2015-07-30,10.51,10.60,10.46,10.57,11107800,10.57
2015-07-29,10.41,10.56,10.35,10.52,15960100,10.52
2015-07-28,10.45,10.53,10.28,10.40,14106900,10.40
2015-07-27,10.48,10.48,10.34,10.41,18577300,10.41
2015-07-24,10.60,10.65,10.52,10.56,15409000,10.56
2015-07-23,10.68,10.87,10.52,10.62,25726900,10.62
2015-07-22,10.37,10.85,10.37,10.70,50557800,10.70
2015-07-21,10.24,10.52,10.24,10.41,25864200,10.41
2015-07-20,10.20,10.24,10.09,10.20,17290200,10.20
2015-07-17,10.24,10.27,10.02,10.12,26639300,10.12
2015-07-16,10.42,10.46,10.35,10.39,14448100,10.39
2015-07-15,10.25,10.47,10.23,10.31,26565600,10.31
2015-07-14,10.07,10.23,10.05,10.22,21267700,10.22
2015-07-13,10.25,10.30,10.19,10.20,13739600,10.20
2015-07-10,10.15,10.25,10.08,10.14,13325900,10.14
2015-07-09,9.99,10.04,9.93,10.00,14816500,10.00
2015-07-08,9.96,9.97,9.82,9.83,17136900,9.83
2015-07-07,10.12,10.14,9.82,10.04,20789400,10.04
2015-07-06,10.11,10.22,10.07,10.17,12630800,10.17
2015-07-02,10.33,10.41,10.19,10.27,12776800,10.27
2015-07-01,10.47,10.53,10.39,10.41,10989900,10.41
2015-06-30,10.39,10.51,10.29,10.36,12900500,10.36
2015-06-29,10.37,10.48,10.23,10.29,18178700,10.29
2015-06-26,10.63,10.70,10.51,10.53,13977600,10.53
2015-06-25,10.71,10.73,10.49,10.57,15078500,10.57
2015-06-24,10.72,10.79,10.62,10.67,9859600,10.67
2015-06-23,10.68,10.82,10.64,10.76,12880700,10.76
2015-06-22,10.54,10.61,10.50,10.61,9258300,10.61
2015-06-19,10.45,10.51,10.40,10.44,9813200,10.44
2015-06-18,10.48,10.51,10.27,10.50,16590300,10.50
2015-06-17,10.63,10.68,10.41,10.44,14027600,10.44
2015-06-16,10.50,10.62,10.45,10.60,8916000,10.60
2015-06-15,10.45,10.56,10.42,10.50,10732500,10.50
2015-06-12,10.55,10.62,10.52,10.58,9057300,10.58
2015-06-11,10.64,10.69,10.51,10.56,12486700,10.56
2015-06-10,10.55,10.75,10.53,10.65,14940100,10.65
2015-06-09,10.45,10.64,10.39,10.55,17767400,10.49
2015-06-08,10.46,10.64,10.42,10.43,15661800,10.370683
2015-06-05,10.41,10.62,10.41,10.52,25929000,10.460171
2015-06-04,10.25,10.35,10.19,10.22,15847800,10.161877
2015-06-03,10.17,10.35,10.13,10.30,35803900,10.241422
2015-06-02,10.00,10.16,9.98,10.13,14823800,10.072389
2015-06-01,10.14,10.17,9.96,9.98,14854400,9.923242
2015-05-29,10.24,10.24,10.07,10.09,12771800,10.032617
2015-05-28,10.27,10.30,10.13,10.22,10353300,10.161877
2015-05-27,10.21,10.29,10.19,10.28,8677200,10.221536
2015-05-26,10.18,10.21,10.11,10.18,10852900,10.122105
2015-05-22,10.25,10.30,10.22,10.22,6978800,10.161877
2015-05-21,10.22,10.32,10.18,10.24,13552200,10.181763
2015-05-20,10.36,10.39,10.22,10.26,9431000,10.20165
2015-05-19,10.24,10.41,10.23,10.39,15793800,10.330911
2015-05-18,10.02,10.25,10.01,10.21,14927600,10.151934
2015-05-15,10.20,10.23,9.94,9.98,18780000,9.923242
2015-05-14,10.30,10.31,10.16,10.19,14835700,10.132047
2015-05-13,10.15,10.29,10.08,10.26,14809700,10.20165
2015-05-12,10.03,10.25,9.99,10.17,21751000,10.112161
2015-05-11,9.95,10.08,9.92,10.07,12547900,10.01273
2015-05-08,9.94,9.98,9.84,9.93,20395800,9.873527
2015-05-07,9.88,9.96,9.78,9.89,15442400,9.833754
2015-05-06,9.97,10.00,9.82,9.92,14280600,9.863583
2015-05-05,9.94,10.14,9.91,9.91,26269500,9.85364
2015-05-04,9.85,9.99,9.84,9.98,12280900,9.923242
2015-05-01,9.86,9.91,9.75,9.83,11788000,9.774095
2015-04-30,9.79,9.91,9.75,9.83,22080500,9.774095
2015-04-29,9.61,9.89,9.59,9.80,17493100,9.744266
2015-04-28,9.56,9.67,9.53,9.64,12141100,9.585176
2015-04-27,9.62,9.69,9.56,9.56,10873300,9.505631
2015-04-24,9.65,9.69,9.55,9.58,11099200,9.525517
2015-04-23,9.67,9.70,9.59,9.62,10795500,9.565289
2015-04-22,9.51,9.75,9.49,9.73,18488900,9.674663
2015-04-21,9.75,9.87,9.55,9.58,30466500,9.525517
2015-04-20,9.63,9.67,9.53,9.59,14857100,9.53546
2015-04-17,9.64,9.67,9.56,9.59,12993100,9.53546
2015-04-16,9.72,9.73,9.60,9.70,19136600,9.644834
2015-04-15,9.55,9.75,9.50,9.71,19924800,9.654778
2015-04-14,9.58,9.60,9.49,9.54,20994900,9.485744
2015-04-13,9.58,9.68,9.57,9.64,14897000,9.585176
2015-04-10,9.65,9.69,9.54,9.59,17772700,9.53546
2015-04-09,9.63,9.71,9.57,9.67,17434000,9.615005
2015-04-08,9.62,9.73,9.60,9.63,19775400,9.575233
2015-04-07,9.54,9.70,9.53,9.62,11860600,9.565289
2015-04-06,9.28,9.59,9.28,9.55,14104100,9.495688
2015-04-02,9.51,9.64,9.42,9.58,19494400,9.525517
2015-04-01,9.45,9.48,9.33,9.46,19357500,9.406199
2015-03-31,9.29,9.45,9.24,9.45,25716100,9.396256
2015-03-30,9.31,9.39,9.30,9.34,11360900,9.286882
2015-03-27,9.34,9.35,9.18,9.23,15379500,9.177507
2015-03-26,9.26,9.37,9.17,9.31,19301700,9.257053
2015-03-25,9.43,9.43,9.24,9.25,14946300,9.197394
2015-03-24,9.54,9.55,9.40,9.43,16705200,9.37637
2015-03-23,9.62,9.67,9.47,9.55,14963400,9.495688
2015-03-20,9.54,9.64,9.47,9.64,26440100,9.585176
2015-03-19,9.68,9.70,9.27,9.50,38704300,9.445972
2015-03-18,9.88,9.98,9.55,9.69,30471400,9.634891
2015-03-17,9.84,9.91,9.72,9.89,19051900,9.833754
2015-03-16,9.91,9.97,9.76,9.88,13490500,9.823811
2015-03-13,9.86,9.96,9.81,9.91,20272500,9.85364
