Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,79.660004,79.900002,78.980003,79.080002,1007900,79.080002
2015-07-30,79.040001,79.650002,78.07,79.449997,611100,79.449997
2015-07-29,78.459999,79.360001,78.199997,79.269997,799000,79.269997
2015-07-28,77.50,78.82,76.599998,78.730003,1288000,78.730003
2015-07-27,78.410004,78.839996,77.010002,77.160004,966800,77.160004
2015-07-24,79.230003,79.870003,78.43,78.959999,683600,78.959999
2015-07-23,79.709999,80.470001,79.269997,79.339996,535700,79.339996
2015-07-22,78.050003,79.50,77.959999,79.410004,920000,79.410004
2015-07-21,78.800003,79.709999,78.239998,78.290001,1099700,78.290001
2015-07-20,79.300003,79.620003,78.669998,79.190002,1143800,79.190002
2015-07-17,80.540001,80.589996,79.00,79.059998,1373000,79.059998
2015-07-16,80.620003,80.980003,80.25,80.589996,660800,80.589996
2015-07-15,80.690002,80.739998,80.010002,80.099998,1068200,80.099998
2015-07-14,79.760002,81.010002,79.68,80.690002,1118700,80.690002
2015-07-13,79.00,79.720001,78.839996,79.559998,967600,79.559998
2015-07-10,78.139999,78.82,77.790001,78.540001,1094700,78.540001
2015-07-09,77.040001,77.839996,76.980003,77.260002,968800,77.260002
2015-07-08,76.529999,76.989998,75.93,75.989998,844500,75.989998
2015-07-07,76.779999,76.900002,75.580002,76.860001,1196500,76.860001
2015-07-06,76.32,77.220001,75.809998,76.620003,1314300,76.620003
2015-07-02,77.160004,77.75,76.510002,76.879997,994400,76.879997
2015-07-01,76.650002,77.57,76.50,77.519997,1805400,77.519997
2015-06-30,76.029999,76.459999,75.449997,75.93,1212200,75.93
2015-06-29,76.699997,76.720001,75.400002,75.449997,1083800,75.449997
2015-06-26,79.300003,79.300003,77.040001,77.480003,1346500,77.480003
2015-06-25,79.040001,79.68,78.779999,79.120003,1427400,79.120003
2015-06-24,79.459999,79.910004,78.410004,78.519997,1057300,78.519997
2015-06-23,79.779999,79.779999,78.769997,79.620003,1256200,79.620003
2015-06-22,79.779999,80.389999,78.940002,79.470001,1830000,79.470001
2015-06-19,79.400002,81.489998,78.550003,79.300003,4626200,79.300003
2015-06-18,78.209999,78.769997,78.019997,78.489998,3304900,78.489998
2015-06-17,78.739998,79.330002,78.029999,78.260002,1705400,78.260002
2015-06-16,78.709999,79.199997,78.110001,78.510002,1557800,78.510002
2015-06-15,77.839996,78.970001,77.370003,78.650002,1714000,78.650002
2015-06-12,78.279999,78.550003,77.739998,78.190002,894600,78.190002
2015-06-11,78.82,78.970001,78.110001,78.550003,888300,78.550003
