Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,14.07,14.10,13.18,13.26,13058300,13.26
2015-07-30,14.48,14.59,13.77,13.95,14110900,13.95
2015-07-29,13.77,14.71,13.72,14.46,14947800,14.46
2015-07-28,13.31,14.20,13.12,14.12,15213200,14.12
2015-07-27,13.04,13.32,12.76,13.11,11836800,13.11
2015-07-24,13.48,13.48,13.02,13.26,12845600,13.26
2015-07-23,13.46,13.84,13.15,13.67,11807600,13.67
2015-07-22,13.27,13.53,13.06,13.16,12762900,13.16
2015-07-21,13.61,13.90,13.22,13.35,12364800,13.35
2015-07-20,13.52,13.59,13.17,13.35,12726100,13.35
2015-07-17,14.55,14.57,13.46,13.48,21508800,13.48
2015-07-16,14.63,15.10,14.43,14.61,15835000,14.61
2015-07-15,14.87,15.15,14.33,14.51,14484600,14.51
2015-07-14,14.96,15.45,14.89,15.11,10477800,15.11
2015-07-13,14.77,15.00,14.53,14.90,7898500,14.90
2015-07-10,15.22,15.31,14.46,14.62,14595200,14.62
2015-07-09,15.42,15.62,15.03,15.05,8687700,15.05
2015-07-08,15.36,15.65,14.98,15.15,9649900,15.15
2015-07-07,14.87,15.88,14.33,15.73,16712300,15.73
2015-07-06,15.18,15.28,14.78,14.92,11430500,14.92
2015-07-02,15.74,16.030001,15.50,15.59,6824900,15.59
2015-07-01,15.99,16.030001,15.22,15.59,13911200,15.59
2015-06-30,16.190001,16.360001,15.93,16.120001,7867300,16.120001
2015-06-29,16.110001,16.700001,15.93,15.95,10455300,15.95
2015-06-26,15.98,16.52,15.80,16.50,8486800,16.50
2015-06-25,16.57,16.610001,15.88,16.00,10096200,16.00
2015-06-24,16.790001,17.059999,16.58,16.629999,5943600,16.629999
2015-06-23,17.040001,17.48,16.940001,16.969999,7528700,16.969999
2015-06-22,16.809999,17.219999,16.540001,16.940001,7862000,16.940001
2015-06-19,16.92,17.190001,16.57,16.65,12367800,16.65
2015-06-18,17.52,17.58,16.799999,16.969999,11201600,16.969999
2015-06-17,17.82,18.120001,17.43,17.48,7766000,17.48
2015-06-16,17.34,17.85,17.34,17.559999,4773100,17.559999
2015-06-15,17.440001,17.82,17.129999,17.610001,8557700,17.610001
2015-06-12,18.09,18.10,17.48,17.77,10185200,17.77
2015-06-11,18.93,18.950001,18.00,18.129999,14010100,18.129999
2015-06-10,19.389999,19.440001,18.870001,19.08,8097600,19.08
2015-06-09,19.299999,19.60,18.719999,18.74,8150700,18.74
2015-06-08,18.91,19.459999,18.90,19.120001,5969000,19.120001
2015-06-05,18.530001,19.34,18.379999,19.17,8526100,19.17
2015-06-04,18.950001,19.16,18.459999,18.549999,7977600,18.549999
2015-06-03,19.18,19.59,18.93,19.049999,6051300,19.049999
2015-06-02,18.940001,19.74,18.860001,19.280001,9179900,19.280001
2015-06-01,18.879999,19.059999,18.309999,18.58,8960800,18.58
2015-05-29,18.82,19.25,18.809999,18.85,8495700,18.85
2015-05-28,19.23,19.25,18.65,19.01,9393700,19.01
2015-05-27,18.99,19.440001,18.82,19.299999,7966300,19.299999
2015-05-26,19.690001,19.870001,19.16,19.309999,8843300,19.16
2015-05-22,19.67,20.309999,19.629999,20.15,6294000,19.993475
2015-05-21,19.709999,20.190001,19.639999,20.09,11083600,19.933942
2015-05-20,19.200001,19.43,18.959999,19.26,9485600,19.110389
2015-05-19,19.57,19.68,18.76,18.969999,18158100,18.822641
2015-05-18,20.959999,20.969999,19.950001,20.15,16171200,19.993475
2015-05-15,20.299999,21.40,20.02,20.790001,13882100,20.628505
2015-05-14,21.40,21.90,20.42,20.809999,17248300,20.648348
2015-05-13,20.309999,21.549999,20.08,21.389999,19967600,21.223842
2015-05-12,19.549999,20.35,19.459999,20.209999,13719400,20.053008
2015-05-11,19.27,19.75,19.08,19.57,9256500,19.41798
2015-05-08,18.42,19.26,18.049999,19.26,18177200,19.110389
2015-05-07,18.74,18.809999,17.610001,18.309999,21171100,18.167768
2015-05-06,19.370001,19.75,18.790001,18.99,14320500,18.842486
2015-05-05,18.84,19.77,18.799999,18.98,23969900,18.832563
2015-05-04,18.76,18.84,18.040001,18.41,12782400,18.266991
2015-05-01,18.290001,19.059999,18.26,18.83,15085700,18.683729
2015-04-30,17.84,19.040001,17.469999,18.82,21561000,18.673806
2015-04-29,16.469999,17.860001,16.379999,17.549999,16412100,17.413671
2015-04-28,16.48,16.809999,16.32,16.49,7293100,16.361906
2015-04-27,16.52,16.629999,16.290001,16.370001,6280300,16.242839
2015-04-24,16.90,16.959999,16.25,16.40,9662100,16.272605
2015-04-23,16.969999,17.51,16.76,16.969999,12007000,16.838177
2015-04-22,16.940001,17.299999,16.709999,16.85,11233900,16.71911
2015-04-21,18.200001,18.209999,16.77,17.030001,13024600,16.897712
2015-04-20,17.950001,18.200001,17.65,18.02,8248100,17.880022
2015-04-17,18.459999,18.530001,17.870001,17.98,10149500,17.840331
2015-04-16,18.75,19.059999,18.15,18.60,17317800,18.455516
2015-04-15,17.360001,19.16,17.34,18.90,24436800,18.753185
2015-04-14,16.549999,17.42,16.51,17.16,13340800,17.026701
2015-04-13,16.74,16.75,16.209999,16.360001,6683500,16.232917
2015-04-10,16.700001,16.860001,16.52,16.57,8372800,16.441284
2015-04-09,16.120001,16.74,16.040001,16.67,9467400,16.540508
2015-04-08,16.370001,16.549999,15.85,16.059999,8686700,15.935246
2015-04-07,16.16,16.77,15.98,16.360001,12955400,16.232917
2015-04-06,15.19,16.639999,15.18,16.51,17921000,16.381751
2015-04-02,14.48,15.05,14.44,14.99,7979100,14.873558
2015-04-01,14.60,14.98,14.52,14.72,7943000,14.605656
2015-03-31,14.48,14.80,14.38,14.67,5128100,14.556044
2015-03-30,14.58,14.78,14.21,14.71,7593900,14.595733
2015-03-27,15.03,15.05,14.45,14.49,9544500,14.377442
2015-03-26,15.52,15.80,15.19,15.33,8478500,15.210917
2015-03-25,15.08,15.51,15.03,15.24,10109900,15.121616
2015-03-24,15.39,15.53,14.81,14.83,11228500,14.714801
2015-03-23,15.14,15.54,15.13,15.32,9644200,15.200994
2015-03-20,14.51,15.03,14.41,14.99,16940400,14.873558
2015-03-19,14.70,14.72,14.14,14.16,14406100,14.050005
2015-03-18,14.25,15.49,14.03,15.25,13121100,15.131538
2015-03-17,13.80,14.08,13.62,14.02,9629200,13.911093
2015-03-16,13.54,13.93,13.28,13.88,11039900,13.772181
2015-03-13,14.13,14.13,13.51,13.60,10854300,13.494356
2015-03-12,14.57,14.61,14.10,14.27,7887300,14.159151
