Date,Open,High,Low,Close,Volume,Adj Close
2015-07-31,167.889999,168.020004,166.460007,167.270004,421700,167.270004
2015-07-30,165.990005,167.630005,165.389999,167.070007,268800,167.070007
2015-07-29,164.179993,167.050003,163.800003,166.770004,408500,166.770004
2015-07-28,164.380005,164.970001,162.529999,164.25,1080100,164.25
2015-07-27,161.970001,165.059998,158.210007,164.25,1700300,164.25
2015-07-24,173.470001,174.240005,171.460007,172.110001,442500,172.110001
2015-07-23,174.779999,176.160004,173.630005,173.809998,384900,173.809998
2015-07-22,174.570007,176.210007,174.220001,175.00,326400,175.00
2015-07-21,176.479996,176.889999,174.740005,174.970001,360400,174.970001
2015-07-20,176.889999,177.820007,176.520004,176.990005,175700,176.990005
2015-07-17,177.160004,177.270004,176.350006,176.960007,207200,176.960007
2015-07-16,177.25,177.970001,176.470001,177.080002,178400,177.080002
2015-07-15,176.809998,177.229996,175.580002,175.899994,269000,175.899994
2015-07-14,176.199997,177.009995,175.410004,176.809998,262800,176.809998
2015-07-13,174.190002,176.289993,173.820007,175.949997,449400,175.949997
2015-07-10,173.860001,173.940002,171.690002,172.350006,456300,172.350006
2015-07-09,173.470001,174.369995,171.300003,171.559998,341700,171.559998
2015-07-08,174.039993,174.360001,170.679993,171.320007,360700,171.320007
2015-07-07,174.00,175.080002,171.639999,175.020004,458000,174.770001
2015-07-06,172.880005,174.729996,172.199997,173.570007,305000,173.322076
2015-07-02,174.710007,174.889999,173.600006,174.589996,461800,174.340608
2015-07-01,173.970001,174.270004,172.660004,174.020004,320400,173.77143
2015-06-30,174.610001,175.139999,172.139999,172.460007,496800,172.21366
2015-06-29,174.729996,175.889999,172.350006,172.570007,349700,172.323504
2015-06-26,175.729996,176.860001,175.190002,175.979996,329500,175.728621
2015-06-25,175.949997,176.589996,174.910004,175.089996,226300,174.839893
2015-06-24,176.369995,177.350006,175.389999,175.690002,297400,175.439042
2015-06-23,177.809998,178.679993,176.570007,176.910004,330000,176.657301
2015-06-22,177.550003,178.919998,177.360001,177.789993,238100,177.536034
2015-06-19,176.899994,177.25,176.050003,176.149994,830900,175.898377
2015-06-18,174.830002,177.389999,174.610001,177.009995,376300,176.757149
2015-06-17,174.339996,175.229996,173.339996,174.440002,211300,174.190828
2015-06-16,174.059998,174.940002,173.490005,174.080002,234900,173.831342
2015-06-15,174.089996,174.270004,172.360001,173.970001,270900,173.721498
2015-06-12,177.149994,177.229996,175.389999,175.839996,189500,175.588822
2015-06-11,177.220001,178.330002,176.929993,177.710007,265600,177.456161
2015-06-10,175.789993,177.369995,175.779999,177.039993,199900,176.787105
2015-06-09,175.080002,175.740005,174.270004,175.070007,202600,174.819933
2015-06-08,174.550003,176.610001,174.160004,174.50,188100,174.25074
2015-06-05,174.160004,175.169998,173.009995,175.070007,232700,174.819933
2015-06-04,175.830002,175.830002,174.020004,174.330002,260600,174.080984
2015-06-03,176.229996,176.929993,175.240005,176.419998,180100,176.167995
2015-06-02,174.580002,176.789993,173.979996,175.729996,214500,175.478979
2015-06-01,175.580002,175.580002,173.460007,174.910004,286400,174.660158
2015-05-29,176.589996,176.589996,174.369995,174.960007,314700,174.710089
2015-05-28,177.50,177.639999,176.009995,177.179993,224900,176.926904
2015-05-27,176.690002,178.00,176.059998,177.690002,251200,177.436186
2015-05-26,176.479996,177.070007,174.970001,175.710007,290800,175.459018
2015-05-22,177.270004,177.720001,176.600006,177.149994,267600,176.896948
2015-05-21,177.009995,177.639999,176.020004,177.199997,278800,176.94688
2015-05-20,176.570007,177.399994,175.580002,176.889999,263200,176.637325
2015-05-19,176.449997,176.720001,175.399994,176.610001,256400,176.357726
2015-05-18,175.399994,176.539993,174.919998,176.210007,282100,175.958304
2015-05-15,176.009995,176.990005,175.059998,176.080002,676000,175.828485
2015-05-14,175.320007,176.619995,174.600006,176.350006,442700,176.098103
2015-05-13,173.210007,174.929993,171.610001,174.169998,441600,173.921209
2015-05-12,170.360001,172.649994,169.869995,172.429993,401300,172.183689
2015-05-11,171.580002,172.479996,171.080002,171.119995,422000,170.875563
2015-05-08,170.759995,172.770004,169.919998,172.339996,561400,172.093822
2015-05-07,167.589996,169.160004,166.770004,168.880005,379600,168.638772
2015-05-06,169.130005,169.490005,166.850006,168.320007,506200,168.079575
2015-05-05,169.649994,170.850006,168.179993,168.240005,323300,167.999687
2015-05-04,169.570007,171.080002,168.770004,170.399994,393700,170.15659
2015-05-01,168.529999,170.139999,167.720001,169.509995,478300,169.267862
2015-04-30,170.410004,170.649994,167.880005,168.169998,676800,167.92978
2015-04-29,171.759995,172.869995,169.279999,171.149994,432800,170.905519
2015-04-28,170.300003,172.940002,169.509995,172.929993,580400,172.682975
2015-04-27,174.520004,176.410004,172.039993,172.550003,693800,172.303528
2015-04-24,169.940002,170.699997,168.009995,169.919998,659600,169.67728
2015-04-23,168.289993,170.820007,167.440002,170.050003,553500,169.807099
2015-04-22,168.229996,169.029999,165.949997,168.929993,594000,168.688689
2015-04-21,169.270004,169.639999,168.039993,168.240005,536100,167.999687
2015-04-20,167.779999,169.580002,167.100006,169.089996,369600,168.848464
2015-04-17,169.529999,169.529999,166.009995,167.080002,405500,166.841341
2015-04-16,170.619995,171.440002,169.210007,170.649994,276400,170.406233
2015-04-15,170.410004,171.559998,169.339996,171.220001,344100,170.975426
2015-04-14,168.570007,169.779999,167.740005,169.619995,244800,169.377706
2015-04-13,170.610001,170.610001,168.929993,169.130005,370000,168.888415
2015-04-10,171.289993,171.449997,169.839996,170.309998,312300,170.066722
2015-04-09,169.690002,170.690002,168.820007,170.490005,561600,170.246473
2015-04-08,170.910004,172.059998,169.50,169.779999,722600,169.537481
2015-04-07,171.889999,172.839996,170.800003,170.949997,277500,170.456167
2015-04-06,170.75,172.910004,170.429993,172.130005,385500,171.632766
2015-04-02,169.850006,172.649994,169.350006,171.380005,405300,170.884933
2015-04-01,171.410004,171.410004,168.919998,169.770004,582400,169.279583
2015-03-31,173.009995,173.600006,171.669998,172.00,446200,171.503137
2015-03-30,172.320007,174.190002,171.75,174.020004,245800,173.517306
2015-03-27,169.770004,172.110001,169.440002,171.410004,441700,170.914845
2015-03-26,170.470001,170.910004,169.809998,170.479996,389200,169.987523
2015-03-25,171.940002,172.720001,170.649994,170.649994,514500,170.157031
2015-03-24,170.860001,172.240005,170.529999,171.809998,316600,171.313683
2015-03-23,171.740005,172.169998,170.800003,171.50,351300,171.004581
2015-03-20,169.770004,171.860001,168.479996,171.429993,592100,170.934776
2015-03-19,170.429993,170.429993,168.160004,169.169998,302500,168.68131
2015-03-18,168.369995,171.589996,166.320007,171.009995,417200,170.515991
2015-03-17,168.75,169.759995,167.289993,168.779999,346900,168.292437
2015-03-16,168.139999,170.440002,167.949997,170.380005,297700,169.887821
2015-03-13,168.240005,168.539993,165.919998,166.919998,243400,166.43781
2015-03-12,166.00,168.839996,165.820007,168.600006,300700,168.112965
2015-03-11,165.610001,166.520004,165.070007,165.970001,410700,165.490557
2015-03-10,166.580002,167.710007,165.610001,165.610001,320400,165.131597
2015-03-09,165.839996,168.529999,165.660004,168.100006,460100,167.614409
2015-03-06,167.139999,167.910004,165.50,166.009995,351500,165.530435
2015-03-05,166.899994,168.800003,166.289993,168.610001,332800,168.12293
2015-03-04,166.869995,167.020004,165.25,166.789993,359900,166.308181
2015-03-03,167.639999,168.710007,166.860001,167.350006,362000,166.866576
2015-03-02,167.570007,168.690002,167.00,168.550003,307000,168.063106
2015-02-27,168.410004,169.639999,167.490005,167.570007,348400,167.085941
2015-02-26,168.399994,169.330002,167.710007,168.570007,304900,168.083053
